"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"owcbrwq",2002-03-12,56,3.1,5.7,6.2,5.26428571428571,0.983579468791704,1.55,56,0.52,0.53,0.58,0.539642857142857,0.0220713129909133,0.04,56,0.3,0.3,0.3,0.3,0,0,56,98.5,119.35,130.4,117.9,9.80038960264521,17.1,56,12.4,15.25,16.3,14.9446428571429,1.23772807159763,1.875,14,0,0.01,0.01,0.00785714285714286,0.0042581531362632,0,0,NA,NA,NA,NA,NA,NA,56,7.8,8.5,8.6,8.41964285714286,0.203978290161338,0.299999999999999,56,4,5,6,4.94642857142857,0.672029297444224,0.25,56,0,56,0
"owcbrwq",2002-03-13,96,4.4,5.45,9.7,6.64270833333333,2.1071679568192,4.325,96,0.51,0.535,0.56,0.5375,0.0158280231169112,0.03,96,0.3,0.3,0.3,0.3,0,0,96,91.1,101,132.6,106.871875,14.9228662628866,27.775,96,11,12.3,15.6,13.0520833333333,1.45587587431192,2.725,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7.9,8.3,8.6,8.25208333333333,0.264765702448377,0.5,96,4,5,134,6.3125,13.2317898697755,1,96,0,96,0
"owcbrwq",2002-03-14,96,6.1,7.95,9.1,7.79895833333333,1.06962805061697,2.025,96,0.51,0.54,0.56,0.5359375,0.0170804982671066,0.03,96,0.3,0.3,0.3,0.3,0,0,96,89,105.6,136.5,109.052083333333,17.6158898316663,35.4,96,10.7,12.5,15.9,12.9479166666667,1.97691834438119,4.1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7.9,8.3,8.7,8.30416666666667,0.29838747915973,0.6,96,4,5,6,4.69791666666667,0.634446159910013,1,96,0,96,0
"owcbrwq",2002-03-15,70,7.8,8.3,11.5,8.94285714285714,1.23916421442461,1.975,70,0.52,0.54,0.58,0.543428571428571,0.0146342574353204,0.02,70,0.3,0.3,0.3,0.3,0,0,70,88.7,93.2,121.6,98.0328571428571,10.7923983100905,12.2,70,10,10.8,13.6,11.3285714285714,1.10573509644927,1.225,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,70,7.9,8.1,8.4,8.12142857142857,0.170160075651593,0.300000000000001,70,4,5,8,5.07142857142857,1.06759147279989,1,70,0,70,0
"owcbrwq",2002-03-16,96,5.8,6.8,10.7,7.27916666666667,1.35560564570478,1.55,96,0.55,0.58,0.65,0.593541666666667,0.0354810302664949,0.07,96,0.3,0.3,0.3,0.3,0,0,96,86.2,101.8,130.1,104.110416666667,16.0669486125804,32.05,96,9.8,12.65,15.9,12.5822916666667,2.18294802077455,4.325,80,0,0.07,0.1,0.060875,0.0282929409275373,0.0425,0,NA,NA,NA,NA,NA,NA,96,7.8,8.1,8.6,8.175,0.287273938583843,0.6,96,4,7,9,6.5,1.35335839575791,3,96,0,96,0
"owcbrwq",2002-03-17,96,3.8,5.05,6.4,5.05416666666667,0.931655760536235,1.825,96,0.55,0.56,0.57,0.558333333333333,0.00829288428862726,0.0199999999999999,96,0.3,0.3,0.3,0.3,0,0,96,94,101.5,126.3,105.944791666667,11.461880710853,21.15,96,12.1,12.95,16,13.4927083333333,1.37068901549293,2.45,58,0,0.05,0.09,0.0475862068965517,0.0269053144706294,0.0475,0,NA,NA,NA,NA,NA,NA,96,7.9,8.2,8.4,8.165625,0.179957962927603,0.300000000000001,96,3,5,15,5.375,1.54408889844976,2,96,0,96,0
"owcbrwq",2002-03-18,96,5.8,6.2,7,6.33125,0.430742932251024,0.825,96,0.54,0.56,0.57,0.555833333333333,0.00763188142171296,0.01,96,0.3,0.3,0.3,0.3,0,0,96,92.9,104.7,125.3,106.157291666667,11.4862823887468,22.1,96,11.6,12.9,15.2,13.075,1.29265129420933,2.525,70,0,0.04,0.08,0.047,0.0237346441585572,0.0375,0,NA,NA,NA,NA,NA,NA,96,7.9,8.1,8.4,8.1375,0.203262858077132,0.5,96,3,4,5,3.65625,0.55872269743727,1,96,0,96,0
"owcbrwq",2002-03-19,96,4.7,5.7,6.5,5.60625,0.568620213647405,1.1,96,0.54,0.56,0.57,0.558229166666667,0.00794650425184313,0.01,96,0.3,0.3,0.3,0.3,0,0,96,93.7,104.8,124.6,106.907291666667,11.0771100619503,21.85,96,11.9,13.15,15.5,13.4229166666667,1.34645571128654,2.625,85,0,0.06,0.08,0.0498823529411765,0.0279665666741668,0.05,0,NA,NA,NA,NA,NA,NA,96,7.9,8.2,8.4,8.13333333333333,0.16135392068152,0.300000000000001,96,3,4,6,4.4375,0.892217816219194,1,96,0,96,0
"owcbrwq",2002-03-20,96,5.6,5.9,6.2,5.86041666666667,0.199197953205859,0.35,96,0.55,0.57,0.64,0.585104166666667,0.0335604652018026,0.0599999999999999,96,0.3,0.3,0.3,0.3,0,0,96,92.9,100.6,114.9,102.175,7.58268109784257,14.325,96,11.6,12.6,14.3,12.7489583333333,0.912716568868846,1.8,25,0,0.01,0.02,0.0112,0.00725718035235908,0.01,0,NA,NA,NA,NA,NA,NA,96,7.9,8.05,8.2,8.04166666666667,0.121106014163899,0.299999999999999,96,3,5,7,4.9375,0.938223405109219,2,96,0,96,0
"owcbrwq",2002-03-21,96,2.5,4.6,5.7,4.49895833333333,0.724386461506588,0.449999999999999,96,0.57,0.58,0.65,0.588645833333333,0.0197147976305626,0.0125000000000001,96,0.3,0.3,0.3,0.3,0,0,96,95.1,104.9,117.4,104.645833333333,7.5622318714248,14.175,96,12.1,13.7,15.2,13.5322916666667,1.10505963560598,2.25,52,0,0.01,0.05,0.0188461538461538,0.0193678373127189,0.04,0,NA,NA,NA,NA,NA,NA,96,7.9,8,8.3,8.08229166666667,0.163510689601736,0.4,96,3,4,6,4.0625,0.661934962618566,0,96,0,96,0
