"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"owcdrwq",2007-08-28,40,20.7,21.2,25.3,21.815,1.36185205717839,1.25,40,0.31,0.35,0.6,0.4445,0.125186015439179,0.245,40,0.2,0.2,0.3,0.2425,0.0500640615253123,0.1,40,64.9,75.5,96.1,79.65,12.0072200501754,27.3,40,5.8,6.5,8.6,6.995,1.07606834212474,2.4,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,40,7.6,7.7,8.1,7.795,0.194738483415777,0.324999999999999,40,1,9.5,13,7.625,4.54993660141799,10,40,0,40,0
"owcdrwq",2007-08-29,42,20.4,25.05,28.1,24.252380952381,2.54522394388124,3.775,42,0.13,0.34,0.62,0.412619047619048,0.130160492372611,0.2675,42,0.1,0.2,0.3,0.226190476190476,0.0496795772414547,0.1,42,63.3,77.65,89.2,75.5357142857143,8.66196680838405,15.775,42,5.5,6.4,7.1,6.3,0.457458514712457,0.775,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,42,7.6,7.6,7.8,7.65714285714286,0.0667827096903747,0.100000000000001,42,6,9.5,14,9.38095238095238,1.88643916662702,3,42,0,42,0
"owcdrwq",2007-08-30,95,21.9,22.5,24.9,22.8578947368421,0.923635157243058,1.2,95,0.33,0.62,0.63,0.621473684210526,0.0308727112530141,0.01,95,0.2,0.3,0.3,0.298947368421053,0.0102597835208515,0,95,57.2,69.8,83,67.8852631578947,7.54258785689284,12.8,95,5,6,6.9,5.83052631578947,0.565511194879601,0.95,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,95,7.5,7.6,7.7,7.56736842105263,0.0659498604891946,0.0999999999999996,95,8,10,21,11.0842105263158,2.3908654085949,2,95,0,95,0
"owcdrwq",2007-08-31,96,20.9,21.8,23.5,22.00625,0.606597499430874,0.799999999999997,96,0.34,0.64,0.65,0.589375,0.104456614010441,0.01,96,0.2,0.3,0.3,0.282291666666667,0.0383743106687045,0,96,60.7,68.5,78.9,68.346875,4.81884356349879,8.99999999999999,96,5.3,6,6.8,5.96666666666667,0.366682615283132,0.7,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7.5,7.6,7.7,7.615625,0.0621172490664144,0.100000000000001,96,6,9,13,9.0625,1.65950214474735,2,96,0,96,0
"owcdrwq",2007-09-01,96,19.7,20.8,25.5,21.50625,1.57732701945912,2.025,96,0.35,0.65,0.67,0.632916666666667,0.0721244051938136,0.01,96,0.2,0.3,0.3,0.291666666666667,0.0277836251155497,0,96,55.4,67.6,83.1,68.2239583333333,8.6834233461678,17.65,96,5,5.95,7.1,6.00104166666667,0.622811079181221,1.2,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7.6,7.7,7.8,7.67291666666667,0.0787790603579226,0.100000000000001,96,4,8,12,7.26041666666667,1.79616428545689,3.25,96,0,96,0
"owcdrwq",2007-09-02,23,20.4,23.2,25.1,23.1217391304348,1.65005689206026,2.9,23,0.35,0.35,0.62,0.366086956521739,0.0556563424822187,0.01,23,0.2,0.2,0.3,0.204347826086957,0.0208514414057075,0,23,62.4,76.9,89.8,75.1130434782609,7.46368811755995,10.25,23,5.6,6.4,7.7,6.40869565217391,0.499920942366491,0.75,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,23,7.7,7.8,7.8,7.76521739130435,0.0486984753557672,0.0999999999999996,23,3,4,9,5.04347826086957,1.89444788957736,2.5,23,0,23,0
"owcdrwq",2007-09-03,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"owcdrwq",2007-09-04,9,24.5,24.8,25.1,24.8444444444444,0.235112266327765,0.400000000000002,9,0.36,0.36,0.37,0.362222222222222,0.00440958551844099,0,9,0.2,0.2,0.2,0.2,0,0,9,80.7,91.1,92.7,89.7444444444444,3.85684816628523,3.7,9,6.7,7.6,7.7,7.44444444444444,0.316666666666667,0.3,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,9,7.7,7.8,7.8,7.76666666666667,0.0499999999999998,0.0999999999999996,9,8,8,10,8.55555555555556,0.726483157256779,1,9,0,9,0
"owcdrwq",2007-09-05,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"owcdrwq",2007-09-06,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"owcdrwq",2007-09-07,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"owcdrwq",2007-09-08,28,23.2,24.2,25.5,24.3821428571429,0.825991467729483,1.575,28,0.35,0.69,0.7,0.6325,0.124115388367558,0.0099999999999999,28,0.2,0.3,0.3,0.282142857142857,0.039002102778748,0,28,61.9,77.5,89.9,75.9964285714286,9.55543212360294,16.575,28,5.3,6.5,7.4,6.33571428571429,0.709832680187686,1.2,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,28,7.6,7.7,7.9,7.75357142857143,0.0744468135135953,0.0999999999999996,28,10,12,21,12.7857142857143,2.83309989701299,3,28,0,28,0
"owcdrwq",2007-09-09,75,21.6,21.9,22.9,22.0773333333333,0.417059634511348,0.800000000000001,75,0.36,0.72,0.73,0.694933333333333,0.061388733303242,0.0599999999999999,75,0.2,0.4,0.4,0.354666666666667,0.0552471922567315,0.1,75,47.6,62.7,71.1,61.4626666666667,5.57234419430636,1.95,75,4.2,5.5,6.1,5.35733333333333,0.46620182769284,0.199999999999999,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,75,7.5,7.7,7.7,7.65466666666667,0.0663596534319132,0.100000000000001,75,11,21,32,20.8133333333333,4.82586873101714,4,75,0,75,15
"owcdrwq",2007-09-10,96,21,21.5,22.7,21.6177083333333,0.422771505205868,0.5,96,0.66,0.68,0.75,0.690416666666667,0.0327965552320319,0.0524999999999999,96,0.3,0.3,0.4,0.330208333333333,0.0461571495668911,0.1,96,56.7,61.4,76.3,63.4083333333333,5.43008513390016,8.25,96,5,5.4,6.6,5.578125,0.451477836490459,0.7,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7.5,7.6,7.7,7.58854166666667,0.05205218366756,0,96,17,23,32,23.8229166666667,3.24116545532189,4,96,0,96,0
"owcdrwq",2007-09-11,70,19.9,20.7,21,20.63,0.269379318789146,0.275000000000002,70,0.36,0.69,0.71,0.678285714285714,0.0584577496027074,0.0199999999999999,70,0.2,0.3,0.4,0.3,0.0240771706171538,0,70,60.6,66.5,76,67.0514285714286,4.32434104411742,5.875,70,5.4,6,6.9,6.02142857142857,0.415250180271268,0.5,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,70,7.6,7.6,7.8,7.63,0.0520590523111615,0.100000000000001,70,14,18.5,88,29.5857142857143,17.9875100444265,20,70,0,70,0
"owcdrwq",2007-09-12,87,17.1,18.3,20.2,18.3862068965517,0.696698595836289,0.649999999999999,87,0.35,0.66,0.67,0.65183908045977,0.046917263536456,0,87,0.2,0.3,0.3,0.297701149425287,0.0150735521828017,0,87,62.5,67,75.9,67.4689655172414,2.59132319368811,2.69999999999999,87,5.9,6.3,7.1,6.32528735632184,0.203583244390146,0.2,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,87,7.6,7.7,7.8,7.69195402298851,0.0348364644716308,0,87,28,33,45,34.2528735632184,3.93025944703873,5.5,87,0,87,0
"owcdrwq",2007-09-13,96,16,17.35,20.6,17.546875,1.25890120217677,2.125,96,0.67,0.71,0.74,0.704375,0.0163393293684449,0.03,96,0.3,0.4,0.4,0.354166666666667,0.0500876424861918,0.1,96,63.8,69.45,82.7,70.6260416666667,5.47644227178013,9.90000000000001,96,6.2,6.6,7.6,6.73333333333333,0.372096950203676,0.5,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7.6,7.7,7.8,7.71354166666667,0.0554783820707938,0,96,12,21,31,19.8229166666667,4.04967780828021,4.25,96,0,96,0
"owcdrwq",2007-09-14,62,16.4,18.35,21.5,18.4177419354839,1.42443824918933,2.375,62,0.39,0.72,0.73,0.69758064516129,0.0805653280156263,0,62,0.2,0.4,0.4,0.383870967741936,0.0549024422016349,0,62,63.3,72.4,91,72.2661290322581,6.02151725197766,8.25000000000001,62,6.2,6.75,8,6.76612903225806,0.379794400111988,0.5,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,62,7.7,7.7,7.8,7.71774193548387,0.0385141811156897,0,62,11,16.5,22,16.4838709677419,2.14813632900609,2,62,0,62,0
"owcdrwq",2007-09-15,96,16.2,17.05,19,17.228125,0.684367264435974,1,96,0.7,0.71,0.72,0.710833333333333,0.00609860495983634,0,96,0.3,0.4,0.4,0.397916666666667,0.0143575886163796,0,96,66.9,72.3,85.4,74.0177083333333,5.79378968409354,10.35,96,6.5,7.1,8.1,7.10625,0.479432229994913,0.8,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7.7,7.8,7.8,7.75729166666667,0.0497251216116987,0.0999999999999996,96,11,14,20,14.9583333333333,2.37937040176008,4,96,0,96,0
"owcdrwq",2007-09-16,96,14.5,15.6,18.4,15.8354166666667,0.999892538085618,1.25,96,0.69,0.7,0.71,0.702291666666667,0.00446722960579342,0,96,0.3,0.3,0.4,0.335416666666667,0.0480770580295002,0.1,96,65.5,73.75,90.8,75.6322916666667,8.27219177716798,16.55,96,6.6,7.4,8.7,7.47395833333333,0.693009423747981,1.325,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7.7,7.8,7.9,7.82083333333333,0.047940021005785,0,96,7,10,14,10.1458333333333,1.58266375500405,2,96,0,96,0
"owcdrwq",2007-09-17,37,13.8,14.3,20.3,15.3054054054054,2.17701961737014,0.700000000000001,37,0.35,0.7,0.7,0.601081081081081,0.138057632566656,0.21,37,0.2,0.3,0.3,0.27027027027027,0.0463373191622816,0.1,37,67.8,70.1,98.3,74.3405405405405,10.591386947774,3.59999999999999,37,7,7.2,8.9,7.41351351351351,0.663811453385407,0.3,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,37,7.8,7.8,8.3,7.86756756756757,0.15644319887574,0,37,2,9,10,8.02702702702703,2.20462249837934,1,37,0,37,0
"owcdrwq",2007-09-18,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"owcdrwq",2007-09-19,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"owcdrwq",2007-09-20,46,19.1,20.4,21.7,20.3913043478261,0.808242561764315,1.475,46,0.71,0.72,0.73,0.717173913043478,0.00719970477118823,0.01,46,0.4,0.4,0.4,0.4,0,0,46,81,90.8,103.2,91.2173913043478,6.54829254582448,10.875,46,7.5,8.15,9.4,8.21739130434783,0.493650505171461,0.899999999999999,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,46,7.8,7.9,8,7.93260869565217,0.0559934433704794,0.0999999999999996,46,8,11,14,11.1304347826087,1.25801776444221,2,46,0,46,0
