"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"owcolwq",2002-04-23,57,7.4,11.2,12.8,10.740350877193,1.73399411445726,2.5,57,0.63,0.65,0.66,0.649824561403509,0.00743813246294666,0,57,0.3,0.3,0.3,0.3,0,0,57,68.2,97.6,108.4,96.3508771929825,8.69265130537237,14.1,57,7.5,10.8,11.5,10.6578947368421,0.697430838460768,0.699999999999999,57,0.25,0.28,0.31,0.278947368421053,0.014721729630321,0.02,0,NA,NA,NA,NA,NA,NA,57,7.9,8,8.1,8.04210526315789,0.0625281891317044,0.0999999999999996,57,17,54,147,57.8947368421053,32.4574909967562,33,57,0,57,0
"owcolwq",2002-04-24,96,6.7,10.75,17,11.50625,3.44101614428982,6.7,96,0.38,0.62,0.67,0.599791666666667,0.0719060668938328,0.0925,96,0.2,0.3,0.3,0.286458333333333,0.0343964247428089,0,96,57.7,93.8,112.1,92.340625,13.5563508373867,19.825,96,6.2,10.5,11.7,10.0625,1.33434391526717,1.425,96,0.13,0.25,0.3,0.246145833333333,0.0357879659770143,0.03,0,NA,NA,NA,NA,NA,NA,96,7.8,8.1,8.2,8.08854166666667,0.120411392769837,0.199999999999999,96,34,76,208,82.5104166666667,35.4923252761604,32.75,96,0,96,0
"owcolwq",2002-04-25,96,9.6,12,15.9,12.5104166666667,1.60581044740108,2.625,96,0.37,0.55,0.63,0.5178125,0.0883200296171766,0.17,96,0.2,0.3,0.3,0.25625,0.0498682474653276,0.1,96,56.5,91.4,105.3,89.0354166666667,11.8856568063906,19.075,96,5.7,9.7,11.3,9.49791666666667,1.33889028414671,1.85,96,0.03,0.19,0.31,0.192708333333333,0.0589822304492796,0.08,0,NA,NA,NA,NA,NA,NA,96,7.8,8.1,8.4,8.1375,0.129167374078425,0.0999999999999996,96,95,155.5,265,159.03125,39.2582416757766,51.75,96,0,96,0
"owcolwq",2002-04-26,96,9,12.35,16.5,12.00625,2.16293234193524,3.7,96,0.36,0.42,0.62,0.4528125,0.0831701252664808,0.13,96,0.2,0.2,0.3,0.227083333333333,0.0446722960579341,0.1,96,66.1,97.4,109.5,96.58125,9.75799065273929,14.95,96,6.8,10.7,11.4,10.3947916666667,0.945946453549278,1.125,96,0.15,0.31,0.41,0.306354166666667,0.0531951677992746,0.06,0,NA,NA,NA,NA,NA,NA,96,7.9,8.2,8.4,8.21041666666667,0.110003987168568,0.200000000000001,96,53,85,223,91.09375,29.3552032956053,31.25,96,0,96,0
"owcolwq",2002-04-27,96,10,11.1,14.1,11.309375,1.0207405077739,1.125,96,0.34,0.37,0.64,0.438541666666667,0.11935774767406,0.2325,96,0.2,0.2,0.3,0.229166666666667,0.0456915670364413,0.1,96,36.8,101.25,106.4,86.171875,24.8027490120074,44.625,96,4,11.2,11.8,9.471875,2.81842446188796,5.125,96,0.26,0.36,0.46,0.361354166666667,0.0620122193674536,0.12,0,NA,NA,NA,NA,NA,NA,96,7.8,8.3,8.4,8.16875,0.241186758823073,0.5,96,50,76,316,101.260416666667,54.4351366387299,69.25,96,0,96,13
"owcolwq",2002-04-28,96,10.4,11.8,17,12.65,1.91179166449199,2.925,96,0.35,0.565,0.67,0.518854166666667,0.115073155602646,0.2075,96,0.2,0.3,0.3,0.257291666666667,0.0497251216116989,0.1,96,77,88.5,103,89.1489583333333,7.33824867664969,13.175,96,8,9.55,11.4,9.48958333333333,1.01395309417792,1.8,67,0,0.13,0.31,0.136417910447761,0.0987758633954015,0.18,0,NA,NA,NA,NA,NA,NA,96,8,8.1,8.4,8.12083333333333,0.104545801261473,0.199999999999999,96,68,135.5,630,166.375,100.907696227269,102,96,0,96,0
"owcolwq",2002-04-29,96,8,9.4,10.6,9.30416666666667,0.730669003709926,1.225,96,0.35,0.44,0.63,0.4721875,0.0801866654487482,0.1425,96,0.2,0.2,0.3,0.232291666666667,0.0470045723793059,0.1,96,91.3,100.4,107.4,99.928125,3.52440224495027,6.42500000000001,96,10.6,11.4,12.4,11.4552083333333,0.324075946806062,0.399999999999999,96,0.09,0.19,0.39,0.209375,0.075307265323648,0.0925,0,NA,NA,NA,NA,NA,NA,96,8.2,8.3,8.4,8.32291666666667,0.073239573235508,0.0999999999999996,96,53,105.5,231,111.989583333333,42.6872333414907,75.5,96,0,96,0
"owcolwq",2002-04-30,96,7.7,10.3,13.8,9.99895833333333,1.79223440617199,2.85,96,0.35,0.625,0.64,0.541979166666667,0.125401416861522,0.27,96,0.2,0.3,0.3,0.26875,0.0465945558148047,0.1,96,80.4,100.3,120,98.43125,10.850702742219,18,96,9.4,11.25,12.6,11.0708333333333,0.799199160563632,1.3,96,0.01,0.09,0.25,0.112395833333333,0.063141358398049,0.09,0,NA,NA,NA,NA,NA,NA,96,8.1,8.3,8.4,8.26041666666667,0.1061073603942,0.200000000000001,96,46,64,116,66.8229166666667,12.8431794650674,14.25,96,0,96,0
"owcolwq",2002-05-01,96,9.1,10.6,15,11.36875,1.73237363783124,2.125,96,0.35,0.4,0.63,0.453020833333333,0.0930435075555818,0.17,96,0.2,0.2,0.3,0.23125,0.0465945558148047,0.1,96,63.3,101.2,110.6,94.8614583333333,14.3775070658937,14.1,96,7.2,10.8,11.9,10.346875,1.47147996570585,1.75,96,0.12,0.17,0.26,0.171875,0.0377055768596078,0.06,0,NA,NA,NA,NA,NA,NA,96,8,8.3,8.5,8.26041666666667,0.170126372018392,0.300000000000001,96,54,88.5,175,94.3125,24.2132249640128,27.25,96,0,96,0
"owcolwq",2002-05-02,96,9.5,12.85,14,12.4125,1.10674962698982,1.725,96,0.34,0.485,0.63,0.495208333333333,0.0929740107055013,0.1525,96,0.2,0.2,0.3,0.246875,0.0501642040544954,0.1,96,63.6,79.4,105.9,81.7302083333333,11.1757549589953,10.25,96,6.7,8.4,11.7,8.75,1.36982519053768,1.45,80,0,0.115,0.25,0.11675,0.0744902508275709,0.1125,0,NA,NA,NA,NA,NA,NA,96,7.9,8,8.5,8.04166666666667,0.180447786101054,0.0999999999999996,95,69,238,724,242.715789473684,119.984809602192,163,96,0,96,0
"owcolwq",2002-05-03,96,7.9,11.65,17.8,11.9072916666667,3.00523209688376,4.85,96,0.38,0.43,0.52,0.4334375,0.0339915817751829,0.04,96,0.2,0.2,0.3,0.204166666666667,0.0200875277704805,0,96,75.2,100.15,117.2,96.6645833333333,12.9867947438657,25.925,96,8.3,10.6,12,10.403125,1.0309375523484,2,89,0,0.23,0.37,0.219550561797753,0.0920339625103832,0.1,0,NA,NA,NA,NA,NA,NA,96,8,8.1,8.5,8.190625,0.164206625291045,0.200000000000001,95,40,231,386,213.705263157895,82.9992147725239,134.5,96,0,96,0
"owcolwq",2002-05-04,96,9.1,12.85,17,12.75,2.04558574805154,3.25,96,0.37,0.46,0.53,0.446145833333333,0.0527430672254741,0.1,96,0.2,0.2,0.3,0.21875,0.0392361272835448,0,96,30.4,89.4,127.7,84.940625,29.779896355993,57.05,96,3.3,9.3,12.7,8.95208333333333,3.02939907769343,5.975,96,0.25,0.29,0.37,0.305104166666667,0.0403926723856709,0.0725,0,NA,NA,NA,NA,NA,NA,96,7.7,8.1,8.7,8.12916666666667,0.323766214116774,0.7,96,32,186.5,554,201.34375,132.599105190678,234.75,96,0,96,17
"owcolwq",2002-05-05,96,10.7,14.7,19.5,14.79375,2.95741040706045,5.75,96,0.39,0.53,0.59,0.5134375,0.0547497296316324,0.0725000000000001,96,0.2,0.3,0.3,0.26875,0.0465945558148047,0.1,96,34.6,75.75,106.7,72.3364583333333,23.4345499312971,45.725,96,3.3,7.7,10.7,7.271875,2.18457285358753,4,96,0.22,0.27,0.3,0.266458333333333,0.0171666240844302,0.0225,0,NA,NA,NA,NA,NA,NA,96,7.8,8,8.2,7.959375,0.137326445492407,0.3,95,58,204,916,211.031578947368,99.5629227569477,93,96,0,96,23
"owcolwq",2002-05-06,96,10.6,15.1,18,14.784375,1.53693667472192,1.825,96,0.3,0.58,0.6,0.535104166666667,0.0809287508818606,0.09,96,0.1,0.3,0.3,0.272916666666667,0.0469695683488489,0.1,96,28.8,67.4,99.4,63.2927083333333,20.1524622750078,28.075,96,2.8,6.8,11.1,6.45833333333333,2.20700638716395,3.15,96,0.1,0.2,0.24,0.1865625,0.0402839428635229,0.06,0,NA,NA,NA,NA,NA,NA,96,7.8,8,8.2,7.94583333333333,0.119575271749786,0.2,96,20,210,475,204.229166666667,74.2478749179029,74.75,96,0,96,25
"owcolwq",2002-05-07,96,11.2,13.5,16.1,13.4052083333333,1.34166979949509,2.125,96,0.33,0.47,0.65,0.4796875,0.100057384850684,0.1925,96,0.2,0.2,0.3,0.245833333333333,0.0500876424861917,0.1,96,42,73.85,95.8,72.3979166666667,16.4409628298324,32.55,96,4.3,7.75,10.5,7.61041666666667,1.9246587758636,3.825,96,0.12,0.205,0.29,0.203541666666667,0.05024108544475,0.09,0,NA,NA,NA,NA,NA,NA,96,7.5,7.9,8.2,7.80416666666667,0.161516931924321,0.2,96,17,80.5,261,102.197916666667,66.0708741932984,123.75,96,0,96,4
"owcolwq",2002-05-08,96,10.5,11.4,12.5,11.3239583333333,0.485743010170836,0.799999999999999,96,0.31,0.32,0.41,0.324375,0.0137505980731174,0,96,0.2,0.2,0.2,0.2,0,0,96,77.9,97.35,100.4,96.396875,4.09984474994898,4.72499999999999,96,8.3,10.7,11,10.5520833333333,0.475279234637064,0.5,96,0.3,0.395,0.46,0.385729166666667,0.0475448772306459,0.09,0,NA,NA,NA,NA,NA,NA,96,7.7,8.1,8.2,8.04583333333333,0.0893445921158681,0.0999999999999996,96,25,47,78,46.1458333333333,11.2446283472006,14,96,0,96,0
"owcolwq",2002-05-09,96,12.1,14.9,20.7,15.5041666666667,2.67101071611741,4.8,96,0.35,0.64,0.68,0.605520833333333,0.0804705868679805,0.0900000000000001,96,0.2,0.3,0.3,0.286458333333333,0.0343964247428089,0,96,37.6,60.5,95.3,61.86875,16.8029340326403,31.525,96,3.6,5.9,10.2,6.153125,1.63648873956922,2.85,83,0,0.11,0.3,0.122168674698795,0.0693180755079409,0.065,0,NA,NA,NA,NA,NA,NA,96,7.4,7.6,8,7.596875,0.149703654633166,0.2,96,72,112,401,140.229166666667,65.1801518330731,75.5,96,0,96,30
"owcolwq",2002-05-10,96,10.4,13.45,17.7,13.4010416666667,1.96187315388376,2.9,96,0.32,0.38,0.63,0.443020833333333,0.128931804019487,0.27,96,0.2,0.2,0.3,0.236458333333333,0.048383972262825,0.1,96,68,94.3,106.9,90.6354166666667,12.0162694899932,21.525,96,7.4,9.7,10.9,9.44895833333333,1.11175487563976,2.1,96,0.1,0.235,0.37,0.233229166666667,0.084995291407251,0.125,0,NA,NA,NA,NA,NA,NA,96,7.7,8,8.2,7.946875,0.190264704805533,0.3,96,72,90,167,94.8645833333333,20.8319692535885,20.25,96,0,96,0
"owcolwq",2002-05-11,96,12.2,13,14.8,13.1114583333333,0.531308175349281,0.5,96,0.33,0.37,0.56,0.407083333333333,0.0746488857274566,0.1025,96,0.2,0.2,0.3,0.216666666666667,0.0374634324632677,0,96,26.3,95.2,106.7,79.765625,28.1177030885114,46.925,96,2.8,10.1,11.2,8.396875,2.97407935777037,5.1,96,0.33,0.38,0.46,0.385729166666667,0.0352657517375433,0.05,0,NA,NA,NA,NA,NA,NA,96,7.4,8,8.3,7.90208333333333,0.311863386645217,0.625,96,41,95,237,108.979166666667,49.3731184407204,76.75,96,0,96,19
"owcolwq",2002-05-12,96,11.8,12.4,17.9,13.284375,1.90303514501385,1.675,96,0.32,0.335,0.58,0.3834375,0.0885892725476754,0.0725,96,0.2,0.2,0.3,0.220833333333333,0.0408248290463863,0,96,62.8,94.35,98.7,87.2104166666667,12.5065749374746,24.425,96,6.4,10.1,10.7,9.18645833333333,1.58881748755857,2.925,96,0.11,0.32,0.44,0.305208333333333,0.0913291233502754,0.135,0,NA,NA,NA,NA,NA,NA,96,7.5,7.9,8.2,7.8625,0.225365200694807,0.425000000000001,96,38,90.5,203,94.8333333333333,36.5521017227584,32.5,96,0,96,0
"owcolwq",2002-05-13,96,10.8,12.85,15.3,12.8489583333333,1.45500911855827,2.575,96,0.33,0.465,0.65,0.469791666666667,0.0983546661367787,0.1825,96,0.2,0.2,0.3,0.239583333333333,0.0491596040125087,0.1,96,50.4,80,91,73.6458333333333,10.2480901087565,15.6,96,5.1,8.5,9.6,7.81770833333333,1.27922631154161,2.225,96,0.19,0.35,0.39,0.312708333333333,0.0672071294254861,0.1125,0,NA,NA,NA,NA,NA,NA,96,7.5,7.5,7.8,7.55520833333333,0.0737988613043897,0.0999999999999996,96,48,166.5,261,161.90625,57.5051628116989,88.25,96,0,96,0
"owcolwq",2002-05-14,96,9.6,13.05,15.9,12.3979166666667,2.05159651140619,3.925,96,0.33,0.41,0.45,0.396041666666667,0.0361423841192659,0.0525,96,0.2,0.2,0.2,0.2,0,0,96,72.6,85.3,97.5,85.721875,8.26268980194451,14.8,96,8,9.1,10,9.12916666666667,0.512561506792711,0.824999999999999,96,0.14,0.285,0.4,0.2715625,0.0754680570279833,0.15,0,NA,NA,NA,NA,NA,NA,96,7.4,7.6,7.9,7.55833333333333,0.107278944485041,0.0999999999999996,96,126,197,292,203.40625,53.4328064266849,102.75,96,0,96,0
"owcolwq",2002-05-15,96,10.7,13.55,20.6,14.3958333333333,3.03078647658766,4.575,96,0.35,0.475,0.53,0.4640625,0.0552997216134613,0.06,96,0.2,0.2,0.3,0.227083333333333,0.0446722960579341,0.1,96,63.8,83.4,107.2,83.5489583333333,12.2782305839209,22.825,96,6.5,8.4,11.3,8.52604166666667,1.14480472172209,1.65,96,0.23,0.31,0.38,0.306770833333333,0.0377385686189011,0.05,0,NA,NA,NA,NA,NA,NA,96,7.5,7.6,8.2,7.64583333333333,0.198900486446796,0.2,96,49,122.5,478,149,94.9255664080796,54.5,96,0,96,0
