"station","date","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totpar_nValid","totpar_total","totprcp_nValid","totprcp_total"
"owcowmet",2001-05-01,95,13.8,22.5,29.4,22.0557894736842,5.13684470976381,10.1,95,29,44,83,46.7789473684211,12.5961653632724,13,95,993,995,997,995.021052631579,1.13904539509805,2,95,0.2,1.5,5.9,1.69263157894737,1.11338491989214,1.5,0,NA,NA,NA,NA,NA,NA,95,49,204,303,203.589473684211,44.0824891024171,56.5,95,45831.5,95,0
"owcowmet",2001-05-02,96,16.6,21.2,29.6,22.66875,4.53420479884784,9.45,96,29,56,77,54,16.8560468612743,34.25,96,994,996,998,996.145833333333,1.0460871118669,1,96,0.2,1.5,5.8,1.67083333333333,1.2371373294545,1.9,0,NA,NA,NA,NA,NA,NA,96,137,215.5,289,216.21875,31.451283339225,39.25,96,51729.3,96,0
"owcowmet",2001-05-03,96,16.4,21.3,27.8,21.4875,3.74093289800398,7.425,96,39,63,85,61.8958333333333,13.2167988533466,23.25,96,998,999,1002,999.833333333333,1.31122013621437,2,96,0.2,1.1,4.1,1.25104166666667,0.916169921227173,1.25,0,NA,NA,NA,NA,NA,NA,96,4,200,354,170.96875,91.8812108534424,147,96,42937.3,96,0
"owcowmet",2001-05-04,96,11.8,20.75,28,20.41875,5.21106742272737,8.65,96,33,64,88,60.1979166666667,17.4269119115215,33.5,96,995,999,1000,998.364583333333,1.45182130020168,1,96,0.2,1.6,6.1,1.84479166666667,1.27880452328412,1.4,0,NA,NA,NA,NA,NA,NA,96,1,206,355,160.854166666667,117.845391948556,198.5,96,43216.4,96,0
"owcowmet",2001-05-05,96,11.2,12.85,14.4,12.746875,0.86778036573657,1.5,96,31,74,93,69.8645833333333,17.8169758150193,31.5,96,999,1001,1003,1001.0625,1.16810688047393,2,96,0.2,5.6,9.8,5.38333333333333,2.21956215059432,2.95,0,NA,NA,NA,NA,NA,NA,96,2,55,355,55.875,36.6893789306359,27,96,51338,96,0
"owcowmet",2001-05-06,96,9.6,13.9,18.5,13.640625,2.06522985212428,2,96,33,69,89,66.0208333333333,13.5979713399243,16.25,96,999,1000,1002,1000.29166666667,1.12312221453052,2,96,0.2,2.6,8.6,3.23229166666667,2.17722637614522,3.6,0,NA,NA,NA,NA,NA,NA,96,16,55.5,354,62.7083333333333,41.1042107374765,25.75,96,49781.9,96,0
"owcowmet",2001-05-07,96,15.9,18.9,22.7,18.640625,1.78275824880554,3.125,96,53,65,84,65.4375,6.88830053137393,8,96,998,1000,1001,999.791666666667,0.92811826227692,2,96,0.2,2.3,6.9,2.59375,1.49235331642766,1.85,0,NA,NA,NA,NA,NA,NA,96,24,162,354,169.947916666667,51.1763452329639,57.75,96,27903.1,96,0
"owcowmet",2001-05-08,96,11.3,15.6,21.7,15.6885416666667,2.819289563055,3.925,96,36,70.5,97,73.71875,16.1125666059625,27.5,96,999,1000,1001,999.958333333333,0.8067696034076,2,96,0.2,0.8,3.2,0.985416666666667,0.794186663285371,1.3,0,NA,NA,NA,NA,NA,NA,96,0,187,355,170.708333333333,102.719230677012,161.25,96,38737.7,96,7.7
"owcowmet",2001-05-09,96,12.1,16.35,25.6,18.2947916666667,4.59636858472715,9,96,28,56.5,79,52.2291666666667,15.4793439046782,30,96,997,1000,1001,999.333333333333,1.33508656661315,3,96,0.2,1.1,4,1.26354166666667,0.936299523787989,1.45,0,NA,NA,NA,NA,NA,NA,96,70,221,332,222.125,44.1171287895255,47.25,96,37244.7,96,0
"owcowmet",2001-05-10,96,13,21.65,27.8,21.1572916666667,4.72566887032194,8.525,96,32,48.5,71,48.5416666666667,13.4672442120378,26.25,96,992,995.5,998,995.53125,2.09235764780207,5,96,0.2,1.5,5.2,1.775,1.27378425009476,1.8,0,NA,NA,NA,NA,NA,NA,96,58,220,337,211.947916666667,50.1361031365552,59.5,96,52110.8,96,0
"owcowmet",2001-05-11,96,12.1,20.15,27.6,20.696875,4.15057264596991,7.55,96,38,64,98,67.9479166666667,18.8190104285207,35.75,96,990,991,992,991.270833333333,0.623726773290435,1,96,0.2,2.1,6.8,2.08229166666667,1.56144297579728,2.225,0,NA,NA,NA,NA,NA,NA,96,0,226,352,205.666666666667,91.6009269852735,75.25,96,41884.3,96,3.9
"owcowmet",2001-05-12,96,4.7,11.2,13.9,10.459375,2.54688987322102,1.225,96,67,85.5,99,85.6041666666667,9.60206026868759,18,96,993,1000,1001,998.104166666667,2.73564835639096,4,96,0.2,2.2,7.6,2.19895833333333,1.56806919769885,2.1,0,NA,NA,NA,NA,NA,NA,96,0,93,355,144.135416666667,131.144967581413,278.25,96,25291.1,96,6.2
"owcowmet",2001-05-13,96,2.4,10.1,15.5,9.88333333333333,3.7961106596556,5.15,96,24,60,98,60.21875,20.5494029238398,24.75,96,1000,1002,1005,1002.45833333333,1.32916013582513,3,96,0.2,0.9,3.5,1.15416666666667,0.868503451699551,1.25,0,NA,NA,NA,NA,NA,NA,96,0,165,355,163.697916666667,105.398903399036,175.75,96,58287.8,96,0
"owcowmet",2001-05-14,96,4.9,14.3,18.3,13.3666666666667,4.14301356545073,7.025,96,41,63,89,63.78125,12.761127754981,20.5,96,995,1000,1002,998.9375,1.91290630359037,3,96,0.2,0.8,3.5,1.12083333333333,0.936276687249939,1.725,0,NA,NA,NA,NA,NA,NA,96,0,203,354,175.90625,97.1349661282529,161,96,46578.9,96,0
"owcowmet",2001-05-15,96,11.8,13.65,16.4,13.6145833333333,1.13536260534423,1.625,96,70,90,97,88,7.00225527579282,10,96,987,990,994,990.322916666667,2.05961054911726,3,96,0.2,1.35,5,1.45416666666667,1.14523421338553,1.75,0,NA,NA,NA,NA,NA,NA,96,20,126,262,130.447916666667,41.9631090593848,40.5,96,15382.9,96,6.5
