"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"owcrrwq",2023-06-07,28,20.9,21.35,21.7,21.3357142857143,0.252710177599625,0.425000000000004,28,0.56,0.58,0.59,0.578571428571429,0.00590936840285278,0,28,0.3,0.3,0.3,0.3,0,0,27,71.6,101.2,109.8,99.1185185185185,8.81908058338183,9.75,27,6.3,9,9.6,8.75925925925926,0.773731845448388,0.75,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,28,7.4,7.5,7.7,7.50357142857143,0.0692934867183582,0,28,31,35.5,42,36.6428571428571,3.40168025708304,6.25,27,0,27,0
"owcrrwq",2023-06-08,96,19.2,20.2,21.3,20.121875,0.539825142254903,0.825000000000003,96,0.55,0.58,0.59,0.576354166666667,0.00985364390698251,0.01,96,0.3,0.3,0.3,0.3,0,0,96,12.1,52.95,83.9,53.5041666666667,16.0470552580883,27.2,96,1.1,4.8,7.6,4.84479166666667,1.41450157051254,2.325,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7.2,7.3,7.5,7.33020833333333,0.0682407374345709,0.100000000000001,96,35,49,76,52.3229166666667,10.7688584076265,15,96,2,96,51
"owcrrwq",2023-06-09,96,19.9,20.2,20.8,20.24375,0.25907223134221,0.399999999999999,96,0.56,0.58,0.6,0.578020833333333,0.0119313643872086,0.02,96,0.3,0.3,0.3,0.3,0,0,96,17.2,47.7,96.2,49.7885416666667,18.5581752153751,14.975,96,1.6,4.3,8.6,4.49479166666667,1.66153827215161,1.275,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7.2,7.3,7.4,7.28333333333333,0.0473879102207273,0,96,32,46,57,44.7395833333333,5.83319861999837,9,96,8,96,70
"owcrrwq",2023-06-10,96,20.2,20.4,21,20.503125,0.222641143878144,0.300000000000001,96,0.57,0.58,0.59,0.578020833333333,0.00554783820707939,0.01,96,0.3,0.3,0.3,0.3,0,0,96,7.9,22.9,63,27.9260416666667,14.3381511308424,22.175,96,0.7,2.1,5.6,2.51041666666667,1.27984202698422,2,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7.2,7.2,7.4,7.2125,0.0390680917050434,0,96,38,46.5,57,46.2916666666667,4.75486823474895,6.25,96,42,96,91
"owcrrwq",2023-06-11,96,20.6,21.1,22,21.2260416666667,0.400590299082864,0.625,96,0.55,0.57,0.58,0.571145833333333,0.00752116895543107,0.01,96,0.3,0.3,0.3,0.3,0,0,96,7.3,20.35,56.3,22.7802083333333,12.5866396986451,12.625,96,0.7,1.8,4.9,2.01458333333333,1.09197832701325,1.1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7.1,7.2,7.4,7.22083333333333,0.0521468910445679,0,96,38,46,66,45.7916666666667,4.60644095214668,5,96,55,96,96
"owcrrwq",2023-06-12,96,17.6,19.9,21.7,19.7041666666667,1.42827954411605,2.925,96,0.55,0.59,0.69,0.6115625,0.0484784949610052,0.0900000000000001,96,0.3,0.3,0.3,0.3,0,0,96,27.1,42.3,60.7,44.1895833333333,9.27081986003358,13.975,96,2.4,3.9,5.8,4.0625,0.959632605137042,1.525,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7.3,7.4,7.5,7.39895833333333,0.0787999354350079,0.2,96,32,50,75,51.1145833333333,9.66477030703365,16.25,96,0,96,72
"owcrrwq",2023-06-13,96,16.7,17.1,17.6,17.0604166666667,0.248142220114814,0.324999999999999,96,0.53,0.54,0.58,0.5415625,0.011455003503411,0.00249999999999995,96,0.3,0.3,0.3,0.3,0,0,96,33.4,46.35,56.1,44.40625,6.70283227645715,11.825,96,3.2,4.5,5.3,4.28333333333333,0.646719115254132,1.1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7.2,7.3,7.4,7.315625,0.0685613440266223,0.100000000000001,96,50,67,82,65.3229166666667,6.99246932013166,11,96,0,96,77
"owcrrwq",2023-06-14,96,16.9,17.25,17.5,17.2354166666667,0.156930535532305,0.299999999999997,96,0.54,0.55,0.62,0.569479166666667,0.0330985702240624,0.07,96,0.3,0.3,0.3,0.3,0,0,96,33.7,39.65,75.1,48.49375,14.4804973198982,22.425,96,3.2,3.8,7.2,4.65833333333333,1.38341048189014,2.125,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7.2,7.2,7.5,7.2875,0.122474487139159,0.2,96,26,50,66,45.28125,11.6904847722636,21,96,0,96,62
"owcrrwq",2023-06-15,96,17.2,17.4,17.7,17.375,0.112390297389803,0.199999999999999,96,0.54,0.57,0.6,0.567395833333333,0.0183098933088769,0.0299999999999999,96,0.3,0.3,0.3,0.3,0,0,96,48.5,59.4,74.9,61.0885416666667,6.59145970243101,8.17499999999999,96,4.7,5.7,7.2,5.85520833333333,0.623550072554287,0.725000000000001,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7.2,7.3,7.5,7.34479166666667,0.090460566188189,0.100000000000001,96,30,36,45,35.875,2.84049662077454,3,96,0,96,5
"owcrrwq",2023-06-16,96,16.9,17.6,18.7,17.5541666666667,0.403645667091081,0.600000000000001,96,0.31,0.4,0.55,0.4215625,0.0663218329535289,0.09,96,0.2,0.2,0.3,0.217708333333333,0.0383743106687045,0,96,26.5,57.2,75,56.159375,11.8652928468751,17.075,96,2.5,5.45,7.3,5.371875,1.17219570173154,1.6,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,6.8,7.1,7.3,7.125,0.147255595908325,0.3,96,38,147,262,138.114583333333,61.2791489894988,91.25,96,0,96,32
