"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"owcwmwq",1995-05-24,48,15.4,15.7,17.6,16.3,0.888460298565816,1.825,48,0.47,0.49,0.81,0.577083333333333,0.119733006760047,0.2,48,0.2,0.2,0.4,0.241666666666667,0.0539240337738166,0.1,48,67.3,94.05,105.5,89.28125,10.6807971702251,17.875,48,6.4,9.35,10.5,8.7625,1.18656037853743,2.125,48,0.32,0.45,0.48,0.428958333333333,0.0510418928204571,0.075,0,NA,NA,NA,NA,NA,NA,48,7.6,8.1,8.2,8.01041666666667,0.188204939602498,0.399999999999999,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"owcwmwq",1995-05-25,96,14.9,16.3,17.3,16.0375,0.777885122082878,1.425,96,0.56,0.77,0.9,0.7203125,0.111520148049815,0.21,96,0.2,0.3,0.4,0.301041666666667,0.0732620267355709,0.2,96,50.5,64.35,72.1,63.4052083333333,5.43800214458963,7.025,96,4.9,6.2,7.2,6.24375,0.581434252064396,0.6,96,0.42,0.43,0.48,0.436979166666667,0.0184173711860164,0.03,0,NA,NA,NA,NA,NA,NA,96,7.4,7.5,7.7,7.5625,0.0798023875121013,0.0999999999999996,0,NA,NA,NA,NA,NA,NA,96,0,96,1
"owcwmwq",1995-05-26,96,14.9,18.05,22.6,18.3885416666667,3.04682301462624,6.125,96,0.76,0.8,0.82,0.798541666666667,0.0157599870870016,0.02,96,0.3,0.3,0.4,0.320833333333333,0.0408248290463863,0,96,48.7,63.05,77.6,62.7604166666667,8.54160688896498,14.175,96,4.9,5.9,6.7,5.85833333333333,0.500666222813829,0.8,96,0.38,0.4,0.42,0.396354166666667,0.0105750243664437,0.0125,0,NA,NA,NA,NA,NA,NA,96,7.4,7.5,7.6,7.51770833333333,0.0435159781100825,0,0,NA,NA,NA,NA,NA,NA,96,0,96,7
"owcwmwq",1995-05-27,96,17,17.8,20.5,18.109375,0.968892816297904,1.325,96,0.5,0.54,0.82,0.605729166666667,0.117506952015316,0.23,96,0.2,0.2,0.4,0.235416666666667,0.0542492622635585,0.1,96,50,89.65,96.3,81.7145833333333,15.4998131001748,33.025,96,4.6,8.55,9.2,7.73541666666667,1.57900562758016,3.3,96,0.39,0.48,0.51,0.460104166666667,0.0431031758914564,0.09,0,NA,NA,NA,NA,NA,NA,96,7.4,8,8.1,7.846875,0.25212909183069,0.5,0,NA,NA,NA,NA,NA,NA,96,0,96,3
"owcwmwq",1995-05-28,96,18.3,19.65,22.5,20.1354166666667,1.54047013785209,3.1,96,0.56,0.74,0.82,0.728541666666667,0.0549828521912762,0.04,96,0.2,0.3,0.4,0.29375,0.0283307532364985,0,96,50.1,73.3,85.5,70.2947916666667,9.74166709813455,17.025,96,4.6,6.6,7.5,6.346875,0.738127520718544,1.2,96,0.27,0.38,0.48,0.373854166666667,0.0697268322839269,0.1325,0,NA,NA,NA,NA,NA,NA,96,7.5,7.6,7.8,7.628125,0.105334679649402,0.2,0,NA,NA,NA,NA,NA,NA,96,0,96,3
"owcwmwq",1995-05-29,96,16.5,19.4,21,19.06875,1.27546173269877,0.624999999999996,96,0.49,0.685,0.8,0.678958333333333,0.0886445197245322,0.1225,96,0.2,0.3,0.3,0.277083333333333,0.0422502984521795,0,96,37.1,61.3,87.4,59.5072916666667,11.6754375082381,16.375,96,3.4,5.6,8.5,5.51041666666667,1.10838708483298,1.525,96,0.21,0.32,0.53,0.359895833333333,0.101291603971345,0.1625,0,NA,NA,NA,NA,NA,NA,96,7.3,7.5,7.9,7.51145833333333,0.147876044582628,0.199999999999999,0,NA,NA,NA,NA,NA,NA,96,0,96,28
"owcwmwq",1995-05-30,96,15,18.25,24.2,18.73125,2.89665187850787,5.5,96,0.5,0.6,0.67,0.595625,0.0428906197572138,0.0600000000000001,96,0.2,0.2,0.3,0.240625,0.0493710441453287,0.1,96,30.1,57.9,87.4,58.8916666666667,13.866792340861,14.375,96,2.9,5.35,8.6,5.49166666666667,1.35768120176057,1.425,96,0.27,0.32,0.35,0.313333333333333,0.0215047934273007,0.03,0,NA,NA,NA,NA,NA,NA,96,7.3,7.4,7.9,7.45729166666667,0.14048396924217,0.0999999999999996,0,NA,NA,NA,NA,NA,NA,96,0,96,36
"owcwmwq",1995-05-31,96,18,21.1,24.7,20.9385416666667,1.83345344502873,2.725,96,0.54,0.7,0.78,0.684375,0.051438517208718,0.0599999999999999,96,0.2,0.3,0.3,0.288541666666667,0.0320190458671962,0,96,31.4,44.95,103.9,52.459375,18.468120915014,21.4,96,2.9,4.1,9.2,4.64895833333333,1.560161583512,1.625,96,0.31,0.32,0.35,0.326354166666667,0.00835020222467591,0.01,0,NA,NA,NA,NA,NA,NA,96,7.3,7.4,8.1,7.44270833333333,0.18223454618859,0.2,0,NA,NA,NA,NA,NA,NA,96,0,96,67
"owcwmwq",1995-06-01,96,16.9,20.9,22.4,20.396875,1.43126393351066,2.025,96,0.54,0.73,0.84,0.707291666666667,0.0793324671926771,0.14,96,0.2,0.3,0.4,0.289583333333333,0.0446722960579342,0,96,24.1,47.45,88.6,51.4010416666667,16.4097499566676,29.275,96,2.1,4.2,8.2,4.66770833333333,1.61058961362253,2.825,96,0.27,0.3,0.34,0.303229166666667,0.0182667250927482,0.03,0,NA,NA,NA,NA,NA,NA,96,7.3,7.4,7.8,7.453125,0.124776115292024,0.199999999999999,0,NA,NA,NA,NA,NA,NA,96,0,96,59
"owcwmwq",1995-06-02,96,17.6,20,23.4,20.4458333333333,1.76019835405389,3.025,96,0.57,0.73,0.81,0.708229166666667,0.0731975667077112,0.1325,96,0.2,0.3,0.3,0.285416666666667,0.0354791760026154,0,96,26.9,63.95,74.7,55.696875,16.7260682335279,33.775,96,2.4,5.5,7,5.0125,1.50635495921708,2.95,96,0.26,0.29,0.32,0.2875,0.0156944509134179,0.02,0,NA,NA,NA,NA,NA,NA,96,7.3,7.55,7.7,7.51041666666667,0.10410436733512,0.199999999999999,0,NA,NA,NA,NA,NA,NA,96,0,96,34
