"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"pdbgdwq",2016-10-28,59,10.4,10.4,10.4,10.4,0,0,59,46.72,46.77,46.88,46.7823728813559,0.0511029718769676,0.0599999999999952,59,30.2,30.2,30.3,30.2372881355932,0.0487721835813377,0.100000000000001,59,66.2,68,68.8,67.7220338983051,0.740472308874818,0.950000000000003,59,6.1,6.3,6.3,6.24406779661017,0.0749049660907831,0.0999999999999996,59,18.08,19.07,20.06,19.104406779661,0.668055002862635,1.255,59,18.09,19.06,20.06,19.1064406779661,0.665511891942416,1.25,34,7.6,7.6,7.7,7.60588235294118,0.0238832573610614,0,59,1,1,3,1.47457627118644,0.536782631258072,1,59,0,59,0
"pdbgdwq",2016-10-29,96,10.4,10.4,10.5,10.4114583333333,0.0320190458671961,0,96,46.64,46.73,46.88,46.7389583333333,0.0597270839854377,0.100000000000001,96,30.1,30.2,30.3,30.228125,0.0474688263356517,0.100000000000001,96,66.4,68.6,69.4,68.4875,0.567774973957669,0.724999999999994,96,6.1,6.3,6.4,6.32291666666667,0.0656612786105476,0.100000000000001,96,17.88,19.28,19.97,19.1747916666667,0.609215162348318,0.780000000000001,96,17.88,19.29,19.96,19.1816666666667,0.613031580995829,0.784999999999997,93,7.6,7.6,7.6,7.6,0,0,96,1,2,2,1.57291666666667,0.497251216116989,1,96,0,96,0
"pdbgdwq",2016-10-30,96,10.4,10.4,10.4,10.4,0,0,96,46.59,46.66,46.82,46.6657291666667,0.0494122250304128,0.0700000000000003,96,30.1,30.2,30.3,30.1697916666667,0.0505127220383064,0.0999999999999979,96,68.1,69,69.6,68.984375,0.344682348043283,0.425000000000011,96,6.3,6.4,6.4,6.375,0.0435285750066009,0.0249999999999995,96,17.75,19.265,19.92,19.1391666666667,0.648975981498085,0.905000000000001,96,17.87,19.32,19.95,19.2144791666667,0.642444131982928,0.91,96,7.6,7.6,7.6,7.6,0,0,96,1,1,3,1.375,0.507833375077008,1,96,0,96,0
"pdbgdwq",2016-10-31,96,10.4,10.4,10.5,10.4197916666667,0.0400520494689929,0,96,46.42,46.625,46.78,46.6303125,0.0681090939905273,0.0799999999999983,96,30,30.1,30.2,30.1354166666667,0.0522729006307358,0.0999999999999979,96,67.6,69.65,72.1,69.559375,0.812089977514159,1.2,96,6.2,6.4,6.7,6.42395833333333,0.083027949215172,0.0999999999999996,96,17.67,19.34,20.03,19.1866666666667,0.700369326129048,1.0025,96,17.71,19.43,20.13,19.2565625,0.706994868030209,0.964999999999996,96,7.6,7.6,7.7,7.60208333333333,0.0143575886163797,0,96,1,1,3,1.5,0.542896714030637,1,96,0,96,0
"pdbgdwq",2016-11-01,96,10.4,10.4,10.5,10.425,0.0435285750066005,0.0250000000000004,96,46.53,46.72,46.8,46.6926041666667,0.0795546127104438,0.132500000000007,96,30.1,30.2,30.3,30.184375,0.0603988933324892,0.0999999999999979,96,65.9,68.35,70.2,68.2520833333333,1.18445894080637,2.175,96,6.1,6.3,6.5,6.28854166666667,0.110377144532225,0.2,96,17.72,19.46,20.14,19.2364583333333,0.734103074888945,1.06,96,17.71,19.47,20.16,19.2422916666667,0.736503087736646,1.045,96,7.6,7.6,7.6,7.6,0,0,96,1,2,4,1.77083333333333,0.687928494856179,1,96,0,96,0
"pdbgdwq",2016-11-02,96,10.4,10.4,10.5,10.4010416666667,0.0102062072615965,0,96,46.41,46.61,46.73,46.6142708333333,0.0714473643824104,0.129999999999995,96,30,30.1,30.2,30.1322916666667,0.0552407013688205,0.0999999999999979,96,68.6,69.7,74.1,70.09375,1.29694479044934,1.22500000000001,96,6.3,6.4,6.8,6.475,0.126491106406735,0.0999999999999996,96,17.73,19.61,20.3,19.3611458333333,0.753749741788091,1.06,96,17.72,19.6,20.29,19.3421875,0.766507050985525,1.0775,96,7.6,7.6,7.6,7.6,0,0,96,1,2,5,2.32291666666667,0.814277744761599,1,96,0,96,0
"pdbgdwq",2016-11-03,96,10.4,10.4,10.4,10.4,0,0,96,46.23,46.5,46.59,46.4821875,0.0677332713858678,0.0700000000000003,96,29.9,30,30.1,30.0333333333333,0.0609860495983642,0.100000000000001,96,71.9,74,76.2,74.0083333333333,1.27135788713996,2.22500000000001,96,6.6,6.8,7,6.83645833333333,0.112502436620786,0.2,96,17.81,19.6,20.33,19.305,0.773744143758129,1.06,96,17.73,19.495,20.22,19.2153125,0.763829621571116,1.065,96,7.6,7.6,7.6,7.6,0,0,96,1,2,5,2.20833333333333,0.752772652709081,1,96,0,96,0
"pdbgdwq",2016-11-04,96,10.4,10.4,10.5,10.4083333333333,0.0277836251155496,0,96,46.36,46.42,46.5,46.4253125,0.0402087480662187,0.0700000000000003,96,29.9,30,30,29.9958333333333,0.0200875277704808,0,96,71.5,74.9,76.4,74.8791666666667,0.780676719488212,0.799999999999997,96,6.6,6.9,7.1,6.91458333333333,0.0753646108024417,0.0999999999999996,96,17.69,19.56,20.31,19.2611458333333,0.788074094555056,1.04,96,17.64,19.555,20.28,19.2442708333333,0.792096146199791,1.01,96,7.6,7.6,7.6,7.6,0,0,96,1,2,7,2.07291666666667,0.836594496083493,0,96,0,96,0
"pdbgdwq",2016-11-05,96,10.4,10.4,10.5,10.4072916666667,0.0261364503153683,0,96,46.12,46.425,46.53,46.3917708333333,0.10804477426333,0.149999999999999,96,29.8,30,30.1,29.96875,0.0837445991974225,0.100000000000001,96,68.9,71.4,79,72.2708333333333,2.62024171912949,3.72500000000001,96,6.4,6.6,7.3,6.68541666666667,0.243214943562129,0.4,96,17.75,19.505,20.34,19.2523958333333,0.773875747937364,1.0675,96,17.77,19.545,20.37,19.28125,0.779949053666834,1.09,96,7.6,7.6,7.7,7.60520833333333,0.0223361480289672,0,96,1,2,10,2.39583333333333,1.61231554092515,1,96,0,96,0
"pdbgdwq",2016-11-06,96,10.4,10.4,10.4,10.4,0,0,96,46.33,46.425,46.54,46.4303125,0.0599553013326993,0.092499999999994,96,29.9,30,30.1,29.9989583333333,0.0571144587955525,0,96,69.6,72.1,73.3,71.865625,0.991524941958757,1.89999999999999,96,6.4,6.7,6.8,6.64375,0.101372164766634,0.125000000000001,96,17.81,19.385,20.36,19.2261458333333,0.760721776087707,1.0525,96,17.83,19.355,20.33,19.2076041666667,0.746701863695019,1.06,96,7.6,7.6,7.6,7.6,0,0,96,1,2,5,1.875,0.668856054059939,0.25,96,0,96,0
"pdbgdwq",2016-11-07,96,10.4,10.4,10.4,10.4,0,0,96,46.3,46.5,46.61,46.5002083333333,0.0745227505589885,0.119999999999997,96,29.9,30,30.1,30.0416666666667,0.0574303544655192,0.100000000000001,96,68.4,69.9,73.8,70.1052083333333,1.03429302492258,1.10000000000001,96,6.3,6.5,6.8,6.46979166666667,0.103740355713236,0.0999999999999996,96,18.02,19.25,20.44,19.2584375,0.735971006472688,1.1275,96,17.99,19.2,20.38,19.21,0.728697468089467,1.1275,96,7.6,7.6,7.6,7.6,0,0,96,1,2,4,1.94791666666667,0.701423990204988,0,96,0,96,0
"pdbgdwq",2016-11-08,96,10.4,10.4,10.4,10.4,0,0,96,46.3,46.53,46.64,46.5245833333333,0.0670257871296628,0.0799999999999983,96,29.9,30.1,30.1,30.0541666666667,0.0560388336530398,0.100000000000001,96,68.5,70.05,73.4,69.9791666666667,0.953433315821982,1.25000000000001,96,6.3,6.5,6.8,6.46666666666667,0.0878595370213957,0.0999999999999996,96,18.18,19.165,20.36,19.2128125,0.660954179676306,1.0025,96,18.15,19.135,20.33,19.1827083333333,0.661280224328324,1.015,96,7.6,7.6,7.6,7.6,0,0,96,1,2,4,1.8125,0.637635434530125,1,96,0,96,0
"pdbgdwq",2016-11-09,96,10.4,10.4,10.4,10.4,0,0,96,46.49,46.54,46.66,46.5494791666667,0.041608951255245,0.0499999999999972,96,30,30.1,30.2,30.1,0.0355409326655454,0,96,68.5,70.4,71.2,70.1739583333333,0.658586171745228,0.924999999999983,96,6.3,6.5,6.6,6.478125,0.0565743572189452,0.0999999999999996,96,18.31,19.005,20.26,19.1451041666667,0.602339290279188,0.872499999999999,96,18.27,18.94,20.17,19.0752083333333,0.590311209923548,0.872499999999999,96,7.6,7.6,7.6,7.6,0,0,96,1,2,3,1.55208333333333,0.5205218366756,1,96,0,96,0
"pdbgdwq",2016-11-10,96,10.4,10.5,10.5,10.4833333333333,0.0374634324632676,0,96,46.44,46.47,46.56,46.4759375,0.0284541413136067,0.032500000000006,96,30,30,30.1,30.0104166666667,0.0307080194109027,0,96,70.4,70.9,71.7,70.95625,0.307729375297602,0.5,96,6.5,6.5,6.6,6.546875,0.0501642040544952,0.0999999999999996,96,18.4,19.08,20.25,19.1354166666667,0.577832459175835,0.889999999999997,96,18.37,19.03,20.22,19.0917708333333,0.578593566634539,0.892500000000002,96,7.6,7.6,7.6,7.6,0,0,96,1,2,3,1.625,0.584897651865602,1,96,0,96,0
