"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"pdbnnwq",1996-08-16,24,16.2,18.55,18.9,18.0166666666667,0.959921494374576,1.3,24,38.88,39.19,39.47,39.1729166666667,0.177481883133405,0.260000000000005,24,24.8,25,25.2,25.0083333333333,0.1282547284209,0.200000000000003,24,48.4,97.45,166.7,101.620833333333,35.3531251821522,55.75,24,4.1,8,13.4,8.24166666666667,2.78706900222948,4.3,24,0.11,0.11,0.14,0.115416666666667,0.00832970935693524,0.01,24,7.9,8.2,8.4,8.1875,0.165009881127056,0.225000000000001,24,3,4,20,5,3.38795821543968,1,24,0,24,2
"pdbnnwq",1996-08-17,48,14,17.6,21.9,17.7125,2.64652522086619,5.125,48,38.33,39.06,39.95,39.0629166666667,0.363651448349274,0.417499999999997,48,24.4,24.9,25.6,24.9208333333333,0.262523217480497,0.300000000000001,48,26,84.5,242.1,98.1333333333333,64.2626437044612,106.55,48,2.3,7.05,18.4,7.82291666666667,4.80714183155152,8.225,48,0.12,0.14,0.16,0.140833333333333,0.0123483711275433,0.02,48,7.6,8.15,8.7,8.08541666666667,0.357288597416671,0.7,48,3,4,8,4.41666666666667,1.1076779110418,1,48,0,48,18
"pdbnnwq",1996-08-18,48,15.3,17.7,20.8,17.79375,1.66124872924723,3.025,48,38.73,39.07,39.35,39.0658333333333,0.169402370469151,0.227499999999999,48,24.7,24.9,25.1,24.925,0.122908026502436,0.100000000000001,48,22.6,74.55,224.4,88.1833333333333,55.7334436186089,95.25,48,1.9,6.25,17.4,7.09375,4.30503941465141,7.325,48,0.15,0.17,0.19,0.170416666666667,0.0116615997102207,0.02,48,7.7,8.1,8.6,8.09583333333333,0.290969277703636,0.600000000000001,48,2,4,9,3.83333333333333,1.31008093518591,1,48,1,48,21
"pdbnnwq",1996-08-19,48,15.5,17.6,20.5,17.9291666666667,1.68358259512562,3.275,48,38.91,39.195,39.7,39.2622916666667,0.243993717946104,0.424999999999997,48,24.8,25,25.4,25.0729166666667,0.175934687268876,0.300000000000001,48,22.3,65.1,188.4,88.2854166666667,53.6437499664313,92.25,48,1.9,5.4,14.6,7.08125,4.11094316713382,7.375,48,0.14,0.15,0.17,0.153125,0.00748224849581939,0.01,48,7.8,8.1,8.6,8.14791666666667,0.287312998079182,0.5,48,2,4,8,3.79166666666667,0.898185720579259,1,48,1,48,21
"pdbnnwq",1996-08-20,48,16.8,19.5,22.7,19.4854166666667,1.96479543446405,3.55,48,39.21,39.445,39.95,39.5377083333333,0.213015228536958,0.375,48,25,25.2,25.5,25.2645833333333,0.148021826069359,0.299999999999997,48,27.2,64.75,170.4,86.0395833333333,46.032572831907,81.7,48,2.3,5.25,12.7,6.69375,3.38264697122163,6.125,48,0.17,0.21,0.24,0.20125,0.0225619713941732,0.04,48,7.9,8.15,8.5,8.14791666666667,0.194596782608085,0.325000000000001,48,2,4,5,3.66666666666667,0.753243577154709,1,48,0,48,23
"pdbnnwq",1996-08-21,48,16.8,19.1,22.3,19.4708333333333,1.8061312048348,3.15,48,39.2,39.65,39.98,39.6279166666667,0.172835653499408,0.2425,48,25,25.3,25.6,25.3145833333333,0.130448625794338,0.0999999999999979,48,27.4,76,228.7,100.114583333333,70.6357271712707,131.95,48,2.3,6.1,17.2,7.75,5.2500455925072,9.925,48,0.14,0.18,0.24,0.183541666666667,0.0268557679000908,0.02,48,7.9,8.15,8.7,8.25,0.260114541054677,0.5,48,2,4,8,3.85416666666667,1.25460145970545,1,48,0,48,20
"pdbnnwq",1996-08-22,48,16.7,19.45,24.4,20.03125,2.67900872823465,5.25,48,39.07,39.565,39.94,39.5185416666667,0.272146624930373,0.5075,48,24.9,25.25,25.6,25.24375,0.194505647240667,0.299999999999997,48,21.1,63.45,226.2,93.5020833333333,75.3511057948292,132.6,48,1.8,4.85,16.4,7.08125,5.44924965554989,9.675,48,0.09,0.105,0.19,0.120833333333333,0.0342601644077816,0.0225,48,7.8,8.2,8.8,8.23541666666667,0.318566993076832,0.550000000000001,48,2,4,6,3.75,0.956500714595278,1,48,6,48,24
"pdbnnwq",1996-08-23,48,16.5,20.4,24.8,20.59375,2.72641969654383,5.15,48,38.65,39.43,40.43,39.435625,0.42389233001649,0.719999999999999,48,24.6,25.1,25.9,25.1666666666667,0.304108976361347,0.5,48,17.2,53.5,201.2,83.9833333333333,67.4050422172708,134.975,48,1.4,4.1,14.6,6.29791666666667,4.8519129626533,9.9,48,0.05,0.065,0.13,0.0804166666666667,0.0283562693982195,0.03,48,7.6,8.15,8.6,8.15625,0.347579012906082,0.6,48,2,3,10,3.77083333333333,1.34068231808068,1,48,16,48,25
"pdbnnwq",1996-08-24,48,16.5,21,24.7,20.975,2.49770107064434,4.875,48,38.19,39.27,40,39.2610416666667,0.455422364560463,0.670000000000002,48,24.3,25,25.6,25.05,0.3235442026429,0.5,48,14.9,54.25,204.3,79.1041666666667,66.1000594145719,115.225,48,1.2,4.2,14.7,5.90416666666667,4.77689288908165,8.325,48,0.02,0.04,0.1,0.0510416666666667,0.0286757057330902,0.045,48,7.7,8.1,8.7,8.14583333333333,0.326788586309014,0.525,48,2,3,5,3.4375,0.649263084728748,1,48,18,48,26
"pdbnnwq",1996-08-25,48,17.8,21.4,23.6,20.9979166666667,1.80419010926083,3.425,48,38.22,39.435,39.89,39.3358333333333,0.42417797014297,0.762500000000003,48,24.3,25.15,25.5,25.10625,0.29492606357988,0.525000000000002,48,15.7,52.65,202,80.8583333333333,67.0436181719681,123.35,48,1.2,3.95,15,6.09375,4.94339904811823,9.175,48,-0.02,0,0.06,0.0108333333333333,0.0335700812422301,0.08,48,7.6,8,8.7,8.13541666666667,0.333574823870998,0.5,48,2,3,5,3.27083333333333,0.843992117875197,1,48,15,48,26
