"station","date","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totpar_nValid","totpar_total","totprcp_nValid","totprcp_total"
"pdbpfmet",2001-01-01,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"pdbpfmet",2001-01-02,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"pdbpfmet",2001-01-03,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"pdbpfmet",2001-01-04,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"pdbpfmet",2001-01-05,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"pdbpfmet",2001-01-06,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"pdbpfmet",2001-01-07,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"pdbpfmet",2001-01-08,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"pdbpfmet",2001-01-09,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"pdbpfmet",2001-01-10,44,5.8,6.7,11.2,7.52272727272727,1.6343498296725,2.4,44,55,76,84,74.7954545454545,7.20652012740706,6.25,0,NA,NA,NA,NA,NA,NA,44,0.2,2.3,4.7,2.42045454545455,0.991024732860714,1.275,0,NA,NA,NA,NA,NA,NA,44,109,149,253,152.75,31.8653599193654,35.25,44,4419.3,0,NA
"pdbpfmet",2001-01-11,96,4.7,6.7,8.1,6.64375,0.555889519504314,0.600000000000001,96,67,75.5,90,77.3229166666667,6.88781501014909,12.5,0,NA,NA,NA,NA,NA,NA,96,0.9,4.3,6.8,4.18333333333333,1.25996379786477,1.575,0,NA,NA,NA,NA,NA,NA,96,0,153,355,169.40625,113.803670103153,53.5,96,6106.5,0,NA
"pdbpfmet",2001-01-12,96,2,4.85,7.6,4.63645833333333,1.55028824427939,2.825,96,71,92,97,90.1979166666667,5.98000139353384,8.25,0,NA,NA,NA,NA,NA,NA,96,0.2,0.8,2.3,0.814583333333333,0.57123673158225,1.1,0,NA,NA,NA,NA,NA,NA,96,0,141.5,355,155.177083333333,90.3194325178744,91.25,96,8665.9,0,NA
"pdbpfmet",2001-01-13,96,2.9,4.9,5.8,4.69166666666667,0.767040336092557,0.850000000000001,96,83,90,99,91.2708333333333,4.58941382948254,7.25,0,NA,NA,NA,NA,NA,NA,96,0.2,1.95,5.2,1.90833333333333,1.40792244603,2.425,0,NA,NA,NA,NA,NA,NA,96,84,161.5,251,167.53125,37.9977708833724,53,96,5304.2,0,NA
"pdbpfmet",2001-01-14,96,2,3.7,5.7,3.94583333333333,0.897941114780939,1.025,96,83,97.5,99,95.3854166666667,4.49413604288186,2.25,0,NA,NA,NA,NA,NA,NA,96,0.2,0.9,2.8,1.059375,0.701663905899474,0.85,0,NA,NA,NA,NA,NA,NA,96,29,129.5,354,140.145833333333,75.5599419306381,66.5,96,3567.6,0,NA
"pdbpfmet",2001-01-15,96,-2,-0.05,5.5,0.592708333333333,1.99774845851743,2.625,96,75,98.5,99,96.6875,4.8129485436903,1.25,0,NA,NA,NA,NA,NA,NA,96,0.2,0.8,2,0.78125,0.5171404166436,0.9,0,NA,NA,NA,NA,NA,NA,96,0,160,339,156.104166666667,84.0207341787122,136.5,96,11410.5,0,NA
"pdbpfmet",2001-01-16,96,-3.4,-1.1,2.8,-0.979166666666667,1.53903022552766,1.5,96,97,99,100,98.6354166666667,0.600347121810929,1,0,NA,NA,NA,NA,NA,NA,96,0.2,1,2.5,0.973958333333333,0.658426320326159,1.2,0,NA,NA,NA,NA,NA,NA,96,0,163.5,353,163.458333333333,50.4858326488295,50.5,96,10679.1,0,NA
"pdbpfmet",2001-01-17,96,-1.7,1.3,4.4,1.22708333333333,2.24046419845562,4.6,96,78,99,100,94.5833333333333,5.53584808634483,10,0,NA,NA,NA,NA,NA,NA,96,0.2,0.9,4.4,1.27291666666667,1.05406273324411,1.3,0,NA,NA,NA,NA,NA,NA,96,1,113.5,354,124.635416666667,64.9194026291008,79,96,6090.1,0,NA
"pdbpfmet",2001-01-18,96,3.6,5.4,9.8,5.85,1.89647873147773,3.5,96,72,94,98,91.2916666666667,7.07987015442436,6,0,NA,NA,NA,NA,NA,NA,96,0.2,1.5,9.1,2.41770833333333,2.23154394471473,2.75,0,NA,NA,NA,NA,NA,NA,96,2,152,354,147,85.7576757344112,96.25,96,2001.7,0,NA
"pdbpfmet",2001-01-19,96,5.7,7.4,9.7,7.60625,0.978055266977873,1.125,96,74,83,96,84.3229166666667,6.28698704789113,11,0,NA,NA,NA,NA,NA,NA,96,1.7,3.7,7.7,3.87916666666667,1.3182857023356,1.75,0,NA,NA,NA,NA,NA,NA,96,122,164,202,161.677083333333,16.8607265821255,21,96,9476.5,0,NA
"pdbpfmet",2001-01-20,96,3.7,6.8,10.9,6.84270833333333,1.78801535326428,3.2,96,52,69.5,84,68.8645833333333,8.46742338447357,12.25,0,NA,NA,NA,NA,NA,NA,96,0.2,4.1,11,4.33854166666667,2.29788780779066,3.025,0,NA,NA,NA,NA,NA,NA,96,68,144,260,143.791666666667,32.4854353329601,44,96,3456.5,0,NA
"pdbpfmet",2001-01-21,96,4.7,5.3,7.1,5.46875,0.551612468848805,0.7,96,69,92.5,98,90.625,7.07887888834026,5,0,NA,NA,NA,NA,NA,NA,96,0.2,1.7,5.9,2.059375,1.45996237334356,2.4,0,NA,NA,NA,NA,NA,NA,96,0,89.5,351,109.8125,78.3084740322729,84.25,96,2944.5,0,NA
"pdbpfmet",2001-01-22,96,0,5.15,8.5,5.109375,2.17546501381102,3.85,96,56,89.5,99,84.1875,14.3866257336458,22.5,0,NA,NA,NA,NA,NA,NA,96,0.2,2,8.1,2.71770833333333,2.07344081136781,2.6,0,NA,NA,NA,NA,NA,NA,96,0,135.5,355,181.979166666667,130.064354853698,256,96,14135.9,0,NA
"pdbpfmet",2001-01-23,96,-0.2,5.8,11,5.40416666666667,2.6603093079631,4.025,96,47,69,92,70.6979166666667,14.4492722757323,27.5,0,NA,NA,NA,NA,NA,NA,96,0.2,1.5,7.6,2.109375,1.77485822265507,1.925,0,NA,NA,NA,NA,NA,NA,96,0,146,354,161.427083333333,98.784800108398,131.25,96,11976.2,0,NA
"pdbpfmet",2001-01-24,96,1.9,5.4,6.9,4.88020833333333,1.39733730183078,2.125,96,84,92,96,91.6041666666667,2.97879935780091,4,0,NA,NA,NA,NA,NA,NA,96,0.2,1.45,4.7,1.74583333333333,1.30738120455936,2.2,0,NA,NA,NA,NA,NA,NA,96,2,155,350,154.583333333333,65.8412231559125,50,96,2804.6,0,NA
"pdbpfmet",2001-01-25,96,0.4,5.5,9,5.49583333333333,1.85369711184329,2.575,96,70,85,94,83.8020833333333,5.11472547324553,5.5,0,NA,NA,NA,NA,NA,NA,96,0.2,2.6,5.8,2.66770833333333,1.17109888041928,1.35,0,NA,NA,NA,NA,NA,NA,96,0,81,355,97.0729166666667,90.7446672107677,91.25,96,14011.3,0,NA
"pdbpfmet",2001-01-26,96,-1.5,2.7,6.6,2.89375,2.51307371035635,4.6,96,65,89,98,88.4895833333333,6.90841560275226,12,0,NA,NA,NA,NA,NA,NA,96,0.2,1.5,4.6,2.00520833333333,1.2034485353321,1.825,0,NA,NA,NA,NA,NA,NA,96,0,48,355,120.25,139.472238324184,315.25,96,15058.5,0,NA
"pdbpfmet",2001-01-27,96,-1.5,0.4,5.9,1.446875,2.43988580945049,4.8,96,66,93,98,89.9479166666667,8.41723769124273,12.25,0,NA,NA,NA,NA,NA,NA,96,0.2,0.9,4.6,1.09166666666667,0.932079358115263,1.1,0,NA,NA,NA,NA,NA,NA,96,0,191.5,354,191.03125,112.718788713095,227.75,96,14097.4,0,NA
"pdbpfmet",2001-01-28,96,-1.4,3.85,8.6,3.165625,3.28921133164327,6.85,96,45,81,98,78.5416666666667,17.5168590471349,34.75,0,NA,NA,NA,NA,NA,NA,96,0.2,1.5,10.9,2.96458333333333,2.8777542108814,3.525,0,NA,NA,NA,NA,NA,NA,96,4,160,354,171.114583333333,69.147572137105,70,96,4117.6,0,NA
"pdbpfmet",2001-01-29,96,4,6,8.2,5.859375,1.24837394237464,1.75,96,54,75,96,77.0729166666667,10.2733634031915,13.25,0,NA,NA,NA,NA,NA,NA,96,1.3,5.8,12.1,6.00625,2.21895245555194,2.825,0,NA,NA,NA,NA,NA,NA,96,132,247,291,226.4375,47.6674472393455,87.25,96,9609.3,0,NA
"pdbpfmet",2001-01-30,96,4.4,6,6.6,5.65520833333333,0.686082669817976,1.1,96,81,90,97,89.34375,4.32818942332825,7,0,NA,NA,NA,NA,NA,NA,96,1.7,4.4,9.2,4.43958333333333,1.31801119447899,1.5,0,NA,NA,NA,NA,NA,NA,96,87,158,185,156.895833333333,13.7714266865295,15.25,96,2784.8,0,NA
