"station","year","month","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totprcp_nValid","totprcp_total","dailyPAR_nValid","dailyPAR_min","dailyPAR_median","dailyPAR_max","dailyPAR_mean","dailyPAR_sd","dailyPAR_iqr"
"gtmpcmet",2002,9,535,,,,,,,535,,,,,,,0,,,,,,,535,,,,,,,0,,,,,,,535,,,,,,,535,,0,,,,,,
"gtmpcmet",2002,10,2976,14.4,24.5,30.7,24.0331653225806,3.4647379316982,4.8,2976,42,84,100,84.1179435483871,11.3566713346473,19,1972,1004,1017,1023,1015.91379310345,3.6578241812638,3,2976,0,1.7,8.5,2.13084677419355,1.52141776715938,2.2,0,,,,,,,2976,0,178,355,170.107190860215,108.336715698983,195,2976,104.1,0,,,,,,
"gtmpcmet",2002,11,2880,2.5,17.4,30.5,16.8881944444444,5.88684307294183,8.2,2880,38,82,100,79.2857638888889,14.0130666001388,22,2880,1006,1020,1029,1018.80972222222,4.49930440294695,6,2880,0,1.7,7.9,1.9771875,1.36322350783731,1.7,0,,,,,,,2880,0,249,355,218.117361111111,100.27057235513,125.25,2880,33.1,0,,,,,,
"gtmpcmet",2002,12,2976,2.3,14.1,23.9,13.2428091397849,5.25044267411314,8.7,2976,28,88,100,82.9727822580645,16.0080315489308,21,2976,1005,1021,1030,1020.08266129032,4.71335186705981,6,2976,0,1.7,9.3,2.05288978494624,1.46119269205356,1.8,0,,,,,,,2976,0,245,355,206.499327956989,109.82418646328,152,2976,214.5,0,,,,,,
"gtmpcmet",2003,1,2976,-5.1,10.1,23.6,9.8758064516129,5.71113192991072,7.5,2976,19,76,100,74.1263440860215,18.893371694622,29,2976,1009,1022,1033,1021.43514784946,5.21869565902195,7,2976,0,1.8,11,2.26071908602151,1.6720699254764,2.2,0,,,,,,,2976,0,248,355,221.612231182796,100.668786338094,94.25,2976,14,31,6757.5,27994.4,43423.8,27373.835483871,7823.58593078427,4319.9
"gtmpcmet",2003,2,2688,2.1,14.8,28.3,14.4662202380952,4.98547920484877,7.225,2688,32,88,100,83.1476934523809,16.2223612332458,24,2688,1002,1019,1027,1018.24255952381,4.93258803347998,7,2688,0,1.8,8,2.10565476190476,1.47624460022534,2.1,0,,,,,,,2688,0,212,355,185.626488095238,110.955901737017,195,2688,117.4,28,7813,32580.35,42041.7,29709.3714285714,10207.3970944045,18238.425
"gtmpcmet",2003,3,2976,5.2,18.6,32.3,18.7801411290323,4.18251969976227,5.3,2976,27,93,100,87.4583333333333,14.8596439933076,15,2976,1001,1014,1030,1014.42137096774,4.41081942525066,5,2976,0,1.9,12.4,2.31327284946237,1.76052758731473,2.2,0,,,,,,,2976,0,175,355,169.041666666667,109.835395304176,197,2976,159.5,31,6911.7,31543.2,49871.7,28693.2967741935,12760.6126127623,22393.8
"gtmpcmet",2003,4,2880,4.8,20.8,29.1,20.0875694444444,4.38862620185417,5.1,2880,26,82,99,79.3284722222222,14.9426745895595,21,2880,1004,1017,1033,1016.79270833333,5.43499418751664,6,2880,0,2.2,10.9,2.41503472222222,1.55714791211056,2.4,0,,,,,,,2880,0,155,355,160.759375,92.1374907936593,165,2880,72.1,30,22873.9,43514.1,50287.6,42497.44,7347.80083339977,8478.47500000001
"gtmpcmet",2003,5,2976,16.8,24.9,34.3,24.9665322580645,3.13143705367742,4.1,2976,28,82,99,78.614247311828,15.4210938795428,20,2976,1008,1016,1021,1015.69220430108,2.60613749676193,4,2976,0,1.9,9.3,2.34075940860215,1.63229239057064,2.3,0,,,,,,,2976,0,185,355,181.667002688172,78.3745178097056,118,2976,26.4,31,22485.4,42197.1,53497.3,42194.1483870968,7919.52541153281,9953.2
"gtmpcmet",2003,6,2880,18.6,24.9,32,25.2051736111111,2.64989352831876,4.3,2880,53,90,99,87.0822916666667,10.2044316914873,16,2880,1010,1016,1024,1016.00451388889,2.74269634303459,3,2880,0,1.5,12.1,1.92357638888889,1.47490401112295,2,0,,,,,,,2880,0,177,355,176.288541666667,66.8444696795233,97,2880,103.5,30,10219.8,36364.5,55548.9,37380.24,11910.1632631214,20957.675
