"station","year","month","po4f","nh4f","no2f","no3f","no23f","chla_n","po4f_cens","nh4f_cens","no2f_cens","no3f_cens","no23f_cens","chla_n_cens"
"gtmfmnut",2002,5,0.0125,0.039,0.00155,0.00075,0.0023,5.25,0,0,0,0,0,0
"gtmfmnut",2002,6,0.0085,0.017,0.0014,,0.0032,2,0,0,1,,0,0
"gtmfmnut",2002,7,0.012,0.033,0.0018,0.0014,0.0032,8.35,0,0,0,0,0,0
"gtmfmnut",2002,8,0.0145,0.0425,0.0042,0.0041,0.0083,6.7,0,0,0,0,0,0
"gtmfmnut",2002,9,0.0205,0.038,0.00995,0.0104,0.02035,3.35,0,0,0,0,0,0
"gtmfmnut",2002,10,0.006,0.0365,0.0074,0.003,0.0104,7.3,0,0,0,0,0,0
"gtmfmnut",2002,11,0.016,0.0695,0.005,0.0151,0.0201,2.3,0,0,0,0,0,0
"gtmfmnut",2002,12,0.0065,0.0565,0.00215,0.00095,0.0031,1.4,0,0,0,0,0,0
"gtmfmnut",2003,1,0.0065,0.0205,0.0014,,0.0014,0.25,0,0,1,,1,0
"gtmfmnut",2003,2,0.0095,0.023,0.0023,0.00335,0.00565,1.2,0,0,0,0,0,0
"gtmfmnut",2003,3,0.0135,0.011,0.0014,,0.0014,1.5,0,1,1,,1,0
"gtmfmnut",2003,4,0.002,0.0235,0.0014,,0.0045,5.05,1,0,1,,0,0
"gtmfmnut",2003,5,0.0255,0.0625,0.0034,0.00755,0.01095,3.15,0,0,0,0,0,0
"gtmfmnut",2003,6,0.0055,0.0895,0.00225,0.0313,0.03355,3.45,0,0,0,0,0,0
"gtmfmnut",2003,7,0.018,0.0955,0.00195,0.013,0.01495,2.5,0,0,0,0,0,0
"gtmfmnut",2003,8,0.0325,0.1945,0.00675,0.02595,0.0327,2.4,0,0,0,0,0,0
"gtmfmnut",2003,9,0.011,0.093,0.00315,0.00685,0.01,3.85,0,0,0,0,0,0
"gtmfmnut",2003,10,0.021,0.0855,0.00205,0.00795,0.01,2.85,0,0,0,0,0,0
"gtmfmnut",2003,11,0.014,0.0575,0.00215,0.0088,0.01095,2.85,0,0,0,0,0,0
"gtmfmnut",2003,12,0.0105,0.0435,0.0014,,0.0017,1.25,0,0,1,,0,0
"gtmfmnut",2004,1,0.0165,0.0515,0.00175,0.0045,0.00625,1.05,0,0,0,0,0,0
"gtmfmnut",2004,2,0.0105,0.104,0.0014,,0.0014,1.1,0,0,1,,1,0
"gtmfmnut",2004,3,0.0135,0.0455,0.00165,0.017,0.01865,1.5,0,0,0,0,0,0
"gtmfmnut",2004,4,0.0165,0.142,0.00325,0.02145,0.0247,2.95,0,0,0,0,0,0
"gtmfmnut",2004,5,0.014,0.1135,0.00265,0.0186,0.02125,3.95,0,0,0,0,0,0
"gtmfmnut",2004,6,0.0115,0.0405,0.0014,,0.01055,4.4,0,0,1,,0,0
"gtmfmnut",2004,7,0.0075,0.032,0.00355,0.00765,0.0112,3.45,0,0,0,0,0,0
"gtmfmnut",2004,8,0.028,0.1245,0.00765,0.03175,0.0394,2.8,0,0,0,0,0,0
"gtmfmnut",2004,9,0.0405,0.287,0.0153,0.0277,0.043,3.1,0,0,0,0,0,0
"gtmfmnut",2004,10,0.01,0.062,0.0097,0.03045,0.04015,2.9,0,0,0,0,0,0
"gtmfmnut",2004,11,0.012,0.037,0.0075,0.0161,0.0236,2.5,0,0,0,0,0,0
"gtmfmnut",2004,12,0.003,0.07,0.0043,0.00985,0.01415,2,0,0,0,0,0,0
"gtmfmnut",2005,1,0.0035,0.0475,0.0039,0.0085,0.0124,,0,0,0,0,0,
"gtmfmnut",2005,2,0.002,0.008,0.0014,,0.0014,0.75,1,1,1,,0,0
"gtmfmnut",2005,3,0.008,0.0395,0.0014,,0.00455,0.5,0,0,1,,0,0
"gtmfmnut",2005,4,0.005,0.062,0.00285,0.01355,0.0164,3.5,0,0,0,0,0,0
"gtmfmnut",2005,5,0.0135,0.055,0.0023,0.00435,0.00665,2.45,0,0,0,0,0,0
"gtmfmnut",2005,6,0.0305,0.121,0.00585,0.02315,0.029,3.85,0,0,0,0,0,0
"gtmfmnut",2005,7,0.0295,0.091,0.00395,0.0097,0.01365,3.9,0,0,0,0,0,0
"gtmfmnut",2005,8,0.0265,0.056,0.0025,0.01585,0.01835,2.7,0,0,0,0,0,0
"gtmfmnut",2005,9,0.0195,0.0205,0.00535,0.0055,0.01085,2.7,0,0,0,0,0,0
"gtmfmnut",2005,10,0.023,0.041,0.00405,0.0067,0.01075,1.9,0,0,0,0,0,0
"gtmfmnut",2005,11,0.0175,0.0175,0.0018,0.0035,0.0053,2.1,0,0,0,0,0,0
"gtmfmnut",2005,12,0.0175,0.0415,0.00265,0.00995,0.0126,0.8,0,0,0,0,0,0
"gtmfmnut",2006,1,0.0085,0.064,0.0041,0.0014,0.0055,0.8,0,0,0,0,0,0
"gtmfmnut",2006,2,0.0155,0.049,0.0029,0.0097,0.0126,0.9,0,0,0,0,0,0
"gtmfmnut",2006,3,0.0145,0.0255,0.0014,,0.00845,1.2,0,0,1,,0,0
"gtmfmnut",2006,4,0.002,0.0235,0.0024,0.00315,0.00555,2.9,1,0,0,0,0,0
"gtmfmnut",2006,5,0.0185,0.0705,0.00265,0.01035,0.013,2.25,0,0,0,0,0,0
"gtmfmnut",2006,6,0.021,0.073,0.00185,0.0159,0.01775,1.45,0,0,0,0,0,0
"gtmfmnut",2006,7,0.016,0.0385,0.00245,0.0105,0.01295,2.1,0,0,0,0,0,0
"gtmfmnut",2006,8,0.011,0.032,0.0014,,0.00545,4.9,0,0,1,,0,0
"gtmfmnut",2006,9,0.0115,0.033,0.00165,0.001,0.00345,7.3,0,0,1,0,0,0
"gtmfmnut",2006,10,0.0155,0.041,0.0032,0.01405,0.01725,4.7,0,0,0,0,0,0
"gtmfmnut",2006,11,0.016,0.0345,0.00345,0.00675,0.0102,3.9,0,0,0,0,0,0
"gtmfmnut",2006,12,0.0165,0.0265,0.0027,0.00265,0.00535,1.9,0,0,0,0,0,0
"gtmfmnut",2007,1,0.015,0.035,0.0043,,0.01245,1.55,0,0,1,,0,0
"gtmfmnut",2007,2,0.0135,0.047,0.0043,,0.0062,1.3,0,0,1,,1,0
"gtmfmnut",2007,3,0.0155,0.0385,0.0043,,0.0121,2,0,0,1,,0,0
"gtmfmnut",2007,4,0.0105,0.0335,0.0043,,0.0078,6.7,0,0,1,,0,0
"gtmfmnut",2007,5,0.01,0.022,0.0043,,0.01045,3.35,0,0,1,,0,0
"gtmfmnut",2007,6,0.013,0.0865,0.0043,0.0173,0.0216,4.45,0,0,1,0,0,0
"gtmfmnut",2007,7,0.0055,0.0155,0.0043,,0.008,5.25,0,0,1,,0,0
"gtmfmnut",2007,8,0.016,0.0165,0.0043,,0.0062,10.7,0,0,1,,1,0
"gtmfmnut",2007,9,0.0155,0.0695,0.0043,,0.0104,4.9,0,0,1,,0,0
"gtmfmnut",2007,10,0.006,0.0125,0.0043,,0.0062,23.45,0,0,1,,1,0
"gtmfmnut",2007,11,0.012,0.023,0.0043,,0.0062,2.8,0,0,1,,1,0
"gtmfmnut",2007,12,0.0145,0.022,0.0043,,0.0063,1.3,0,0,1,,1,0
"gtmfmnut",2008,1,0.0105,0.024,0.0043,,0.01005,1.6,0,0,1,,0,0
"gtmfmnut",2008,2,0.0085,0.015,0.0043,,0.0063,2.3,0,0,1,,1,0
"gtmfmnut",2008,3,0.015,0.0715,0.0043,,0.01245,3,0,0,1,,0,0
"gtmfmnut",2008,4,0.0095,0.042,0.0043,,0.0081,3.8,0,0,1,,0,0
"gtmfmnut",2008,5,0.0055,0.03,0.0043,,0.00825,5.25,0,0,1,,0,0
"gtmfmnut",2008,6,0.009,0.021,0.0043,,0.0062,10.95,0,0,1,,1,0
"gtmfmnut",2008,7,0.0085,0.04,0.0043,,0.01755,8.5,0,0,1,,0,0
"gtmfmnut",2008,8,0.0215,0.0855,0.00465,0.06005,0.0647,4.2,0,0,0,0,0,0
"gtmfmnut",2008,9,0.0305,0.103,0.0196,0.0419,0.0615,5.9,0,0,0,0,0,0
"gtmfmnut",2008,10,0.0155,0.052,0.0067,0.02215,0.02885,6.25,0,0,0,0,0,0
"gtmfmnut",2008,11,0.023,0.0545,0.0046,0.0252,0.0298,3.4,0,0,0,0,0,0
"gtmfmnut",2008,12,0.0125,0.03,0.0043,,0.01275,3.15,0,0,1,,0,0
"gtmfmnut",2009,1,0.0095,0.0265,0.0032,,0.0057,2.4,0,0,1,,0,0
"gtmfmnut",2009,2,0.015,0.024,0.00335,,,1.7,0,0,1,,,0
"gtmfmnut",2009,3,0.0075,0.0193,0.0032,,0.00965,5.6,0,1,1,,0,0
"gtmfmnut",2009,4,0.0095,0.037,0.0032,,0.01305,4.1,0,0,1,,0,0
"gtmfmnut",2009,5,0.0025,,0.0032,,0.0026,1.9,0,,1,,1,0
"gtmfmnut",2009,6,0.0175,0.064,0.00515,0.0129,0.01805,,0,0,0,0,0,
"gtmfmnut",2009,7,0.0275,0.071,0.00475,0.01895,0.0237,4.9,0,0,0,0,0,0
"gtmfmnut",2009,8,0.024,0.0935,0.0048,0.0131,0.0179,5.25,0,0,0,0,0,0
"gtmfmnut",2009,9,0.037,0.14,0.01035,0.04445,0.0548,3,0,0,0,0,0,0
"gtmfmnut",2009,10,0.018,0.0285,0.0032,,0.00615,4.95,0,0,1,,0,0
"gtmfmnut",2009,11,0.0335,0.0505,0.0089,0.01815,0.02705,4.7,0,0,0,0,0,0
"gtmfmnut",2009,12,0.0185,0.054,0.0058,0.02195,0.02775,2.55,0,0,0,0,0,0
"gtmfmnut",2010,1,0.012,0.025,0.01,,0.00695,4.8,0,0,1,,0,0
"gtmfmnut",2010,2,0.007,0.023,0.01,,0.00935,,0,0,1,,0,
"gtmfmnut",2010,3,0.011,0.033,0.01,,0.00755,3.4,0,0,1,,0,0
"gtmfmnut",2010,4,0.011,0.0305,0.01,,0.00805,3.9,0,0,1,,0,0
"gtmfmnut",2010,5,0.01,0.02035,0.01,,0.0056,7.4,0,1,1,,0,0
"gtmfmnut",2010,6,0.012,0.0295,0.01,,0.0055,8.8,0,0,1,,0,0
"gtmfmnut",2010,7,0.015,0.039,0.01,,0.01305,6.15,0,0,1,,0,0
"gtmfmnut",2010,8,0.022,0.058,0.01,,0.013,6.55,0,0,1,,0,0
"gtmfmnut",2010,9,0.0165,0.1385,0.01,,0.0126,4.35,0,0,1,,0,0
"gtmfmnut",2010,10,0.0145,0.019,0.01,,0.01905,4.25,0,0,1,,0,0
"gtmfmnut",2010,11,0.011,0.054,0.01,,0.01675,3,0,0,1,,0,0
"gtmfmnut",2010,12,0.01,0.051,0.01,,0.01395,1.9,0,0,1,,0,0
"gtmfmnut",2011,1,0.0075,0.0153,0.0022,,0.0086,1.8,0,1,1,,0,0
"gtmfmnut",2011,2,0.011,0.017,0.0022,,0.0042,2.2,0,0,1,,0,0
"gtmfmnut",2011,3,0.011,0.0275,0.0022,,0.00835,3.25,0,0,1,,0,0
"gtmfmnut",2011,4,0.0075,0.01765,0.0022,0.0067,0.0076,3.9,0,1,1,0,0,0
"gtmfmnut",2011,5,0.0115,0.0385,0.0022,,0.0066,5.8,0,0,1,,0,0
"gtmfmnut",2011,6,0.0155,0.05,0.0022,,0.01,3.8,0,0,1,,0,0
"gtmfmnut",2011,7,0.0205,,0.00335,0.0118,0.01515,4.35,0,,0,0,0,0
"gtmfmnut",2011,8,0.0155,0.041,0.0033,0.00905,0.01235,4.2,0,0,0,0,0,0
