StationCode,Reserve,ReserveCode,StationID,Temp Notes,Latitude,Longitude,StationType,Status,StationName,CDMO WQ Data URL,Realm,Province,Ecoregion,NERR_BioRegion,EPAIII_Code,EPAIII_Name,EPAIV_Code,EPAIV_Name,AquaticSystem,AquaticSubsystem,WaterColumn,SalinityRegime,Salinity Class,TempRegime,TidalRegime,ResidualCurrentType,TidalFlowType,PrimaryWaterSource,TectonicSetting,PhysiographicSetting,GeoformOrigin,Level1Geoform(>1km2),Level1GeoformType(>1km2),Level2Geoform(<1km2),Level2GeoformType(<1km2),SubstrateOrigin,SubstrateClass,SubstrateSubclass,PercentClay,PercentSilt,PercentSand,PercentGravel,PercentOrganics,BioticSetting,BioticClass,BioticSubclass,SecondaryBioticElement,TertiaryBioticElement,Dev_TotalArea,Ag_TotalArea,VegUplnd_TotalArea,WetlndPalust_TotalArea,WetlndEst_TotalArea,Bare_TotalArea,Water_TotalArea,Dev_pctTotal,Ag_pctTotal,VegUplnd_pctTotal,WetlndPalust_pctTotal,WetlndEst_pctTotal,Bare_pctTotal,Water_pctTotal,Dev_pctLand,Ag_pctLand,VegUplnd_pctLand,WetlndPalust_pctLand,WetlndEst_pctLand,Bare_pctLand,DominantLandCover,Imp_total_acres,Imp_pctLand,StationDescription
ACEEIWQ,Ashepoo Combahee Edisto Basin,ACE,EIWQ,,32.504,80.3247,fixed near-bottom,primary,Edisto Island,https://cdmo.baruch.sc.edu/dges/?stationCode=ACEEIWQ,Temperate Northern Atlantic,Warm Temperate Northwest Atlantic ,Carolinian,Carolinian,75,Southern Coastal Plain,75j,Sea Islands/Coastal Marsh,Estuarine,Estuarine Tidal Riverine Coastal,Lower Water Column,Upper Polyhaline Water,high salinity,Warm Water,Moderately Tidal,Well-mixed Domain,Mixed Semi-diurnal Tidal Flow,Estuary,Passive Continental Margin,Riverine Estuary,Geologic,Marsh Platform,,Channel,Tidal Channel/Creek,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Benthic/Attached Biota,Emergent Wetland,Emergent Tidal Marsh,Mollusk Reef Biota,,959.8,1713.2,20342.7,20669.2,6484.9,534.8,3779.2,1.76,3.14,37.34,37.94,11.90,0.98,6.94,1.89,3.38,40.12,40.76,12.79,1.05,palustrine wetlands,277.85,0.55,"The Ashepoo Combahee Edisto Basin Edisto Island station is a fixed near-bottom water quality station (ACEEIWQ) in a Channel surrounded by Emergent Wetland. The station is located within a Moderately Tidal, high salinity Riverine Estuary in a watershed made up of primarily palustrine wetlands."
ACEFCWQ,Ashepoo Combahee Edisto Basin,ACE,FCWQ,,32.63593,80.36556,fixed near-bottom,primary,Fishing Creek,https://cdmo.baruch.sc.edu/dges/?stationCode=ACEFCWQ,Temperate Northern Atlantic,Warm Temperate Northwest Atlantic ,Carolinian,Carolinian,75,Southern Coastal Plain,75j,Sea Islands/Coastal Marsh,Estuarine,Estuarine Tidal Riverine Coastal,Lower Water Column,Mesohaline Water,brackish,Warm Water,Moderately Tidal,Well-mixed Domain,Mixed Semi-diurnal Tidal Flow,River,Passive Continental Margin,Riverine Estuary,Geologic,Marsh Platform,,Channel,Tidal Channel/Creek,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Benthic/Attached Biota,Emergent Wetland,Emergent Tidal Marsh,,,127.7,795.1,2321.9,1778.7,4310.6,118.0,2234.2,1.09,6.80,19.87,15.22,36.89,1.01,19.12,1.35,8.41,24.56,18.82,45.61,1.25,estuarine wetlands,38.17,0.40,"The Ashepoo Combahee Edisto Basin Fishing Creek station is a fixed near-bottom water quality station (ACEFCWQ) in a Channel surrounded by Emergent Wetland. The station is located within a Moderately Tidal, brackish Riverine Estuary in a watershed made up of primarily estuarine wetlands."
ACEFJWQ,Ashepoo Combahee Edisto Basin,ACE,FJWQ,"This one took the place of Charleston Harbor which is no longer a SWMP station (short-term, removed) so this needs to be addressed...I suspect that everything can carry over from CH to FJ but Denise needs to confirm.",32.753327,79.898991,fixed near-bottom,secondary,Fort Johnson,https://cdmo.baruch.sc.edu/dges/?stationCode=ACEFJWQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACEGPWQ,Ashepoo Combahee Edisto Basin,ACE,GPWQ,,32.6637,80.413,fixed near-bottom,secondary,Grove Plantation,https://cdmo.baruch.sc.edu/dges/?stationCode=ACEGPWQ,Temperate Northern Atlantic,Warm Temperate Northwest Atlantic ,Carolinian,Carolinian,75,Southern Coastal Plain,75j,Sea Islands/Coastal Marsh,Estuarine,Estuarine Tidal Riverine Coastal,Lower Water Column,Oligohaline Water,brackish,Warm Water,Moderately Tidal,Well-mixed Domain,Mixed Semi-diurnal Tidal Flow,River,Passive Continental Margin,Riverine Estuary,Geologic,Marsh Platform,,Channel,Tidal Channel/Creek,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Benthic/Attached Biota,Emergent Wetland,Emergent Tidal Marsh,,,618.7,1229.5,17360.8,18304.6,51.5,186.1,947.1,1.60,3.18,44.86,47.30,0.13,0.48,2.45,1.64,3.26,45.99,48.49,0.14,0.49,palustrine wetlands,178.25,0.47,"The Ashepoo Combahee Edisto Basin Grove Plantation station is a fixed near-bottom water quality station (ACEGPWQ) in a Channel surrounded by Emergent Wetland. The station is located within a Moderately Tidal, brackish Riverine Estuary in a watershed made up of primarily palustrine wetlands."
ACEJIWQ,Ashepoo Combahee Edisto Basin,ACE,JIWQ,,32.6209,80.3965,fixed near-bottom,secondary,Jehossee Island,https://cdmo.baruch.sc.edu/dges/?stationCode=ACEJIWQ,Temperate Northern Atlantic,Warm Temperate Northwest Atlantic ,Carolinian,Carolinian,75,Southern Coastal Plain,75j,Sea Islands/Coastal Marsh,Estuarine,Estuarine Tidal Riverine Coastal,Lower Water Column,Mesohaline Water,brackish,Warm Water,Moderately Tidal,Well-mixed Domain,Mixed Semi-diurnal Tidal Flow,River,Passive Continental Margin,Riverine Estuary,Geologic,Marsh Platform,,Channel,Tidal Channel/Creek,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Benthic/Attached Biota,Emergent Wetland,Emergent Tidal Marsh,,,959.8,1713.2,20342.7,20669.2,6484.9,534.8,3779.2,1.76,3.14,37.34,37.94,11.90,0.98,6.94,1.89,3.38,40.12,40.76,12.79,1.05,palustrine wetlands,277.85,0.55,"The Ashepoo Combahee Edisto Basin Jehossee Island station is a fixed near-bottom water quality station (ACEJIWQ) in a Channel surrounded by Emergent Wetland. The station is located within a Moderately Tidal, brackish Riverine Estuary in a watershed made up of primarily palustrine wetlands."
ACEMCWQ,Ashepoo Combahee Edisto Basin,ACE,MCWQ,,32.5558,80.438,fixed near-bottom,primary,Mosquito Creek,https://cdmo.baruch.sc.edu/dges/?stationCode=ACEMCWQ,Temperate Northern Atlantic,Warm Temperate Northwest Atlantic ,Carolinian,Carolinian,75,Southern Coastal Plain,75j,Sea Islands/Coastal Marsh,Estuarine,Estuarine Tidal Riverine Coastal,Lower Water Column,Lower Polyhaline Water,brackish,Warm Water,Moderately Tidal,Well-mixed Domain,Mixed Semi-diurnal Tidal Flow,Estuary,Passive Continental Margin,Riverine Estuary,Geologic,Marsh Platform,,Channel,Tidal Channel/Creek,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Benthic/Attached Biota,Emergent Wetland,Emergent Tidal Marsh,,,1237.1,2579.4,19928.5,19970.9,4979.4,118.2,2339.8,2.42,5.04,38.96,39.04,9.73,0.23,4.57,2.53,5.28,40.83,40.91,10.20,0.24,palustrine wetlands and vegetated uplands,337.53,0.69,"The Ashepoo Combahee Edisto Basin Mosquito Creek station is a fixed near-bottom water quality station (ACEMCWQ) in a Channel surrounded by Emergent Wetland. The station is located within a Moderately Tidal, brackish Riverine Estuary in a watershed made up of primarily palustrine wetlands and vegetated uplands."
ACESPWQ,Ashepoo Combahee Edisto Basin,ACE,SPWQ,,32.528,80.36144,fixed near-bottom,primary,St. Pierre,https://cdmo.baruch.sc.edu/dges/?stationCode=ACESPWQ,Temperate Northern Atlantic,Warm Temperate Northwest Atlantic ,Carolinian,Carolinian,75,Southern Coastal Plain,75j,Sea Islands/Coastal Marsh,Estuarine,Estuarine Tidal Riverine Coastal,Lower Water Column,Upper Polyhaline Water,high salinity,Warm Water,Moderately Tidal,Well-mixed Domain,Mixed Semi-diurnal Tidal Flow,Estuary,Passive Continental Margin,Riverine Estuary,Geologic,Marsh Platform,,Channel,Tidal Channel/Creek,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Benthic/Attached Biota,Emergent Wetland,Emergent Tidal Marsh,,,1237.1,2579.4,19928.5,19970.9,4979.4,118.2,2339.8,2.42,5.04,38.96,39.04,9.73,0.23,4.57,2.53,5.28,40.83,40.91,10.20,0.24,palustrine wetlands and vegetated uplands,337.53,0.69,"The Ashepoo Combahee Edisto Basin St. Pierre station is a fixed near-bottom water quality station (ACESPWQ) in a Channel surrounded by Emergent Wetland. The station is located within a Moderately Tidal, high salinity Riverine Estuary in a watershed made up of primarily palustrine wetlands and vegetated uplands."
APABPWQ,Apalachicola Bay,APA,BPWQ,*may or may not want to include,29.8032861,84.967136,fixed near-bottom,secondary,Butcher Pen,https://cdmo.baruch.sc.edu/dges/?stationCode=APABPWQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APACPWQ,Apalachicola Bay,APA,CPWQ,,29.7021,84.8802,fixed near-bottom,primary,Cat Point,https://cdmo.baruch.sc.edu/dges/?stationCode=APACPWQ,Temperate Northern Atlantic,Warm Temperate Northwest Atlantic ,Northern Gulf of Mexico,Louisianan,75,Southern Coastal Plain,75k,Gulf Barrier Islands and Coastal Marshes,Estuarine,Estuarine Coastal,Lower Water Column,Mesohaline Water,brackish,Moderate Water,Moderately Tidal,Salt Wedge Domain,Mixed Semi-diurnal Tidal Flow,Local Estuary Exchange,Passive Continental Margin,Riverine Estuary,Geologic,Inlet,Tidal Inlet,Inlet,,Biogenic Substrate,Shell Substrate,Shell Reef Substrate,,,,,,Benthic/Attached Biota,Reef Biota,Mollusk Reef Biota,,,604.8,2.0,727.9,7138.4,368.2,1556.4,16441.8,2.25,0.01,2.71,26.60,1.37,5.80,61.26,5.82,0.02,7.00,68.65,3.54,14.97,palustrine wetlands,242.23,2.33,"The Apalachicola Bay Cat Point station is a fixed near-bottom water quality station (APACPWQ) in a Inlet surrounded by Reef Biota. The station is located within a Moderately Tidal, brackish Riverine Estuary in a watershed made up of primarily palustrine wetlands."
APADBWQ,Apalachicola Bay,APA,DBWQ,,29.6747,85.0583,fixed near-bottom,primary,Dry Bar,https://cdmo.baruch.sc.edu/dges/?stationCode=APADBWQ,Temperate Northern Atlantic,Warm Temperate Northwest Atlantic ,Northern Gulf of Mexico,Louisianan,75,Southern Coastal Plain,75k,Gulf Barrier Islands and Coastal Marshes,Estuarine,Estuarine Coastal,Lower Water Column,Mesohaline Water,brackish,Moderate Water,Moderately Tidal,Salt Wedge Domain,Mixed Semi-diurnal Tidal Flow,Estuary,Passive Continental Margin,Embayment/Bay,Geologic,Inlet,Tidal Inlet,Inlet,,Biogenic Substrate,Shell Substrate,Shell Reef Substrate,,,,,,Benthic/Attached Biota,Reef Biota,Mollusk Reef Biota,,,5411.8,2357.4,79808.0,157631.2,4941.6,1518.5,27981.3,1.94,0.84,28.54,56.37,1.77,0.54,10.01,2.15,0.94,31.71,62.63,1.96,0.60,palustrine wetlands,"1,762.35",0.70,"The Apalachicola Bay Dry Bar station is a fixed near-bottom water quality station (APADBWQ) in a Inlet surrounded by Reef Biota. The station is located within a Moderately Tidal, brackish Embayment/Bay in a watershed made up of primarily palustrine wetlands."
