"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"gtmfmnut  ","P",01/09/2023 9:50,1,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0070,<0>  ,"","","","",0.0040,<-4> [SBL] ,2.8000,<0>  ,
"gtmfmnut  ","P",01/09/2023 9:53,1,1,1         ,2         ,"",0.0040,<-4> [SBL] ,0.0060,<0>  ,"","","","",0.0040,<-4> [SBL] ,2.8000,<0>  ,
"gtmfmnut  ","P",02/07/2023 9:42,1,1,1         ,1         ,"",0.0050,<0>  ,0.0160,<0>  ,"","","","",0.0040,<-4> [SBL] ,4.8000,<0>  ,
"gtmfmnut  ","P",02/07/2023 9:44,1,1,1         ,2         ,"",0.0060,<0>  ,0.0110,<0>  ,"","","","",0.0040,<-4> [SBL] ,5.1000,<0>  ,
"gtmfmnut  ","P",03/07/2023 9:14,1,1,1         ,1         ,"",0.0040,<0>  ,0.0080,<0>  ,"","","","",0.0040,<-4> [SBL] ,4.2000,<0>  ,
"gtmfmnut  ","P",03/07/2023 9:16,1,1,1         ,2         ,"",0.0050,<0>  ,0.0060,<0>  ,"","","","",0.0040,<-4> [SBL] ,3.9000,<0>  ,
"gtmfmnut  ","P",04/04/2023 8:08,1,1,1         ,1         ,"",0.0070,<0>  ,0.0110,<0>  ,"","","","",0.0040,<-4> [SBL] ,4.0000,<0>  ,
"gtmfmnut  ","P",04/04/2023 8:10,1,1,1         ,2         ,"",0.0070,<0>  ,0.0050,<0>  ,"","","","",0.0040,<-4> [SBL] ,3.7000,<0>  ,
"gtmfmnut  ","P",05/02/2023 7:44,1,1,1         ,1         ,"",0.0150,<0>  ,0.0290,<0>  ,"","","","",0.0040,<-4> [SBL] ,6.8000,<0>  ,
"gtmfmnut  ","P",05/02/2023 7:46,1,1,1         ,2         ,"",0.0120,<0>  ,0.0250,<0>  ,"","","","",0.0040,<-4> [SBL] ,6.2000,<1> (CSM) ,
"gtmfmnut  ","P",06/05/2023 9:15,1,1,1         ,1         ,"",0.0060,<0>  ,0.0230,<0>  ,"","","","",0.0040,<-4> [SBL] ,5.7000,<0>  ,
"gtmfmnut  ","P",06/05/2023 9:17,1,1,1         ,2         ,"",0.0040,<0>  ,0.0090,<0>  ,"","","","",0.0040,<-4> [SBL] ,5.5000,<0>  ,
"gtmfmnut  ","P",07/18/2023 9:15,1,1,1         ,1         ,"",0.0100,<0>  ,0.0240,<0>  ,"","","","",0.0040,<-4> [SBL] ,6.3000,<0>  ,
"gtmfmnut  ","P",07/18/2023 9:18,1,1,1         ,2         ,"",0.0090,<0>  ,0.0150,<0>  ,"","","","",0.0040,<-4> [SBL] ,6.2000,<0>  ,
"gtmfmnut  ","P",08/01/2023 8:40,1,1,1         ,1         ,"",0.0170,<0>  ,0.0550,<0>  ,"","","","",0.0050,<0>  ,3.9000,<0>  ,
"gtmfmnut  ","P",08/01/2023 8:42,1,1,1         ,2         ,"",0.0170,<0>  ,0.0510,<0>  ,"","","","",0.0050,<0>  ,3.4000,<0>  ,
"gtmfmnut  ","P",09/12/2023 7:13,1,1,1         ,1         ,"",0.0150,<0>  ,0.0360,<0>  ,"","","","",0.0040,<-4> [SBL] ,3.3000,<0>  ,
"gtmfmnut  ","P",09/12/2023 7:14,1,1,1         ,2         ,"",0.0130,<0>  ,0.0230,<0>  ,"","","","",0.0040,<-4> [SBL] ,3.7000,<0>  ,
"gtmfmnut  ","P",10/16/2023 9:45,1,1,1         ,1         ,"",0.0160,<0>  ,0.0290,<0>  ,"","","","",0.0080,<0>  ,4.3000,<0>  ,
"gtmfmnut  ","P",10/16/2023 9:48,1,1,1         ,2         ,"",0.0160,<0>  ,0.0240,<0>  ,"","","","",0.0070,<0>  ,3.9000,<0>  ,
"gtmfmnut  ","P",11/07/2023 10:34,1,1,1         ,1         ,"",0.0150,<0>  ,0.0300,<0>  ,"","","","",0.0050,<0>  ,3.2000,<0>  ,
"gtmfmnut  ","P",11/07/2023 10:35,1,1,1         ,2         ,"",0.0140,<0>  ,0.0140,<0>  ,"","","","",0.0050,<0>  ,3.0000,<0>  ,
"gtmfmnut  ","P",12/12/2023 8:13,1,1,1         ,1         ,"",0.0130,<0>  ,0.0540,<0>  ,"","","","",0.0120,<0>  ,5.2000,<0>  ,
"gtmfmnut  ","P",12/12/2023 8:15,1,1,1         ,2         ,"",0.0120,<0>  ,0.0160,<0>  ,"","","","",0.0090,<0>  ,5.4000,<1> (CSM) ,
