"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"gtmfmwq  ","P",01/01/2025 0:00,0,1,"",18.3,<0> ,40.63,<-3> [SCF],26.1,<-3> [SCF],101.0,<0> ,8.1,<-3> [SCF],2.11,<-3> [SCF],"",<-3> [GCR],"",<-1> ,"","",8.0,<1> (CSM),4,<0> ,3.3,<0> ,
"gtmfmwq  ","P",01/01/2025 0:15,0,1,"",17.9,<0> ,40.78,<-3> [SCF],26.2,<-3> [SCF],100.0,<0> ,8.1,<-3> [SCF],2.07,<-3> [SCF],"",<-3> [GCR],"",<-1> ,"","",8.0,<1> (CSM),4,<0> ,3.0,<0> ,
"gtmfmwq  ","P",01/01/2025 0:30,0,1,"",17.6,<0> ,40.85,<-3> [SCF],26.2,<-3> [SCF],97.7,<0> ,8.0,<-3> [SCF],2.02,<-3> [SCF],"",<-3> [GCR],"",<-1> ,"","",8.0,<1> (CSM),5,<0> ,3.2,<0> ,
"gtmfmwq  ","P",01/01/2025 0:45,0,1,"",18.1,<0> ,40.65,<-3> [SCF],26.1,<-3> [SCF],99.8,<0> ,8.1,<-3> [SCF],1.98,<-3> [SCF],"",<-3> [GCR],"",<-1> ,"","",8.0,<1> (CSM),4,<0> ,2.9,<0> ,
"gtmfmwq  ","P",01/01/2025 1:00,0,1,"",18.0,<0> ,40.61,<-3> [SCF],26.0,<-3> [SCF],98.6,<0> ,8.0,<-3> [SCF],1.93,<-3> [SCF],"",<-3> [GCR],"",<-1> ,"","",8.0,<1> (CSM),4,<0> ,3.7,<0> ,
"gtmfmwq  ","P",01/01/2025 1:15,0,1,"",18.0,<0> ,40.66,<-3> [SCF],26.1,<-3> [SCF],99.6,<0> ,8.1,<-3> [SCF],1.89,<-3> [SCF],"",<-3> [GCR],"",<-1> ,"","",8.0,<1> (CSM),4,<0> ,2.9,<0> ,
"gtmfmwq  ","P",01/01/2025 1:30,0,1,"",18.0,<0> ,40.57,<-3> [SCF],26.0,<-3> [SCF],100.1,<0> ,8.1,<-3> [SCF],1.84,<-3> [SCF],"",<-3> [GCR],"",<-1> ,"","",8.0,<1> (CSM),4,<0> ,3.0,<0> ,
"gtmfmwq  ","P",01/01/2025 1:45,0,1,"",18.0,<0> ,40.6,<-3> [SCF],26.0,<-3> [SCF],100.3,<0> ,8.1,<-3> [SCF],1.79,<-3> [SCF],"",<-3> [GCR],"",<-1> ,"","",8.0,<1> (CSM),4,<0> ,3.5,<0> ,
"gtmfmwq  ","P",01/01/2025 2:00,0,1,"",17.9,<0> ,40.67,<-3> [SCF],26.1,<-3> [SCF],99.7,<0> ,8.1,<-3> [SCF],1.75,<-3> [SCF],"",<-3> [GCR],"",<-1> ,"","",8.0,<1> (CSM),4,<0> ,3.2,<0> ,
"gtmfmwq  ","P",01/01/2025 2:15,0,1,"",17.9,<0> ,40.7,<-3> [SCF],26.1,<-3> [SCF],99.5,<0> ,8.1,<-3> [SCF],1.7,<-3> [SCF],"",<-3> [GCR],"",<-1> ,"","",8.0,<1> (CSM),4,<0> ,3.2,<0> ,
