"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"gtmpcnut  ","P",01/16/2006 13:30,1,1,2         ,1         ,"",0.0090,<4>  ,0.0400,<4>  ,0.0057,<4>  ,0.0025,<4>  ,0.0082,<4>  ,0.9000,<4>  ,
"gtmpcnut  ","P",01/16/2006 16:00,1,1,2         ,1         ,"",0.0140,<4>  ,0.0530,<4>  ,0.0053,<4>  ,0.0084,<4>  ,0.0137,<4>  ,1.0000,<4>  ,
"gtmpcnut  ","P",01/16/2006 18:30,1,1,2         ,1         ,"",0.0180,<4>  ,0.1050,<4>  ,0.0057,<4>  ,0.0093,<4>  ,0.0150,<4>  ,1.0000,<4>  ,
"gtmpcnut  ","P",01/16/2006 21:00,1,1,2         ,1         ,"",0.0250,<4>  ,0.0920,<4>  ,0.0071,<4>  ,0.0120,<4>  ,0.0191,<4>  ,0.8000,<4>  ,
"gtmpcnut  ","P",01/16/2006 23:30,1,1,2         ,1         ,"",0.0230,<4>  ,0.0430,<4>  ,0.0074,<4>  ,0.0106,<4>  ,0.0180,<4>  ,0.7000,<4>  ,
"gtmpcnut  ","P",01/17/2006 2:00,1,1,2         ,1         ,"",0.0180,<4>  ,0.0420,<4>  ,0.0070,<4>  ,0.0069,<4>  ,0.0139,<4>  ,0.8000,<4>  ,
"gtmpcnut  ","P",01/17/2006 4:30,1,1,2         ,1         ,"",0.0180,<4>  ,0.0440,<4>  ,0.0068,<4>  ,0.0079,<4>  ,0.0147,<4>  ,1.0000,<4>  ,
"gtmpcnut  ","P",01/17/2006 7:00,1,1,2         ,1         ,"",0.0200,<4>  ,0.0730,<4>  ,0.0072,<4>  ,0.0093,<4>  ,0.0165,<4>  ,1.3000,<4>  ,
"gtmpcnut  ","P",01/17/2006 9:30,1,1,2         ,1         ,"",0.0240,<4>  ,0.0480,<4>  ,0.0069,<4>  ,0.0132,<4>  ,0.0201,<4>  ,0.4000,<4>  ,
"gtmpcnut  ","P",01/17/2006 12:00,1,1,2         ,1         ,"",0.0200,<4>  ,0.0460,<4>  ,0.0066,<4>  ,0.0068,<4>  ,0.0134,<4>  ,1.9000,<4>  ,
"gtmpcnut  ","P",01/17/2006 14:16,1,1,1         ,1         ,"",0.0260,<4>  ,0.0550,<4>  ,0.0056,<4>  ,0.0123,<4>  ,0.0179,<4>  ,1.1000,<4>  ,
"gtmpcnut  ","P",01/17/2006 14:17,1,1,1         ,2         ,"",0.0320,<4>  ,0.1040,<4>  ,0.0055,<4>  ,0.0129,<4>  ,0.0184,<4>  ,2.7000,<4>  ,
"gtmpcnut  ","P",01/17/2006 14:30,1,1,2         ,1         ,"",0.0150,<4>  ,0.0300,<4>  ,0.0062,<4>  ,0.0003,<4>  ,0.0065,<4>  ,0.8000,<4>  ,
"gtmpcnut  ","P",02/14/2006 16:01,1,1,1         ,1         ,"",0.0220,<4>  ,0.0350,<4>  ,0.0056,<4>  ,0.0092,<4>  ,0.0148,<4>  ,0.4000,<4>  ,
"gtmpcnut  ","P",02/14/2006 16:02,1,1,1         ,2         ,"",0.0230,<4>  ,0.0410,<4>  ,0.0057,<4>  ,0.0092,<4>  ,0.0149,<4>  ,0.2000,<4>  ,
