"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"gtmpinut  ","P",01/10/2005 11:00,1,1,1         ,1         ,"",0.0030,<4>  ,0.0660,<4>  ,0.0026,<4>  ,0.0135,<4>  ,0.0161,<4>  ,"",<4>  ,
"gtmpinut  ","P",01/10/2005 11:01,1,1,1         ,2         ,"",0.0080,<4>  ,0.0960,<4>  ,0.0023,<4>  ,0.0062,<4>  ,0.0085,<4>  ,"",<4>  ,
"gtmpinut  ","P",02/07/2005 11:40,1,1,1         ,1         ,"",0.0020,<4>  ,0.0200,<4>  ,0.0014,<-4> [SBL] ,"",<-4> [SCB] ,0.0031,<4>  ,2.0000,<4>  ,
"gtmpinut  ","P",02/07/2005 11:41,1,1,1         ,2         ,"",0.0020,<-4> [SBL] ,0.0200,<4>  ,0.0014,<-4> [SBL] ,"",<-4> [SCB] ,0.0031,<4>  ,2.1000,<4>  ,
"gtmpinut  ","P",03/07/2005 9:30,1,1,1         ,1         ,"",0.0120,<4>  ,0.0170,<4>  ,0.0014,<-4> [SBL] ,"",<-4> [SCB] ,0.0058,<4>  ,1.6000,<4>  ,
"gtmpinut  ","P",03/07/2005 9:31,1,1,1         ,2         ,"",0.0150,<4>  ,0.0080,<-4> [SBL] ,0.0014,<-4> [SBL] ,"",<-4> [SCB] ,0.0053,<4>  ,1.7000,<4>  ,
"gtmpinut  ","P",04/05/2005 11:20,1,1,1         ,1         ,"",0.0090,<4>  ,0.0920,<4>  ,0.0029,<4>  ,0.0119,<4>  ,0.0148,<4>  ,5.6000,<4>  ,
"gtmpinut  ","P",04/05/2005 11:21,1,1,1         ,2         ,"",0.0040,<4>  ,0.0820,<4>  ,0.0028,<4>  ,0.0119,<4>  ,0.0147,<4>  ,5.9000,<4>  ,
"gtmpinut  ","P",05/04/2005 8:20,1,1,1         ,1         ,"",0.0130,<4>  ,0.0450,<4>  ,0.0020,<4>  ,0.0081,<4>  ,0.0101,<4>  ,5.2000,<4>  ,
"gtmpinut  ","P",05/04/2005 8:21,1,1,1         ,2         ,"",0.0310,<4>  ,0.0430,<4>  ,0.0022,<4>  ,0.0023,<4>  ,0.0045,<4>  ,3.6000,<4>  ,
"gtmpinut  ","P",06/21/2005 8:30,1,1,1         ,1         ,"",0.0250,<4>  ,0.0610,<4>  ,0.0027,<4>  ,0.0070,<4>  ,0.0097,<4>  ,7.2000,<4>  ,
"gtmpinut  ","P",06/21/2005 8:31,1,1,1         ,2         ,"",0.0250,<4>  ,0.0570,<4>  ,0.0025,<4>  ,0.0048,<4>  ,0.0073,<4>  ,5.8000,<4>  ,
"gtmpinut  ","P",07/07/2005 10:15,1,1,1         ,1         ,"",0.0570,<4>  ,0.2030,<4>  ,0.0084,<4>  ,0.0157,<4>  ,0.0241,<4>  ,3.5000,<4>  ,
"gtmpinut  ","P",07/07/2005 10:16,1,1,1         ,2         ,"",0.0390,<4>  ,0.0500,<4>  ,0.0060,<4>  ,0.0007,<4>  ,0.0067,<4>  ,3.4000,<4>  ,
"gtmpinut  ","P",08/03/2005 9:41,1,1,1         ,1         ,"",0.0470,<4>  ,0.0710,<4>  ,0.0169,<4>  ,0.0149,<4>  ,0.0318,<4>  ,9.4000,<4>  ,
"gtmpinut  ","P",08/03/2005 9:42,1,1,1         ,2         ,"",0.0440,<4>  ,0.0630,<4>  ,0.0175,<4>  ,0.0142,<4>  ,0.0317,<4>  ,6.4000,<4>  ,
"gtmpinut  ","P",09/19/2005 12:10,1,1,1         ,1         ,"",0.0270,<4>  ,0.0460,<4>  ,0.0106,<4>  ,0.0072,<4>  ,0.0178,<4>  ,3.6000,<4>  ,
"gtmpinut  ","P",09/19/2005 12:11,1,1,1         ,2         ,"",0.0280,<4>  ,0.0420,<4>  ,0.0111,<4>  ,0.0082,<4>  ,0.0193,<4>  ,5.6000,<4>  ,
"gtmpinut  ","P",10/03/2005 11:20,1,1,1         ,1         ,"",0.0340,<4>  ,0.0660,<4>  ,0.0141,<4>  ,0.0111,<4>  ,0.0252,<4>  ,1.8000,<4>  ,
"gtmpinut  ","P",10/03/2005 11:21,1,1,1         ,2         ,"",0.0350,<4>  ,0.0860,<4>  ,0.0143,<4>  ,0.0109,<4>  ,0.0252,<4>  ,2.4000,<4>  ,
"gtmpinut  ","P",11/14/2005 10:05,1,1,1         ,1         ,"",0.0330,<4>  ,0.0190,<4>  ,0.0043,<4>  ,0.0257,<4>  ,0.0300,<4>  ,1.1000,<4>  ,
"gtmpinut  ","P",11/14/2005 10:06,1,1,1         ,2         ,"",0.0350,<4>  ,0.0440,<4>  ,0.0026,<4>  ,0.0351,<4>  ,0.0377,<4>  ,1.1000,<4>  ,
"gtmpinut  ","P",12/06/2005 14:50,1,1,1         ,1         ,"",0.0330,<4>  ,0.0340,<4>  ,0.0015,<4>  ,0.0137,<4>  ,0.0152,<4>  ,2.1000,<4>  ,
"gtmpinut  ","P",12/06/2005 14:51,1,1,1         ,2         ,"",0.0340,<4>  ,0.0380,<4>  ,0.0024,<4>  ,0.0170,<4>  ,0.0194,<4>  ,2.3000,<4>  ,
