"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"gtmpiwq  ","P",01/01/2002 0:00,1,1,"",14.5,<4> ,47.07,<4> ,30.6,<4> ,92.9,<4> ,7.8,<4> ,3.2,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,11,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 0:30,1,1,"",14.3,<4> ,46.15,<4> ,30.0,<4> ,92.4,<4> ,7.9,<4> ,3.07,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,9,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 1:00,1,1,"",14.2,<4> ,45.58,<4> ,29.5,<4> ,92.0,<4> ,7.9,<4> ,2.92,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,11,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 1:30,1,1,"",14.1,<4> ,45.01,<4> ,29.1,<4> ,91.7,<4> ,7.9,<4> ,2.77,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,13,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 2:00,1,1,"",14.0,<4> ,44.58,<4> ,28.8,<4> ,91.6,<4> ,7.9,<4> ,2.58,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,11,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 2:30,1,1,"",13.9,<4> ,44.07,<4> ,28.5,<4> ,91.4,<4> ,7.9,<4> ,2.38,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,12,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 3:00,1,1,"",13.8,<4> ,43.5,<4> ,28.0,<4> ,90.5,<4> ,7.9,<4> ,2.15,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,14,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 3:30,1,1,"",13.6,<4> ,43.11,<4> ,27.8,<4> ,90.0,<4> ,7.9,<4> ,1.95,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.7,<4> ,10,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 4:00,1,1,"",13.5,<4> ,42.76,<4> ,27.5,<4> ,89.5,<4> ,7.9,<4> ,1.78,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.7,<4> ,9,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 4:30,1,1,"",13.4,<4> ,42.49,<4> ,27.3,<4> ,88.9,<4> ,7.8,<4> ,1.7,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.7,<4> ,11,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 5:00,1,1,"",13.3,<4> ,42.38,<4> ,27.2,<4> ,85.6,<4> ,7.6,<4> ,1.78,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.7,<4> ,7,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 5:30,1,1,"",13.5,<4> ,43.33,<4> ,27.9,<4> ,88.6,<4> ,7.8,<4> ,1.96,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,13,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 6:00,1,1,"",13.4,<4> ,43.4,<4> ,28.0,<4> ,88.3,<4> ,7.8,<4> ,2.19,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.7,<4> ,10,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 6:30,1,1,"",13.5,<4> ,43.85,<4> ,28.3,<4> ,88.9,<4> ,7.8,<4> ,2.39,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,12,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 7:00,1,1,"",13.5,<4> ,44.34,<4> ,28.6,<4> ,89.0,<4> ,7.8,<4> ,2.56,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,16,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 7:30,1,1,"",13.5,<4> ,44.85,<4> ,29.0,<4> ,89.2,<4> ,7.8,<4> ,2.73,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,14,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 8:00,1,1,"",13.6,<4> ,45.28,<4> ,29.3,<4> ,89.4,<4> ,7.8,<4> ,2.89,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,11,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 8:30,1,1,"",13.6,<4> ,45.77,<4> ,29.7,<4> ,89.8,<4> ,7.8,<4> ,3.06,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,11,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 9:00,1,1,"",13.6,<4> ,46.5,<4> ,30.2,<4> ,90.1,<4> ,7.8,<4> ,3.2,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,12,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 9:30,1,1,"",13.7,<4> ,46.89,<4> ,30.5,<4> ,90.1,<4> ,7.7,<4> ,3.34,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,10,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 10:00,1,1,"",13.7,<4> ,47.28,<4> ,30.8,<4> ,90.6,<4> ,7.8,<4> ,3.44,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.9,<4> ,12,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 10:30,1,1,"",13.9,<4> ,48.13,<4> ,31.4,<4> ,91.4,<4> ,7.8,<4> ,3.53,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.9,<4> ,7,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 11:00,1,1,"",14.1,<4> ,48.88,<4> ,31.9,<4> ,91.9,<4> ,7.8,<4> ,3.59,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.9,<4> ,8,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 11:30,1,1,"",14.3,<4> ,49.53,<4> ,32.4,<4> ,92.1,<4> ,7.7,<4> ,3.63,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.9,<4> ,7,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 12:00,1,1,"",14.5,<4> ,50.04,<4> ,32.8,<4> ,93.1,<4> ,7.8,<4> ,3.61,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,11,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 12:30,1,1,"",14.5,<4> ,50.04,<4> ,32.8,<4> ,93.1,<4> ,7.8,<4> ,3.52,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.9,<4> ,5,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 13:00,1,1,"",14.3,<4> ,49.38,<4> ,32.3,<4> ,93.5,<4> ,7.9,<4> ,3.41,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.9,<4> ,10,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 13:30,1,1,"",14.1,<4> ,47.99,<4> ,31.3,<4> ,93.1,<4> ,7.9,<4> ,3.31,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.9,<4> ,10,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 14:00,1,1,"",13.9,<4> ,46.82,<4> ,30.4,<4> ,92.6,<4> ,7.9,<4> ,3.16,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.9,<4> ,9,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 14:30,1,1,"",13.8,<4> ,46.13,<4> ,29.9,<4> ,92.9,<4> ,8.0,<4> ,3.0,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,12,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 15:00,1,1,"",13.8,<4> ,45.63,<4> ,29.6,<4> ,93.4,<4> ,8.1,<4> ,2.82,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,11,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 15:30,1,1,"",13.7,<4> ,45.08,<4> ,29.2,<4> ,93.4,<4> ,8.1,<4> ,2.63,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,11,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 16:00,1,1,"",13.7,<4> ,44.5,<4> ,28.8,<4> ,94.2,<4> ,8.2,<4> ,2.42,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,12,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 16:30,1,1,"",13.8,<4> ,44.13,<4> ,28.5,<4> ,95.2,<4> ,8.3,<4> ,2.19,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,11,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 17:00,1,1,"",13.8,<4> ,43.78,<4> ,28.2,<4> ,96.1,<4> ,8.4,<4> ,2.01,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,11,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 17:30,1,1,"",13.8,<4> ,43.53,<4> ,28.1,<4> ,96.4,<4> ,8.4,<4> ,1.91,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,9,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 18:00,1,1,"",13.8,<4> ,43.39,<4> ,28.0,<4> ,95.0,<4> ,8.3,<4> ,1.99,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,7,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 18:30,1,1,"",13.9,<4> ,44.24,<4> ,28.6,<4> ,94.8,<4> ,8.2,<4> ,2.17,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,11,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 19:00,1,1,"",13.9,<4> ,44.24,<4> ,28.6,<4> ,95.6,<4> ,8.3,<4> ,2.36,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,12,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 19:30,1,1,"",13.8,<4> ,44.68,<4> ,28.9,<4> ,94.5,<4> ,8.2,<4> ,2.51,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,9,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 20:00,1,1,"",13.8,<4> ,45.07,<4> ,29.2,<4> ,95.2,<4> ,8.2,<4> ,2.65,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,13,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 20:30,1,1,"",13.8,<4> ,45.37,<4> ,29.4,<4> ,95.7,<4> ,8.3,<4> ,2.79,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,12,<4> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2002 21:00,1,1,"",13.9,<4> ,45.72,<4> ,29.6,<4> ,95.0,<4> ,8.2,<4> ,2.91,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,11,<4> ,"",<-1> ,
