"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"gtmssnut  ","P",01/13/2014 10:47,1,1,1         ,1         ,"",0.0180,<0>  ,0.0670,<0>  ,0.0020,<0>  ,0.0220,<0>  ,0.0250,<0>  ,2.9000,<1> (CSM) ,
"gtmssnut  ","P",01/13/2014 10:57,1,1,1         ,2         ,"",0.0180,<0>  ,0.0660,<0>  ,0.0020,<0>  ,0.0240,<0>  ,0.0270,<0>  ,2.8000,<0>  ,
"gtmssnut  ","P",02/26/2014 9:33,1,1,1         ,1         ,"",0.0220,<0>  ,0.1000,<0>  ,0.0040,<0>  ,0.0100,<0>  ,0.0140,<0>  ,2.5000,<0>  ,
"gtmssnut  ","P",02/26/2014 9:42,1,1,1         ,2         ,"",0.0240,<0>  ,0.0990,<0>  ,0.0020,<-4> [SBL] ,"",<-4> [SCB] ,0.0130,<0>  ,2.3000,<0>  ,
"gtmssnut  ","P",03/11/2014 9:05,1,1,1         ,1         ,"",0.0220,<0>  ,0.0890,<0>  ,0.0060,<0>  ,0.0160,<0>  ,0.0220,<0>  ,1.8000,<0>  ,
"gtmssnut  ","P",03/11/2014 9:15,1,1,1         ,2         ,"",0.0220,<0>  ,0.0930,<0>  ,0.0060,<0>  ,0.0150,<0>  ,0.0210,<0>  ,1.8000,<0>  ,
"gtmssnut  ","P",04/09/2014 8:38,1,1,1         ,1         ,"",0.0270,<0>  ,0.1400,<0>  ,0.0070,<0>  ,0.0210,<0>  ,0.0280,<0>  ,2.0000,<0>  ,
"gtmssnut  ","P",04/09/2014 8:42,1,1,1         ,2         ,"",0.0270,<0>  ,0.1400,<0>  ,0.0070,<0>  ,0.0230,<0>  ,0.0290,<0>  ,1.9000,<0>  ,
"gtmssnut  ","P",05/12/2014 9:45,1,1,1         ,1         ,"",0.0280,<0>  ,0.0810,<0>  ,0.0050,<0>  ,0.0320,<0>  ,0.0370,<0>  ,5.0000,<0>  ,
"gtmssnut  ","P",05/12/2014 9:46,1,1,1         ,2         ,"",0.0280,<0>  ,0.0820,<0>  ,0.0050,<0>  ,0.0320,<0>  ,0.0370,<0>  ,5.2000,<0>  ,
"gtmssnut  ","P",06/10/2014 9:11,1,1,1         ,1         ,"",0.0360,<0>  ,0.0890,<1> (CUS) ,0.0050,<0>  ,0.0260,<1> (CUS) ,0.0320,<1> (CUS) ,6.4000,<0>  ,
"gtmssnut  ","P",06/10/2014 9:18,1,1,1         ,2         ,"",0.0370,<0>  ,0.0930,<1> (CUS) ,0.0050,<0>  ,0.0270,<1> (CUS) ,0.0320,<1> (CUS) ,6.9000,<0>  ,
"gtmssnut  ","P",07/09/2014 9:10,1,1,1         ,1         ,"",0.0360,<0>  ,0.0860,<0>  ,0.0050,<0>  ,0.0260,<0>  ,0.0320,<0>  ,7.1000,<0>  ,
"gtmssnut  ","P",07/09/2014 9:11,1,1,1         ,2         ,"",0.0380,<0>  ,0.0900,<0>  ,0.0050,<0>  ,0.0340,<0>  ,0.0390,<0>  ,5.9000,<0>  ,
"gtmssnut  ","P",08/07/2014 8:34,1,1,1         ,1         ,"",0.0360,<0>  ,0.0630,<0>  ,0.0050,<0>  ,0.0240,<0>  ,0.0280,<0>  ,9.1000,<0>  ,
"gtmssnut  ","P",08/07/2014 8:38,1,1,1         ,2         ,"",0.0370,<0>  ,0.0610,<0>  ,0.0050,<0>  ,0.0220,<0>  ,0.0270,<0>  ,9.6000,<1> (CSM) ,
"gtmssnut  ","P",09/18/2014 8:47,1,1,1         ,1         ,"",0.0310,<0>  ,0.0500,<0>  ,0.0040,<0>  ,0.0110,<0>  ,0.0160,<0>  ,4.3000,<0>  ,
"gtmssnut  ","P",09/18/2014 8:48,1,1,1         ,2         ,"",0.0310,<0>  ,0.0540,<0>  ,0.0040,<0>  ,0.0120,<0>  ,0.0150,<0>  ,4.5000,<0>  ,
"gtmssnut  ","P",10/20/2014 10:30,1,1,1         ,1         ,"",0.0260,<0>  ,0.0290,<0>  ,0.0100,<0>  ,0.0210,<0>  ,0.0300,<0>  ,6.3000,<0>  ,
"gtmssnut  ","P",10/20/2014 10:31,1,1,1         ,2         ,"",0.0260,<0>  ,0.0400,<0>  ,0.0100,<0>  ,0.0210,<0>  ,0.0310,<0>  ,5.4000,<0>  ,
"gtmssnut  ","P",11/04/2014 10:00,1,1,1         ,1         ,"",0.0240,<0>  ,0.0130,<0>  ,0.0020,<-4> [SBL] ,"",<-4> [SCB] ,0.0070,<0>  ,4.5000,<0>  ,
"gtmssnut  ","P",11/04/2014 10:04,1,1,1         ,2         ,"",0.0270,<0>  ,0.0120,<0>  ,0.0020,<-4> [SBL] ,"",<-4> [SCB] ,0.0130,<0>  ,4.3000,<0>  ,
"gtmssnut  ","P",12/03/2014 10:10,1,1,1         ,1         ,"",0.0200,<0>  ,0.0210,<0>  ,0.0020,<-4> [SBL] ,"",<-4> [SCB] ,0.0060,<0>  ,1.8000,<0>  ,
"gtmssnut  ","P",12/03/2014 10:15,1,1,1         ,2         ,"",0.0170,<0>  ,0.0220,<0>  ,0.0020,<-4> [SBL] ,"",<-4> [SCB] ,0.0060,<0>  ,1.7000,<0>  ,
