"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"gtmsswq  ","P",01/01/2025 0:00,0,1,"",17.6,<0> ,47.31,<0> ,30.8,<0> ,90.0,<0> ,7.1,<0> ,4.97,<0> ,4.97,<3> ,"",<-1> ,"","",7.8,<0> ,8,<0> ,4.5,<0> ,
"gtmsswq  ","P",01/01/2025 0:15,0,1,"",17.7,<0> ,47.23,<0> ,30.8,<0> ,90.6,<0> ,7.2,<0> ,4.89,<0> ,4.89,<3> ,"",<-1> ,"","",7.8,<0> ,8,<0> ,4.4,<0> ,
"gtmsswq  ","P",01/01/2025 0:30,0,1,"",17.8,<0> ,47.13,<0> ,30.7,<0> ,89.5,<0> ,7.1,<0> ,4.82,<0> ,4.82,<3> ,"",<-1> ,"","",7.8,<0> ,8,<0> ,4.1,<0> ,
"gtmsswq  ","P",01/01/2025 0:45,0,1,"",17.9,<0> ,47.01,<0> ,30.6,<0> ,88.6,<0> ,7.0,<0> ,4.74,<0> ,4.74,<3> ,"",<-1> ,"","",7.8,<0> ,8,<0> ,4.4,<0> ,
"gtmsswq  ","P",01/01/2025 1:00,0,1,"",18.1,<0> ,46.89,<0> ,30.5,<0> ,88.5,<0> ,7.0,<0> ,4.67,<0> ,4.67,<3> ,"",<-1> ,"","",7.8,<0> ,9,<0> ,4.0,<0> ,
"gtmsswq  ","P",01/01/2025 1:15,0,1,"",18.2,<0> ,46.73,<0> ,30.4,<0> ,88.6,<0> ,7.0,<0> ,4.6,<0> ,4.6,<3> ,"",<-1> ,"","",7.8,<0> ,7,<0> ,3.5,<0> ,
"gtmsswq  ","P",01/01/2025 1:30,0,1,"",18.3,<0> ,46.56,<0> ,30.3,<0> ,87.7,<0> ,6.9,<0> ,4.53,<0> ,4.53,<3> ,"",<-1> ,"","",7.8,<0> ,7,<0> ,3.6,<0> ,
"gtmsswq  ","P",01/01/2025 1:45,0,1,"",18.4,<0> ,46.47,<0> ,30.2,<0> ,87.5,<0> ,6.9,<0> ,4.48,<0> ,4.48,<3> ,"",<-1> ,"","",7.8,<0> ,8,<0> ,4.0,<0> ,
"gtmsswq  ","P",01/01/2025 2:00,0,1,"",18.5,<0> ,46.33,<0> ,30.1,<0> ,87.3,<0> ,6.8,<0> ,4.42,<0> ,4.41,<3> ,"",<-1> ,"","",7.8,<0> ,7,<0> ,4.1,<0> ,
"gtmsswq  ","P",01/01/2025 2:15,0,1,"",18.5,<0> ,46.19,<0> ,30.0,<0> ,86.3,<0> ,6.8,<0> ,4.38,<0> ,4.37,<3> ,"",<-1> ,"","",7.8,<0> ,7,<0> ,3.4,<0> ,
"gtmsswq  ","P",01/01/2025 2:30,0,1,"",18.6,<0> ,46.07,<0> ,30.0,<0> ,85.6,<0> ,6.7,<0> ,4.34,<0> ,4.33,<3> ,"",<-1> ,"","",7.7,<0> ,7,<0> ,3.4,<0> ,
"gtmsswq  ","P",01/01/2025 2:45,0,1,"",18.6,<0> ,46.03,<0> ,29.9,<0> ,84.2,<0> ,6.6,<0> ,4.3,<0> ,4.29,<3> ,"",<-1> ,"","",7.8,<0> ,6,<0> ,3.6,<0> ,
"gtmsswq  ","P",01/01/2025 3:00,0,1,"",18.5,<0> ,46.18,<0> ,30.0,<0> ,85.6,<0> ,6.7,<0> ,4.28,<0> ,4.27,<3> ,"",<-1> ,"","",7.8,<0> ,7,<0> ,3.7,<0> ,
"gtmsswq  ","P",01/01/2025 3:15,0,1,"",18.4,<0> ,46.49,<0> ,30.3,<0> ,87.4,<0> ,6.9,<0> ,4.29,<0> ,4.28,<3> ,"",<-1> ,"","",7.8,<0> ,6,<0> ,3.6,<0> ,
"gtmsswq  ","P",01/01/2025 3:30,0,1,"",18.4,<0> ,46.52,<0> ,30.3,<0> ,86.5,<0> ,6.8,<0> ,4.31,<0> ,4.3,<3> ,"",<-1> ,"","",7.8,<0> ,5,<0> ,3.2,<0> ,
"gtmsswq  ","P",01/01/2025 3:45,0,1,"",18.5,<0> ,46.6,<0> ,30.3,<0> ,91.0,<0> ,7.1,<0> ,4.34,<0> ,4.32,<3> ,"",<-1> ,"","",7.8,<0> ,4,<0> ,3.3,<0> ,
"gtmsswq  ","P",01/01/2025 4:00,0,1,"",18.5,<0> ,46.6,<0> ,30.3,<0> ,92.1,<0> ,7.2,<0> ,4.4,<0> ,4.38,<3> ,"",<-1> ,"","",7.8,<0> ,5,<0> ,4.1,<0> ,
"gtmsswq  ","P",01/01/2025 4:15,0,1,"",18.5,<0> ,46.62,<0> ,30.3,<0> ,89.2,<0> ,7.0,<0> ,4.46,<0> ,4.44,<3> ,"",<-1> ,"","",7.8,<0> ,4,<0> ,3.5,<0> ,
"gtmsswq  ","P",01/01/2025 4:30,0,1,"",18.6,<0> ,46.73,<0> ,30.4,<0> ,88.4,<0> ,6.9,<0> ,4.54,<0> ,4.52,<3> ,"",<-1> ,"","",7.8,<0> ,5,<0> ,3.9,<0> ,
"gtmsswq  ","P",01/01/2025 4:45,0,1,"",18.6,<0> ,46.73,<0> ,30.4,<0> ,92.0,<0> ,7.2,<0> ,4.62,<0> ,4.6,<3> ,"",<-1> ,"","",7.8,<0> ,6,<0> ,3.6,<0> ,
"gtmsswq  ","P",01/01/2025 5:00,0,1,"",18.6,<0> ,46.7,<0> ,30.4,<0> ,93.6,<0> ,7.3,<0> ,4.71,<0> ,4.69,<3> ,"",<-1> ,"","",7.8,<0> ,5,<0> ,4.0,<0> ,
"gtmsswq  ","P",01/01/2025 5:15,0,1,"",18.5,<0> ,46.69,<0> ,30.4,<0> ,93.2,<0> ,7.3,<0> ,4.81,<0> ,4.79,<3> ,"",<-1> ,"","",7.8,<0> ,6,<0> ,4.0,<0> ,
"gtmsswq  ","P",01/01/2025 5:30,0,1,"",18.4,<0> ,46.68,<0> ,30.4,<0> ,92.5,<0> ,7.3,<0> ,4.9,<0> ,4.87,<3> ,"",<-1> ,"","",7.8,<0> ,10,<0> ,4.5,<0> ,
"gtmsswq  ","P",01/01/2025 5:45,0,1,"",18.2,<0> ,46.77,<0> ,30.5,<0> ,92.8,<0> ,7.3,<0> ,5.0,<0> ,4.97,<3> ,"",<-1> ,"","",7.8,<0> ,7,<0> ,4.7,<0> ,
"gtmsswq  ","P",01/01/2025 6:00,0,1,"",18.0,<0> ,46.87,<0> ,30.5,<0> ,92.9,<0> ,7.3,<0> ,5.09,<0> ,5.06,<3> ,"",<-1> ,"","",7.8,<0> ,7,<0> ,4.9,<0> ,
"gtmsswq  ","P",01/01/2025 6:15,0,1,"",17.8,<0> ,47.04,<0> ,30.6,<0> ,92.7,<0> ,7.3,<0> ,5.18,<0> ,5.14,<3> ,"",<-1> ,"","",7.8,<0> ,8,<0> ,4.5,<0> ,
"gtmsswq  ","P",01/01/2025 6:30,0,1,"",17.9,<0> ,46.98,<0> ,30.6,<0> ,94.3,<0> ,7.5,<0> ,5.26,<0> ,5.22,<3> ,"",<-1> ,"","",7.8,<0> ,8,<0> ,4.5,<0> ,
"gtmsswq  ","P",01/01/2025 6:45,0,1,"",17.9,<0> ,47.04,<0> ,30.7,<0> ,93.4,<0> ,7.4,<0> ,5.33,<0> ,5.29,<3> ,"",<-1> ,"","",7.8,<0> ,8,<0> ,5.2,<0> ,
