"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"heekknut  ","P",01/28/2021 8:41,0,1,1         ,1         ,"{COC} {PLR} {TSE} {E} {WS2}",0.0036,<0>  ,0.0082,<0>  ,"","","","",0.0056,<0>  ,0.5050,<0>  ,
"heekknut  ","P",01/28/2021 8:43,0,1,1         ,2         ,"{COC} {PLR} {TSE} {E} {WS2}",0.0036,<0>  ,0.0079,<0>  ,"","","","",0.0062,<0>  ,0.3865,<0>  ,
"heekknut  ","P",02/10/2021 9:30,0,1,2         ,1         ,"",0.0038,<0>  ,0.0127,<0>  ,"","","","",0.0099,<0>  ,0.4315,<0>  ,
"heekknut  ","P",02/10/2021 9:30,0,1,2         ,1         ,"",0.0038,<0>  ,0.0127,<0>  ,"","","","",0.0099,<0>  ,0.4315,<0>  ,
"heekknut  ","P",02/10/2021 11:45,0,1,2         ,1         ,"",0.0031,<0>  ,0.0135,<0>  ,"","","","",0.0068,<0>  ,0.3380,<0>  ,
"heekknut  ","P",02/10/2021 11:45,0,1,2         ,1         ,"",0.0031,<0>  ,0.0135,<0>  ,"","","","",0.0068,<0>  ,0.3380,<0>  ,
"heekknut  ","P",02/10/2021 14:00,0,1,2         ,1         ,"",0.0033,<0>  ,0.0115,<0>  ,"","","","",0.0054,<0>  ,0.2990,<0>  ,
"heekknut  ","P",02/10/2021 14:00,0,1,2         ,1         ,"",0.0033,<0>  ,0.0115,<0>  ,"","","","",0.0054,<0>  ,0.2990,<0>  ,
"heekknut  ","P",02/10/2021 16:15,0,1,2         ,1         ,"",0.0018,<0>  ,0.0197,<0>  ,"","","","",0.0068,<0>  ,0.5150,<0>  ,
"heekknut  ","P",02/10/2021 16:15,0,1,2         ,1         ,"",0.0018,<0>  ,0.0197,<0>  ,"","","","",0.0068,<0>  ,0.5150,<0>  ,
"heekknut  ","P",02/10/2021 18:30,0,1,2         ,1         ,"",0.0020,<0>  ,0.0172,<0>  ,"","","","",0.0081,<0>  ,0.4610,<0>  ,
"heekknut  ","P",02/10/2021 18:30,0,1,2         ,1         ,"",0.0020,<0>  ,0.0172,<0>  ,"","","","",0.0081,<0>  ,0.4610,<0>  ,
"heekknut  ","P",02/10/2021 20:45,0,1,2         ,1         ,"",0.0019,<0>  ,0.0190,<0>  ,"","","","",0.0076,<0>  ,0.4075,<0>  ,
"heekknut  ","P",02/10/2021 20:45,0,1,2         ,1         ,"",0.0019,<0>  ,0.0190,<0>  ,"","","","",0.0076,<0>  ,0.4075,<0>  ,
"heekknut  ","P",02/10/2021 23:00,0,1,2         ,1         ,"",0.0028,<0>  ,0.0147,<0>  ,"","","","",0.0058,<0>  ,0.3650,<0>  ,
"heekknut  ","P",02/10/2021 23:00,0,1,2         ,1         ,"",0.0028,<0>  ,0.0147,<0>  ,"","","","",0.0058,<0>  ,0.3650,<0>  ,
"heekknut  ","P",02/11/2021 1:15,0,1,2         ,1         ,"",0.0042,<0>  ,0.0239,<0>  ,"","","","",0.0065,<0>  ,0.7950,<0>  ,
"heekknut  ","P",02/11/2021 1:15,0,1,2         ,1         ,"",0.0042,<0>  ,0.0239,<0>  ,"","","","",0.0065,<0>  ,0.7950,<0>  ,
"heekknut  ","P",02/11/2021 3:30,0,1,2         ,1         ,"",0.0040,<0>  ,0.0660,<0>  ,"","","","",0.0034,<0>  ,0.6850,<0>  ,
"heekknut  ","P",02/11/2021 3:30,0,1,2         ,1         ,"",0.0040,<0>  ,0.0660,<0>  ,"","","","",0.0034,<0>  ,0.6850,<0>  ,
"heekknut  ","P",02/11/2021 5:45,0,1,2         ,1         ,"",0.0046,<0>  ,0.0214,<0>  ,"","","","",0.0066,<0>  ,0.4250,<0>  ,
"heekknut  ","P",02/11/2021 5:45,0,1,2         ,1         ,"",0.0046,<0>  ,0.0214,<0>  ,"","","","",0.0066,<0>  ,0.4250,<0>  ,
"heekknut  ","P",02/11/2021 8:00,0,1,2         ,1         ,"",0.0034,<0>  ,0.0200,<0>  ,"","","","",0.0065,<0>  ,0.5950,<0>  ,
"heekknut  ","P",02/11/2021 8:00,0,1,2         ,1         ,"",0.0034,<0>  ,0.0200,<0>  ,"","","","",0.0065,<0>  ,0.5950,<0>  ,
"heekknut  ","P",02/11/2021 10:15,0,1,2         ,1         ,"",0.0027,<0>  ,0.0215,<0>  ,"","","","",0.0052,<0>  ,0.3595,<0>  ,
"heekknut  ","P",02/11/2021 10:15,0,1,2         ,1         ,"",0.0027,<0>  ,0.0215,<0>  ,"","","","",0.0052,<0>  ,0.3595,<0>  ,
"heekknut  ","P",02/26/2021 7:13,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {E} {WS3}",0.0030,<0>  ,0.0056,<0>  ,"","","","",0.0032,<0>  ,0.6850,<0>  ,
"heekknut  ","P",02/26/2021 7:18,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {E} {WS3}",0.0031,<0>  ,0.0066,<0>  ,"","","","",0.0037,<0>  ,0.7900,<0>  ,
"heekknut  ","P",03/30/2021 7:44,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {NE} {WS2}",0.0039,<0>  ,0.0149,<0>  ,"","","","",0.0080,<0>  ,2.9000,<0>  ,
