"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"heephnut  ","P",01/19/2022 12:44,0,1,1         ,1         ,"{CSM}",0.0356,<0>  ,0.0016,<0>  ,"","","","",0.0812,<0>  ,0.0660,<0>  ,
"heephnut  ","P",01/19/2022 12:45,0,1,1         ,2         ,"{CSM}",0.0359,<0>  ,0.0010,<0>  ,"","","","",0.0804,<0>  ,0.0580,<0>  ,
"heephnut  ","P",02/16/2022 11:11,0,1,1         ,1         ,"{CSM}",0.0397,<0>  ,0.0030,<0>  ,"","","","",0.1048,<0>  ,0.1260,<0>  ,
"heephnut  ","P",02/16/2022 11:12,0,1,1         ,2         ,"{CSM}",0.0403,<0>  ,0.0036,<0>  ,"","","","",0.1041,<0>  ,0.1800,<0>  ,
"heephnut  ","P",03/17/2022 11:19,0,1,1         ,1         ,"{COC} {PNP} {TSE} {WS1} {CSM}",0.0333,<0>  ,0.0009,<0>  ,"","","","",0.0885,<0>  ,0.1700,<0>  ,
"heephnut  ","P",03/17/2022 11:20,0,1,1         ,2         ,"{COC} {PNP} {TSE} {WS1} {CSM}",0.0336,<0>  ,0.0021,<0>  ,"","","","",0.0889,<0>  ,0.2950,<0>  ,
"heephnut  ","P",04/14/2022 9:10,0,1,1         ,1         ,"{COC} {PNP} {TSE} {WS0} {CSM}",0.0260,<0>  ,0.0020,<0>  ,"","","","",0.0749,<0>  ,0.2645,<0>  ,
"heephnut  ","P",04/14/2022 9:11,0,1,1         ,2         ,"{COC} {PNP} {TSE} {WS0} {CSM}",0.0265,<0>  ,0.0018,<0>  ,"","","","",0.0748,<0>  ,0.2060,<0>  ,
"heephnut  ","P",05/17/2022 11:17,0,1,1         ,1         ,"{CCL} {PNP} {TSE} {WS0} {CSM}",0.0360,<0>  ,0.0031,<0>  ,"","","","",0.0846,<0>  ,0.2345,<0>  ,
"heephnut  ","P",05/17/2022 11:18,0,1,1         ,2         ,"{CCL} {PNP} {TSE} {WS0} {CSM}",0.0348,<0>  ,0.0048,<0>  ,"","","","",0.0867,<0>  ,0.1745,<0>  ,
"heephnut  ","P",06/15/2022 10:09,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WS0} {CSM}",0.0252,<0>  ,0.0018,<0>  ,"","","","",0.0796,<0>  ,0.4630,<0>  ,
"heephnut  ","P",06/15/2022 10:10,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {WS0} {CSM}",0.0251,<0>  ,0.0031,<0>  ,"","","","",0.0761,<0>  ,0.3130,<0>  ,
"heephnut  ","P",07/13/2022 9:23,0,1,1         ,1         ,"{COC} {TSE} {WS1}",0.0323,<0>  ,0.0022,<0>  ,"","","","",0.0862,<0>  ,0.8700,<0>  ,
"heephnut  ","P",07/13/2022 9:24,0,1,1         ,2         ,"{COC} {TSE} {WS1}",0.0352,<0>  ,0.0019,<0>  ,"","","","",0.0822,<0>  ,0.5650,<0>  ,
"heephnut  ","P",08/10/2022 9:01,0,1,1         ,1         ,"{PNP} {TSE} {WS0}",0.0336,<0>  ,0.0013,<0>  ,"","","","",0.0584,<0>  ,0.3685,<0>  ,
"heephnut  ","P",08/10/2022 9:02,0,1,1         ,2         ,"{PNP} {TSE} {WS0}",0.0342,<0>  ,0.0005,<0>  ,"","","","",0.0588,<0>  ,0.2120,<0>  ,
"heephnut  ","P",09/08/2022 8:29,0,1,1         ,1         ,"{CPB} {PLR} {TSE} {WS0}",0.0307,<0>  ,0.0005,<0>  ,"","","","",0.0649,<0>  ,0.1145,<0>  ,
"heephnut  ","P",09/08/2022 8:30,0,1,1         ,2         ,"{CPB} {PLR} {TSE} {WS0}",0.0307,<0>  ,0.0107,<0>  ,"","","","",0.0661,<0>  ,0.2135,<0>  ,
"heephnut  ","P",10/10/2022 9:03,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WS0}",0.0329,<0>  ,0.0012,<0>  ,"","","","",0.0644,<0>  ,0.1510,<0>  ,
"heephnut  ","P",10/10/2022 9:04,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {WS0}",0.0331,<0>  ,0.0009,<0>  ,"","","","",0.0651,<0>  ,0.1375,<0>  ,
"heephnut  ","P",11/08/2022 9:28,0,1,1         ,1         ,"{CPB} {PNP} {TSE} {E} {WS2}",0.0392,<0>  ,0.0040,<0>  ,"","","","",0.0625,<0>  ,0.1610,<0>  ,
"heephnut  ","P",11/08/2022 9:30,0,1,1         ,2         ,"{CPB} {PNP} {TSE} {E} {WS2}",0.0395,<0>  ,0.0038,<0>  ,"","","","",0.0626,<0>  ,0.1640,<0>  ,
"heephnut  ","P",12/07/2022 10:01,0,1,1         ,1         ,"{COC} {PDR} {TSE} {WS1}",0.0316,<0>  ,0.0017,<0>  ,"","","","",0.0945,<0>  ,0.2175,<0>  ,
"heephnut  ","P",12/07/2022 10:02,0,1,1         ,2         ,"{COC} {PDR} {TSE} {WS1}",0.0316,<0>  ,0.0013,<0>  ,"","","","",0.0920,<0>  ,0.2230,<0>  ,
