"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"heer9nut  ","P",01/06/2023 8:21,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {NE}",0.0036,<0>  ,0.0032,<0>  ,"","","","",0.0092,<0>  ,0.5800,<0>  ,
"heer9nut  ","P",01/06/2023 8:22,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {NE}",0.0038,<0>  ,0.0023,<0>  ,"","","","",0.0091,<0>  ,0.4995,<0>  ,
"heer9nut  ","P",02/03/2023 8:31,0,1,1         ,1         ,"{COC} {PNP} {TSE} {NW} {WS0}",0.0003,<0>  ,0.0011,<-4> [SBL] ,"","","","",0.0014,<-4> [SBL] ,0.4840,<0>  ,
"heer9nut  ","P",02/03/2023 8:32,0,1,1         ,2         ,"{COC} {PNP} {TSE} {NW} {WS0}",0.0028,<0>  ,0.0029,<0>  ,"","","","",0.0030,<0>  ,0.6150,<0>  ,
"heer9nut  ","P",03/09/2023 8:52,0,1,1         ,1         ,"{CCL} {PNP} {TSE} {NW}",0.0042,<0>  ,0.0036,<0>  ,"","","","",0.0023,<0>  ,0.5150,<0>  ,
"heer9nut  ","P",03/09/2023 8:53,0,1,1         ,2         ,"{CCL} {PNP} {TSE} {NW}",0.0044,<0>  ,0.0039,<0>  ,"","","","",0.0023,<0>  ,0.3845,<0>  ,
"heer9nut  ","P",04/05/2023 7:37,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {E} {WS2} {CRE}",0.0048,<0>  ,0.0027,<0>  ,"","","","",0.0056,<0>  ,0.4300,<1> (CHB) ,
"heer9nut  ","P",04/05/2023 7:38,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {E} {WS2} {CRE}",0.0058,<0>  ,0.0034,<0>  ,"","","","",0.0071,<0>  ,0.4310,<1> (CHB) ,
"heer9nut  ","P",05/05/2023 7:21,0,1,1         ,1         ,"{CPB} {PNP} {TSE} {E}",0.0027,<1> (CHB) ,0.0011,<-4> [SBL] (CHB) ,"","","","",0.0037,<1> (CHB) ,0.6400,<1> (CHB) ,
"heer9nut  ","P",05/05/2023 7:22,0,1,1         ,2         ,"{CPB} {PNP} {TSE} {E}",0.0015,<1> (CHB) ,0.0014,<1> (CHB) ,"","","","",0.0032,<1> (CHB) ,0.8000,<1> (CHB) ,
