"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"heew2nut  ","P",01/13/2021 14:00,0,1,2         ,1         ,"",0.0060,<0>  ,0.0174,<0>  ,"","","","",0.0010,<0>  ,2.0100,<0>  ,
"heew2nut  ","P",01/13/2021 14:00,0,1,2         ,1         ,"",0.0060,<0>  ,0.0174,<0>  ,"","","","",0.0010,<0>  ,2.0100,<0>  ,
"heew2nut  ","P",01/13/2021 16:15,0,1,2         ,1         ,"",0.0048,<0>  ,0.0234,<0>  ,"","","","",0.0008,<0>  ,0.3925,<0>  ,
"heew2nut  ","P",01/13/2021 18:30,0,1,2         ,1         ,"",0.0045,<0>  ,0.0243,<0>  ,"","","","",0.0005,<0>  ,0.5550,<0>  ,
"heew2nut  ","P",01/13/2021 20:45,0,1,2         ,1         ,"",0.0054,<0>  ,0.0234,<0>  ,"","","","",0.0014,<0>  ,0.3785,<0>  ,
"heew2nut  ","P",01/13/2021 23:00,0,1,2         ,1         ,"",0.0054,<0>  ,0.0209,<0>  ,"","","","",0.0007,<0>  ,0.4910,<0>  ,
"heew2nut  ","P",01/13/2021 23:00,0,1,2         ,1         ,"",0.0054,<0>  ,0.0209,<0>  ,"","","","",0.0007,<0>  ,0.4910,<0>  ,
"heew2nut  ","P",01/14/2021 1:15,0,1,2         ,1         ,"",0.0064,<0>  ,0.0178,<0>  ,"","","","",0.0007,<0>  ,0.4125,<0>  ,
"heew2nut  ","P",01/14/2021 1:15,0,1,2         ,1         ,"",0.0064,<0>  ,0.0178,<0>  ,"","","","",0.0007,<0>  ,0.4125,<0>  ,
"heew2nut  ","P",01/14/2021 3:30,0,1,2         ,1         ,"",0.0076,<0>  ,0.0114,<0>  ,"","","","",0.0081,<0>  ,1.1350,<0>  ,
"heew2nut  ","P",01/14/2021 3:30,0,1,2         ,1         ,"",0.0076,<0>  ,0.0114,<0>  ,"","","","",0.0081,<0>  ,1.1350,<0>  ,
"heew2nut  ","P",01/14/2021 5:45,0,1,2         ,1         ,"",0.0053,<0>  ,0.0271,<0>  ,"","","","",0.0074,<0>  ,1.2400,<0>  ,
"heew2nut  ","P",01/14/2021 5:45,0,1,2         ,1         ,"",0.0053,<0>  ,0.0271,<0>  ,"","","","",0.0074,<0>  ,1.2400,<0>  ,
"heew2nut  ","P",01/14/2021 8:00,0,1,2         ,1         ,"",0.0033,<0>  ,0.0345,<0>  ,"","","","",0.0020,<0>  ,1.7100,<0>  ,
"heew2nut  ","P",01/14/2021 8:00,0,1,2         ,1         ,"",0.0033,<0>  ,0.0345,<0>  ,"","","","",0.0020,<0>  ,1.7100,<0>  ,
"heew2nut  ","P",01/14/2021 10:15,0,1,2         ,1         ,"",0.0041,<0>  ,0.0327,<0>  ,"","","","",0.0019,<0>  ,1.9550,<0>  ,
