"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"owcbrnut  ","P",01/02/2024 14:39,1,1,1         ,1         ,"",0.0300,<0>  ,0.0170,<1> [SRD] ,0.0070,<0>  ,3.5390,<0>  ,3.5460,<0>  ,1.6600,<0>  ,
"owcbrnut  ","P",01/02/2024 14:40,1,1,1         ,2         ,"",0.0310,<0>  ,0.0130,<1> [SRD] ,0.0060,<0>  ,3.5160,<0>  ,3.5220,<0>  ,1.5800,<0>  ,
"owcbrnut  ","P",02/05/2024 13:12,1,1,1         ,1         ,"",0.0120,<0>  ,0.0200,<1> [SRD] ,0.0080,<0>  ,3.5270,<0>  ,3.5350,<0>  ,0.7400,<0>  ,
"owcbrnut  ","P",02/05/2024 13:13,1,1,1         ,2         ,"",0.0120,<0>  ,0.0150,<1> [SRD] ,0.0070,<0>  ,3.5040,<0>  ,3.5110,<0>  ,0.7000,<0>  ,
"owcbrnut  ","P",03/05/2024 10:50,1,1,1         ,1         ,"",0.0060,<-4> [SBL] ,0.0180,<1> [SRD] ,0.0120,<0>  ,1.3400,<0>  ,1.3520,<0>  ,4.0300,<0>  ,
"owcbrnut  ","P",03/05/2024 10:51,1,1,1         ,2         ,"",0.0060,<-4> [SBL] ,0.0140,<1> [SRD] ,0.0110,<0>  ,1.2410,<0>  ,1.2520,<0>  ,3.7600,<0>  ,
"owcbrnut  ","P",04/16/2024 9:56,1,1,1         ,1         ,"",0.0110,<0>  ,0.0220,<0>  ,0.0140,<0>  ,2.4780,<0>  ,2.4920,<0>  ,18.5700,<0>  ,
"owcbrnut  ","P",04/16/2024 9:57,1,1,1         ,2         ,"",0.0100,<0>  ,0.0190,<0>  ,0.0130,<0>  ,2.5490,<0>  ,2.5620,<0>  ,9.5000,<0>  ,
"owcbrnut  ","P",05/07/2024 11:49,1,1,1         ,1         ,"",0.0180,<0>  ,0.0390,<0>  ,0.0200,<0>  ,2.1700,<0>  ,2.1900,<0>  ,1.9800,<0>  ,
"owcbrnut  ","P",05/07/2024 11:50,1,1,1         ,2         ,"",0.0180,<0>  ,0.0400,<0>  ,0.0200,<0>  ,2.2080,<0>  ,2.2280,<0>  ,1.9800,<0>  ,
"owcbrnut  ","P",06/04/2024 10:36,1,1,1         ,1         ,"",0.0390,<0>  ,0.0350,<0>  ,0.0200,<0>  ,3.5780,<0>  ,3.5980,<0>  ,4.4000,<0>  ,
"owcbrnut  ","P",06/04/2024 10:37,1,1,1         ,2         ,"",0.0380,<0>  ,0.0350,<0>  ,0.0200,<0>  ,3.7440,<0>  ,3.7640,<0>  ,11.3500,<0>  ,
"owcbrnut  ","P",07/09/2024 12:25,1,1,1         ,1         ,"",0.0390,<0>  ,0.0320,<0>  ,0.0350,<0>  ,5.0610,<0>  ,5.0960,<0>  ,2.7900,<0>  ,
"owcbrnut  ","P",07/09/2024 12:26,1,1,1         ,2         ,"",0.0390,<0>  ,0.0320,<0>  ,0.0340,<0>  ,4.8760,<0>  ,4.9100,<0>  ,2.2100,<0>  ,
"owcbrnut  ","P",08/13/2024 11:23,1,1,1         ,1         ,"",0.0350,<0>  ,0.0280,<0>  ,0.0040,<0>  ,0.4070,<0>  ,0.4110,<0>  ,3.0200,<0>  ,
"owcbrnut  ","P",08/13/2024 11:24,1,1,1         ,2         ,"",0.0350,<0>  ,0.0260,<0>  ,0.0040,<0>  ,0.4150,<0>  ,0.4190,<0>  ,3.0100,<0>  ,
"owcbrnut  ","P",09/10/2024 11:38,1,1,1         ,1         ,"",0.0320,<0>  ,0.0220,<0>  ,0.0200,<0>  ,2.9560,<0>  ,2.9760,<0>  ,"",<-2> [GDM] (CSM) ,
"owcbrnut  ","P",09/10/2024 11:39,1,1,1         ,2         ,"",0.0310,<0>  ,0.0210,<0>  ,0.0200,<0>  ,2.8160,<0>  ,2.8360,<0>  ,"",<-2> [GDM] (CSM) ,
"owcbrnut  ","P",10/16/2024 7:26,1,1,1         ,1         ,"",0.0370,<0>  ,0.0120,<0>  ,0.0030,<0>  ,1.3940,<0>  ,1.3970,<0>  ,0.9600,<0>  ,
"owcbrnut  ","P",10/16/2024 7:27,1,1,1         ,2         ,"",0.0350,<0>  ,0.0120,<0>  ,0.0030,<0>  ,1.4430,<0>  ,1.4460,<0>  ,0.9700,<0>  ,
"owcbrnut  ","P",11/13/2024 12:02,1,1,1         ,1         ,"",0.0390,<0>  ,0.0130,<-4> [SBL] ,0.0020,<-4> [SBL] ,"",<-4> [SCB] ,0.0660,<-4> [SBL] ,0.5300,<0>  ,
"owcbrnut  ","P",11/13/2024 12:03,1,1,1         ,2         ,"",0.0380,<0>  ,0.0130,<-4> [SBL] ,0.0020,<-4> [SBL] ,"",<-4> [SCB] ,0.0660,<-4> [SBL] ,0.4700,<0>  ,
"owcbrnut  ","P",12/03/2024 9:25,1,1,1         ,1         ,"",0.0100,<0>  ,0.0170,<0>  ,0.0050,<0>  ,3.5120,<0>  ,3.5170,<0>  ,0.5300,<0>  ,
"owcbrnut  ","P",12/03/2024 9:26,1,1,1         ,2         ,"",0.0080,<0>  ,0.0130,<-4> [SBL] ,0.0050,<0>  ,3.3510,<0>  ,3.3560,<0>  ,0.4800,<0>  ,
