"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"owcbrwq  ","P",03/04/2025 8:45,0,1,"{CRE}",2.1,<0> (CND),0.62,<0> (CND),0.3,<0> (CND),88.6,<0> (CND),12.2,<0> (CND),0.08,<0> (CND),0.07,<3> ,"",<-1> ,"","",8.0,<0> (CND),10,<0> (CND),"",<-1> ,
"owcbrwq  ","P",03/04/2025 9:00,0,1,"{CRE}",2.2,<0> ,0.62,<0> ,0.3,<0> ,88.4,<0> ,12.1,<0> ,0.08,<0> ,0.08,<3> ,"",<-1> ,"","",8.0,<0> ,10,<0> ,"",<-1> ,
"owcbrwq  ","P",03/04/2025 9:15,0,1,"{CRE}",2.2,<0> ,0.62,<0> ,0.3,<0> ,88.6,<0> ,12.2,<0> ,0.08,<0> ,0.08,<3> ,"",<-1> ,"","",8.0,<0> ,10,<0> ,"",<-1> ,
"owcbrwq  ","P",03/04/2025 9:30,0,1,"{CRE}",2.3,<0> ,0.62,<0> ,0.3,<0> ,88.8,<0> ,12.2,<0> ,0.08,<0> ,0.08,<3> ,"",<-1> ,"","",7.9,<0> ,11,<0> ,"",<-1> ,
"owcbrwq  ","P",03/04/2025 9:45,0,1,"{CRE}",2.3,<0> ,0.62,<0> ,0.3,<0> ,89.0,<0> ,12.2,<0> ,0.07,<0> ,0.07,<3> ,"",<-1> ,"","",7.9,<0> ,11,<0> ,"",<-1> ,
"owcbrwq  ","P",03/04/2025 10:00,0,1,"{CRE}",2.4,<0> ,0.62,<0> ,0.3,<0> ,89.2,<0> ,12.2,<0> ,0.07,<0> ,0.07,<3> ,"",<-1> ,"","",8.0,<0> ,11,<0> ,"",<-1> ,
"owcbrwq  ","P",03/04/2025 10:15,0,1,"{CRE}",2.5,<0> ,0.62,<0> ,0.3,<0> ,89.5,<0> ,12.2,<0> ,0.07,<0> ,0.07,<3> ,"",<-1> ,"","",8.0,<0> ,10,<0> ,"",<-1> ,
"owcbrwq  ","P",03/04/2025 10:30,0,1,"{CRE}",2.5,<0> ,0.62,<0> ,0.3,<0> ,89.7,<0> ,12.2,<0> ,0.07,<0> ,0.08,<3> ,"",<-1> ,"","",8.0,<0> ,10,<0> ,"",<-1> ,
"owcbrwq  ","P",03/04/2025 10:45,0,1,"{CRE}",2.6,<0> ,0.62,<0> ,0.3,<0> ,90.0,<0> ,12.2,<0> ,0.06,<0> ,0.07,<3> ,"",<-1> ,"","",8.0,<0> ,9,<0> ,"",<-1> ,
"owcbrwq  ","P",03/04/2025 11:00,0,1,"{CRE}",2.7,<0> ,0.62,<0> ,0.3,<0> ,90.3,<0> ,12.2,<0> ,0.06,<0> ,0.07,<3> ,"",<-1> ,"","",8.0,<0> ,9,<0> ,"",<-1> ,
"owcbrwq  ","P",03/04/2025 11:15,0,1,"{CRE}",2.8,<0> ,0.62,<0> ,0.3,<0> ,90.7,<0> ,12.3,<0> ,0.06,<0> ,0.07,<3> ,"",<-1> ,"","",8.0,<0> ,9,<0> ,"",<-1> ,
