"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"owcdrnut  ","P",01/02/2024 14:39,1,1,1         ,1         ,"",0.0310,<0>  ,0.0220,<0>  ,0.0070,<0>  ,3.1660,<0>  ,3.1730,<0>  ,2.5800,<0>  ,
"owcdrnut  ","P",01/02/2024 14:40,1,1,1         ,2         ,"",0.0300,<0>  ,0.0190,<0>  ,0.0060,<0>  ,3.0860,<0>  ,3.0920,<0>  ,2.5000,<0>  ,
"owcdrnut  ","P",02/05/2024 13:36,1,1,1         ,1         ,"",0.0100,<0>  ,0.0200,<0>  ,0.0080,<0>  ,3.2710,<0>  ,3.2790,<0>  ,0.8500,<0>  ,
"owcdrnut  ","P",02/05/2024 13:39,1,1,1         ,2         ,"",0.0100,<0>  ,0.0220,<0>  ,0.0080,<0>  ,3.3450,<0>  ,3.3530,<0>  ,0.8200,<0>  ,
"owcdrnut  ","P",03/05/2024 11:27,1,1,1         ,1         ,"",0.0060,<-4> [SBL] ,0.0410,<0>  ,0.0080,<0>  ,1.1360,<0>  ,1.1440,<0>  ,2.6900,<0>  ,
"owcdrnut  ","P",03/05/2024 11:33,1,1,1         ,2         ,"",0.0060,<-4> [SBL] ,0.0380,<0>  ,0.0080,<0>  ,1.1970,<0>  ,1.2050,<0>  ,3.0800,<0>  ,
"owcdrnut  ","P",04/16/2024 10:27,1,1,1         ,1         ,"",0.0130,<0>  ,0.0420,<0>  ,0.0160,<0>  ,2.3270,<0>  ,2.3430,<0>  ,9.0300,<0>  ,
"owcdrnut  ","P",04/16/2024 10:35,1,1,1         ,2         ,"",0.0160,<0>  ,0.0380,<0>  ,0.0170,<0>  ,2.3570,<0>  ,2.3740,<0>  ,7.4500,<0>  ,
"owcdrnut  ","P",05/07/2024 12:19,1,1,1         ,1         ,"",0.0190,<0>  ,0.0700,<0>  ,0.0290,<0>  ,1.9870,<1> [SRD] ,2.0160,<1> [SRD] ,1.9400,<0>  ,
"owcdrnut  ","P",05/07/2024 12:23,1,1,1         ,2         ,"",0.0180,<0>  ,0.0720,<0>  ,0.0280,<0>  ,0.1010,<-3> [SRD] ,0.1290,<-3> [SRD] ,1.6600,<0>  ,
"owcdrnut  ","P",06/04/2024 10:57,1,1,1         ,1         ,"",0.0350,<0>  ,0.0750,<0>  ,0.0470,<0>  ,5.6870,<0>  ,5.7340,<0>  ,2.7100,<0>  ,
"owcdrnut  ","P",06/04/2024 11:04,1,1,1         ,2         ,"",0.0340,<0>  ,0.0720,<0>  ,0.0480,<0>  ,5.8610,<0>  ,5.9090,<0>  ,2.7400,<0>  ,
"owcdrnut  ","P",07/09/2024 12:41,1,1,1         ,1         ,"",0.0100,<1> [SRD] ,0.0560,<1> [SRD] ,0.1190,<0>  ,5.8310,<1> [SRD] ,5.9500,<1> [SRD] ,167.1200,<-3> [SRD] ,
"owcdrnut  ","P",07/09/2024 12:44,1,1,1         ,2         ,"",0.0230,<1> [SRD] ,0.1250,<1> [SRD] ,0.1240,<0>  ,6.8230,<1> [SRD] ,6.9470,<1> [SRD] ,48.0100,<1> [SRD] ,
"owcdrnut  ","P",08/13/2024 11:45,1,1,1         ,1         ,"",0.0060,<0>  ,0.0090,<0>  ,0.0220,<0>  ,0.4310,<0>  ,0.4530,<0>  ,42.6400,<0>  ,
"owcdrnut  ","P",08/13/2024 11:49,1,1,1         ,2         ,"",0.0060,<0>  ,0.0060,<0>  ,0.0220,<0>  ,0.4020,<0>  ,0.4240,<0>  ,38.3400,<0>  ,
"owcdrnut  ","P",09/10/2024 11:52,1,1,1         ,1         ,"",0.0160,<0>  ,0.0330,<0>  ,0.0080,<0>  ,0.0880,<0>  ,0.0960,<0>  ,"",<-2> [GDM] (CSM) ,
"owcdrnut  ","P",09/10/2024 11:57,1,1,1         ,2         ,"",0.0160,<0>  ,0.0350,<0>  ,0.0080,<0>  ,0.0740,<0>  ,0.0820,<0>  ,"",<-2> [GDM] (CSM) ,
"owcdrnut  ","P",10/16/2024 7:55,1,1,1         ,1         ,"",0.0300,<0>  ,0.0530,<0>  ,0.0080,<0>  ,0.2990,<0>  ,0.3070,<0>  ,4.0600,<0>  ,
"owcdrnut  ","P",10/16/2024 8:12,1,1,1         ,2         ,"",0.0300,<0>  ,0.0550,<0>  ,0.0080,<0>  ,0.3270,<0>  ,0.3350,<0>  ,4.9400,<0>  ,
"owcdrnut  ","P",11/13/2024 12:22,1,1,1         ,1         ,"",0.0260,<0>  ,0.0130,<-4> [SBL] ,0.0020,<-4> [SBL] ,"",<-4> [SCB] ,0.0660,<-4> [SBL] ,27.5700,<0>  ,
"owcdrnut  ","P",11/13/2024 12:28,1,1,1         ,2         ,"",0.0270,<0>  ,0.0130,<-4> [SBL] ,0.0020,<-4> [SBL] ,"",<-4> [SCB] ,0.0660,<-4> [SBL] ,26.9700,<0>  ,
"owcdrnut  ","P",12/03/2024 8:55,1,1,1         ,1         ,"",0.0170,<0>  ,0.0130,<-4> [SBL] ,0.0070,<0>  ,2.6840,<0>  ,2.6910,<0>  ,0.6400,<0>  ,
"owcdrnut  ","P",12/03/2024 8:59,1,1,1         ,2         ,"",0.0130,<0>  ,0.0130,<-4> [SBL] ,0.0060,<0>  ,2.9150,<0>  ,2.9210,<0>  ,0.4100,<0>  ,
