"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"owcolnut  ","P",01/02/2024 13:48,1,1,1         ,1         ,"",0.0270,<0>  ,0.0500,<0>  ,0.0080,<0>  ,2.8040,<0>  ,2.8120,<0>  ,3.3400,<0>  ,
"owcolnut  ","P",01/02/2024 13:49,1,1,1         ,2         ,"",0.0270,<0>  ,0.0470,<0>  ,0.0080,<0>  ,2.9350,<0>  ,2.9430,<0>  ,3.5000,<0>  ,
"owcolnut  ","P",02/05/2024 12:19,1,1,1         ,1         ,"",0.0080,<0>  ,0.0970,<0>  ,0.0170,<0>  ,2.2160,<0>  ,2.2330,<0>  ,2.2000,<0>  ,
"owcolnut  ","P",02/05/2024 12:20,1,1,1         ,2         ,"",0.0070,<0>  ,0.0920,<0>  ,0.0160,<0>  ,1.8560,<0>  ,1.8720,<0>  ,2.2000,<0>  ,
"owcolnut  ","P",03/05/2024 9:45,1,1,1         ,1         ,"",0.0060,<-4> [SBL] ,0.0490,<0>  ,0.0120,<0>  ,0.7580,<0>  ,0.7700,<0>  ,22.9500,<0>  ,
"owcolnut  ","P",03/05/2024 9:52,1,1,1         ,2         ,"",0.0060,<-4> [SBL] ,0.0610,<0>  ,0.0130,<0>  ,0.8220,<0>  ,0.8350,<0>  ,22.5800,<0>  ,
"owcolnut  ","P",04/16/2024 8:50,1,1,1         ,1         ,"",0.0080,<0>  ,0.1540,<0>  ,0.0350,<0>  ,2.2080,<0>  ,2.2430,<0>  ,19.1700,<0>  ,
"owcolnut  ","P",04/16/2024 8:51,1,1,1         ,2         ,"",0.0090,<0>  ,0.1520,<0>  ,0.0360,<0>  ,2.2280,<0>  ,2.2640,<0>  ,18.1600,<0>  ,
"owcolnut  ","P",05/07/2024 8:49,1,1,1         ,1         ,"",0.0060,<-4> [SBL] ,0.0040,<0>  ,0.0390,<0>  ,0.8210,<0>  ,0.8600,<0>  ,133.3600,<0>  ,
"owcolnut  ","P",05/07/2024 8:50,1,1,1         ,2         ,"",0.0060,<-4> [SBL] ,0.0040,<0>  ,0.0400,<0>  ,0.7590,<0>  ,0.7990,<0>  ,135.3000,<0>  ,
"owcolnut  ","P",06/04/2024 9:01,1,1,1         ,1         ,"",0.0060,<-4> [SBL] ,0.0210,<0>  ,0.0900,<0>  ,2.2490,<0>  ,2.3390,<0>  ,9.3400,<0>  ,
"owcolnut  ","P",06/04/2024 9:02,1,1,1         ,2         ,"",0.0060,<-4> [SBL] ,0.0160,<0>  ,0.0900,<0>  ,2.2450,<0>  ,2.3350,<0>  ,9.9300,<0>  ,
"owcolnut  ","P",07/09/2024 10:23,1,1,1         ,1         ,"",0.0060,<0>  ,0.0040,<-4> [SBL] ,0.0330,<0>  ,0.4530,<0>  ,0.4860,<0>  ,135.7200,<0>  ,
"owcolnut  ","P",07/09/2024 10:25,1,1,1         ,2         ,"",0.0070,<0>  ,0.0040,<-4> [SBL] ,0.0290,<0>  ,0.3560,<0>  ,0.3850,<0>  ,128.9200,<0>  ,
"owcolnut  ","P",08/13/2024 10:17,1,1,1         ,1         ,"",0.0050,<-4> [SBL] ,0.0040,<-4> [SBL] ,0.0020,<-4> [SBL] ,"",<-4> [SCB] ,0.0660,<-4> [SBL] ,70.8600,<0>  ,
"owcolnut  ","P",08/13/2024 10:18,1,1,1         ,2         ,"",0.0050,<-4> [SBL] ,0.0040,<-4> [SBL] ,0.0020,<-4> [SBL] ,"",<-4> [SCB] ,0.0660,<-4> [SBL] ,76.9200,<0>  ,
"owcolnut  ","P",09/10/2024 9:17,1,1,1         ,1         ,"",0.0050,<-4> [SBL] ,0.0040,<-4> [SBL] ,0.0080,<0>  ,"",<-4> [SCB] ,0.0660,<-4> [SBL] ,"",<-2> [GDM] (CSM) ,
"owcolnut  ","P",09/10/2024 9:18,1,1,1         ,2         ,"",0.0050,<-4> [SBL] ,0.0040,<-4> [SBL] ,0.0020,<-4> [SBL] ,"",<-4> [SCB] ,0.0660,<-4> [SBL] ,"",<-2> [GDM] (CSM) ,
"owcolnut  ","P",10/16/2024 10:01,1,1,1         ,1         ,"",0.0050,<-4> [SBL] ,0.1140,<0>  ,0.0100,<1> [SRD] ,"",<-4> [SCB] ,0.0660,<-4> [SBL] ,35.7500,<0>  ,
"owcolnut  ","P",10/16/2024 10:02,1,1,1         ,2         ,"",0.0050,<-4> [SBL] ,0.1160,<0>  ,0.0990,<1> [SRD] ,"",<-4> [SCB] ,0.0660,<-4> [SBL] ,36.0900,<0>  ,
"owcolnut  ","P",11/13/2024 10:23,1,1,1         ,1         ,"",0.0050,<0>  ,0.0130,<-4> [SBL] ,0.0020,<-4> [SBL] ,"",<-4> [SCB] ,0.0660,<-4> [SBL] ,41.0400,<0>  ,
"owcolnut  ","P",11/13/2024 10:24,1,1,1         ,2         ,"",0.0050,<-4> [SBL] ,0.0130,<-4> [SBL] ,0.0020,<-4> [SBL] ,"",<-4> [SCB] ,0.0660,<-4> [SBL] ,43.1800,<0>  ,
"owcolnut  ","P",12/03/2024 11:54,1,1,1         ,1         ,"",0.0050,<-4> [SBL] ,0.0130,<-4> [SBL] ,0.0020,<0>  ,"",<-4> [SCB] ,0.0660,<-4> [SBL] ,23.1300,<0>  ,
"owcolnut  ","P",12/03/2024 11:55,1,1,1         ,2         ,"",0.0050,<-4> [SBL] ,0.0130,<-4> [SBL] ,0.0020,<0>  ,"",<-4> [SCB] ,0.0660,<-4> [SBL] ,21.8800,<0>  ,
