"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"owcrrnut  ","S",01/02/2024 13:19,1,1,1         ,1         ,"",0.0290,<0>  ,0.0490,<0>  ,0.0070,<0>  ,3.0290,<0>  ,3.0360,<0>  ,2.4400,<0>  ,
"owcrrnut  ","S",01/02/2024 13:20,1,1,1         ,2         ,"",0.0270,<0>  ,0.0420,<0>  ,0.0060,<0>  ,2.8540,<0>  ,2.8600,<0>  ,2.7600,<0>  ,
"owcrrnut  ","S",02/05/2024 11:55,1,1,1         ,1         ,"",0.0120,<0>  ,0.0620,<0>  ,0.0110,<0>  ,3.5070,<0>  ,3.5180,<0>  ,1.0800,<0>  ,
"owcrrnut  ","S",02/05/2024 11:56,1,1,1         ,2         ,"",0.0100,<0>  ,0.0630,<0>  ,0.0110,<0>  ,3.4450,<0>  ,3.4560,<0>  ,1.0900,<0>  ,
"owcrrnut  ","S",03/05/2024 9:16,1,1,1         ,1         ,"",0.0060,<-4> [SBL] ,0.0730,<0>  ,0.0090,<0>  ,1.5220,<0>  ,1.5310,<0>  ,4.6400,<0>  ,
"owcrrnut  ","S",03/05/2024 9:17,1,1,1         ,2         ,"",0.0060,<-4> [SBL] ,0.0760,<0>  ,0.0090,<0>  ,1.5760,<0>  ,1.5850,<0>  ,4.5400,<0>  ,
"owcrrnut  ","S",04/16/2024 8:17,1,1,1         ,1         ,"",0.0120,<0>  ,0.0530,<0>  ,0.0190,<0>  ,2.7330,<0>  ,2.7520,<0>  ,9.0700,<0>  ,
"owcrrnut  ","S",04/16/2024 8:18,1,1,1         ,2         ,"",0.0120,<0>  ,0.0610,<0>  ,0.0180,<0>  ,2.7550,<0>  ,2.7730,<0>  ,7.9000,<0>  ,
"owcrrnut  ","S",05/07/2024 8:19,1,1,1         ,1         ,"",0.0060,<-4> [SBL] ,0.0420,<0>  ,0.0350,<0>  ,1.6150,<0>  ,1.6500,<0>  ,67.2300,<1> [SRD] ,
"owcrrnut  ","S",05/07/2024 8:20,1,1,1         ,2         ,"",0.0060,<-4> [SBL] ,0.0330,<0>  ,0.0340,<0>  ,1.3720,<0>  ,1.4060,<0>  ,82.9300,<1> [SRD] ,
"owcrrnut  ","S",06/04/2024 8:19,1,1,1         ,1         ,"",0.0060,<-4> [SBL] ,0.0300,<0>  ,0.0940,<0>  ,3.0630,<0>  ,3.1570,<0>  ,8.5300,<0>  ,
"owcrrnut  ","S",06/04/2024 8:20,1,1,1         ,2         ,"",0.0060,<-4> [SBL] ,0.0240,<0>  ,0.0960,<0>  ,2.9650,<0>  ,3.0610,<0>  ,8.0700,<0>  ,
"owcrrnut  ","S",07/09/2024 11:10,1,1,1         ,1         ,"",0.0080,<0>  ,0.0350,<0>  ,0.1390,<0>  ,5.6080,<0>  ,5.7470,<0>  ,104.3200,<0>  ,
"owcrrnut  ","S",07/09/2024 11:11,1,1,1         ,2         ,"",0.0080,<0>  ,0.0340,<0>  ,0.1380,<0>  ,5.4350,<0>  ,5.5730,<0>  ,107.9600,<0>  ,
"owcrrnut  ","S",08/13/2024 9:41,1,1,1         ,1         ,"",0.0080,<0>  ,0.0040,<-4> [SBL] ,0.0020,<0>  ,"",<-4> [SCB] ,0.0660,<-4> [SBL] ,89.0400,<0>  ,
"owcrrnut  ","S",08/13/2024 9:42,1,1,1         ,2         ,"",0.0070,<0>  ,0.0040,<-4> [SBL] ,0.0020,<0>  ,"",<-4> [SCB] ,0.0660,<-4> [SBL] ,82.3700,<0>  ,
"owcrrnut  ","S",09/10/2024 8:38,1,1,1         ,1         ,"",0.0050,<-4> [SBL] ,0.0560,<0>  ,0.0030,<0>  ,"",<-4> [SCB] ,0.0660,<-4> [SBL] ,"",<-2> [GDM] (CSM) ,
"owcrrnut  ","S",09/10/2024 8:39,1,1,1         ,2         ,"",0.0050,<-4> [SBL] ,0.0580,<0>  ,0.0020,<0>  ,"",<-4> [SCB] ,0.0660,<-4> [SBL] ,"",<-2> [GDM] (CSM) ,
"owcrrnut  ","S",10/16/2024 9:22,1,1,1         ,1         ,"",0.0080,<0>  ,0.1050,<0>  ,0.0140,<0>  ,0.0790,<0>  ,0.0930,<0>  ,24.6700,<0>  ,
"owcrrnut  ","S",10/16/2024 9:23,1,1,1         ,2         ,"",0.0070,<0>  ,0.1030,<0>  ,0.0140,<0>  ,0.0790,<0>  ,0.0930,<0>  ,24.3100,<0>  ,
"owcrrnut  ","S",11/13/2024 9:23,1,1,1         ,1         ,"",0.0050,<-4> [SBL] ,0.0130,<-4> [SBL] ,0.0020,<-4> [SBL] ,"",<-4> [SCB] ,0.0660,<-4> [SBL] ,38.7800,<0>  ,
"owcrrnut  ","S",11/13/2024 9:24,1,1,1         ,2         ,"",0.0050,<-4> [SBL] ,0.0130,<-4> [SBL] ,0.0020,<-4> [SBL] ,"",<-4> [SCB] ,0.0660,<-4> [SBL] ,37.6600,<0>  ,
"owcrrnut  ","S",12/03/2024 10:34,1,1,1         ,1         ,"",0.0050,<-4> [SBL] ,0.0170,<0>  ,0.0250,<0>  ,0.9770,<0>  ,1.0020,<0>  ,15.3800,<0>  ,
"owcrrnut  ","S",12/03/2024 10:35,1,1,1         ,2         ,"",0.0050,<0>  ,0.0290,<0>  ,0.0290,<0>  ,1.2680,<0>  ,1.2970,<0>  ,10.7400,<0>  ,
