"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"owcwmnut  ","P",01/02/2024 14:01,1,1,1         ,1         ,"",0.0120,<0>  ,0.0830,<0>  ,0.0160,<0>  ,1.9460,<0>  ,1.9620,<0>  ,7.0700,<0>  ,
"owcwmnut  ","P",01/02/2024 14:02,1,1,1         ,2         ,"",0.0110,<0>  ,0.0950,<0>  ,0.0190,<0>  ,1.8420,<0>  ,1.8610,<0>  ,8.2000,<0>  ,
"owcwmnut  ","P",01/28/2024 4:00,1,1,2         ,1         ,"",0.0250,<0>  ,0.0560,<0>  ,0.0120,<0>  ,1.9040,<0>  ,1.9160,<0>  ,5.9500,<0>  ,
"owcwmnut  ","P",01/28/2024 6:00,1,1,2         ,1         ,"",0.0610,<0>  ,0.0520,<0>  ,0.0110,<0>  ,2.7770,<0>  ,2.7880,<0>  ,3.8300,<0>  ,
"owcwmnut  ","P",01/28/2024 8:00,1,1,2         ,1         ,"",0.0380,<0>  ,0.0550,<0>  ,0.0130,<0>  ,3.1510,<0>  ,3.1640,<0>  ,2.8400,<0>  ,
"owcwmnut  ","P",01/28/2024 10:00,1,1,2         ,1         ,"",0.0290,<0>  ,0.1030,<0>  ,0.0160,<0>  ,2.0380,<0>  ,2.0540,<0>  ,5.2200,<0>  ,
"owcwmnut  ","P",01/28/2024 12:00,1,1,2         ,1         ,"",0.0300,<0>  ,0.1090,<0>  ,0.0190,<0>  ,2.7150,<0>  ,2.7340,<0>  ,3.7100,<0>  ,
"owcwmnut  ","P",01/28/2024 14:00,1,1,2         ,1         ,"",0.0270,<0>  ,0.2000,<0>  ,0.0310,<0>  ,2.5890,<0>  ,2.6200,<0>  ,2.6500,<0>  ,
"owcwmnut  ","P",01/28/2024 16:00,1,1,2         ,1         ,"",0.0300,<0>  ,0.2200,<0>  ,0.0360,<0>  ,2.6250,<0>  ,2.6610,<0>  ,3.3900,<0>  ,
"owcwmnut  ","P",01/28/2024 18:00,1,1,2         ,1         ,"",0.0250,<0>  ,0.3920,<0>  ,0.0570,<0>  ,3.0290,<0>  ,3.0860,<0>  ,3.6200,<0>  ,
"owcwmnut  ","P",01/28/2024 20:00,1,1,2         ,1         ,"",0.0300,<0>  ,0.3060,<0>  ,0.0460,<0>  ,2.6790,<0>  ,2.7250,<0>  ,3.5000,<0>  ,
"owcwmnut  ","P",01/28/2024 22:00,1,1,2         ,1         ,"",0.0220,<0>  ,0.5010,<0>  ,0.0810,<0>  ,2.6020,<0>  ,2.6830,<0>  ,3.6700,<0>  ,
"owcwmnut  ","P",01/29/2024 0:00,1,1,2         ,1         ,"",0.0280,<0>  ,0.3560,<0>  ,0.0580,<0>  ,2.7230,<0>  ,2.7810,<0>  ,4.0600,<0>  ,
"owcwmnut  ","P",01/29/2024 2:00,1,1,2         ,1         ,"",0.0310,<0>  ,0.3420,<0>  ,0.0570,<0>  ,2.6890,<0>  ,2.7460,<0>  ,2.9600,<0>  ,
"owcwmnut  ","P",01/29/2024 4:00,1,1,2         ,1         ,"",0.0360,<0>  ,0.5550,<0>  ,0.0930,<0>  ,2.3050,<0>  ,2.3980,<0>  ,3.0200,<0>  ,
"owcwmnut  ","P",01/29/2024 6:00,1,1,2         ,1         ,"",0.0230,<0>  ,0.5430,<0>  ,0.0960,<0>  ,2.2470,<0>  ,2.3430,<0>  ,2.5700,<0>  ,
"owcwmnut  ","P",02/05/2024 12:25,1,1,1         ,1         ,"",0.0110,<0>  ,0.0670,<0>  ,0.0130,<0>  ,3.2860,<0>  ,3.2990,<0>  ,1.9100,<0>  ,
"owcwmnut  ","P",02/05/2024 12:26,1,1,1         ,2         ,"",0.0100,<0>  ,0.0710,<0>  ,0.0130,<0>  ,3.3380,<0>  ,3.3510,<0>  ,1.9800,<0>  ,
"owcwmnut  ","P",02/25/2024 4:00,1,1,2         ,1         ,"",0.0060,<-4> [SBL] ,0.0460,<0>  ,0.0090,<0>  ,0.9300,<0>  ,0.9390,<0>  ,6.4000,<0>  ,
"owcwmnut  ","P",02/25/2024 6:00,1,1,2         ,1         ,"",0.0060,<-4> [SBL] ,0.0540,<0>  ,0.0090,<0>  ,0.9070,<0>  ,0.9160,<0>  ,6.8700,<0>  ,
"owcwmnut  ","P",02/25/2024 8:00,1,1,2         ,1         ,"",0.0060,<-4> [SBL] ,0.0340,<0>  ,0.0080,<0>  ,0.9720,<0>  ,0.9800,<0>  ,5.0600,<0>  ,
"owcwmnut  ","P",02/25/2024 10:00,1,1,2         ,1         ,"",0.0060,<-4> [SBL] ,0.0570,<0>  ,0.0090,<0>  ,0.7250,<0>  ,0.7340,<0>  ,8.3200,<0>  ,
"owcwmnut  ","P",02/25/2024 12:00,1,1,2         ,1         ,"",0.0060,<-4> [SBL] ,0.0670,<0>  ,0.0100,<0>  ,0.6540,<0>  ,0.6640,<0>  ,31.5300,<0>  ,
"owcwmnut  ","P",02/25/2024 14:00,1,1,2         ,1         ,"",0.0060,<-4> [SBL] ,0.0400,<0>  ,0.0110,<0>  ,1.1900,<0>  ,1.2010,<0>  ,13.7800,<0>  ,
"owcwmnut  ","P",02/25/2024 16:00,1,1,2         ,1         ,"",0.0060,<-4> [SBL] ,0.0410,<0>  ,0.0110,<0>  ,0.8680,<0>  ,0.8790,<0>  ,20.5700,<0>  ,
"owcwmnut  ","P",02/25/2024 18:00,1,1,2         ,1         ,"",0.0060,<-4> [SBL] ,0.0170,<0>  ,0.0060,<0>  ,0.6820,<0>  ,0.6880,<0>  ,11.9800,<0>  ,
"owcwmnut  ","P",02/25/2024 20:00,1,1,2         ,1         ,"",0.0060,<-4> [SBL] ,0.0370,<0>  ,0.0080,<0>  ,1.0130,<0>  ,1.0210,<0>  ,11.4800,<0>  ,
"owcwmnut  ","P",02/25/2024 22:00,1,1,2         ,1         ,"",0.0060,<-4> [SBL] ,0.0540,<0>  ,0.0110,<0>  ,1.0480,<0>  ,1.0590,<0>  ,8.5300,<0>  ,
"owcwmnut  ","P",02/26/2024 0:00,1,1,2         ,1         ,"",0.0060,<-4> [SBL] ,0.0550,<0>  ,0.0110,<0>  ,1.0850,<0>  ,1.0960,<0>  ,7.6200,<0>  ,
"owcwmnut  ","P",02/26/2024 2:00,1,1,2         ,1         ,"",0.0060,<-4> [SBL] ,0.0510,<0>  ,0.0100,<0>  ,1.3270,<0>  ,1.3370,<0>  ,8.8400,<0>  ,
"owcwmnut  ","P",02/26/2024 4:00,1,1,2         ,1         ,"",0.0060,<-4> [SBL] ,0.0550,<0>  ,0.0110,<0>  ,1.4290,<0>  ,1.4400,<0>  ,7.0700,<0>  ,
"owcwmnut  ","P",02/26/2024 6:00,1,1,2         ,1         ,"",0.0060,<-4> [SBL] ,0.0120,<0>  ,0.0050,<0>  ,0.6050,<0>  ,0.6100,<0>  ,14.6800,<0>  ,
"owcwmnut  ","P",03/05/2024 10:08,1,1,1         ,1         ,"",0.0060,<-4> [SBL] ,0.0740,<0>  ,0.0190,<0>  ,0.4190,<0>  ,0.4380,<0>  ,38.3100,<0>  ,
"owcwmnut  ","P",03/05/2024 10:09,1,1,1         ,2         ,"",0.0060,<-4> [SBL] ,0.0670,<0>  ,0.0200,<0>  ,0.4310,<0>  ,0.4510,<0>  ,35.8800,<0>  ,
"owcwmnut  ","P",03/24/2024 4:00,1,1,2         ,1         ,"",0.0060,<-4> [SBL] ,0.0820,<0>  ,0.0280,<0>  ,1.7400,<0>  ,1.7680,<0>  ,8.5700,<0>  ,
"owcwmnut  ","P",03/24/2024 6:00,1,1,2         ,1         ,"",0.0060,<-4> [SBL] ,0.0800,<0>  ,0.0260,<0>  ,1.6760,<0>  ,1.7020,<0>  ,8.3900,<0>  ,
"owcwmnut  ","P",03/24/2024 8:00,1,1,2         ,1         ,"",0.0060,<-4> [SBL] ,0.0740,<0>  ,0.0260,<0>  ,1.8000,<0>  ,1.8260,<0>  ,9.0600,<0>  ,
"owcwmnut  ","P",03/24/2024 10:00,1,1,2         ,1         ,"",0.0060,<-4> [SBL] ,0.0700,<0>  ,0.0260,<0>  ,1.7810,<0>  ,1.8070,<0>  ,8.6500,<0>  ,
