"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"pdbbpnut  ","P",01/15/2019 13:30,0,1,1         ,1         ,"",0.0671,<0>  ,0.0198,<0>  ,0.0053,<0>  ,0.3622,<0>  ,0.3675,<0>  ,1.0800,<0>  ,
"pdbbpnut  ","P",01/15/2019 13:32,0,1,1         ,2         ,"",0.0672,<0>  ,0.0204,<0>  ,0.0053,<0>  ,0.3608,<0>  ,0.3661,<0>  ,1.1000,<0>  ,
"pdbbpnut  ","P",02/20/2019 10:20,0,1,1         ,1         ,"",0.0580,<0>  ,0.0113,<0>  ,0.0036,<0>  ,0.3223,<0>  ,0.3259,<0>  ,0.8900,<0>  ,
"pdbbpnut  ","P",02/20/2019 10:22,0,1,1         ,2         ,"",0.0580,<0>  ,0.0112,<0>  ,0.0036,<0>  ,0.3247,<0>  ,0.3282,<0>  ,0.8700,<0>  ,
"pdbbpnut  ","P",03/21/2019 8:50,0,1,1         ,1         ,"",0.0232,<0>  ,0.0123,<0>  ,0.0016,<0>  ,0.0271,<0>  ,0.0287,<0>  ,1.8200,<0>  ,
"pdbbpnut  ","P",03/21/2019 8:51,0,1,1         ,2         ,"",0.0233,<0>  ,0.0124,<0>  ,0.0016,<0>  ,0.0260,<0>  ,0.0276,<0>  ,1.7300,<0>  ,
"pdbbpnut  ","P",04/18/2019 8:05,0,1,1         ,1         ,"",0.0257,<0>  ,0.0177,<0>  ,0.0025,<0>  ,0.0463,<0>  ,0.0489,<0>  ,2.2200,<0>  ,
"pdbbpnut  ","P",04/18/2019 8:06,0,1,1         ,2         ,"",0.0289,<0>  ,0.0171,<0>  ,0.0025,<0>  ,0.0452,<0>  ,0.0477,<0>  ,2.3200,<0>  ,
"pdbbpnut  ","P",04/18/2019 8:06,0,1,1         ,s         ,"",0.0290,<0>  ,0.0170,<0>  ,0.0024,<0>  ,0.0450,<0>  ,0.0475,<0>  ,2.2400,<0>  ,
"pdbbpnut  ","P",05/13/2019 9:30,0,1,1         ,1         ,"",0.0319,<0>  ,0.0083,<0>  ,0.0011,<0>  ,0.0081,<0>  ,0.0134,<-4> [SBL] ,2.1800,<0>  ,
"pdbbpnut  ","P",05/13/2019 9:32,0,1,1         ,2         ,"",0.0319,<0>  ,0.0082,<0>  ,0.0010,<0>  ,0.0072,<0>  ,0.0134,<-4> [SBL] ,1.9200,<0>  ,
"pdbbpnut  ","P",06/12/2019 10:08,0,1,1         ,1         ,"",0.0492,<0>  ,0.0168,<0>  ,0.0014,<0>  ,0.0013,<0>  ,0.0134,<-4> [SBL] ,4.0400,<0>  ,
"pdbbpnut  ","P",06/12/2019 10:10,0,1,1         ,2         ,"",0.0494,<0>  ,0.0170,<0>  ,0.0011,<0>  ,0.0017,<0>  ,0.0134,<-4> [SBL] ,4.3800,<0>  ,
"pdbbpnut  ","P",06/12/2019 10:10,0,1,1         ,s         ,"",0.0503,<0>  ,0.0184,<0>  ,0.0012,<0>  ,0.0018,<0>  ,0.0134,<-4> [SBL] ,4.3400,<0>  ,
"pdbbpnut  ","P",07/16/2019 8:06,0,1,1         ,1         ,"",0.0467,<0>  ,0.0110,<0>  ,0.0016,<0>  ,0.0076,<0>  ,0.0134,<-4> [SBL] ,3.1800,<0>  ,
"pdbbpnut  ","P",07/16/2019 8:07,0,1,1         ,2         ,"",0.0481,<0>  ,0.0105,<0>  ,0.0015,<0>  ,0.0075,<0>  ,0.0134,<-4> [SBL] ,3.3300,<0>  ,
"pdbbpnut  ","P",07/16/2019 8:08,0,1,1         ,s         ,"",0.0480,<0>  ,0.0122,<0>  ,0.0015,<0>  ,0.0076,<0>  ,0.0134,<-4> [SBL] ,3.2200,<0>  ,
"pdbbpnut  ","P",08/08/2019 10:28,0,1,1         ,1         ,"",0.0529,<0>  ,0.0235,<0>  ,0.0020,<0>  ,0.0375,<0>  ,0.0395,<0>  ,4.0600,<0>  ,
"pdbbpnut  ","P",08/08/2019 10:30,0,1,1         ,2         ,"",0.0539,<0>  ,0.0239,<0>  ,0.0020,<0>  ,0.0384,<0>  ,0.0403,<0>  ,4.3900,<0>  ,
