"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"pdbbynut  ","P",01/10/2017 21:41,1,1,2         ,s         ,"",0.0656,<0>  ,0.0517,<0>  ,0.0034,<0>  ,0.3073,<0>  ,0.3107,<0>  ,0.6300,<0>  ,
"pdbbynut  ","P",01/10/2017 21:41,1,1,2         ,1         ,"",0.0660,<0>  ,0.0567,<0>  ,0.0034,<0>  ,0.3024,<0>  ,0.3058,<0>  ,0.6200,<0>  ,
"pdbbynut  ","P",01/10/2017 22:49,1,1,2         ,1         ,"",0.0655,<0>  ,0.0558,<0>  ,0.0033,<0>  ,0.3091,<0>  ,0.3124,<0>  ,0.9400,<0>  ,
"pdbbynut  ","P",01/10/2017 23:57,1,1,2         ,1         ,"",0.0677,<0>  ,0.0414,<0>  ,0.0032,<0>  ,0.3155,<0>  ,0.3187,<0>  ,1.1900,<0>  ,
"pdbbynut  ","P",01/11/2017 1:05,1,1,2         ,1         ,"",0.0698,<0>  ,0.0395,<0>  ,0.0033,<0>  ,0.3313,<0>  ,0.3346,<0>  ,1.0800,<0>  ,
"pdbbynut  ","P",01/11/2017 2:13,1,1,2         ,1         ,"",0.0755,<0>  ,0.0219,<0>  ,0.0030,<0>  ,0.3585,<0>  ,0.3615,<0>  ,0.7200,<0>  ,
"pdbbynut  ","P",01/11/2017 3:21,1,1,2         ,1         ,"",0.0748,<0>  ,0.0158,<0>  ,0.0030,<0>  ,0.3612,<0>  ,0.3643,<0>  ,0.5900,<0>  ,
"pdbbynut  ","P",01/11/2017 4:29,1,1,2         ,1         ,"",0.0756,<0>  ,0.0365,<0>  ,0.0030,<0>  ,0.3609,<0>  ,0.3638,<0>  ,0.5200,<0>  ,
"pdbbynut  ","P",01/11/2017 5:37,1,1,2         ,1         ,"",0.0769,<0>  ,0.0215,<0>  ,0.0028,<0>  ,0.3643,<0>  ,0.3672,<0>  ,0.5000,<0>  ,
"pdbbynut  ","P",01/11/2017 6:45,1,1,2         ,1         ,"",0.0703,<0>  ,0.0287,<0>  ,0.0032,<0>  ,0.3346,<0>  ,0.3379,<0>  ,0.5400,<0>  ,
"pdbbynut  ","P",01/11/2017 7:53,1,1,2         ,1         ,"",0.0709,<0>  ,0.0367,<0>  ,0.0032,<0>  ,0.3440,<0>  ,0.3473,<0>  ,0.5600,<0>  ,
"pdbbynut  ","P",01/11/2017 9:01,1,1,2         ,1         ,"",0.0689,<0>  ,0.0294,<0>  ,0.0032,<0>  ,0.3363,<0>  ,0.3396,<0>  ,0.6500,<0>  ,
"pdbbynut  ","P",01/11/2017 10:09,1,1,2         ,1         ,"",0.0686,<0>  ,0.0974,<0>  ,0.0033,<0>  ,0.3354,<0>  ,0.3387,<0>  ,0.7000,<0>  ,
"pdbbynut  ","P",01/11/2017 11:17,1,1,2         ,1         ,"",0.0670,<0>  ,0.0492,<0>  ,0.0032,<0>  ,0.3334,<0>  ,0.3367,<0>  ,0.5800,<0>  ,
"pdbbynut  ","P",01/11/2017 12:25,1,1,2         ,1         ,"",0.0683,<0>  ,0.0656,<0>  ,0.0032,<0>  ,0.3410,<0>  ,0.3442,<0>  ,0.4600,<0>  ,
"pdbbynut  ","P",01/11/2017 13:33,1,1,2         ,1         ,"",0.0653,<0>  ,0.0549,<0>  ,0.0033,<0>  ,0.3322,<0>  ,0.3356,<0>  ,0.3500,<0>  ,
"pdbbynut  ","P",01/11/2017 14:41,1,1,2         ,1         ,"",0.0720,<0>  ,0.0606,<0>  ,0.0031,<0>  ,0.3502,<0>  ,0.3533,<0>  ,0.5100,<0>  ,
"pdbbynut  ","P",01/11/2017 15:49,1,1,2         ,1         ,"",0.0684,<0>  ,0.1137,<0>  ,0.0032,<0>  ,0.3417,<0>  ,0.3448,<0>  ,0.4400,<0>  ,
"pdbbynut  ","P",01/11/2017 16:57,1,1,2         ,1         ,"",0.0671,<0>  ,0.1013,<0>  ,0.0033,<0>  ,0.3322,<0>  ,0.3355,<0>  ,0.4300,<0>  ,
"pdbbynut  ","P",01/11/2017 18:05,1,1,2         ,1         ,"",0.0713,<0>  ,0.0204,<0>  ,0.0032,<0>  ,0.3449,<0>  ,0.3481,<0>  ,0.4900,<0>  ,
"pdbbynut  ","P",01/11/2017 19:13,1,1,2         ,1         ,"",0.0708,<0>  ,0.0316,<0>  ,0.0033,<0>  ,0.3440,<0>  ,0.3473,<0>  ,0.6200,<0>  ,
"pdbbynut  ","P",01/11/2017 20:21,1,1,2         ,1         ,"",0.0702,<0>  ,0.0264,<0>  ,0.0033,<0>  ,0.3439,<0>  ,0.3472,<0>  ,1.1700,<0>  ,
"pdbbynut  ","P",01/11/2017 21:29,1,1,2         ,1         ,"",0.0669,<0>  ,0.0279,<0>  ,0.0035,<0>  ,0.3302,<0>  ,0.3338,<0>  ,1.2100,<0>  ,
"pdbbynut  ","P",01/11/2017 22:37,1,1,2         ,1         ,"",0.0669,<0>  ,0.0394,<0>  ,0.0035,<0>  ,0.3260,<0>  ,0.3294,<0>  ,1.0700,<0>  ,
"pdbbynut  ","P",01/11/2017 23:45,1,1,2         ,1         ,"",0.0656,<0>  ,0.0440,<0>  ,0.0034,<0>  ,0.3303,<0>  ,0.3337,<0>  ,1.0000,<0>  ,
