"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"pdbbywq  ","P",01/01/2025 0:00,0,1,"",7.0,<0> ,46.07,<0> ,29.5,<0> ,85.9,<0> ,8.6,<0> ,1.0,<0> ,0.96,<3> ,"",<-1> ,"","",7.7,<0> ,6,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 0:15,0,1,"",7.2,<0> ,46.17,<0> ,29.6,<0> ,85.3,<0> ,8.5,<0> ,1.07,<0> ,1.04,<3> ,"",<-1> ,"","",7.7,<0> ,5,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 0:30,0,1,"",7.2,<0> ,46.2,<0> ,29.6,<0> ,85.7,<0> ,8.5,<0> ,1.12,<0> ,1.09,<3> ,"",<-1> ,"","",7.7,<0> ,5,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 0:45,0,1,"",7.3,<0> ,46.16,<0> ,29.6,<0> ,86.2,<0> ,8.6,<0> ,1.19,<0> ,1.16,<3> ,"",<-1> ,"","",7.7,<0> ,6,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 1:00,0,1,"",7.3,<0> ,45.81,<0> ,29.3,<0> ,87.0,<0> ,8.7,<0> ,1.27,<0> ,1.24,<3> ,"",<-1> ,"","",7.7,<0> ,6,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 1:15,0,1,"",7.3,<0> ,45.84,<0> ,29.4,<0> ,88.0,<0> ,8.8,<0> ,1.37,<0> ,1.34,<3> ,"",<-1> ,"","",7.7,<0> ,6,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 1:30,0,1,"",7.4,<0> ,45.84,<0> ,29.4,<0> ,87.5,<0> ,8.7,<0> ,1.48,<0> ,1.45,<3> ,"",<-1> ,"","",7.7,<0> ,7,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 1:45,0,1,"",7.4,<0> ,45.85,<0> ,29.4,<0> ,88.0,<0> ,8.7,<0> ,1.6,<0> ,1.58,<3> ,"",<-1> ,"","",7.7,<0> ,6,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 2:00,0,1,"",7.4,<0> ,45.88,<0> ,29.4,<0> ,88.4,<0> ,8.8,<0> ,1.74,<0> ,1.72,<3> ,"",<-1> ,"","",7.7,<0> ,7,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 2:15,0,1,"",7.5,<0> ,45.92,<0> ,29.4,<0> ,89.1,<0> ,8.8,<0> ,1.89,<0> ,1.87,<3> ,"",<-1> ,"","",7.7,<0> ,5,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 2:30,0,1,"",7.6,<0> ,46.06,<0> ,29.5,<0> ,89.6,<0> ,8.8,<0> ,2.05,<0> ,2.02,<3> ,"",<-1> ,"","",7.7,<0> ,6,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 2:45,0,1,"",7.5,<0> ,46.05,<0> ,29.5,<0> ,89.0,<0> ,8.8,<0> ,2.22,<0> ,2.19,<3> ,"",<-1> ,"","",7.7,<0> ,5,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 3:00,0,1,"",7.5,<0> ,46.13,<0> ,29.6,<0> ,88.6,<0> ,8.8,<0> ,2.39,<0> ,2.36,<3> ,"",<-1> ,"","",7.7,<0> ,4,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 3:15,0,1,"",7.4,<0> ,46.1,<0> ,29.6,<0> ,88.7,<0> ,8.8,<0> ,2.58,<0> ,2.55,<3> ,"",<-1> ,"","",7.7,<0> ,4,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 3:30,0,1,"",7.3,<0> ,46.02,<0> ,29.5,<0> ,88.5,<0> ,8.8,<0> ,2.76,<0> ,2.73,<3> ,"",<-1> ,"","",7.7,<0> ,4,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 3:45,0,1,"",7.7,<0> ,46.12,<0> ,29.6,<0> ,87.8,<0> ,8.6,<0> ,2.95,<0> ,2.92,<3> ,"",<-1> ,"","",7.7,<0> ,4,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 4:00,0,1,"",8.2,<0> ,46.45,<0> ,29.9,<0> ,84.5,<0> ,8.2,<0> ,3.14,<0> ,3.11,<3> ,"",<-1> ,"","",7.7,<0> ,3,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 4:15,0,1,"",8.4,<0> ,46.57,<0> ,30.0,<0> ,82.6,<0> ,8.0,<0> ,3.32,<0> ,3.29,<3> ,"",<-1> ,"","",7.7,<0> ,4,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 4:30,0,1,"",8.5,<0> ,46.61,<0> ,30.0,<0> ,81.8,<0> ,7.9,<0> ,3.48,<0> ,3.45,<3> ,"",<-1> ,"","",7.7,<0> ,3,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 4:45,0,1,"",8.5,<0> ,46.61,<0> ,30.0,<0> ,81.0,<0> ,7.8,<0> ,3.64,<0> ,3.61,<3> ,"",<-1> ,"","",7.6,<0> ,3,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 5:00,0,1,"",8.5,<0> ,46.64,<0> ,30.0,<0> ,80.3,<0> ,7.7,<0> ,3.79,<0> ,3.76,<3> ,"",<-1> ,"","",7.6,<0> ,3,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 5:15,0,1,"",8.5,<0> ,46.64,<0> ,30.0,<0> ,80.2,<0> ,7.7,<0> ,3.94,<0> ,3.91,<3> ,"",<-1> ,"","",7.6,<0> ,3,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 5:30,0,1,"",8.5,<0> ,46.63,<0> ,30.0,<0> ,79.2,<0> ,7.6,<0> ,4.07,<0> ,4.04,<3> ,"",<-1> ,"","",7.6,<0> ,3,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 5:45,0,1,"",8.5,<0> ,46.61,<0> ,30.0,<0> ,78.8,<0> ,7.6,<0> ,4.19,<0> ,4.16,<3> ,"",<-1> ,"","",7.6,<0> ,3,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 6:00,0,1,"",8.5,<0> ,46.6,<0> ,30.0,<0> ,76.9,<0> ,7.4,<0> ,4.28,<0> ,4.25,<3> ,"",<-1> ,"","",7.6,<0> ,3,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 6:15,0,1,"",8.5,<0> ,46.61,<0> ,30.0,<0> ,74.5,<0> ,7.2,<0> ,4.34,<0> ,4.31,<3> ,"",<-1> ,"","",7.6,<0> ,3,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 6:30,0,1,"",8.5,<0> ,46.61,<0> ,30.0,<0> ,70.4,<0> ,6.8,<0> ,4.38,<0> ,4.35,<3> ,"",<-1> ,"","",7.6,<0> ,2,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 6:45,0,1,"",8.4,<0> ,46.62,<0> ,30.0,<0> ,69.5,<0> ,6.7,<0> ,4.43,<0> ,4.4,<3> ,"",<-1> ,"","",7.6,<0> ,3,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 7:00,0,1,"",8.5,<0> ,46.62,<0> ,30.0,<0> ,67.5,<0> ,6.5,<0> ,4.46,<0> ,4.43,<3> ,"",<-1> ,"","",7.5,<0> ,2,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 7:15,0,1,"",8.5,<0> ,46.6,<0> ,30.0,<0> ,66.1,<0> ,6.4,<0> ,4.5,<0> ,4.47,<3> ,"",<-1> ,"","",7.5,<0> ,3,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 7:30,0,1,"",8.5,<0> ,46.61,<0> ,30.0,<0> ,66.4,<0> ,6.4,<0> ,4.52,<0> ,4.48,<3> ,"",<-1> ,"","",7.5,<0> ,8,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 7:45,0,1,"",8.4,<0> ,46.61,<0> ,30.0,<0> ,56.4,<0> ,5.4,<0> ,4.53,<0> ,4.49,<3> ,"",<-1> ,"","",7.5,<0> ,4,<0> ,"",<-1> ,
"pdbbywq  ","P",01/01/2025 8:00,0,1,"",8.5,<0> ,46.61,<0> ,30.0,<0> ,55.7,<0> ,5.4,<0> ,4.51,<0> ,4.47,<3> ,"",<-1> ,"","",7.5,<0> ,3,<0> ,"",<-1> ,
