"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"pdbgdnut  ","S",01/25/2017 11:15,1,1,1         ,1         ,"",0.0698,<0>  ,0.0072,<0>  ,0.0035,<0>  ,0.3598,<0>  ,0.3633,<0>  ,0.3300,<0>  ,
"pdbgdnut  ","S",01/25/2017 11:17,1,1,1         ,2         ,"",0.0702,<0>  ,0.0074,<0>  ,0.0038,<0>  ,0.3609,<0>  ,0.3646,<0>  ,0.3200,<0>  ,
"pdbgdnut  ","S",02/16/2017 11:20,1,1,1         ,1         ,"",0.0683,<0>  ,0.0092,<0>  ,0.0032,<0>  ,0.3774,<0>  ,0.3806,<0>  ,0.4000,<0>  ,
"pdbgdnut  ","S",02/16/2017 11:22,1,1,1         ,2         ,"",0.0691,<0>  ,0.0082,<0>  ,0.0032,<0>  ,0.3739,<0>  ,0.3771,<0>  ,0.4200,<0>  ,
"pdbgdnut  ","S",03/30/2017 9:42,1,1,1         ,1         ,"",0.0609,<0>  ,0.0115,<0>  ,0.0038,<0>  ,0.3385,<0>  ,0.3423,<0>  ,0.6300,<0>  ,
"pdbgdnut  ","S",03/30/2017 9:44,1,1,1         ,2         ,"",0.0615,<1> [SCC] ,0.0112,<0>  ,0.0038,<0>  ,0.3389,<0>  ,0.3427,<0>  ,0.6600,<0>  ,
"pdbgdnut  ","S",04/19/2017 8:24,1,1,1         ,1         ,"",0.0560,<0>  ,0.0263,<0>  ,0.0038,<0>  ,0.3226,<0>  ,0.3264,<0>  ,1.8200,<0>  ,
"pdbgdnut  ","S",04/19/2017 8:26,1,1,1         ,2         ,"",0.0583,<0>  ,0.0222,<0>  ,0.0038,<0>  ,0.3203,<0>  ,0.3241,<0>  ,1.8100,<0>  ,
"pdbgdnut  ","S",05/17/2017 10:25,1,1,1         ,1         ,"",0.0484,<0>  ,0.0439,<1> [SRD] ,0.0039,<0>  ,0.2158,<0>  ,0.2196,<0>  ,1.3900,<0>  ,
"pdbgdnut  ","S",05/17/2017 10:27,1,1,1         ,2         ,"",0.0410,<0>  ,0.0195,<1> [SRD] ,0.0038,<0>  ,0.1778,<0>  ,0.1816,<0>  ,1.1300,<0>  ,
"pdbgdnut  ","S",06/06/2017 9:30,1,1,1         ,1         ,"",0.0540,<0>  ,0.0430,<0>  ,0.0054,<0>  ,0.2450,<0>  ,0.2505,<0>  ,0.7600,<0>  ,
"pdbgdnut  ","S",06/06/2017 9:33,1,1,1         ,2         ,"",0.0550,<0>  ,0.0412,<0>  ,0.0054,<0>  ,0.2451,<0>  ,0.2506,<0>  ,0.8500,<0>  ,
"pdbgdnut  ","S",07/12/2017 8:25,1,1,1         ,1         ,"",0.0441,<0>  ,0.0052,<1> [SRD] ,0.0040,<0>  ,0.1716,<0>  ,0.1757,<0>  ,5.5800,<1> [SRD] ,
"pdbgdnut  ","S",07/12/2017 8:28,1,1,1         ,2         ,"",0.0539,<0>  ,0.0241,<1> [SRD] ,0.0045,<0>  ,0.2036,<0>  ,0.2081,<0>  ,6.3100,<1> [SRD] ,
"pdbgdnut  ","S",08/09/2017 9:45,1,1,1         ,1         ,"",0.0684,<0>  ,0.0412,<0>  ,0.0042,<0>  ,0.2172,<0>  ,0.2214,<0>  ,1.7900,<0>  ,
"pdbgdnut  ","S",08/09/2017 9:47,1,1,1         ,2         ,"",0.0551,<0>  ,0.0404,<0>  ,0.0040,<0>  ,0.2174,<0>  ,0.2214,<0>  ,1.9200,<0>  ,
"pdbgdnut  ","S",09/06/2017 8:46,1,1,1         ,1         ,"",0.0598,<1> [SCC] ,0.0448,<0>  ,0.0042,<0>  ,0.2458,<0>  ,0.2500,<0>  ,0.7400,<0>  ,
"pdbgdnut  ","S",09/06/2017 8:48,1,1,1         ,2         ,"",0.0602,<0>  ,0.0400,<0>  ,0.0043,<0>  ,0.2504,<0>  ,0.2547,<0>  ,0.8800,<0>  ,
"pdbgdnut  ","S",10/20/2017 8:44,1,1,1         ,1         ,"",0.0550,<1> [SCC] ,0.0302,<0>  ,0.0042,<0>  ,0.2952,<0>  ,0.2994,<0>  ,2.9700,<0>  ,
"pdbgdnut  ","S",10/20/2017 8:45,1,1,1         ,2         ,"",0.0650,<1> [SCC] ,0.0359,<0>  ,0.0042,<0>  ,0.2957,<0>  ,0.2998,<0>  ,3.0800,<0>  ,
"pdbgdnut  ","S",11/17/2017 9:36,1,1,1         ,1         ,"",0.0584,<0>  ,0.0112,<0>  ,0.0054,<0>  ,0.3795,<0>  ,0.3849,<0>  ,0.6900,<0>  ,
"pdbgdnut  ","S",11/17/2017 9:38,1,1,1         ,2         ,"",0.0704,<0>  ,0.0072,<0>  ,0.0052,<0>  ,0.3786,<0>  ,0.3839,<0>  ,0.7800,<0>  ,
"pdbgdnut  ","S",12/13/2017 10:08,1,1,1         ,1         ,"",0.0711,<1> [SCC] (CHB) ,0.0054,<1> (CHB) ,0.0055,<1> (CHB) ,0.3820,<1> (CHB) ,0.3876,<1> (CHB) ,0.4700,<0>  ,
"pdbgdnut  ","S",12/13/2017 10:10,1,1,1         ,2         ,"",0.0723,<1> [SCC] (CHB) ,0.0031,<1> (CHB) ,0.0052,<1> (CHB) ,0.3825,<1> (CHB) ,0.3877,<1> (CHB) ,0.5200,<0>  ,
