"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"pdbgdwq  ","S",10/28/2016 9:15,0,1,"",10.4,<0> (CND),46.74,<0> (CND),30.2,<0> (CND),68.8,<0> (CND),6.3,<0> (CND),18.85,<0> (CND),18.84,<3> ,"",<-1> ,"","",8.1,<-3> [SSM] (CND),2,<0> (CND),"",<-1> ,
"pdbgdwq  ","S",10/28/2016 9:30,0,1,"",10.4,<0> ,46.73,<0> ,30.2,<0> ,68.7,<0> ,6.3,<0> ,18.83,<0> ,18.82,<3> ,"",<-1> ,"","",17.5,<-3> [SSM],1,<0> ,"",<-1> ,
"pdbgdwq  ","S",10/28/2016 9:45,0,1,"",10.4,<0> ,46.73,<0> ,30.2,<0> ,68.6,<0> ,6.3,<0> ,18.84,<0> ,18.83,<3> ,"",<-1> ,"","",17.5,<-3> [SSM],2,<0> ,"",<-1> ,
"pdbgdwq  ","S",10/28/2016 10:00,0,1,"",10.4,<0> ,46.74,<0> ,30.2,<0> ,68.5,<0> ,6.3,<0> ,18.87,<0> ,18.86,<3> ,"",<-1> ,"","",17.5,<-3> [SSM],2,<0> ,"",<-1> ,
"pdbgdwq  ","S",10/28/2016 10:15,0,1,"",10.4,<0> ,46.76,<0> ,30.2,<0> ,67.9,<0> ,6.3,<0> ,18.9,<0> ,18.89,<3> ,"",<-1> ,"","",17.5,<-3> [SSM],2,<0> ,"",<-1> ,
"pdbgdwq  ","S",10/28/2016 10:30,0,1,"",10.4,<0> ,46.77,<0> ,30.2,<0> ,68.0,<0> ,6.3,<0> ,18.93,<0> ,18.92,<3> ,"",<-1> ,"","",17.5,<-3> [SSM],2,<0> ,"",<-1> ,
"pdbgdwq  ","S",10/28/2016 10:45,0,1,"",10.4,<0> ,46.77,<0> ,30.2,<0> ,68.0,<0> ,6.3,<0> ,18.96,<0> ,18.95,<3> ,"",<-1> ,"","",17.5,<-3> [SSM],1,<0> ,"",<-1> ,
"pdbgdwq  ","S",10/28/2016 11:00,0,1,"",10.4,<0> ,46.76,<0> ,30.2,<0> ,67.9,<0> ,6.3,<0> ,19.01,<0> ,19.0,<3> ,"",<-1> ,"","",17.5,<-3> [SSM],2,<0> ,"",<-1> ,
"pdbgdwq  ","S",10/28/2016 11:15,0,1,"",10.4,<0> ,46.76,<0> ,30.2,<0> ,68.0,<0> ,6.3,<0> ,19.07,<0> ,19.06,<3> ,"",<-1> ,"","",17.5,<-3> [SSM],2,<0> ,"",<-1> ,
"pdbgdwq  ","S",10/28/2016 11:30,0,1,"",10.4,<0> ,46.75,<0> ,30.2,<0> ,68.0,<0> ,6.3,<0> ,19.14,<0> ,19.14,<3> ,"",<-1> ,"","",17.5,<-3> [SSM],2,<0> ,"",<-1> ,
"pdbgdwq  ","S",10/28/2016 11:45,0,1,"",10.4,<0> ,46.79,<0> ,30.3,<0> ,67.6,<0> ,6.2,<0> ,19.22,<0> ,19.22,<3> ,"",<-1> ,"","",17.5,<-3> [SSM],2,<0> ,"",<-1> ,
"pdbgdwq  ","S",10/28/2016 12:00,0,1,"",10.4,<0> ,46.81,<0> ,30.3,<0> ,67.0,<0> ,6.2,<0> ,19.31,<0> ,19.31,<3> ,"",<-1> ,"","",17.5,<-3> [SSM],2,<0> ,"",<-1> ,
