"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"pdbgsnut  ","P",04/11/2003 12:30,1,1,1         ,1         ,"",0.0665,<4>  ,0.0132,<4>  ,0.0051,<4>  ,0.3301,<4>  ,0.3352,<4>  ,0.6500,<4>  ,
"pdbgsnut  ","P",04/11/2003 12:31,1,1,1         ,2         ,"",0.0671,<4>  ,0.0138,<4>  ,0.0051,<4>  ,0.3312,<4>  ,0.3363,<4>  ,0.5500,<4>  ,
"pdbgsnut  ","P",04/28/2003 10:45,1,1,1         ,1         ,"",0.0371,<4>  ,0.0057,<4>  ,0.0038,<4>  ,0.1369,<4>  ,0.1407,<4>  ,1.8000,<4>  ,
"pdbgsnut  ","P",04/28/2003 10:46,1,1,1         ,2         ,"",0.0371,<4>  ,0.0047,<4>  ,0.0039,<4>  ,0.1406,<4>  ,0.1445,<4>  ,1.6900,<4>  ,
"pdbgsnut  ","P",05/08/2003 10:15,1,1,1         ,1         ,"",0.0494,<4>  ,0.0220,<4>  ,0.0034,<4>  ,0.1924,<4>  ,0.1958,<4>  ,0.7200,<4>  ,
"pdbgsnut  ","P",05/08/2003 10:16,1,1,1         ,2         ,"",0.0498,<4>  ,0.0211,<4>  ,0.0034,<4>  ,0.1934,<4>  ,0.1968,<4>  ,0.6600,<4>  ,
"pdbgsnut  ","P",06/10/2003 12:35,1,1,1         ,1         ,"",0.0137,<4>  ,0.0059,<4>  ,0.0010,<4>  ,0.0032,<4>  ,0.0042,<4>  ,11.2900,<0> (CSM) ,
"pdbgsnut  ","P",06/10/2003 12:36,1,1,1         ,2         ,"",0.0127,<4>  ,0.0042,<4>  ,0.0010,<4>  ,0.0033,<4>  ,0.0043,<4>  ,11.0900,<0> (CSM) ,
"pdbgsnut  ","P",06/24/2003 14:36,1,1,1         ,1         ,"",0.0413,<4>  ,0.0084,<4>  ,0.0035,<4>  ,"",<-4> [SCB] ,0.0021,<-4> [SBL] ,8.6400,<4>  ,
"pdbgsnut  ","P",06/24/2003 14:37,1,1,1         ,2         ,"",0.0397,<4>  ,0.0098,<4>  ,0.0033,<4>  ,"",<-4> [SCB] ,0.0021,<-4> [SBL] ,8.5500,<4>  ,
"pdbgsnut  ","P",07/08/2003 13:50,1,1,1         ,1         ,"",0.0446,<4>  ,0.0134,<4>  ,0.0050,<4>  ,0.1574,<4>  ,0.1624,<4>  ,5.1800,<4>  ,
"pdbgsnut  ","P",07/08/2003 13:51,1,1,1         ,2         ,"",0.0447,<4>  ,0.0126,<4>  ,0.0050,<4>  ,0.1578,<4>  ,0.1628,<4>  ,5.6700,<4>  ,
"pdbgsnut  ","P",07/22/2003 13:11,1,1,1         ,1         ,"",0.0082,<4>  ,0.0033,<4>  ,0.0004,<4>  ,"",<-4> [SCB] ,0.0021,<-4> [SBL] ,28.2300,<4>  ,
"pdbgsnut  ","P",07/22/2003 13:12,1,1,1         ,2         ,"",0.0100,<4>  ,0.0019,<4>  ,0.0002,<4>  ,"",<-4> [SCB] ,0.0021,<-4> [SBL] ,31.9700,<4>  ,
"pdbgsnut  ","P",08/13/2003 8:25,1,1,1         ,1         ,"",0.0564,<4>  ,0.0240,<4>  ,0.0039,<4>  ,0.1657,<4>  ,0.1696,<4>  ,1.6800,<4>  ,
"pdbgsnut  ","P",08/13/2003 8:26,1,1,1         ,2         ,"",0.0560,<4>  ,0.0238,<4>  ,0.0040,<4>  ,0.1654,<4>  ,0.1694,<4>  ,1.6400,<4>  ,
