"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"pdbgswq  ","P",01/01/2025 0:00,0,1,"",7.9,<0> ,44.46,<0> ,28.4,<0> ,88.8,<0> ,8.8,<0> ,0.9,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.9,<0> ,
"pdbgswq  ","P",01/01/2025 0:15,0,1,"",8.0,<0> ,44.88,<0> ,28.7,<0> ,88.2,<0> ,8.7,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.8,<0> ,
"pdbgswq  ","P",01/01/2025 0:30,0,1,"",7.8,<0> ,44.92,<0> ,28.7,<0> ,89.2,<0> ,8.8,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.8,<0> ,
"pdbgswq  ","P",01/01/2025 0:45,0,1,"",8.0,<0> ,45.55,<0> ,29.2,<0> ,87.8,<0> ,8.6,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.8,<0> ,
"pdbgswq  ","P",01/01/2025 1:00,0,1,"",7.8,<0> ,44.39,<0> ,28.4,<0> ,89.4,<0> ,8.8,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.8,<0> ,
"pdbgswq  ","P",01/01/2025 1:15,0,1,"",7.9,<0> ,44.19,<0> ,28.2,<0> ,88.6,<0> ,8.8,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.8,<0> ,
"pdbgswq  ","P",01/01/2025 1:30,0,1,"",8.2,<0> ,44.87,<0> ,28.7,<0> ,86.7,<0> ,8.5,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 1:45,0,1,"",8.1,<0> ,45.31,<0> ,29.1,<0> ,86.9,<0> ,8.5,<0> ,0.91,<0> ,0.89,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 2:00,0,1,"",8.1,<0> ,45.63,<0> ,29.3,<0> ,86.6,<0> ,8.5,<0> ,0.9,<0> ,0.88,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 2:15,0,1,"",8.2,<0> ,45.85,<0> ,29.4,<0> ,86.2,<0> ,8.4,<0> ,0.91,<0> ,0.89,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 2:30,0,1,"",8.2,<0> ,45.83,<0> ,29.4,<0> ,86.2,<0> ,8.4,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 2:45,0,1,"",8.3,<0> ,45.95,<0> ,29.5,<0> ,85.4,<0> ,8.3,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 3:00,0,1,"",8.3,<0> ,46.11,<0> ,29.6,<0> ,85.6,<0> ,8.3,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 3:15,0,1,"",8.4,<0> ,46.26,<0> ,29.7,<0> ,85.2,<0> ,8.3,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 3:30,0,1,"",8.4,<0> ,46.31,<0> ,29.8,<0> ,84.8,<0> ,8.2,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 3:45,0,1,"",8.3,<0> ,46.21,<0> ,29.7,<0> ,85.7,<0> ,8.3,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 4:00,0,1,"",8.4,<0> ,46.15,<0> ,29.7,<0> ,85.3,<0> ,8.3,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 4:15,0,1,"",8.4,<0> ,46.23,<0> ,29.7,<0> ,85.3,<0> ,8.3,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 4:30,0,1,"",8.4,<0> ,46.28,<0> ,29.8,<0> ,85.0,<0> ,8.2,<0> ,0.91,<0> ,0.88,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 4:45,0,1,"",8.4,<0> ,46.33,<0> ,29.8,<0> ,85.1,<0> ,8.2,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 5:00,0,1,"",8.5,<0> ,46.45,<0> ,29.9,<0> ,84.6,<0> ,8.2,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 5:15,0,1,"",8.5,<0> ,46.53,<0> ,29.9,<0> ,84.3,<0> ,8.1,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.8,<0> ,
"pdbgswq  ","P",01/01/2025 5:30,0,1,"",8.5,<0> ,46.56,<0> ,30.0,<0> ,84.0,<0> ,8.1,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 5:45,0,1,"",8.5,<0> ,46.49,<0> ,29.9,<0> ,84.5,<0> ,8.2,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 6:00,0,1,"",8.5,<0> ,46.52,<0> ,29.9,<0> ,84.0,<0> ,8.1,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 6:15,0,1,"",8.6,<0> ,46.63,<0> ,30.0,<0> ,83.0,<0> ,8.0,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,3,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 6:30,0,1,"",8.6,<0> ,46.62,<0> ,30.0,<0> ,82.8,<0> ,8.0,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,5,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 6:45,0,1,"",8.6,<0> ,46.62,<0> ,30.0,<0> ,82.7,<0> ,7.9,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,4,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 7:00,0,1,"",8.6,<0> ,46.62,<0> ,30.0,<0> ,82.7,<0> ,7.9,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,4,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 7:15,0,1,"",8.6,<0> ,46.62,<0> ,30.0,<0> ,82.7,<0> ,7.9,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,4,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 7:30,0,1,"",8.6,<0> ,46.62,<0> ,30.0,<0> ,82.7,<0> ,7.9,<0> ,0.9,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,4,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 7:45,0,1,"",8.6,<0> ,46.61,<0> ,30.0,<0> ,82.8,<0> ,8.0,<0> ,0.9,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,4,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 8:00,0,1,"",8.6,<0> ,46.56,<0> ,30.0,<0> ,83.6,<0> ,8.0,<0> ,0.9,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,3,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 8:15,0,1,"",8.5,<0> ,46.56,<0> ,30.0,<0> ,83.8,<0> ,8.1,<0> ,0.9,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 8:30,0,1,"",8.6,<0> ,46.65,<0> ,30.0,<0> ,82.7,<0> ,7.9,<0> ,0.9,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,3,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 8:45,0,1,"",8.6,<0> ,46.68,<0> ,30.1,<0> ,83.2,<0> ,8.0,<0> ,0.9,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,3,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 9:00,0,1,"",8.5,<0> ,46.58,<0> ,30.0,<0> ,83.8,<0> ,8.1,<0> ,0.91,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 9:15,0,1,"",8.5,<0> ,46.6,<0> ,30.0,<0> ,83.8,<0> ,8.1,<0> ,0.91,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 9:30,0,1,"",8.3,<0> ,46.45,<0> ,29.9,<0> ,84.8,<0> ,8.2,<0> ,0.91,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 9:45,0,1,"",8.4,<0> ,46.5,<0> ,29.9,<0> ,84.6,<0> ,8.2,<0> ,0.91,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 10:00,0,1,"",8.4,<0> ,46.49,<0> ,29.9,<0> ,84.6,<0> ,8.2,<0> ,0.91,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 10:15,0,1,"",8.4,<0> ,46.46,<0> ,29.9,<0> ,84.9,<0> ,8.2,<0> ,0.9,<0> ,0.85,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 10:30,0,1,"",8.4,<0> ,46.51,<0> ,29.9,<0> ,84.9,<0> ,8.2,<0> ,0.91,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 10:45,0,1,"",8.4,<0> ,46.51,<0> ,29.9,<0> ,84.9,<0> ,8.2,<0> ,0.9,<0> ,0.85,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 11:00,0,1,"",8.5,<0> ,46.53,<0> ,29.9,<0> ,84.8,<0> ,8.2,<0> ,0.9,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 11:15,0,1,"",8.5,<0> ,46.54,<0> ,30.0,<0> ,84.9,<0> ,8.2,<0> ,0.9,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.5,<0> ,
"pdbgswq  ","P",01/01/2025 11:30,0,1,"",8.5,<0> ,46.56,<0> ,30.0,<0> ,84.9,<0> ,8.2,<0> ,0.9,<0> ,0.85,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 11:45,0,1,"",8.3,<0> ,46.4,<0> ,29.8,<0> ,85.5,<0> ,8.3,<0> ,0.9,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.8,<0> ,
"pdbgswq  ","P",01/01/2025 12:00,0,1,"",8.3,<0> ,46.37,<0> ,29.8,<0> ,85.5,<0> ,8.3,<0> ,0.9,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.8,<0> ,
"pdbgswq  ","P",01/01/2025 12:15,0,1,"",8.3,<0> ,46.35,<0> ,29.8,<0> ,85.9,<0> ,8.3,<0> ,0.9,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 12:30,0,1,"",8.3,<0> ,46.38,<0> ,29.8,<0> ,85.8,<0> ,8.3,<0> ,0.9,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 12:45,0,1,"",8.4,<0> ,46.43,<0> ,29.9,<0> ,85.2,<0> ,8.2,<0> ,0.9,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 13:00,0,1,"",8.4,<0> ,46.42,<0> ,29.9,<0> ,85.1,<0> ,8.2,<0> ,0.9,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.8,<0> ,
"pdbgswq  ","P",01/01/2025 13:15,0,1,"",8.4,<0> ,46.41,<0> ,29.8,<0> ,85.3,<0> ,8.2,<0> ,0.89,<0> ,0.85,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 13:30,0,1,"",8.4,<0> ,46.42,<0> ,29.9,<0> ,85.3,<0> ,8.3,<0> ,0.89,<0> ,0.85,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.8,<0> ,
"pdbgswq  ","P",01/01/2025 13:45,0,1,"",8.4,<0> ,46.42,<0> ,29.9,<0> ,85.1,<0> ,8.2,<0> ,0.89,<0> ,0.85,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.9,<0> ,
"pdbgswq  ","P",01/01/2025 14:00,0,1,"",8.4,<0> ,46.44,<0> ,29.9,<0> ,85.0,<0> ,8.2,<0> ,0.9,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 14:15,0,1,"",8.5,<0> ,46.49,<0> ,29.9,<0> ,84.7,<0> ,8.2,<0> ,0.89,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.8,<0> ,
"pdbgswq  ","P",01/01/2025 14:30,0,1,"",8.5,<0> ,46.48,<0> ,29.9,<0> ,84.7,<0> ,8.2,<0> ,0.89,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.9,<0> ,
"pdbgswq  ","P",01/01/2025 14:45,0,1,"",8.5,<0> ,46.54,<0> ,30.0,<0> ,84.0,<0> ,8.1,<0> ,0.89,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.8,<0> ,
"pdbgswq  ","P",01/01/2025 15:00,0,1,"",8.5,<0> ,46.54,<0> ,30.0,<0> ,84.7,<0> ,8.2,<0> ,0.89,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.8,<0> ,
"pdbgswq  ","P",01/01/2025 15:15,0,1,"",8.5,<0> ,46.52,<0> ,29.9,<0> ,84.5,<0> ,8.2,<0> ,0.89,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.8,<0> ,
"pdbgswq  ","P",01/01/2025 15:30,0,1,"",8.5,<0> ,46.52,<0> ,29.9,<0> ,84.5,<0> ,8.1,<0> ,0.89,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.9,<0> ,
"pdbgswq  ","P",01/01/2025 15:45,0,1,"",8.6,<0> ,46.57,<0> ,30.0,<0> ,83.7,<0> ,8.1,<0> ,0.89,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.8,<0> ,
"pdbgswq  ","P",01/01/2025 16:00,0,1,"",8.6,<0> ,46.58,<0> ,30.0,<0> ,83.5,<0> ,8.0,<0> ,0.89,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 16:15,0,1,"",8.6,<0> ,46.59,<0> ,30.0,<0> ,83.2,<0> ,8.0,<0> ,0.89,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.9,<0> ,
"pdbgswq  ","P",01/01/2025 16:30,0,1,"",8.6,<0> ,46.61,<0> ,30.0,<0> ,83.2,<0> ,8.0,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.8,<0> ,
"pdbgswq  ","P",01/01/2025 16:45,0,1,"",8.6,<0> ,46.62,<0> ,30.0,<0> ,83.0,<0> ,8.0,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.8,<0> ,
"pdbgswq  ","P",01/01/2025 17:00,0,1,"",8.6,<0> ,46.63,<0> ,30.0,<0> ,82.9,<0> ,8.0,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 17:15,0,1,"",8.6,<0> ,46.64,<0> ,30.0,<0> ,82.8,<0> ,8.0,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 17:30,0,1,"",8.7,<0> ,46.67,<0> ,30.1,<0> ,82.4,<0> ,7.9,<0> ,0.89,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 17:45,0,1,"",8.6,<0> ,46.67,<0> ,30.1,<0> ,82.4,<0> ,7.9,<0> ,0.89,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.6,<0> ,
"pdbgswq  ","P",01/01/2025 18:00,0,1,"",8.6,<0> ,46.63,<0> ,30.0,<0> ,82.9,<0> ,8.0,<0> ,0.89,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 18:15,0,1,"",8.6,<0> ,46.61,<0> ,30.0,<0> ,83.0,<0> ,8.0,<0> ,0.89,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.8,<0> ,
"pdbgswq  ","P",01/01/2025 18:30,0,1,"",8.6,<0> ,46.61,<0> ,30.0,<0> ,82.9,<0> ,8.0,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 18:45,0,1,"",8.6,<0> ,46.59,<0> ,30.0,<0> ,83.5,<0> ,8.0,<0> ,0.89,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 19:00,0,1,"",8.5,<0> ,46.54,<0> ,30.0,<0> ,83.9,<0> ,8.1,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 19:15,0,1,"",8.5,<0> ,46.56,<0> ,30.0,<0> ,83.8,<0> ,8.1,<0> ,0.89,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 19:30,0,1,"",8.5,<0> ,46.52,<0> ,29.9,<0> ,84.1,<0> ,8.1,<0> ,0.89,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.8,<0> ,
"pdbgswq  ","P",01/01/2025 19:45,0,1,"",8.2,<0> ,46.39,<0> ,29.8,<0> ,85.7,<0> ,8.3,<0> ,0.89,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.8,<0> ,
"pdbgswq  ","P",01/01/2025 20:00,0,1,"",8.2,<0> ,46.41,<0> ,29.8,<0> ,85.9,<0> ,8.4,<0> ,0.89,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 20:15,0,1,"",8.3,<0> ,46.45,<0> ,29.9,<0> ,85.3,<0> ,8.3,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.8,<0> ,
"pdbgswq  ","P",01/01/2025 20:30,0,1,"",8.3,<0> ,46.5,<0> ,29.9,<0> ,84.9,<0> ,8.2,<0> ,0.89,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 20:45,0,1,"",7.8,<0> ,46.2,<0> ,29.7,<0> ,87.1,<0> ,8.6,<0> ,0.9,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 21:00,0,1,"",7.9,<0> ,46.23,<0> ,29.7,<0> ,87.1,<0> ,8.5,<0> ,0.9,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 21:15,0,1,"",7.9,<0> ,46.2,<0> ,29.7,<0> ,87.1,<0> ,8.5,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.8,<0> ,
"pdbgswq  ","P",01/01/2025 21:30,0,1,"",7.8,<0> ,46.17,<0> ,29.6,<0> ,87.4,<0> ,8.6,<0> ,0.9,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.9,<0> ,
"pdbgswq  ","P",01/01/2025 21:45,0,1,"",7.7,<0> ,46.1,<0> ,29.6,<0> ,87.6,<0> ,8.6,<0> ,0.9,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 22:00,0,1,"",7.6,<0> ,46.04,<0> ,29.5,<0> ,88.1,<0> ,8.7,<0> ,0.9,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.7,<0> ,
"pdbgswq  ","P",01/01/2025 22:15,0,1,"",7.6,<0> ,46.05,<0> ,29.5,<0> ,88.1,<0> ,8.7,<0> ,0.9,<0> ,0.86,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,0.8,<0> ,
