"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"pdbjenut  ","P",01/15/2019 16:43,0,1,1         ,1         ,"",0.0018,<0>  ,0.4715,<0>  ,0.0182,<0>  ,1.0341,<0>  ,1.0523,<0>  ,0.5700,<0>  ,
"pdbjenut  ","P",01/15/2019 16:44,0,1,1         ,2         ,"",0.0027,<0>  ,0.4801,<0>  ,0.0180,<0>  ,1.0332,<0>  ,1.0512,<0>  ,0.6300,<0>  ,
"pdbjenut  ","P",02/21/2019 14:15,0,1,1         ,1         ,"",0.0318,<0> [GSM] (CLE) ,0.3983,<0> [GSM] (CLE) ,0.0134,<0> [GSM] (CLE) ,2.0331,<0> [GSM] (CLE) ,2.0465,<0> [GSM] (CLE) ,1.0800,<0> [GSM] (CLE) ,
"pdbjenut  ","P",02/21/2019 14:16,0,1,1         ,2         ,"",0.0319,<0> [GSM] (CLE) ,0.4012,<0> [GSM] (CLE) ,0.0135,<0> [GSM] (CLE) ,2.0480,<0> [GSM] (CLE) ,2.0615,<0> [GSM] (CLE) ,1.1600,<0> [GSM] (CLE) ,
"pdbjenut  ","P",03/21/2019 11:32,0,1,1         ,1         ,"",0.0066,<0>  ,0.6487,<0>  ,0.0197,<0>  ,0.6626,<0>  ,0.6824,<0>  ,1.3900,<0>  ,
"pdbjenut  ","P",03/21/2019 11:33,0,1,1         ,2         ,"",0.0065,<0>  ,0.6533,<0>  ,0.0197,<0>  ,0.6631,<0>  ,0.6828,<0>  ,1.3500,<0>  ,
"pdbjenut  ","P",04/18/2019 11:29,0,1,1         ,1         ,"",0.0257,<0>  ,0.4797,<0>  ,0.0235,<0>  ,0.7088,<0>  ,0.7323,<0>  ,3.3500,<0>  ,
"pdbjenut  ","P",04/18/2019 11:30,0,1,1         ,2         ,"",0.0278,<0>  ,0.4763,<0>  ,0.0236,<0>  ,0.7117,<0>  ,0.7352,<0>  ,3.3000,<0>  ,
"pdbjenut  ","P",05/13/2019 16:05,0,1,1         ,1         ,"",0.0086,<1> (CSM) ,0.3027,<1> [SRD] (CSM) ,0.0172,<1> (CSM) ,0.2616,<1> (CSM) ,0.2789,<1> (CSM) ,4.1200,<1> (CSM) ,
"pdbjenut  ","P",05/13/2019 16:06,0,1,1         ,2         ,"",0.0090,<1> (CSM) ,1.3073,<1> [SCC] (CSM) ,0.0173,<1> (CSM) ,0.2642,<1> (CSM) ,0.2815,<1> [SCC] (CSM) ,4.1300,<1> (CSM) ,
"pdbjenut  ","P",06/12/2019 6:40,0,1,1         ,1         ,"",0.0057,<0>  ,0.4381,<0>  ,0.0322,<0>  ,0.2994,<0>  ,0.3316,<0>  ,3.6500,<0>  ,
"pdbjenut  ","P",06/12/2019 6:41,0,1,1         ,2         ,"",0.0066,<0>  ,0.4396,<0>  ,0.0320,<0>  ,0.2944,<0>  ,0.3264,<0>  ,3.5900,<0>  ,
"pdbjenut  ","P",07/16/2019 11:04,0,1,1         ,1         ,"",0.0197,<0>  ,0.2000,<0>  ,0.0313,<0>  ,0.4290,<0>  ,0.4603,<0>  ,7.5200,<0>  ,
"pdbjenut  ","P",07/16/2019 11:05,0,1,1         ,2         ,"",0.0183,<0>  ,0.2020,<0>  ,0.0314,<0>  ,0.4291,<0>  ,0.4604,<0>  ,7.3000,<0>  ,
"pdbjenut  ","P",08/08/2019 6:50,0,1,1         ,1         ,"",0.0193,<0> (CSM) ,0.0544,<0> (CSM) ,0.0054,<0> (CSM) ,0.0789,<0> (CSM) ,0.0843,<0> (CSM) ,8.3900,<0> (CSM) ,
"pdbjenut  ","P",08/08/2019 6:51,0,1,1         ,2         ,"",0.0176,<0> (CSM) ,0.0542,<0> (CSM) ,0.0054,<0> (CSM) ,0.0793,<0> (CSM) ,0.0847,<0> (CSM) ,8.2700,<0> (CSM) ,
"pdbjenut  ","P",09/06/2019 6:54,0,1,1         ,1         ,"",0.0155,<0> (CSM) ,0.0738,<0> (CSM) ,0.0020,<0> (CSM) ,0.0113,<0> (CSM) ,0.0134,<-4> [SBL] (CSM) ,4.9500,<0> (CSM) ,
"pdbjenut  ","P",09/06/2019 6:55,0,1,1         ,2         ,"",0.0151,<0> (CSM) ,0.0740,<0> (CSM) ,0.0021,<0> (CSM) ,0.0116,<0> (CSM) ,0.0137,<0> (CSM) ,5.1100,<0> (CSM) ,
"pdbjenut  ","P",10/04/2019 5:02,0,1,1         ,1         ,"",0.0152,<0> (CSM) ,0.1323,<0> (CSM) ,0.0047,<0> (CSM) ,0.3203,<0> (CSM) ,0.3250,<0> (CSM) ,5.1100,<0> (CSM) ,
"pdbjenut  ","P",10/04/2019 5:03,0,1,1         ,2         ,"",0.0146,<0> (CSM) ,0.1321,<0> (CSM) ,0.0047,<0> (CSM) ,0.3201,<0> (CSM) ,0.3248,<0> (CSM) ,5.3100,<0> (CSM) ,
"pdbjenut  ","P",11/21/2019 6:25,0,1,1         ,1         ,"",0.0423,<0> [GSM] (CLE) ,0.3898,<0> [GSM] (CLE) ,0.0324,<0> [GSM] (CLE) ,3.3184,<0> [GSM] (CLE) ,3.3508,<0> [GSM] (CLE) ,1.5500,<1> [SRD] (CLE) ,
"pdbjenut  ","P",11/21/2019 6:26,0,1,1         ,2         ,"",0.0392,<0> [GSM] (CLE) ,0.3804,<0> [GSM] (CLE) ,0.0325,<0> [GSM] (CLE) ,3.2736,<0> [GSM] (CLE) ,3.3062,<0> [GSM] (CLE) ,2.3100,<1> [SRD] (CLE) ,
"pdbjenut  ","P",12/20/2019 6:33,0,1,1         ,1         ,"",0.0086,<1> (CHB) ,0.5719,<1> (CHB) ,0.0220,<1> (CHB) ,1.0071,<1> (CHB) ,1.0291,<1> (CHB) ,0.3800,<0>  ,
"pdbjenut  ","P",12/20/2019 6:34,0,1,1         ,2         ,"",0.0049,<1> (CHB) ,0.5475,<1> (CHB) ,0.0221,<1> (CHB) ,1.0141,<1> (CHB) ,1.0362,<1> (CHB) ,0.3800,<0>  ,
