"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"pdbjlnut  ","P",02/12/2002 16:45,1,1,1         ,1         ,"",0.0008,<4>  ,0.8303,<4>  ,0.0122,<4>  ,1.2642,<4>  ,1.2764,<4>  ,0.4700,<4>  ,
"pdbjlnut  ","P",02/12/2002 16:50,1,1,1         ,2         ,"",0.0035,<4>  ,0.8506,<4>  ,0.0122,<4>  ,1.3908,<4>  ,1.4030,<4>  ,0.4300,<4>  ,
"pdbjlnut  ","P",03/22/2002 12:00,1,1,1         ,1         ,"",0.0338,<4>  ,0.5681,<4>  ,0.0193,<4>  ,2.0322,<4>  ,2.0515,<4>  ,2.8000,<4>  ,
"pdbjlnut  ","P",03/22/2002 12:01,1,1,1         ,2         ,"",0.0307,<4>  ,0.5814,<4>  ,0.0194,<4>  ,2.0513,<4>  ,2.0707,<4>  ,2.8600,<4>  ,
"pdbjlnut  ","P",04/04/2002 11:30,1,1,1         ,1         ,"",0.0155,<4>  ,0.7220,<4>  ,0.0193,<4>  ,1.1540,<4>  ,1.1733,<4>  ,2.5100,<4>  ,
"pdbjlnut  ","P",04/04/2002 11:31,1,1,1         ,2         ,"",0.0143,<4>  ,0.7153,<4>  ,0.0204,<4>  ,1.1801,<4>  ,1.2005,<4>  ,4.1300,<4>  ,
"pdbjlnut  ","P",04/18/2002 12:20,1,1,1         ,1         ,"",0.0342,<4>  ,0.3444,<4>  ,0.0188,<4>  ,0.3140,<4>  ,0.3328,<4>  ,3.5900,<4>  ,
"pdbjlnut  ","P",04/18/2002 12:21,1,1,1         ,2         ,"",0.0309,<4>  ,0.3389,<4>  ,0.0191,<4>  ,0.3144,<4>  ,0.3335,<4>  ,3.8200,<4>  ,
"pdbjlnut  ","P",06/05/2002 15:00,1,1,1         ,1         ,"",0.0077,<4>  ,0.7538,<4>  ,0.0242,<4>  ,0.2890,<4>  ,0.3132,<4>  ,7.5400,<4>  ,
"pdbjlnut  ","P",06/05/2002 15:01,1,1,1         ,2         ,"",0.0084,<4>  ,0.7161,<4>  ,0.0238,<4>  ,0.2946,<4>  ,0.3184,<4>  ,30.6000,<4>  ,
"pdbjlnut  ","P",06/20/2002 15:37,1,1,1         ,1         ,"",0.0186,<4>  ,0.6794,<4>  ,0.0254,<4>  ,0.2080,<4>  ,0.2334,<4>  ,25.7700,<4>  ,
"pdbjlnut  ","P",06/20/2002 15:38,1,1,1         ,2         ,"",0.0194,<4>  ,0.6710,<4>  ,0.0244,<4>  ,0.1999,<4>  ,0.2243,<4>  ,14.2700,<4>  ,
"pdbjlnut  ","P",07/17/2002 14:45,1,1,1         ,1         ,"",0.0324,<4>  ,1.3824,<4>  ,0.0298,<4>  ,0.2198,<4>  ,0.2496,<4>  ,0.4400,<4>  ,
"pdbjlnut  ","P",07/17/2002 14:46,1,1,1         ,2         ,"",0.0355,<4>  ,0.7311,<4>  ,0.0300,<4>  ,0.2144,<4>  ,0.2444,<4>  ,0.5000,<4>  ,
