"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"pdbjlwq  ","P",01/06/2000 16:30,1,1,"",6.6,<4> ,38.03,<4> ,23.9,<4> ,80.8,<4> ,8.5,<4> ,1.59,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.3,<4> ,12,<4> ,"",<-1> ,
"pdbjlwq  ","P",01/06/2000 17:00,1,1,"",6.6,<4> ,30.11,<4> ,18.5,<4> ,73.3,<4> ,8.0,<4> ,1.48,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.1,<4> ,18,<4> ,"",<-1> ,
"pdbjlwq  ","P",01/06/2000 17:30,1,1,"",6.8,<4> ,7.55,<4> ,4.2,<4> ,50.7,<4> ,6.0,<4> ,1.4,<4> ,"",<-1> [GCU],"",<-1> ,"","",6.8,<4> ,41,<4> ,"",<-1> ,
"pdbjlwq  ","P",01/06/2000 18:00,1,1,"",6.8,<4> ,7.18,<4> ,3.9,<4> ,50.7,<4> ,6.0,<4> ,1.24,<4> ,"",<-1> [GCU],"",<-1> ,"","",6.7,<4> ,41,<4> ,"",<-1> ,
"pdbjlwq  ","P",01/06/2000 18:30,1,1,"",6.8,<4> ,3.51,<4> ,1.9,<4> ,47.9,<4> ,5.8,<4> ,1.08,<4> ,"",<-1> [GCU],"",<-1> ,"","",6.7,<4> ,56,<4> ,"",<-1> ,
"pdbjlwq  ","P",01/06/2000 19:00,1,1,"",6.8,<4> ,0.62,<4> ,0.3,<4> ,45.6,<4> ,5.6,<4> ,0.91,<4> ,"",<-1> [GCU],"",<-1> ,"","",6.8,<4> ,62,<4> ,"",<-1> ,
"pdbjlwq  ","P",01/06/2000 19:30,1,1,"",6.8,<4> ,0.42,<4> ,0.2,<4> ,45.7,<4> ,5.6,<4> ,0.78,<4> ,"",<-1> [GCU],"",<-1> ,"","",6.7,<4> ,66,<4> ,"",<-1> ,
"pdbjlwq  ","P",01/06/2000 20:00,1,1,"",6.7,<4> ,0.41,<4> ,0.2,<4> ,47.1,<4> ,5.8,<4> ,0.69,<4> ,"",<-1> [GCU],"",<-1> ,"","",6.7,<4> ,79,<4> ,"",<-1> ,
"pdbjlwq  ","P",01/06/2000 20:30,1,1,"",6.7,<4> ,0.41,<4> ,0.2,<4> ,49.0,<4> ,6.0,<4> ,0.62,<4> ,"",<-1> [GCU],"",<-1> ,"","",6.7,<4> ,68,<4> ,"",<-1> ,
"pdbjlwq  ","P",01/06/2000 21:00,1,1,"",6.6,<4> ,0.4,<4> ,0.2,<4> ,50.4,<4> ,6.2,<4> ,0.58,<4> ,"",<-1> [GCU],"",<-1> ,"","",6.7,<4> ,58,<4> ,"",<-1> ,
"pdbjlwq  ","P",01/06/2000 21:30,1,1,"",6.6,<4> ,0.4,<4> ,0.2,<4> ,51.3,<4> ,6.3,<4> ,0.54,<4> ,"",<-1> [GCU],"",<-1> ,"","",6.7,<4> ,61,<4> ,"",<-1> ,
"pdbjlwq  ","P",01/06/2000 22:00,1,1,"",6.7,<4> ,0.4,<4> ,0.2,<4> ,51.6,<4> ,6.3,<4> ,0.52,<4> ,"",<-1> [GCU],"",<-1> ,"","",6.7,<4> ,57,<4> ,"",<-1> ,
"pdbjlwq  ","P",01/06/2000 22:30,1,1,"",6.7,<4> ,0.4,<4> ,0.2,<4> ,51.7,<4> ,6.3,<4> ,0.5,<4> ,"",<-1> [GCU],"",<-1> ,"","",6.7,<4> ,60,<4> ,"",<-1> ,
"pdbjlwq  ","P",01/06/2000 23:00,1,1,"",6.7,<4> ,0.4,<4> ,0.2,<4> ,51.6,<4> ,6.3,<4> ,0.48,<4> ,"",<-1> [GCU],"",<-1> ,"","",6.7,<4> ,68,<4> ,"",<-1> ,
