"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"pdbjtnut  ","P",01/11/2023 3:20,0,1,1         ,1         ,"",0.0163,<0>  ,0.6284,<0>  ,0.0243,<0>  ,0.8354,<0>  ,0.8598,<0>  ,0.3200,<0>  ,
"pdbjtnut  ","P",01/11/2023 3:21,0,1,1         ,2         ,"",0.0144,<0>  ,0.6497,<0>  ,0.0244,<0>  ,0.8360,<0>  ,0.8604,<0>  ,0.3000,<0>  ,
"pdbjtnut  ","P",02/09/2023 14:00,0,1,1         ,1         ,"",0.0132,<1> [SRD] ,0.6424,<0>  ,0.0280,<0>  ,0.8374,<0>  ,0.8654,<0>  ,0.7000,<0>  ,
"pdbjtnut  ","P",02/09/2023 14:02,0,1,1         ,2         ,"",0.0060,<1> [SRD] ,0.6455,<0>  ,0.0274,<0>  ,0.8336,<0>  ,0.8610,<0>  ,0.7400,<0>  ,
"pdbjtnut  ","P",03/08/2023 12:03,0,1,1         ,1         ,"",0.0137,<1> (CHB) ,0.6847,<1> (CHB) ,0.0165,<1> (CHB) ,0.7432,<1> (CHB) ,0.7597,<1> (CHB) ,0.7800,<0>  ,
"pdbjtnut  ","P",03/08/2023 12:04,0,1,1         ,2         ,"",0.0108,<1> (CHB) ,0.6975,<1> (CHB) ,0.0165,<1> (CHB) ,0.7476,<1> (CHB) ,0.7641,<1> (CHB) ,0.8700,<0>  ,
"pdbjtnut  ","P",04/12/2023 13:48,0,1,1         ,1         ,"",0.0291,<1> (CHB) ,0.6921,<1> (CHB) ,0.0168,<1> (CHB) ,0.3845,<1> (CHB) ,0.4012,<1> (CHB) ,2.5000,<0>  ,
"pdbjtnut  ","P",04/12/2023 13:49,0,1,1         ,2         ,"",0.0308,<1> (CHB) ,0.7020,<1> (CHB) ,0.0167,<1> (CHB) ,0.3888,<1> (CHB) ,0.4055,<1> (CHB) ,2.5100,<0>  ,
"pdbjtnut  ","P",05/11/2023 12:14,0,1,1         ,1         ,"",0.0265,<0>  ,0.4596,<0>  ,0.0264,<0>  ,0.3230,<0>  ,0.3494,<0>  ,3.3100,<0>  ,
"pdbjtnut  ","P",05/11/2023 12:15,0,1,1         ,2         ,"",0.0254,<0>  ,0.4681,<0>  ,0.0264,<0>  ,0.3255,<0>  ,0.3518,<0>  ,3.4200,<0>  ,
"pdbjtnut  ","P",06/13/2023 6:55,0,1,1         ,1         ,"",0.0074,<1> (CHB) ,0.4314,<1> (CHB) ,0.0785,<1> (CHB) ,0.3689,<1> (CHB) ,0.4474,<1> (CHB) ,2.1100,<0>  ,
"pdbjtnut  ","P",06/13/2023 6:57,0,1,1         ,2         ,"",0.0072,<1> (CHB) ,0.4157,<1> (CHB) ,0.0792,<1> (CHB) ,0.3780,<1> (CHB) ,0.4571,<1> (CHB) ,1.6700,<0>  ,
"pdbjtnut  ","P",07/11/2023 6:30,0,1,1         ,1         ,"",0.0032,<1> (CHB) ,0.0335,<1> (CHB) ,0.0101,<1> (CHB) ,0.1852,<1> (CHB) ,0.1952,<1> (CHB) ,6.8200,<0>  ,
"pdbjtnut  ","P",07/11/2023 6:31,0,1,1         ,2         ,"",0.0035,<1> (CHB) ,0.0317,<1> (CHB) ,0.0101,<1> (CHB) ,0.1866,<1> (CHB) ,0.1967,<1> (CHB) ,6.5300,<0>  ,
