"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"sosbhnut  ","P",01/10/2005 17:27,1,1,1         ,1         ,"{CRE}",0.0286,<1> (CHB) ,0.0298,<1> (CHB) ,0.0047,<1> (CHB) ,0.2980,<1> (CHB) ,0.3027,<1> (CHB) ,1.0600,<4>  ,
"sosbhnut  ","P",01/10/2005 17:28,1,1,1         ,2         ,"{CRE}",0.0289,<1> (CHB) ,0.0298,<1> (CHB) ,0.0047,<1> (CHB) ,0.3007,<1> (CHB) ,0.3054,<1> (CHB) ,0.8900,<4>  ,
"sosbhnut  ","P",01/10/2005 17:29,1,1,1         ,3         ,"{CRE}",0.0286,<1> (CHB) ,0.0298,<1> (CHB) ,0.0047,<1> (CHB) ,0.2981,<1> (CHB) ,0.3028,<1> (CHB) ,1.1800,<4>  ,
"sosbhnut  ","P",02/14/2005 9:59,1,1,1         ,1         ,"{CRE}",0.0303,<1> (CHB) ,0.0207,<4>  ,0.0049,<4>  ,0.1434,<4>  ,0.1483,<4>  ,1.2400,<4>  ,
"sosbhnut  ","P",02/14/2005 10:00,1,1,1         ,2         ,"{CRE}",0.0300,<1> (CHB) ,0.0207,<4>  ,0.0049,<4>  ,0.1441,<4>  ,0.1490,<4>  ,1.3900,<4>  ,
"sosbhnut  ","P",02/14/2005 10:01,1,1,1         ,3         ,"{CRE}",0.0296,<1> (CHB) ,0.0208,<4>  ,0.0049,<4>  ,0.1447,<4>  ,0.1496,<4>  ,1.3100,<4>  ,
"sosbhnut  ","P",03/14/2005 8:39,1,1,1         ,1         ,"",0.0298,<1> (CHB) ,0.0180,<1> (CHB) ,0.0041,<1> (CHB) ,0.1059,<1> (CHB) ,0.1100,<1> (CHB) ,1.9400,<4>  ,
"sosbhnut  ","P",03/14/2005 8:40,1,1,1         ,2         ,"",0.0300,<1> (CHB) ,0.0181,<1> (CHB) ,0.0041,<1> (CHB) ,0.1074,<1> (CHB) ,0.1115,<1> (CHB) ,1.9800,<4>  ,
"sosbhnut  ","P",03/14/2005 8:41,1,1,1         ,3         ,"",0.0301,<1> (CHB) ,0.0179,<1> (CHB) ,0.0040,<1> (CHB) ,0.1033,<1> (CHB) ,0.1073,<1> (CHB) ,1.8000,<4>  ,
"sosbhnut  ","P",04/11/2005 6:57,1,1,1         ,1         ,"",0.0175,<1> (CHB) ,0.0293,<1> (CHB) ,0.0029,<1> (CHB) ,0.1682,<1> (CHB) ,0.1711,<1> (CHB) ,1.5100,<4>  ,
"sosbhnut  ","P",04/11/2005 6:58,1,1,1         ,2         ,"",0.0174,<1> (CHB) ,0.0391,<1> (CHB) ,0.0028,<1> (CHB) ,0.1733,<1> (CHB) ,0.1761,<1> (CHB) ,1.6900,<4>  ,
"sosbhnut  ","P",04/11/2005 6:59,1,1,1         ,3         ,"",0.0174,<1> (CHB) ,0.0261,<1> (CHB) ,0.0026,<1> (CHB) ,0.1730,<1> (CHB) ,0.1756,<1> (CHB) ,1.5800,<4>  ,
"sosbhnut  ","P",05/23/2005 5:37,1,1,1         ,1         ,"",0.0145,<4>  ,0.0219,<4>  ,0.0027,<4>  ,0.1168,<4>  ,0.1195,<4>  ,3.6400,<4>  ,
"sosbhnut  ","P",05/23/2005 5:38,1,1,1         ,2         ,"",0.0141,<4>  ,0.0210,<4>  ,0.0027,<4>  ,0.1164,<4>  ,0.1191,<4>  ,3.6300,<4>  ,
"sosbhnut  ","P",05/23/2005 5:39,1,1,1         ,3         ,"",0.0141,<4>  ,0.0209,<4>  ,0.0027,<4>  ,0.1143,<4>  ,0.1170,<4>  ,3.7700,<4>  ,
"sosbhnut  ","P",06/20/2005 14:35,1,1,1         ,1         ,"",0.0097,<1> (CHB) ,0.0040,<1> (CHB) ,0.0004,<1> (CHB) ,0.0032,<1> (CHB) ,0.0036,<1> (CHB) ,1.4900,<4>  ,
"sosbhnut  ","P",06/20/2005 14:36,1,1,1         ,2         ,"",0.0093,<1> (CHB) ,0.0031,<1> (CHB) ,0.0003,<1> (CHB) ,"",<-4> [SCB] (CHB) ,0.0021,<-4> [SBL] (CHB) ,1.6400,<4>  ,
"sosbhnut  ","P",06/20/2005 14:37,1,1,1         ,3         ,"",0.0091,<1> (CHB) ,0.0036,<1> (CHB) ,0.0003,<1> (CHB) ,"",<-4> [SCB] (CHB) ,0.0021,<-4> [SBL] (CHB) ,1.7600,<4>  ,
"sosbhnut  ","P",07/18/2005 2:59,1,1,1         ,1         ,"",0.0422,<4>  ,0.0143,<4>  ,0.0033,<4>  ,0.1789,<4>  ,0.1822,<4>  ,6.0400,<4>  ,
"sosbhnut  ","P",07/18/2005 3:00,1,1,1         ,2         ,"",0.0417,<4>  ,0.0142,<4>  ,0.0032,<4>  ,0.1763,<4>  ,0.1795,<4>  ,6.1800,<4>  ,
"sosbhnut  ","P",07/18/2005 3:01,1,1,1         ,3         ,"",0.0416,<4>  ,0.0136,<4>  ,0.0032,<4>  ,0.1757,<4>  ,0.1789,<4>  ,6.4400,<4>  ,
"sosbhnut  ","P",08/22/2005 7:32,1,1,1         ,1         ,"",0.0390,<1> (CHB) ,0.0550,<1> (CHB) ,0.0041,<1> (CHB) ,0.1248,<1> (CHB) ,0.1289,<1> (CHB) ,5.7300,<4>  ,
"sosbhnut  ","P",08/22/2005 7:33,1,1,1         ,2         ,"",0.0387,<1> (CHB) ,0.0574,<1> (CHB) ,0.0041,<1> (CHB) ,0.1266,<1> (CHB) ,0.1307,<1> (CHB) ,5.7500,<4>  ,
"sosbhnut  ","P",08/22/2005 7:34,1,1,1         ,3         ,"",0.0388,<1> (CHB) ,0.0590,<1> (CHB) ,0.0041,<1> (CHB) ,0.1260,<1> (CHB) ,0.1301,<1> (CHB) ,5.4800,<4>  ,
"sosbhnut  ","P",09/19/2005 5:56,1,1,1         ,1         ,"",0.0431,<4>  ,0.0451,<4>  ,0.0046,<4>  ,0.1376,<4>  ,0.1422,<4>  ,5.9000,<4>  ,
"sosbhnut  ","P",09/19/2005 5:57,1,1,1         ,2         ,"",0.0428,<4>  ,0.0468,<4>  ,0.0045,<4>  ,0.1365,<4>  ,0.1410,<4>  ,5.3700,<4>  ,
"sosbhnut  ","P",09/19/2005 5:58,1,1,1         ,3         ,"",0.0436,<4>  ,0.0464,<4>  ,0.0044,<4>  ,0.1374,<4>  ,0.1418,<4>  ,6.2900,<4>  ,
"sosbhnut  ","P",10/17/2005 17:25,1,1,1         ,1         ,"{CRE}",0.0437,<4>  ,0.0471,<4>  ,0.0060,<4>  ,0.1694,<4>  ,0.1754,<4>  ,4.0000,<4>  ,
