"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"soschnut  ","P",01/25/2021 9:33,0,1,1         ,1         ,"{TSH}",0.0288,<0>  ,0.0416,<0>  ,0.0049,<1> [SRD] ,0.1872,<1> [SRD] ,0.1921,<1> [SRD] ,0.6700,<1> (CHB) ,
"soschnut  ","P",01/25/2021 9:35,0,1,1         ,2         ,"{TSH}",0.0306,<0>  ,0.0440,<0>  ,0.0055,<0>  ,0.2097,<0>  ,0.2152,<0>  ,0.7000,<1> (CHB) ,
"soschnut  ","P",01/25/2021 9:37,0,1,1         ,3         ,"{TSH}",0.0306,<0>  ,0.0461,<0>  ,0.0054,<0>  ,0.2110,<0>  ,0.2164,<0>  ,0.6800,<1> (CHB) ,
"soschnut  ","P",01/25/2021 15:32,0,1,1         ,1         ,"{TSL}",0.0337,<0>  ,0.0076,<0>  ,0.0071,<0>  ,0.1442,<0>  ,0.1513,<0>  ,2.5000,<1> (CHB) ,
"soschnut  ","P",01/25/2021 15:34,0,1,1         ,2         ,"{TSL}",0.0338,<0>  ,0.0100,<0>  ,0.0071,<0>  ,0.1478,<0>  ,0.1549,<0>  ,2.6200,<1> (CHB) ,
"soschnut  ","P",01/25/2021 15:36,0,1,1         ,3         ,"{TSL}",0.0340,<0>  ,0.0078,<0>  ,0.0073,<0>  ,0.1448,<0>  ,0.1521,<0>  ,2.5900,<1> (CHB) ,
"soschnut  ","P",01/29/2021 13:30,0,1,2         ,1         ,"",0.0139,<0>  ,0.0000,<0>  ,0.0021,<-4> [SBL] ,"",<-4> [SCB] ,0.1286,<0>  ,0.8500,<1> (CHB) ,
"soschnut  ","P",01/29/2021 16:00,0,1,2         ,1         ,"",0.0242,<0>  ,0.0006,<0>  ,0.0053,<0>  ,0.2043,<0>  ,0.2096,<0>  ,0.6600,<1> (CHB) ,
"soschnut  ","P",01/29/2021 18:30,0,1,2         ,1         ,"",0.0240,<0>  ,0.0204,<0>  ,0.0050,<0>  ,0.2239,<0>  ,0.2289,<0>  ,2.0800,<1> (CHB) ,
"soschnut  ","P",01/29/2021 21:00,0,1,2         ,1         ,"",0.0272,<0>  ,0.0248,<0>  ,0.0054,<0>  ,0.2130,<0>  ,0.2184,<0>  ,1.3500,<1> (CHB) ,
"soschnut  ","P",01/29/2021 23:30,0,1,2         ,1         ,"",0.0320,<0>  ,0.0043,<0>  ,0.0058,<0>  ,0.1838,<0>  ,0.1896,<0>  ,1.0400,<1> (CHB) ,
"soschnut  ","P",01/30/2021 2:00,0,1,2         ,1         ,"",0.0346,<0>  ,0.0053,<0>  ,0.0058,<0>  ,0.1697,<0>  ,0.1755,<0>  ,1.1900,<1> (CHB) ,
"soschnut  ","P",01/30/2021 4:30,0,1,2         ,1         ,"",0.0327,<0>  ,0.0119,<0>  ,0.0059,<0>  ,0.1867,<0>  ,0.1926,<0>  ,1.1300,<1> (CHB) ,
"soschnut  ","P",01/30/2021 7:00,0,1,2         ,1         ,"",0.0295,<0>  ,0.0241,<0>  ,0.0057,<0>  ,0.2165,<0>  ,0.2222,<0>  ,1.2000,<1> (CHB) ,
"soschnut  ","P",01/30/2021 9:30,0,1,2         ,1         ,"",0.0327,<0>  ,0.0180,<0>  ,0.0060,<0>  ,0.2054,<0>  ,0.2114,<0>  ,0.8700,<1> (CHB) ,
"soschnut  ","P",01/30/2021 12:00,0,1,2         ,1         ,"",0.0348,<0>  ,0.0091,<0>  ,0.0058,<0>  ,0.1704,<0>  ,0.1762,<0>  ,0.7100,<1> (CHB) ,
"soschnut  ","P",01/30/2021 14:30,0,1,2         ,1         ,"",0.0336,<0>  ,0.0138,<0>  ,0.0057,<0>  ,0.1790,<0>  ,0.1847,<0>  ,0.0400,<1> (CHB) ,
"soschnut  ","P",02/23/2021 9:05,0,1,1         ,1         ,"{TSH}",0.0248,<0>  ,0.0456,<0>  ,0.0027,<0>  ,0.2348,<0>  ,0.2375,<0>  ,0.9000,<0>  ,
"soschnut  ","P",02/23/2021 9:07,0,1,1         ,2         ,"{TSH}",0.0248,<0>  ,0.0469,<0>  ,0.0029,<0>  ,0.2315,<0>  ,0.2344,<0>  ,0.9200,<0>  ,
"soschnut  ","P",02/23/2021 9:09,0,1,1         ,3         ,"{TSH}",0.0250,<0>  ,0.0462,<0>  ,0.0028,<0>  ,0.2334,<0>  ,0.2362,<0>  ,0.9200,<0>  ,
"soschnut  ","P",02/23/2021 15:46,0,1,1         ,1         ,"{TSL}",0.0304,<0>  ,0.0160,<0>  ,0.0031,<0>  ,0.1419,<0>  ,0.1450,<0>  ,2.7400,<0>  ,
"soschnut  ","P",02/23/2021 15:48,0,1,1         ,2         ,"{TSL}",0.0312,<0>  ,0.0161,<0>  ,0.0037,<0>  ,0.1418,<0>  ,0.1455,<0>  ,2.1400,<0>  ,
"soschnut  ","P",02/23/2021 15:50,0,1,1         ,3         ,"{TSL}",0.0306,<0>  ,0.0198,<0>  ,0.0033,<0>  ,0.1510,<0>  ,0.1543,<0>  ,2.5200,<0>  ,
"soschnut  ","P",02/24/2021 14:00,0,1,2         ,1         ,"",0.0260,<0>  ,0.0409,<0>  ,0.0034,<0>  ,0.2041,<0>  ,0.2075,<0>  ,1.8800,<0>  ,
"soschnut  ","P",02/24/2021 16:30,0,1,2         ,1         ,"",0.0233,<0>  ,0.0380,<0>  ,0.0033,<0>  ,0.2211,<0>  ,0.2244,<0>  ,3.1400,<0>  ,
