"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"soschwq  ","P",06/10/2025 13:30,0,0,"",9.5,<0> ,51.26,<0> ,33.4,<0> ,101.0,<0> ,9.3,<0> ,2.97,<0> ,2.93,<3> ,"",<-1> ,"","",7.9,<0> ,3,<0> ,"",<-1> ,
"soschwq  ","P",06/10/2025 13:45,0,0,"",9.8,<0> ,51.13,<0> ,33.3,<0> ,108.2,<0> ,9.9,<0> ,2.93,<0> ,2.89,<3> ,"",<-1> ,"","",7.9,<0> ,3,<0> ,"",<-1> ,
"soschwq  ","P",06/10/2025 14:00,0,0,"",10.0,<0> ,51.1,<0> ,33.3,<0> ,110.4,<0> ,10.1,<0> ,2.87,<0> ,2.83,<3> ,"",<-1> ,"","",8.0,<0> ,3,<0> ,"",<-1> ,
"soschwq  ","P",06/10/2025 14:15,0,0,"",10.4,<0> ,50.99,<0> ,33.3,<0> ,118.2,<0> ,10.7,<0> ,2.83,<0> ,2.79,<3> ,"",<-1> ,"","",8.0,<0> ,3,<0> ,"",<-1> ,
"soschwq  ","P",06/10/2025 14:30,0,0,"",10.8,<0> ,50.84,<0> ,33.2,<0> ,121.8,<0> ,10.9,<0> ,2.77,<0> ,2.73,<3> ,"",<-1> ,"","",8.0,<0> ,3,<0> ,"",<-1> ,
"soschwq  ","P",06/10/2025 14:45,0,0,"",11.3,<0> ,50.69,<0> ,33.1,<0> ,124.8,<0> ,11.1,<0> ,2.7,<0> ,2.66,<3> ,"",<-1> ,"","",8.0,<0> ,3,<0> ,"",<-1> ,
"soschwq  ","P",06/10/2025 15:00,0,0,"",11.9,<0> ,50.46,<0> ,33.0,<0> ,128.7,<0> ,11.3,<0> ,2.66,<0> ,2.62,<3> ,"",<-1> ,"","",8.0,<0> ,3,<0> ,"",<-1> ,
"soschwq  ","P",06/10/2025 15:15,0,0,"",12.4,<0> ,50.25,<0> ,32.9,<0> ,131.6,<0> ,11.4,<0> ,2.59,<0> ,2.55,<3> ,"",<-1> ,"","",8.0,<0> ,3,<0> ,"",<-1> ,
"soschwq  ","P",06/10/2025 15:30,0,0,"",12.7,<0> ,50.14,<0> ,32.8,<0> ,133.0,<0> ,11.5,<0> ,2.55,<0> ,2.51,<3> ,"",<-1> ,"","",8.1,<0> ,3,<0> ,"",<-1> ,
"soschwq  ","P",06/10/2025 15:45,0,0,"",13.1,<0> ,50.03,<0> ,32.7,<0> ,134.5,<0> ,11.5,<0> ,2.5,<0> ,2.46,<3> ,"",<-1> ,"","",8.1,<0> ,3,<0> ,"",<-1> ,
"soschwq  ","P",06/10/2025 16:00,0,0,"",13.4,<0> ,49.9,<0> ,32.6,<0> ,136.2,<0> ,11.6,<0> ,2.45,<0> ,2.41,<3> ,"",<-1> ,"","",8.1,<0> ,3,<0> ,"",<-1> ,
"soschwq  ","P",06/10/2025 16:15,0,0,"",13.5,<0> ,49.78,<0> ,32.6,<0> ,137.3,<0> ,11.7,<0> ,2.41,<0> ,2.37,<3> ,"",<-1> ,"","",8.1,<0> ,3,<0> ,"",<-1> ,
"soschwq  ","P",06/10/2025 16:30,0,0,"",13.8,<0> ,49.66,<0> ,32.5,<0> ,138.4,<0> ,11.7,<0> ,2.38,<0> ,2.34,<3> ,"",<-1> ,"","",8.1,<0> ,3,<0> ,"",<-1> ,
"soschwq  ","P",06/10/2025 16:45,0,0,"",13.9,<0> ,49.58,<0> ,32.4,<0> ,139.2,<0> ,11.8,<0> ,2.38,<0> ,2.34,<3> ,"",<-1> ,"","",8.1,<0> ,2,<0> ,"",<-1> ,
"soschwq  ","P",06/10/2025 17:00,0,0,"",14.0,<0> ,49.52,<0> ,32.4,<0> ,139.6,<0> ,11.8,<0> ,2.37,<0> ,2.33,<3> ,"",<-1> ,"","",8.1,<0> ,2,<0> ,"",<-1> ,
"soschwq  ","P",06/10/2025 17:15,0,0,"",14.1,<0> ,49.4,<0> ,32.3,<0> ,139.4,<0> ,11.7,<0> ,2.35,<0> ,2.31,<3> ,"",<-1> ,"","",8.1,<0> ,3,<0> ,"",<-1> ,
"soschwq  ","P",06/10/2025 17:30,0,0,"",14.1,<0> ,49.53,<0> ,32.4,<0> ,141.5,<0> ,11.9,<0> ,2.36,<0> ,2.32,<3> ,"",<-1> ,"","",8.1,<0> ,3,<0> ,"",<-1> ,
"soschwq  ","P",06/10/2025 17:45,0,0,"",13.9,<0> ,49.61,<0> ,32.4,<0> ,139.6,<0> ,11.8,<0> ,2.36,<0> ,2.32,<3> ,"",<-1> ,"","",8.1,<0> ,2,<0> ,"",<-1> ,
"soschwq  ","P",06/10/2025 18:00,0,0,"",13.9,<0> ,49.77,<0> ,32.6,<0> ,138.5,<0> ,11.7,<0> ,2.4,<0> ,2.36,<3> ,"",<-1> ,"","",8.1,<0> ,3,<0> ,"",<-1> ,
"soschwq  ","P",06/10/2025 18:15,0,0,"",13.0,<0> ,50.04,<0> ,32.7,<0> ,138.9,<0> ,11.9,<0> ,2.44,<0> ,2.4,<3> ,"",<-1> ,"","",8.1,<0> ,3,<0> ,"",<-1> ,
