"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"soscsnut  ","S",01/14/2003 3:30,1,1,2         ,1         ,"{CRE}",0.0271,<4>  ,0.1055,<4>  ,0.0087,<4>  ,0.2834,<4>  ,0.2921,<4>  ,0.6200,<4>  ,
"soscsnut  ","S",01/14/2003 6:00,1,1,2         ,1         ,"{CRE}",0.0274,<4>  ,0.0706,<4>  ,0.0084,<4>  ,0.2667,<4>  ,0.2751,<4>  ,0.6000,<4>  ,
"soscsnut  ","S",01/14/2003 8:30,1,1,2         ,1         ,"{CRE}",0.0294,<4>  ,0.0560,<4>  ,0.0082,<4>  ,0.2200,<4>  ,0.2282,<4>  ,0.5900,<4>  ,
"soscsnut  ","S",01/14/2003 11:00,1,1,2         ,1         ,"{CRE}",0.0292,<4>  ,0.0703,<4>  ,0.0085,<4>  ,0.2316,<4>  ,0.2401,<4>  ,0.6900,<4>  ,
"soscsnut  ","S",01/14/2003 13:30,1,1,2         ,1         ,"{CRE}",0.0264,<4>  ,0.1055,<4>  ,0.0085,<4>  ,0.2681,<4>  ,0.2766,<4>  ,1.2600,<4>  ,
"soscsnut  ","S",01/14/2003 16:00,1,1,2         ,1         ,"{CRE}",0.0241,<4>  ,0.1078,<4>  ,0.0082,<4>  ,0.3131,<4>  ,0.3213,<4>  ,1.4100,<4>  ,
"soscsnut  ","S",01/14/2003 18:30,1,1,2         ,1         ,"{CRE}",0.0271,<4>  ,0.1108,<4>  ,0.0089,<4>  ,0.2965,<4>  ,0.3054,<4>  ,1.2100,<4>  ,
"soscsnut  ","S",01/14/2003 21:00,1,1,2         ,1         ,"{CRE}",0.0273,<4>  ,0.0857,<4>  ,0.0085,<4>  ,0.2697,<4>  ,0.2782,<4>  ,1.0700,<4>  ,
"soscsnut  ","S",01/14/2003 23:30,1,1,2         ,1         ,"{CRE}",0.0262,<4>  ,0.0620,<4>  ,0.0079,<4>  ,0.2377,<4>  ,0.2456,<4>  ,0.5400,<4>  ,
"soscsnut  ","S",04/21/2003 14:00,1,1,2         ,1         ,"",0.0146,<4>  ,0.0441,<4>  ,0.0031,<4>  ,0.0915,<4>  ,0.0946,<4>  ,1.6900,<4>  ,
"soscsnut  ","S",04/21/2003 16:30,1,1,2         ,1         ,"",0.0168,<4>  ,0.0178,<4>  ,0.0022,<4>  ,0.0547,<4>  ,0.0569,<4>  ,1.3900,<4>  ,
"soscsnut  ","S",04/21/2003 19:00,1,1,2         ,1         ,"",0.0171,<4>  ,0.0189,<4>  ,0.0020,<4>  ,0.0491,<4>  ,0.0511,<4>  ,1.4500,<4>  ,
"soscsnut  ","S",04/21/2003 21:30,1,1,2         ,1         ,"",0.0170,<4>  ,0.0244,<4>  ,0.0022,<4>  ,0.0612,<4>  ,0.0634,<4>  ,1.4900,<4>  ,
"soscsnut  ","S",04/22/2003 0:00,1,1,2         ,1         ,"",0.0192,<4>  ,0.0358,<4>  ,0.0022,<4>  ,0.0524,<4>  ,0.0546,<4>  ,1.3700,<4>  ,
"soscsnut  ","S",04/22/2003 2:30,1,1,2         ,1         ,"",0.0180,<4>  ,0.0232,<4>  ,0.0020,<4>  ,0.0410,<4>  ,0.0430,<4>  ,1.3200,<4>  ,
"soscsnut  ","S",04/22/2003 5:00,1,1,2         ,1         ,"",0.0184,<4>  ,0.0261,<4>  ,0.0018,<4>  ,0.0423,<4>  ,0.0441,<4>  ,0.9900,<4>  ,
"soscsnut  ","S",04/22/2003 7:30,1,1,2         ,1         ,"",0.0181,<4>  ,0.0312,<4>  ,0.0020,<4>  ,0.0456,<4>  ,0.0476,<4>  ,1.0800,<4>  ,
"soscsnut  ","S",04/22/2003 10:00,1,1,2         ,1         ,"",0.0144,<4>  ,0.0215,<4>  ,0.0019,<4>  ,0.0461,<4>  ,0.0480,<4>  ,2.5400,<4>  ,
