"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"sosvanut  ","P",01/14/2004 11:28,1,1,1         ,1         ,"{CRE}",0.0217,<4>  ,0.0535,<4>  ,0.0057,<4>  ,0.2880,<4>  ,0.2937,<4>  ,2.3300,<4>  ,
"sosvanut  ","P",01/14/2004 11:29,1,1,1         ,2         ,"{CRE}",0.0218,<4>  ,0.0521,<4>  ,0.0057,<4>  ,0.2876,<4>  ,0.2933,<4>  ,2.5200,<4>  ,
"sosvanut  ","P",01/14/2004 11:30,1,1,1         ,3         ,"{CRE}",0.0219,<4>  ,0.0513,<4>  ,0.0057,<4>  ,0.2832,<4>  ,0.2889,<4>  ,2.1500,<4>  ,
"sosvanut  ","P",02/09/2004 20:55,1,1,1         ,1         ,"{CRE}",0.0154,<4>  ,0.0302,<4>  ,0.0023,<4>  ,0.2432,<4>  ,0.2455,<4>  ,1.3700,<4>  ,
"sosvanut  ","P",02/09/2004 20:56,1,1,1         ,2         ,"{CRE}",0.0154,<4>  ,0.0313,<4>  ,0.0023,<4>  ,0.2487,<4>  ,0.2510,<4>  ,1.4100,<4>  ,
"sosvanut  ","P",02/09/2004 20:57,1,1,1         ,3         ,"{CRE}",0.0152,<4>  ,0.0310,<4>  ,0.0022,<4>  ,0.2484,<4>  ,0.2506,<4>  ,1.4400,<4>  ,
"sosvanut  ","P",03/16/2004 15:27,1,1,1         ,1         ,"",0.0180,<4>  ,0.0188,<4>  ,0.0022,<4>  ,0.1152,<4>  ,0.1174,<4>  ,3.7500,<4>  ,
"sosvanut  ","P",03/16/2004 15:28,1,1,1         ,2         ,"",0.0183,<4>  ,0.0174,<4>  ,0.0022,<4>  ,0.1152,<4>  ,0.1174,<4>  ,3.5900,<4>  ,
"sosvanut  ","P",03/16/2004 15:28,1,1,1         ,3         ,"",0.0183,<4>  ,0.0183,<4>  ,0.0021,<4>  ,0.1149,<4>  ,0.1170,<4>  ,3.6400,<4>  ,
"sosvanut  ","P",04/15/2004 16:00,1,1,1         ,1         ,"{CRE}",0.0112,<1> (CHB) ,0.0078,<1> (CHB) ,0.0015,<1> (CHB) ,0.0588,<1> (CHB) ,0.0603,<1> (CHB) ,2.0000,<4>  ,
"sosvanut  ","P",04/15/2004 16:02,1,1,1         ,2         ,"{CRE}",0.0111,<1> (CHB) ,0.0065,<1> (CHB) ,0.0015,<1> (CHB) ,0.0523,<1> (CHB) ,0.0538,<1> (CHB) ,2.2400,<4>  ,
"sosvanut  ","P",04/15/2004 16:04,1,1,1         ,3         ,"{CRE}",0.0116,<1> (CHB) ,0.0058,<1> (CHB) ,0.0014,<1> (CHB) ,0.0516,<1> (CHB) ,0.0530,<1> (CHB) ,2.2700,<4>  ,
"sosvanut  ","P",05/13/2004 14:27,1,1,1         ,1         ,"",0.0194,<1> (CHB) ,0.0503,<1> (CHB) ,0.0030,<1> (CHB) ,0.0209,<1> (CHB) ,0.0239,<1> (CHB) ,11.5000,<4>  ,
"sosvanut  ","P",05/13/2004 14:28,1,1,1         ,2         ,"",0.0192,<1> (CHB) ,0.0473,<1> (CHB) ,0.0028,<1> (CHB) ,0.0211,<1> (CHB) ,0.0239,<1> (CHB) ,11.5200,<4>  ,
"sosvanut  ","P",05/13/2004 14:29,1,1,1         ,3         ,"",0.0197,<1> (CHB) ,0.0498,<1> (CHB) ,0.0029,<1> (CHB) ,0.0210,<1> (CHB) ,0.0239,<1> (CHB) ,7.9100,<4>  ,
"sosvanut  ","P",06/07/2004 10:56,1,1,1         ,1         ,"{CRE}",0.0133,<1> (CHB) ,0.0313,<1> (CHB) ,0.0023,<1> (CHB) ,"",<-4> [SCB] (CHB) ,0.0021,<-4> [SBL] (CHB) ,8.5600,<4>  ,
"sosvanut  ","P",06/07/2004 10:57,1,1,1         ,2         ,"{CRE}",0.0172,<1> (CHB) ,0.0410,<1> (CHB) ,0.0033,<1> (CHB) ,"",<-4> [SCB] (CHB) ,0.0021,<-4> [SBL] (CHB) ,5.8300,<4>  ,
"sosvanut  ","P",06/07/2004 10:58,1,1,1         ,3         ,"{CRE}",0.0176,<1> (CHB) ,0.0425,<1> (CHB) ,0.0035,<1> (CHB) ,"",<-4> [SCB] (CHB) ,0.0021,<-4> [SBL] (CHB) ,3.6900,<4>  ,
"sosvanut  ","P",07/14/2004 4:56,1,1,1         ,1         ,"",0.0403,<1> (CHB) ,0.0182,<1> (CHB) ,0.0012,<1> (CHB) ,"",<-4> [SCB] (CHB) ,0.0021,<-4> [SBL] (CHB) ,5.1800,<4>  ,
"sosvanut  ","P",07/14/2004 4:57,1,1,1         ,2         ,"",0.0403,<1> (CHB) ,0.0178,<1> (CHB) ,0.0013,<1> (CHB) ,0.0021,<1> (CHB) ,0.0034,<1> (CHB) ,4.0500,<4>  ,
"sosvanut  ","P",07/14/2004 4:58,1,1,1         ,3         ,"",0.0413,<1> (CHB) ,0.0215,<1> (CHB) ,0.0016,<1> (CHB) ,0.0033,<1> (CHB) ,0.0049,<1> (CHB) ,3.5400,<4>  ,
