"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"soswinut  ","P",01/13/2004 16:00,1,1,2         ,1         ,"{CRE}",0.0011,<4>  ,0.0220,<4>  ,0.0006,<4>  ,0.5708,<4>  ,0.5714,<4>  ,0.1600,<4>  ,
"soswinut  ","P",01/13/2004 18:30,1,1,2         ,1         ,"{CRE}",0.0008,<4>  ,0.0163,<4>  ,0.0005,<4>  ,0.5674,<4>  ,0.5679,<4>  ,0.1600,<4>  ,
"soswinut  ","P",01/13/2004 21:00,1,1,2         ,1         ,"{CRE}",0.0008,<4>  ,0.0170,<4>  ,0.0004,<4>  ,0.5610,<4>  ,0.5614,<4>  ,0.3100,<4>  ,
"soswinut  ","P",01/13/2004 23:30,1,1,2         ,1         ,"{CRE}",0.0009,<4>  ,0.0204,<4>  ,0.0005,<4>  ,0.5544,<4>  ,0.5549,<4>  ,0.2800,<4>  ,
"soswinut  ","P",01/14/2004 2:00,1,1,2         ,1         ,"{CRE}",0.0007,<4>  ,0.0181,<4>  ,0.0006,<4>  ,0.5504,<4>  ,0.5510,<4>  ,0.2500,<4>  ,
"soswinut  ","P",01/14/2004 4:30,1,1,2         ,1         ,"{CRE}",0.0022,<4>  ,0.0235,<4>  ,0.0006,<4>  ,0.5271,<4>  ,0.5277,<4>  ,0.1900,<4>  ,
"soswinut  ","P",01/14/2004 7:00,1,1,2         ,1         ,"{CRE}",0.0092,<4>  ,0.0474,<4>  ,0.0036,<4>  ,0.3767,<4>  ,0.3803,<4>  ,0.3800,<4>  ,
"soswinut  ","P",01/14/2004 9:30,1,1,2         ,1         ,"{CRE}",0.0009,<4>  ,0.0193,<4>  ,0.0006,<4>  ,0.5420,<4>  ,0.5426,<4>  ,0.2200,<4>  ,
"soswinut  ","P",01/14/2004 12:00,1,1,2         ,1         ,"{CRE}",0.0008,<4>  ,0.0212,<4>  ,0.0006,<4>  ,0.5360,<4>  ,0.5366,<4>  ,0.4300,<4>  ,
"soswinut  ","P",01/14/2004 12:01,1,1,1         ,1         ,"{CRE}",0.0020,<4>  ,0.0184,<4>  ,0.0005,<4>  ,0.5309,<4>  ,0.5314,<4>  ,0.3600,<4>  ,
