"station","param","p_0","p_5","p_10","p_25","p_50","p_75","p_90","p_95","p_100"
"acebb","temp",8.6,9.9,11,14.375,21.9,27.725,29.3,30,31.2
"acebb","spcond",35.765,40.1255,41.7475,44.19,47.78,50.5875,51.715,52.37275,53.41
"acebb","sal",22.45,25.7,26.72,28.475,31.1,33.2,34.09,34.345,35.3
"acebb","do_mgl",3.3,4.6,4.7,5,6.2,7.8,8.66,9.06,9.4
"acebb","do_pct",53.4,71.1625,73.26,76.55,84.525,91.25,94.91,97.465,100.5
"acebb","ph",7.5,7.6,7.6,7.7,7.8,8,8.1,8.275,8.6
"acebb","turb",4,7.7,10,14,19,26,35,44,1291
"aceei","temp",7.9,11.675,12.65,15.175,22.05,28.1,29.85,30.125,30.9
"aceei","spcond",35.17,38.6085,39.596,41.725,44.74,47.43,49.444,49.929,51.6
"aceei","sal",22.15,24.57,25.3,26.8,28.9,30.75,32.2,32.63,33.9
"aceei","do_mgl",4.5,4.6,4.7,4.9,6.1,7.6,8.3,8.425,9.8
"aceei","do_pct",69.45,71.825,73.1,75.575,80.7,90.2,92.5,94.175,99.7
"aceei","ph",7.5,7.6,7.6,7.6,7.7,7.9,8,8,8.1
"aceei","turb",9,11,12,13,17,19,23,26.35,39
"acefc","temp",7.6,9.7,10.9,14.275,21.25,27.3,29.2,29.8,30.4
"acefc","spcond",1.27,3.3305,4.419,6.935,11.1025,16.685,22.33,25.09725,32.78
"acefc","sal",0.6,1.795,2.39,3.8,6.3,9.825,13.5,15.305,20.5
"acefc","do_mgl",2.9,3.3,3.4,3.9,5.3,7.65,8.8,9.56,10.8
"acefc","do_pct",39.8,44.99,47.5,52.3,63.9,78,84.68,87.7,95.9
"acefc","ph",6.5,6.64,6.7,6.8,6.9,7.1,7.3,7.46,7.9
"acefc","turb",10,15.35,17,22,28,35,44.6,51.3,463.5
"acefj","temp",11.1,11.7,12.16,15.3,23.3,28.05,29.18,29.62,30.3
"acefj","spcond",34.48,34.9965,35.614,38.89,39.54,41.115,42.308,42.9265,43.505
"acefj","sal",21.7,22.05,22.46,24.65,25.2,26.3,27.14,27.57,28
"acefj","do_mgl",4.8,4.8,4.86,5.25,6.1,8.2,8.84,9.18,9.4
"acefj","do_pct",71.4,72.87,73.92,76.45,83.5,93.75,96.54,97.3,100.3
"acefj","ph",7.8,7.8,7.8,7.8,7.9,8.1,8.16,8.2,8.2
"acefj","turb",6,6,6,7,8,9,10,10.7,12
"acegp","temp",7.7,9.79,10.94,14.5,20.4,27.45,29.4,29.76,30.9
"acegp","spcond",0.07,0.08,0.08,0.09,0.14,0.2575,1.239,3.0375,8.23
"acegp","sal",0,0,0,0,0.1,0.1,0.640000000000001,1.54,4.5
"acegp","do_mgl",3.6,4.795,5.1,5.5,6.5,8.4,9.37,9.935,11.1
"acegp","do_pct",46.1,60.6625,63.06,68.625,75.75,81.75,86.25,88.5925,95.2
"acegp","ph",5.9,6.26,6.32,6.5,6.6,6.7,6.8,6.94,7.2
"acegp","turb",6,7,8,11.5,19,31.5,62,68.5,92
"aceji","temp",7.5,10.12,11.18,14.8,20.5,27.8,29.3,29.87,30.6
"aceji","spcond",0.28,0.7625,1.273,3.095,10.325,16.83125,25.915,29.84725,35.18
"aceji","sal",0.1,0.4,0.62,1.625,5.85,9.9,15.78,18.39,22.2
"aceji","do_mgl",3.7,4.105,4.41,5.125,7.15,8.475,9.5,9.79,11.9
"aceji","do_pct",51.7,55.255,58.005,66.625,79.45,85.3,88.29,89.38,95.5
"aceji","ph",6.3,6.595,6.7,6.9,7.1,7.3,7.5,7.6,8
"aceji","turb",17,27.1,32,38,50,59,69,75,91
"acemc","temp",7.7,10.4,11.4,14.5,21.6,28.2,29.61,30.3,31.2
"acemc","spcond",4.49,11.162,14.632,21.7675,28.31,35.14,40.98,43.196,46.64
"acemc","sal",2.4,6.325,8.52,13.1,17.4,22,26.16,27.69,30.3
"acemc","do_mgl",3.1,3.6,3.8,4.4,5.9,7.7,8.7,9.3,10.3
"acemc","do_pct",41.4,50.12,55.31,63.1,73.3,84.7,89.2,92.6,99
"acemc","ph",6.8,6.925,7.1,7.2,7.4,7.6,7.7,7.8,8
"acemc","turb",11,13,15,19,24,29,34,39.2,67
"acesp","temp",5.2,10.545,11.58,14.5,21.9,27.8,29.3,29.855,30.6
"acesp","spcond",29.58,35.5715,37.368,40.8125,45.1475,48.72625,50.816,51.9565,53.84
"acesp","sal",18.2,22.435,23.64,26.075,29.25,31.725,33.315,34.065,35.6
"acesp","do_mgl",4,4.4,4.5,4.9,6,7.6,8.5,9,10
"acesp","do_pct",59.4,68.5,70.6,73.6,81.15,90.875,94.54,96.3,99.2
"acesp","ph",7.2,7.5,7.5,7.6,7.7,7.9,8.1,8.1,8.8
"acesp","turb",6,9.3,11,14,17,21,27,30.7,95
"apabp","temp",13,13.55,13.94,17.6,23.7,27.8,28.68,29.52,29.9
"apabp","spcond",0.09,0.1,0.108,0.11,0.12,0.13,0.14,0.979999999999997,1.57
"apabp","sal",0,0.04,0.1,0.1,0.1,0.1,0.1,0.519999999999999,0.8
"apabp","do_mgl",4.3,4.94,5.08,5.3,6.7,7.7,9.02,9.16,9.5
"apabp","do_pct",53.6,63.04,63.18,66.9,74.8,85.45,87.18,88.86,90.5
"apabp","ph",6.8,6.9,6.9,7,7.1,7.2,7.32,7.4,7.4
"apabp","turb",5,5,6.6,8,11,14,16,16.6,19
"apacp","temp",10.7,13.4,14.54,17.375,23.75,28.8,30.2,30.4,31.5
"apacp","spcond",3.145,15.812,22.005,28.17,35.31,40.71,45.07,47.562,53.53
"apacp","sal",1.65,9.24,13.22,17.3,22.3,26,29.1,30.9,35.3
"apacp","do_mgl",4.2,5.3,5.5,6.1,7,8.175,9.3,9.775,10.9
"apacp","do_pct",63.7,77.6,80.85,88.0625,93.525,97.4,101.45,103.7,117.85
"apacp","ph",7.3,7.7,7.8,7.9,8,8.1,8.2,8.3,8.5
"apacp","turb",1,3,4,6,8,10,13.5,15,37
"apadb","temp",10.6,13.3,14.36,17.4,23.7,28.6,30.1,30.4,31.3
"apadb","spcond",5.83,16.44,19.861,27.55375,33.7625,40.1,44.9445,47.777,53.835
"apadb","sal",3.2,9.66,11.86,17,21.2,25.55,28.955,30.97,35.4
"apadb","do_mgl",4.9,5.6,5.7,6.1,7.25,8.6,9.55,9.9,10.3
"apadb","do_pct",77,83.5,85.55,89.4125,94.4,98.525,103.4,106.775,116.8
"apadb","ph",7.3,7.7,7.8,7.9,8,8.2,8.3,8.4,8.6
"apadb","turb",2,4,5,7,10,12,16,18,40
"apaeb","temp",11.1,13.86,14.9,18.4,24.6,29,30.2,30.5,31.5
"apaeb","spcond",0.18,0.4275,1.37,5.85,14.5325,25.915,33.92,36.945,46.24
"apaeb","sal",0.1,0.2,0.7,3.175,8.425,15.825,21.25,23.4,29.8
"apaeb","do_mgl",1.5,3.32,3.94,5.2,7,8.4,9.4,10.1,12
"apaeb","do_pct",20.5,46.38,52.7,71.2,85.5,95.3,101.92,107.42,122.5
"apaeb","ph",4.5,6.345,6.79,7.3,7.6,7.9,8.2,8.3,8.7
"apaeb","turb",3,5,6,9,13,17,21,25.75,35
"apaes","temp",11.2,13.7,15.17,18.5375,24.55,29.1,30.2,30.6075,31.5
"apaes","spcond",0.18,0.46,1.369,5.7425,12.425,23.34625,31.5705,36.114,43.09
"apaes","sal",0.1,0.2,0.7,3.125,7.1,14.175,19.63,22.79,27.7
"apaes","do_mgl",1.9,3.765,4.03,5.1,6.7,8.3,9.2,9.735,11.2
"apaes","do_pct",27.1,51.265,55.36,68.9125,83.75,91.775,99.1,102.47,113.7
"apaes","ph",5.2,6.2,6.7,7.2,7.5,7.9,8.1,8.3,8.6
"apaes","turb",0,3,4,5,8,12,16.7,21.35,32
"apalm","temp",11.2,14,15.52,17.325,22.8,27.65,29.62,29.9,30.1
"apalm","spcond",0.09,0.104,0.11,0.12,0.14,0.17,1.21,3.645,9.035
"apalm","sal",0,0.1,0.1,0.1,0.1,0.1,0.580000000000001,1.92,5
"apalm","do_mgl",0.5,4.8,4.9,5.3,6.5,7.7,8.5,8.88,10.4
"apalm","do_pct",5.6,59.07,61.99,69.5,74.2,81.3,86.82,88.16,94.2
"apalm","ph",6.6,6.8,6.9,7,7.1,7.2,7.3,7.36,7.5
"apalm","turb",5,5,6,8,11,20,38.8,54.1,139
"apapc","temp",10.9,14.75,15.2,18.35,23.1,28.85,30.1,30.3,30.7
"apapc","spcond",16.885,25.965,29.905,37.01,41.28,43.33,47.72,49.64,51.46
"apapc","sal",9.95,15.9,18.6,23.45,26.3,27.9,31,32.35,33.7
"apapc","do_mgl",5.1,5.3,5.5,6,6.7,7.95,8.9,9.35,9.8
"apapc","do_pct",79.2,80.9,82.7,87.7,94,97.4,100.1,101.85,105.3
"apapc","ph",7.8,7.9,8,8,8.1,8.2,8.2,8.3,8.3
"apapc","turb",2,3.45,4,5,8,9,10.1,12,14
"cbmip","temp",2.9,5.67,6.84,9.85,16.2,22.15,24.1,24.53,25.4
"cbmip","spcond",0.25,0.3255,0.35,0.39,0.44,0.49,0.559,0.637999999999999,1.56
"cbmip","sal",0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.8
"cbmip","do_mgl",5.4,6.1,6.3,6.8,8.1,10.425,11.49,11.9,12.6
"cbmip","do_pct",64.9,72.155,74.42,77.7,83.6,91.85,95.3,96.1,103.3
"cbmip","ph",6.6,6.935,7,7.1,7.2,7.3,7.4,7.5,7.7
"cbmip","turb",3,6,7,8,11,14,17,19,33
"cbmjb","temp",0.8,4.22,7.64,11.475,18.15,24.2,26.65,26.875,27.1
"cbmjb","spcond",0.23,0.266,0.302,0.3375,0.4625,0.93375,1.112,1.166,1.22
"cbmjb","sal",0.1,0.145,0.19,0.2,0.2,0.45,0.51,0.555,0.6
"cbmjb","do_mgl",2.2,2.605,3.01,3.65,5.6,8.375,9.55,10.675,11.8
"cbmjb","do_pct",26.5,31.135,35.77,42.8375,61.225,75.625,78.655,80.9275,83.2
"cbmjb","ph",6.8,6.845,6.89,6.925,7,7.1,7.11,7.155,7.2
"cbmjb","turb",19,20.2,21.4,25,31,35,39.2,40.6,42
"cbmmb","temp",2,4.32,5.94,8.95,15.6,24.65,28.4,29.13,30.2
"cbmmb","spcond",2.33,3.0345,6.674,13.815,17.89,19.655,21.738,22.409,24.18
"cbmmb","sal",1.2,1.57,3.68,7.9,10.6,11.7,13.02,13.5,14.7
"cbmmb","do_mgl",3.8,4.01,4.3,4.7,7.8,9.45,10.86,11.32,11.6
"cbmmb","do_pct",50.9,53.79,55.74,60.85,74.1,87.4,90.41,92.23,96.6
"cbmmb","ph",6.4,6.66,6.8,6.9,7,7.2,7.4,7.5,7.5
"cbmmb","turb",5,5,5.4,7,9,10.5,13.8,16.6,19
"cbmmc","temp",1.8,4.575,6,9.975,17.25,23.225,25.85,26.325,28.3
"cbmmc","spcond",0.13,0.15,0.17,0.19,0.23,0.35,0.505,0.665,2.14
"cbmmc","sal",0.1,0.1,0.1,0.1,0.1,0.2,0.25,0.3,1.1
"cbmmc","do_mgl",1.1,3.9,4.44,5.1,6.7,9.05,10.7,11.46,12.6
"cbmmc","do_pct",13,46.1375,50.8,56.8875,69.8,83.175,88.9,90.95,94.6
"cbmmc","ph",6.1,6.4,6.4,6.5,6.6,6.7,6.9,6.96,7.3
