"","code","cluster","Sal","Temp","DO","pH","Turb","Chla","NH4","NO23","PO4","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"1","acebb","D",31.1,21.9,6.2,7.8,1.278753601,0.668665415,-1.323763783,-1.816730156,-1.365270892,-0.281027387628942,1.27026398841034,1.17069921359021,-0.430140388866613,0.134171358641066,0.251032698860934,-0.355143581771105,-0.300865166500703,-0.179244912074526
"2","aceei","D",28.9,22.05,6.1,7.7,1.230448921,0.833784375,-1.612165428,-1.604236911,-1.591336126,-0.163459370266767,1.32923092869406,0.459331625534732,-0.46236137959837,0.404391947619893,0.0741366388866665,0.183418484884776,-0.477310569805042,-0.168590083816037
"3","acefc","A",6.3,21.25,5.3,6.9,1.447158031,0.907276967,-1.288192771,-1.403952992,-1.145086978,2.17374902679749,1.82511157823005,0.818207756319114,0.995869602002293,1.11641263533988,-0.360414758015386,0.192715016697012,0.245667433745466,0.0302062682431558
"4","acemc","D",17.4,21.6,5.9,7.4,1.380211242,0.876895896,-1.360762604,-1.449771647,-1.267807349,1.06429697519625,1.49568561034207,0.838311244169727,0.0204407347802227,0.653365349396947,0.0110599871797944,0.0643752875295738,-0.00441063413243591,-0.0869819737803509
"5","acesp","D",29.25,21.9,6,7.7,1.230448921,0.605735894,-1.282537542,-1.775985189,-1.41453927,-0.153410554361938,1.27437502823455,1.15683017386586,-0.0656069588440784,0.0630141163393975,0.212655020091774,-0.300358391969086,-0.261714121612616,-0.142377693165714
"6","apacp","B",22.3,23.75,7,8,0.903089987,0.788875116,-1.628932138,-1.375030729,-2.698970004,-0.568434070390027,0.809288998400143,-1.169456359825,-0.578506269717105,-0.907132523933209,0.431845175422143,0.167665678539713,-0.150248236539852,-0.0219633110821617
"7","apadb","B",21.2,23.7,7.25,8,1,0.903089987,-1.865173709,-1.420216403,-2.823908741,-0.557111452814956,0.850247819221818,-1.69733482556063,-0.853620872226817,-0.528869515720307,0.404438901554744,0.205646842337483,-0.323312947916309,-0.0223418369614051
"8","apaeb","A",8.425,24.6,7,7.6,1.113943352,1.088292643,-1.537602002,-1.619788758,-2.698970004,0.703962297569989,1.4530880319004,-1.61235180889256,-0.279090322410578,-0.436076470779179,-0.0685520503420381,-0.096030222248609,0.38356432923002,0.0578080247996979
"9","apaes","A",7.1,24.55,6.7,7.5,0.903089987,1.06694679,-1.619788758,-1.602059991,-2.698970004,0.577655753280362,1.37394256697832,-1.71233113592819,0.0980311398860596,-0.363763857003968,-0.269746332426758,0.293894439240728,0.537890498557893,0.109664283274941
"10","apapc","B",26.3,23.1,6.7,8.1,0.903089987,0.73239376,-2.045757491,-1.978810701,-2.997962227,-1.52049320953585,0.942556572417775,-1.81783617516889,-0.597252829022439,-0.38966628893984,0.379871275915799,0.087075685783087,-0.585172985966884,0.362494509103069
