"station","param","trend_in_log","ciLow_trend","ciHigh_trend","p_trend","trend_multiplicative","trend_pctPerYear","ciLow_pctPerYear","ciHigh_pctPerYear"
"acefcnut","chla_n",-0.00336113721729385,-0.0186057728478369,0.0118834984132492,0.666081978755743,0.9966,-0.339999999999996,-1.84,1.2
"acemcnut","chla_n",-0.0200811717828376,-0.0309625753251264,-0.00919976824054882,0.000371563439184373,0.9801,-1.99,-3.05,-0.919999999999999
"acespnut","chla_n",0.00311302652159518,-0.00666783221476559,0.012893885257956,0.53339898927946,1.0031,0.31000000000001,-0.660000000000005,1.29999999999999
"apacpnut","chla_n",0.0586715473366832,0.0461293989211873,0.0712136957521791,3.59237780128949e-17,1.0604,6.04,4.71999999999999,7.38000000000001
"apadbnut","chla_n",0.055176902686481,0.0427022019292761,0.0676516034436859,1.11283751165954e-15,1.0567,5.67,4.36000000000001,7.00000000000001
"apaebnut","chla_n",0.0164517214493034,-0.00401650485685274,0.0369199477554596,0.116597827152031,1.0166,1.65999999999999,-0.4,3.76000000000001
"apaesnut","chla_n",0.011573051924676,-0.00831802911458946,0.0314641329639415,0.255391133907745,1.0116,1.16000000000001,-0.829999999999997,3.2
"cbmipnut","chla_n",-0.0508774150589746,-0.0671194018732092,-0.03463542824474,4.20241744038845e-09,0.9504,-4.96,-6.49,-3.4
"cbmmcnut","chla_n",0.0322467991118197,0.00879223480872923,0.0557013634149102,0.00769339319541129,1.0328,3.27999999999999,0.879999999999992,5.72999999999999
"cbmocnut","chla_n",-0.00661234389865658,-0.0242957849872342,0.011071097189921,0.464568214051198,0.9934,-0.660000000000005,-2.4,1.11000000000001
"cbmrrnut","chla_n",-0.0198035072083592,-0.038497657979065,-0.00110935643765345,0.0390541274247707,0.9804,-1.96,-3.77999999999999,-0.109999999999999
"cbvcbnut","chla_n",0.0329176257115046,0.0195827985902556,0.0462524528327536,2.33923719004222e-06,1.0335,3.35000000000001,1.98,4.72999999999999
"cbvginut","chla_n",0.0113956898740835,-0.00316252647223671,0.0259539062204038,0.126279655371782,1.0115,1.15000000000001,-0.319999999999998,2.63
"cbvtcnut","chla_n",0.00818176798377948,-0.0105861109126742,0.0269496468802331,0.393713391904969,1.0082,0.819999999999999,-1.05,2.73000000000001
"delblnut","chla_n",0.083954210252933,0.0633527452190195,0.104555675286847,6.21999872926218e-14,1.0876,8.75999999999999,6.53999999999999,11.02
"deldsnut","chla_n",0.0362612191189965,0.0146253019826353,0.0578971362553577,0.00117488369601226,1.0369,3.68999999999999,1.46999999999999,5.96000000000001
"delllnut","chla_n",0.0338261211154663,0.0136729372897559,0.0539793049411766,0.0011569363462582,1.0344,3.44,1.38,5.55000000000001
"delslnut","chla_n",0.0418841633505414,0.0253147658430522,0.0584535608580306,1.38330646704925e-06,1.0428,4.27999999999999,2.56000000000001,6.02
"elkapnut","chla_n",0.0515105676609806,0.034030645974157,0.0689904893478041,2.5806880169288e-08,1.0529,5.28999999999999,3.46,7.13999999999999
"elknmnut","chla_n",0.0373351429282716,0.016540343725554,0.0581299421309893,0.000526260092442785,1.038,3.8,1.66999999999999,5.99000000000001
"elksmnut","chla_n",0.0326003552021096,0.0157596711203975,0.0494410392838217,0.000191418892810558,1.0331,3.30999999999999,1.59,5.07
"elkvmnut","chla_n",0.0408354234610553,0.0227053555771056,0.058965491345005,1.61149279211948e-05,1.0417,4.17000000000001,2.29999999999999,6.07
"gndbcnut","chla_n",0.0854864958502738,0.0620429347231696,0.108930056977378,1.75557359884529e-11,1.0892,8.91999999999999,6.40000000000001,11.51
"gndbhnut","chla_n",0.0756285383157168,0.0459453599352686,0.105311716696165,1.35065972071784e-06,1.0786,7.86,4.69999999999999,11.11
"gndblnut","chla_n",0.109472823403302,0.0898841302531553,0.12906151655345,4.29795864358185e-22,1.1157,11.57,9.40000000000001,13.78
"gndpcnut","chla_n",0.0891266619084813,0.0675894217336453,0.110663902083317,6.503442532587e-14,1.0932,9.31999999999999,6.99000000000001,11.7
"grbgbnut","chla_n",0.0196670988638841,0.00131382677913934,0.0380203709486288,0.0377331032268038,1.0199,1.99,0.130000000000008,3.87999999999999
"grblrnut","chla_n",0.0126812753501849,-0.0100244479856928,0.0353869986860626,0.275835386691211,1.0128,1.27999999999999,-1,3.6
"grbornut","chla_n",0.0623531294783965,0.0387119785238776,0.0859942804329153,1.20734281877781e-06,1.0643,6.43,3.95000000000001,8.98000000000001
"grbsqnut","chla_n",0.00803162205329191,-0.011110682947622,0.0271739270542058,0.412570345257109,1.0081,0.81,-1.1,2.75000000000001
"gtmfmnut","chla_n",0.0233475151264038,0.0140943831909333,0.0326006470618743,1.44183075015881e-06,1.0236,2.36000000000001,1.42,3.30999999999999
"gtmpcnut","chla_n",0.0231528752023482,0.00366160410899414,0.0426441462957022,0.0207618796199632,1.0234,2.34000000000001,0.370000000000004,4.36000000000001
"gtmpinut","chla_n",0.00812991301220653,-0.00121259181266974,0.0174724178370828,0.0894038747979463,1.0082,0.819999999999999,-0.119999999999998,1.76000000000001
"gtmssnut","chla_n",0.019979195115321,0.0115003948316314,0.0284579953990107,6.35917877681678e-06,1.0202,2.02,1.16000000000001,2.88999999999999
"hudtnnut","chla_n",-0.0314174152418655,-0.0630773810260439,0.000242550542312876,0.0540355020588067,0.9691,-3.09,-6.11,0.0199999999999978
"hudtsnut","chla_n",-0.0430157856498123,-0.0725450428032698,-0.0134865284963548,0.00503197018469026,0.9579,-4.21,-6.99999999999999,-1.34
"jacb6nut","chla_n",0.0362567609005315,0.0209281658530608,0.0515853559480022,7.25879041492664e-06,1.0369,3.68999999999999,2.10999999999999,5.28999999999999
"jacb9nut","chla_n",0.0314304869076542,0.0151541861499324,0.0477067876653761,0.000217924474482416,1.0319,3.19,1.53000000000001,4.88999999999999
"jacbanut","chla_n",0.037643181835649,0.0114194184939704,0.0638669451773275,0.00549911095954112,1.0384,3.84,1.15000000000001,6.60000000000001
"jacnenut","chla_n",0.0347371392302649,0.0156384386859751,0.0538358397745548,0.00047911940278977,1.0353,3.53000000000001,1.58,5.52999999999999
"job09nut","chla_n",0.0231433568546941,-0.0286187501500637,0.0749054638594518,0.382676929309696,1.0234,2.34000000000001,-2.82,7.78000000000001
"job10nut","chla_n",0.0410826266787097,0.00744236669492895,0.0747228866624904,0.0182851762088244,1.0419,4.19,0.750000000000006,7.75999999999999
"job19nut","chla_n",0.0314137832806536,0.00471500986112117,0.0581125567001861,0.022859245277038,1.0319,3.19,0.469999999999993,5.98000000000001
"job20nut","chla_n",0.0531206109605457,0.0226063802529652,0.0836348416681262,0.000882080335419653,1.0546,5.46,2.28999999999999,8.72
"kachdnut","chla_n",0.0673312767193648,0.0517342685984101,0.0829282848403195,3.26221470028303e-15,1.0696,6.96000000000001,5.30999999999999,8.65
"kacsdnut","chla_n",0.0335163250734551,0.0200308554176594,0.0470017947292509,2.09789906139655e-06,1.0341,3.41,2.02,4.81
