"","station","parameter","Slope","std.error","conf.low","conf.high","statistic","p.value","Intercept","R2_adj","Dev_expl","model_error","ar1_start","threshold","model_refit","ar1_end","ts_start","ts_end","ts_length","n_points","Fall_estimate","Winter_estimate","Spring_estimate","Summer_estimate","Fall_p.value","Winter_p.value","Spring_p.value","Summer_p.value","Fall_std.error","Winter_std.error","Spring_std.error","Summer_std.error","sig_trend","sig_autocorr"
"1","acefcwq","do_proportion_below2",0.000631719429214573,0.0175340873385829,-0.0337344602561877,0.0349978991146168,0.0360280758853359,0.971291347995513,-6.46541310576392,0.0908977242803054,0.240621768802106,FALSE,0.4739,0.127853952928916,TRUE,0.0528,2002.78630136986,2022.95342465753,20.1671232876713,235,-0.00883083623267375,NA,0.00771765535019822,0.0254690489293886,0.672573537591978,NA,0.73347656419578,0.259251182351447,0.0208955208535248,NA,0.0226653487192426,0.0225756863525656,"no","yes"
"2","acemcwq","do_proportion_below2",-0.0049134238477501,0.0136652535940595,-0.0316968287317132,0.021869981036213,-0.359555994620257,0.719512541049217,3.68980161557863,0.045650674840344,0.193300285532224,FALSE,0.2549,0.128401509836532,TRUE,-0.0027,2002.78630136986,2022.95342465753,20.1671232876713,233,-0.00312537064790435,NA,-0.00518213302963447,0.00608036426387502,0.88123736183922,NA,0.818804303188889,0.790482356129328,0.0209193669174857,NA,0.0226211898384537,0.0228856739957894,"no","yes"
"3","acespwq","do_proportion_below2",0.0324332973039184,0.0165162676163932,6.20076167626021e-05,0.0648045869910742,1.96371832045921,0.0507701420860937,-69.8395355295278,0.402680205661862,0.691624768838574,FALSE,0.5486,0.126779530914778,TRUE,-0.0489,2002.03835616438,2022.95342465753,20.9150684931508,239,-0.00741226608296851,7.5727361092937e-05,0.0178745562108134,0.105721790125901,0.723139179914397,0.997190234404584,0.39398608743114,5.03868890021661e-09,0.0209228542156314,0.0215041309716962,0.0209694136662226,0.0180848086052163,"no","yes"
"4","apacpwq","do_proportion_below2",-0.00868478151321202,0.0190331901345791,-0.0459891486878901,0.0286195856614661,-0.456296682364019,0.648584691937533,10.9488637089706,0.00225200479304177,0.0422428563645625,FALSE,0.5909,0.124962739498557,TRUE,-0.0038,2002.03835616438,2022.95342465753,20.9150684931508,246,-0.0139880205280944,-0.00326349957625135,-0.0110089927726652,-0.00311733480503411,0.503159939031049,0.880890588346015,0.596845234531201,0.882669910086659,0.0208924201579905,0.0217798474962942,0.0208132068355123,0.0211222315137711,"no","yes"
"5","apadbwq","do_proportion_below2",0.0122394499930449,0.0132056524219563,-0.0136431531463435,0.0381220531324333,0.9268341769086,0.354978745203777,-30.9192066394484,0.0690514434334922,0.140820092112989,FALSE,0.2427,0.127582788354453,TRUE,-0.0048,2002.03835616438,2022.95342465753,20.9150684931508,236,-0.00128652169978031,0.00530968195520259,0.0320483007006396,0.00470632398979874,0.953220454780338,0.807139505304546,0.141149282655195,0.827254894948573,0.0219306823882407,0.0217504813563554,0.0217789762555252,0.0215665212412104,"no","yes"
"6","apaebwq","do_proportion_below2",0.0324455638198867,0.0153123755203441,0.00243385928225956,0.0624572683575139,2.11891118897779,0.0352310893326034,-68.4767471828775,0.22769013820682,0.337702833385383,FALSE,0.3471,0.130664265636004,TRUE,-0.0148,2002.03835616438,2022.95342465753,20.9150684931508,225,-0.00691700963068413,-0.00814527848829897,-0.0109813964505039,0.147464815544261,0.764510286723972,0.713172844831969,0.626057093690143,1.65842617692568e-11,0.0230903110870825,0.0221581012127731,0.0225359271720655,0.0219007808910315,"yes","yes"
"7","apaeswq","do_proportion_below2",-0.0111987117868253,0.0164301623665233,-0.0434012382853563,0.0210038147117057,-0.68159471203053,0.49619659676559,19.6671107680869,0.343973166388351,0.409350583676211,FALSE,0.436,0.12812685388601,TRUE,0.022,2002.03835616438,2022.95342465753,20.9150684931508,234,-0.0608393513647831,-0.0485107782594778,-0.00178785870535407,0.0566216834299899,0.00973210430925035,0.028648846093959,0.937370624654656,0.0134437837615485,0.0235336638415778,0.0221684001052878,0.0227535134335935,0.022907142334475,"no","yes"
"8","cbmipwq","do_proportion_below2",-0.00128639171969854,0.01060646583512,-0.0220746827597882,0.0195018993203912,-0.121283728217844,0.903572200206491,-6.11593320061731,-0.00434223491721597,0.000297802909187663,FALSE,-0.0057,0.128677939671741,FALSE,-0.0057,2003.28493150685,2022.95342465753,19.668493150685,232,-0.0053875708204174,NA,NA,-0.000293928643410711,0.809517862187696,NA,NA,0.989523938088304,0.0223506078127775,NA,NA,0.0223857390377459,"no","no"
"9","cbmmcwq","do_proportion_below2",-0.0607829145848155,0.0169948045813362,-0.0940921194885307,-0.0274737096811003,-3.57655860612648,0.00044325744114598,118.628196391552,0.416320638287468,0.625356781491645,FALSE,0.4129,0.140355936191073,TRUE,0.0871,2003.28493150685,2022.95342465753,19.668493150685,195,-0.0417969748049786,NA,-0.0140755652544056,-0.1713141677589,0.0654357557942494,NA,0.543016013801784,2.69020153258538e-16,0.0226877649778608,NA,0.0231407605751332,0.0209265238262989,"yes","yes"
"10","cbmocwq","do_proportion_below2",0.00684818333552805,0.017848600020019,-0.02813442987817,0.0418307965492261,0.383681819742004,0.701671443486203,-18.2290640460201,0.00219001425560161,0.0891808216296014,FALSE,0.4017,0.145282196422068,TRUE,0.1064,2003.28493150685,2022.95342465753,19.668493150685,182,-0.0133185456076273,-0.0128148228160375,0.00353618563008754,0.0450013950976541,0.56710188984113,0.766830237180092,0.877990578678639,0.0558692518060684,0.0232709529510971,0.0432168713583149,0.0230344876532265,0.0235356282297078,"no","yes"
