"","station","parameter","Slope","std.error","conf.low","conf.high","statistic","p.value","Intercept","R2_adj","Dev_expl","model_error","ar1_start","threshold","model_refit","ar1_end","ts_start","ts_end","ts_length","n_points","Winter_estimate","Spring_estimate","Summer_estimate","Fall_estimate","Winter_p.value","Spring_p.value","Summer_p.value","Fall_p.value","Winter_std.error","Spring_std.error","Summer_std.error","Fall_std.error","sig_trend","sig_autocorr"
"1","acebpmet","atemp_median",0.0400059845648768,0.0182785218492771,0.00418074004966525,0.0758312290800883,2.18868817154704,0.0296048958124716,-61.2896646255843,0.93065858339113,0.933254883081739,FALSE,0.0397,0.125217505796654,FALSE,0.0397,2002.03835616438,2022.95342465753,20.9150684931508,245,0.0992494677437204,0.0268080322784573,-0.0155332359652714,0.0357774789654225,0.157494747672075,0.67750051565579,0.637765356338031,0.703792980891284,0.0693357571557926,0.0641469567950516,0.0328265144092626,0.0936203738834181,"yes","no"
"2","apaebmet","atemp_median",0.0779561117640912,0.0180186776377483,0.0426401525450674,0.113272070983115,4.32640581797062,2.3294881313541e-05,-136.226317929903,0.911143324630667,0.914728602149292,FALSE,0.0803,0.131248896142172,FALSE,0.0803,2002.03835616438,2022.95342465753,20.9150684931508,223,0.0613077114463483,0.0686366798597674,0.0551279965676603,0.0942412818501013,0.370686778807152,0.227078088989036,0.00844528577365367,0.326645199433407,0.0678929038998554,0.0562198302034388,0.0201783155176161,0.0951344535326956,"yes","no"
"3","cbmjbmet","atemp_median",-0.010523440751286,0.0250825758383385,-0.0596843860339241,0.038637504531352,-0.419551836267192,0.675299611098369,33.9887705541861,0.943428136835769,0.946045621929714,FALSE,0.0459,0.140355936191073,FALSE,0.0459,2003.53424657534,2022.95342465753,19.4191780821918,195,0.0725497589476791,-0.01066172962353,-0.0742340010306715,-0.030701984339827,0.475240490633137,0.921195862993345,0.138919595671915,0.788317977552922,0.100678766573626,0.10721937847967,0.0493637651693788,0.113697674091513,"no","no"
"4","cbvtcmet","atemp_median",0.0197478723911905,0.0204184061327281,-0.0202714682506683,0.0597672130330492,0.967160328912118,0.334442725176147,-24.9847946040255,0.942475065226362,0.944629318267312,FALSE,0.1083,0.124207670715761,FALSE,0.1083,2002.03835616438,2022.95342465753,20.9150684931508,249,0.0489463312868963,0.00610504379555821,0.000736734336551404,-0.00883414605489833,0.510668438892378,0.941570560365107,0.984866951480212,0.931274521153512,0.0739728599882701,0.0829447947812649,0.0386801701357291,0.102006007582278,"no","no"
"5","delsjmet","atemp_median",0.0506449835172953,0.0189829332880186,0.0134391179518523,0.0878508490827382,2.66792190379032,0.0081489412258104,-89.1983772498462,0.954642268321477,0.956363421101186,FALSE,0.0764,0.123466125755624,FALSE,0.0764,2002.03835616438,2022.95342465753,20.9150684931508,252,0.0614895467478017,0.0388060017475649,0.0363472378256136,0.0545194081605954,0.36689247933663,0.687904934655271,0.352499089080182,0.60454757883657,0.0676402621484966,0.0961453258338155,0.0387947653960114,0.104729273642244,"yes","no"
"6","elkcwmet","atemp_median",0.0242681795875307,0.0171138538758021,-0.00927435764572261,0.0578107168207841,1.41804293548658,0.157535315105134,-36.216160622582,0.7023414116515,0.712930354532892,FALSE,0.456,0.126779530914778,TRUE,-0.0655,2002.03835616438,2022.95342465753,20.9150684931508,239,0.0220608364287835,0.031013612425806,0.0414960651256409,0.0066814813679399,0.399002468973799,0.17941689526299,0.0805038223076894,0.85904828605377,0.025957128977324,0.0228306890770908,0.0233125654131337,0.0374598438172545,"no","yes"
"7","gndcrmet","atemp_median",0.0578733326819187,0.0334606850599833,-0.00770840493368599,0.123455070297523,1.72959198468806,0.085460362396104,-95.456827855929,0.928168147693048,0.931815943933685,FALSE,0.2236,0.143711531939278,TRUE,4e-04,2004.62021857923,2020.7868852459,16.1666666666667,186,0.145882803607343,0.0210044834386682,0.0222221570187452,0.0704305408446099,0.225519759013859,0.831945748181752,0.525119243437324,0.627246847388305,0.118639150976523,0.0983950559081741,0.0347085610815124,0.14401983943007,"no","yes"
"8","grbglmet","atemp_median",0.0631506463303407,0.0290312123401641,0.00625051571608429,0.120050776944597,2.17526728096618,0.030823547172793,-118.14553317619,0.960486880992276,0.962367010421564,FALSE,0.1749,0.137224926648181,TRUE,0.0139,2005.78630136986,2022.95342465753,17.1671232876713,204,0.0626975868091352,0.0500232780145317,0.0913408602542386,0.0317923112414589,0.509092724235574,0.70959597611422,0.159850670327224,0.809384936597208,0.0942198727336285,0.13354828238428,0.0639979418373502,0.131129148599159,"yes","yes"
"9","gtmpcmet","atemp_median",0.0632440600532772,0.0197656066124727,0.024504182960244,0.10198393714631,3.19970245756932,0.00156717990347144,-105.897353902658,0.898423619527064,0.902298162657623,FALSE,0.1641,0.125731748230686,TRUE,0.0067,2002.78630136986,2022.95342465753,20.1671232876713,243,0.109408434541729,0.0536613577283072,0.00428862022035444,0.079110471699875,0.0579400524172438,0.281704343251835,0.841787037698915,0.312320881201255,0.0565577409354188,0.0493841706875152,0.0213890887976947,0.0776505052366317,"yes","yes"
"10","hudfsmet","atemp_median",0.0523997763998571,0.0201068804453067,0.0129910148856034,0.0918085379141109,2.60606196681734,0.00977198051073897,-95.255754507174,0.95678181046956,0.958540202220764,FALSE,0.1157,0.127853952928916,FALSE,0.1157,2002.03835616438,2022.95342465753,20.9150684931508,235,0.0609903252288735,0.059781374774129,0.0475010899344681,0.0301002020191799,0.410801116013642,0.563157777763289,0.345616016115968,0.773233155507639,0.0736180957820481,0.102795317551818,0.0499330253507383,0.103965484948387,"yes","no"
