"","station","estimate","std.error","statistic","p.value","param","test"
"1","acefcnut",-0.0682279681474403,0.0612665946078157,-1.11362429369849,0.28009086938561,"chla","trend in normalized seasonal amplitude"
"2","acemcnut",-0.0139816213146652,0.0139765646664996,-1.00036179478193,0.330394627373863,"chla","trend in normalized seasonal amplitude"
"3","acespnut",-0.0492274750410907,0.025471207858447,-1.93267140351828,0.0691677732295652,"chla","trend in normalized seasonal amplitude"
"4","apacpnut",-0.0581655666140103,0.0190089220430599,-3.05990873560588,0.00644543474064613,"chla","trend in normalized seasonal amplitude"
"5","apadbnut",-0.00616596173490814,0.0146150768111193,-0.421890477525031,0.67784011418753,"chla","trend in normalized seasonal amplitude"
"6","apaebnut",0.0410339510518386,0.0226112304884254,1.81475975280707,0.0853818301155121,"chla","trend in normalized seasonal amplitude"
"7","apaesnut",0.0198433970575654,0.0186185571536563,1.06578597330613,0.299877239222006,"chla","trend in normalized seasonal amplitude"
"8","cbmipnut",-0.00527471308190924,0.0439946563367023,-0.119894403573482,0.90589487147924,"chla","trend in normalized seasonal amplitude"
"9","cbmmcnut",0.120079560284053,0.0416182960785137,2.88525892692773,0.00985401222997114,"chla","trend in normalized seasonal amplitude"
"10","cbmocnut",-0.0195705230192526,0.0196536107640696,-0.995772392879132,0.332559516848317,"chla","trend in normalized seasonal amplitude"
"11","cbmrrnut",0.0619397211704978,0.0382242103674252,1.62043167341092,0.122525845899217,"chla","trend in normalized seasonal amplitude"
"12","cbvcbnut",0.0343401320435044,0.0292238385885067,1.17507260175636,0.254482166026184,"chla","trend in normalized seasonal amplitude"
"13","cbvginut",-0.0104331578191393,0.0299571978320295,-0.348268815983331,0.731467397911404,"chla","trend in normalized seasonal amplitude"
"14","cbvtcnut",0.0591594772574365,0.0331373960691455,1.78527839465698,0.0901900213748154,"chla","trend in normalized seasonal amplitude"
"15","delblnut",-0.047268300815362,0.0179436441385973,-2.63426428044716,0.0163430468670001,"chla","trend in normalized seasonal amplitude"
"16","deldsnut",0.0171675416744288,0.0141531141637505,1.21298687170905,0.240000795817287,"chla","trend in normalized seasonal amplitude"
"17","delllnut",-0.0182697298626147,0.030098994906161,-0.606988037958537,0.55104419393588,"chla","trend in normalized seasonal amplitude"
"18","delslnut",0.0138504780185437,0.0287274360223888,0.482134152444,0.63521798587374,"chla","trend in normalized seasonal amplitude"
"19","elkapnut",-0.00158284677481869,0.0279291891851747,-0.0566735670099187,0.955429603140029,"chla","trend in normalized seasonal amplitude"
"20","elknmnut",-0.0806261458395494,0.0522878095295786,-1.541968320435,0.140478450160875,"chla","trend in normalized seasonal amplitude"
"21","elksmnut",-0.0329221308973137,0.0401545776023888,-0.819884876471846,0.423006151143894,"chla","trend in normalized seasonal amplitude"
"22","elkvmnut",0.0560069274259211,0.0650729810155884,0.860678680334386,0.400734474879597,"chla","trend in normalized seasonal amplitude"
"23","gndbcnut",-0.147717312547546,0.0496235492511198,-2.9767583088429,0.00890050205245414,"chla","trend in normalized seasonal amplitude"
"24","gndbhnut",-0.081879412714355,0.045163621542031,-1.81295055442255,0.0886430776771173,"chla","trend in normalized seasonal amplitude"
"25","gndblnut",-0.00418672474524888,0.0493000780653208,-0.0849232883506112,0.933375935731503,"chla","trend in normalized seasonal amplitude"
"26","gndpcnut",-0.0662196260003553,0.0366794090318511,-1.8053624021819,0.0911256029364668,"chla","trend in normalized seasonal amplitude"
"27","grbgbnut",-0.0145451238288074,0.0201589205901156,-0.721522948800105,0.48440962143423,"chla","trend in normalized seasonal amplitude"
"28","grblrnut",-0.0124838756332527,0.0502964324485036,-0.248205986498833,0.808171616102898,"chla","trend in normalized seasonal amplitude"
"29","grbornut",0.0132786023896879,0.0241351415827767,0.550177107689468,0.595586347399732,"chla","trend in normalized seasonal amplitude"
"30","grbsqnut",-0.0114757545447346,0.021070637796463,-0.54463251922355,0.596874368283404,"chla","trend in normalized seasonal amplitude"
"31","gtmfmnut",-0.0196450184756595,0.0271559705719714,-0.723414338058523,0.478237725140641,"chla","trend in normalized seasonal amplitude"
"32","gtmpcnut",-0.00702511164511208,0.0240543997709159,-0.292051005721045,0.773412648873387,"chla","trend in normalized seasonal amplitude"
"33","gtmpinut",0.000414788715035905,0.0155210748436817,0.0267242262029783,0.978958387556455,"chla","trend in normalized seasonal amplitude"
"34","gtmssnut",-0.00654882036988842,0.0201440913135757,-0.325098822674368,0.748658823075758,"chla","trend in normalized seasonal amplitude"
"35","hudtnnut",-0.083538224022553,0.0709293734791129,-1.17776627545079,0.26374287579229,"chla","trend in normalized seasonal amplitude"
"36","hudtsnut",-0.0934014642319743,0.0602585821047106,-1.55001098548372,0.149414619034056,"chla","trend in normalized seasonal amplitude"
"37","jacb6nut",-0.00854431106873928,0.0214313348369763,-0.39868310274344,0.696141103166292,"chla","trend in normalized seasonal amplitude"
"38","jacb9nut",-0.0381589828313356,0.0228000125353177,-1.67363867770803,0.116388233912078,"chla","trend in normalized seasonal amplitude"
"39","jacbanut",-0.0167006334077844,0.0304836476086828,-0.547855480491364,0.592419368000905,"chla","trend in normalized seasonal amplitude"
"40","jacnenut",-0.0119082255986343,0.0293169157074541,-0.406189577289213,0.690743975462256,"chla","trend in normalized seasonal amplitude"
"41","job09nut",0.0168263187575725,0.0836016319692445,0.201267826491265,0.844964429070624,"chla","trend in normalized seasonal amplitude"
"42","job10nut",-0.00941762939721026,0.0936467117405325,-0.100565510760311,0.922100015938945,"chla","trend in normalized seasonal amplitude"
"43","job19nut",0.0456971869348604,0.103590807161293,0.441131681344164,0.669524666939125,"chla","trend in normalized seasonal amplitude"
"44","job20nut",-0.016477846808223,0.0457444829107712,-0.36021495401674,0.726995084958175,"chla","trend in normalized seasonal amplitude"
"45","kachdnut",-0.0496545032808213,0.0392603134510214,-1.26475055637971,0.221254475282889,"chla","trend in normalized seasonal amplitude"
"46","kacsdnut",-0.037567224808272,0.0334486074071108,-1.12313270179032,0.275372992794517,"chla","trend in normalized seasonal amplitude"
"47","kacssnut",0.0113008944139885,0.0300489467672428,0.376082879094715,0.711021758644827,"chla","trend in normalized seasonal amplitude"
"48","lksbanut",0.0250943962065025,0.0877909715111155,0.285842561878077,0.789190712579071,"chla","trend in normalized seasonal amplitude"
"49","lksblnut",0.0915533877349975,0.0690070106207289,1.32672589221675,0.255271997801504,"chla","trend in normalized seasonal amplitude"
"50","lksolnut",0.116429509320717,0.139023973077014,0.837477930919289,0.449445427761635,"chla","trend in normalized seasonal amplitude"
"51","marabnut",-0.0543678757938654,0.048906680380131,-1.11166563281922,0.285008432971979,"chla","trend in normalized seasonal amplitude"
"52","marcenut",0.0473256686413334,0.0463915463208149,1.02013561509803,0.324969968962642,"chla","trend in normalized seasonal amplitude"
"53","marcwnut",0.00634705958781477,0.0303599713287185,0.209060131154039,0.837412647344682,"chla","trend in normalized seasonal amplitude"
"54","marmbnut",-0.02525290007115,0.0346828951489832,-0.728108191737575,0.479457732922603,"chla","trend in normalized seasonal amplitude"
"55","marscnut",-0.0215994605744333,0.0308594062545798,-0.699931178074036,0.496305451120884,"chla","trend in normalized seasonal amplitude"
"56","narncnut",0.0424230867769706,0.0379987641604632,1.11643332919524,0.280722980008223,"chla","trend in normalized seasonal amplitude"
"57","narpcnut",0.0536492864676726,0.034758296772618,1.54349583981735,0.142256679943051,"chla","trend in normalized seasonal amplitude"
"58","nartbnut",0.0403592548271818,0.0411405537487964,0.98100903244071,0.341190310491811,"chla","trend in normalized seasonal amplitude"
"59","nartsnut",0.0287164891960163,0.0412176202405129,0.696704201466508,0.495986250358772,"chla","trend in normalized seasonal amplitude"
"60","niwcbnut",-0.0100345439354117,0.0320344402539444,-0.313242368396813,0.75769711839978,"chla","trend in normalized seasonal amplitude"
"61","niwdcnut",-0.00123698077647017,0.0198528267786749,-0.0623075388840285,0.951004593417628,"chla","trend in normalized seasonal amplitude"
"62","niwolnut",0.0243426475308065,0.0256191168804677,0.950175122912436,0.354607891980973,"chla","trend in normalized seasonal amplitude"
"63","niwtanut",0.026740316457915,0.0309297283948167,0.864550639325891,0.398660916506622,"chla","trend in normalized seasonal amplitude"
"64","nocecnut",-0.0537945879044965,0.0271535585428376,-1.98112478773748,0.0630651457658181,"chla","trend in normalized seasonal amplitude"
"65","noclcnut",-0.00797946006681874,0.0447520368114692,-0.178303841240445,0.860475766328362,"chla","trend in normalized seasonal amplitude"
"66","nocrcnut",-0.0212267245855749,0.0289407463608614,-0.733454635927469,0.473275442298903,"chla","trend in normalized seasonal amplitude"
"67","noczbnut",0.0021895907836066,0.0259902635919708,0.0842465785642523,0.933790300271669,"chla","trend in normalized seasonal amplitude"
"68","owcbrnut",-0.0206606581198714,0.0329000562493196,-0.627982455814149,0.537491141756793,"chla","trend in normalized seasonal amplitude"
"69","owcdrnut",-0.0634164796452777,0.0553057181030992,-1.14665321815474,0.27219235328534,"chla","trend in normalized seasonal amplitude"
"70","owcolnut",-0.0355595259377867,0.0318794277860779,-1.11543802405751,0.278572657244619,"chla","trend in normalized seasonal amplitude"
"71","owcwmnut",-0.0900244554319185,0.0289470486665833,-3.10997008602965,0.00576552250862853,"chla","trend in normalized seasonal amplitude"
"72","pdbbpnut",0.0324750699515187,0.0667442311508544,0.486559952696422,0.632135322957254,"chla","trend in normalized seasonal amplitude"
"73","pdbbynut",0.0154315327895777,0.0469095603984854,0.328963491844532,0.745781670824361,"chla","trend in normalized seasonal amplitude"
"74","pdbgsnut",-0.00916964815392053,0.0300941412431817,-0.304698781062512,0.76409044673578,"chla","trend in normalized seasonal amplitude"
"75","rkbfbnut",-0.00200740671890642,0.0202250662576234,-0.0992534063095971,0.921976799719397,"chla","trend in normalized seasonal amplitude"
"76","rkbfunut",0.00026723221366867,0.0205755024908004,0.0129878827400766,0.989772869523751,"chla","trend in normalized seasonal amplitude"
"77","rkblhnut",0.00981906865577971,0.0258154183782054,0.380356750834975,0.707899462397992,"chla","trend in normalized seasonal amplitude"
"78","rkbmbnut",0.0116188610566016,0.0256948246379429,0.452186820510319,0.656254505222735,"chla","trend in normalized seasonal amplitude"
"79","sapcanut",-0.0366705836297387,0.0162582238264205,-2.25550982821057,0.0419780846705992,"chla","trend in normalized seasonal amplitude"
