"reserve","station","met_stn","latitude","do_pct_trend","domgl_trend","temp_trend","spcond_trend","turb_trend","chla_trend","po4f_trend","nh4f_trend","no23f_trend","temp_median","spcond_median","domgl_median","dopct_median","turb_median","chla_median","nh4f_median","no23f_median","po4f_median","dailyPAR_trend","precp_trend","precp_median","dailyPAR_median"
"ace","acefc","acebpmet",32.63593,-0.160966558927579,-0.0234870270848305,0.058679968567881,-0.0855051762472391,-0.328707340971424,-0.00431885880211178,-0.020786029452398,0.0466784211047015,-0.00472476360268707,21.25,11.1025,5.3,63.9,28,8.0775,0.0515,0.03945,0.0716,284.476053410018,0.0879170554429204,68.65,34039.2
"ace","acemc","acebpmet",32.5558,-0.10300126180676,-0.0132560111627156,0.0634470030554594,-0.118491753166128,-0.200933165968693,-0.0213249074721291,-0.0208852009817488,-0.00750690228850444,-0.0065161783389247,21.6,28.31,5.9,73.3,24,7.53175,0.043575,0.0355,0.053975,284.476053410018,0.0879170554429204,68.65,34039.2
"ace","acesp","acebpmet",32.528,-0.020078078864905,-0.00827376933863137,0.0497676080824519,-0.0772289233107696,-0.445204555341165,0.00222478145164154,-0.034297309059455,0.00586310208623654,-0.0125787736676064,21.9,45.1475,6,81.15,17,4.034,0.052175,0.01675,0.0385,284.476053410018,0.0879170554429204,68.65,34039.2
"apa","apacp","apaebmet",29.7021,0.24708906810976,0.00817186475109547,0.044104352833069,0.030514922240556,0.0365906315570633,0.0599816529533675,-0.0192209739923501,-0.0767123754274857,-0.0597778598694788,23.75,35.31,7,93.525,8,6.15,0.0235,0.0421666666666667,0.002,238.941983530044,-0.00957249479030117,96.3,36498.8
"apa","apadb","apaebmet",29.6747,-0.103976083383369,-0.0125431042923361,0.0342141329855561,-0.0882231630631346,-0.0118338744940911,0.0561133767123479,0.00182456056330441,-0.0686356454010575,-0.0627508280534982,23.7,33.7625,7.25,94.4,10,8,0.0136403744069447,0.038,0.0015,238.941983530044,-0.00957249479030117,96.3,36498.8
"apa","apaeb","apaebmet",29.7858,-0.553773424630219,-0.0517102183073048,0.0433061963079352,-0.028956633205523,-0.0706390049269201,0.017136695840422,-0.0233522487708242,-0.017403711816145,-0.0394467296265522,24.6,14.5325,7,85.5,13,12.2544166666667,0.029,0.024,0.002,238.941983530044,-0.00957249479030117,96.3,36498.8
"apa","apaes","apaebmet",29.7858,-0.173512169880841,-0.0188389054320338,0.0481409244761079,-0.0815300108389439,0.06539415385763,0.0126800020718073,-0.0357575097755099,-0.0334079903015276,-0.0305398559719748,24.55,12.425,6.7,83.75,8,11.6666666666667,0.024,0.025,0.002,238.941983530044,-0.00957249479030117,96.3,36498.8
"cbm","cbmip","cbmjbmet",38.796,-0.113678130930078,-0.0143868481131838,0.0272125312298297,0.00343401044993637,0.0718623131970013,-0.0521406595087107,-0.0812829397678966,-0.0067815604681813,-0.0359730909057022,16.2,0.44,8.1,83.6,11,2.935,0.0536666666666667,0.345333333333333,0.0494,514.424788410229,0.100059351917179,79.15,27231.4
"cbm","cbmmc","cbmjbmet",38.7433,0.826103670975187,0.0767460630020509,0.0354366520117902,-0.000244880604466894,0.593453589871436,0.0296771489065712,0.0129109554434372,0.00648920151880126,-0.0149496852455474,17.25,0.23,6.7,69.8,18,6.94,0.047,0.208833333333333,0.0155333333333333,514.424788410229,0.100059351917179,79.15,27231.4
"cbm","cbmoc","cbmjbmet",39.4507,-0.331708387094298,-0.0338364017489159,0.0254713576161198,0.0270159652897439,-0.768985433056107,-0.00781930314418144,-0.0229308589154633,-0.00525512114264689,-0.0146048594203529,20.4,0.34,9.075,97.9,26,27.405,0.038,0.565,0.00396666666666667,514.424788410229,0.100059351917179,79.15,27231.4
"cbm","cbmrr","cbmjbmet",38.7813,-0.225940975540086,-0.0314374902869276,0.0533429083363682,0.00274230513782411,0.0886925153582716,-0.0190767955378734,-0.0324117626942835,-0.0174304018171011,-0.0358897169742172,15.7,0.35,8.1,83.2,20,8.41,0.0545,0.5965,0.0166166666666667,514.424788410229,0.100059351917179,79.15,27231.4
"cbv","cbvcb","cbvtcmet",37.346665,-0.211547676787317,-0.0282928570173459,0.0528609857590373,-0.024827443751216,-0.0247710874563683,0.03137382730982,0.0241273308118857,-0.0250123773586265,0.0220707928649749,17.85,26.88,8,92.325,12,8.5525,0.030025,0.0135,0.012425,278.453703589442,0.0363835592528927,84.6,30548.85
"cbv","cbvgi","cbvtcmet",37.215796,0.00149870513445838,-0.0124815086906378,0.044954945388684,-0.0274885215335267,-0.0180033271439129,0.00998295688585973,0.051981615824459,-0.0383551697311911,-0.0151043083033627,17,31.645,9.05,102.85,4,4.6925,0.0323,0.00150714045316599,0.006,278.453703589442,0.0363835592528927,84.6,30548.85
"cbv","cbvtc","cbvtcmet",37.414986,-0.199301414819508,-0.0277711971849502,0.0465706517696891,-0.045220875095366,-0.617704445058979,0.0058253457335203,0.0210256610043564,0.0438329813100244,0.0822302441819775,17.6,18.66,7.6,85.25,40,10.76,0.045725,0.0418,0.03045,278.453703589442,0.0363835592528927,84.6,30548.85
"del","delbl","delsjmet",39.38876,0.441838195657848,0.0382620413290768,0.031524810617897,-0.000581059625601616,-0.417348794651821,0.0885471790649641,0.0193079583444552,0.00472818228150935,-0.0113989742356482,16.3,2.275,8.2,82.3,39,27.6333333333333,0.0443,0.385,0.01525,171.108948392219,0.024031817294634,91.5,30373.75
"del","delds","delsjmet",39.1637,-0.215510716633053,-0.0270087833784278,0.0412161632854332,-0.000729373748733484,-0.196163479127515,0.0398536888962972,0.0656852164714078,0.0119935877226747,0.012549714382205,16.4,0.18,8.4,85,10,27.65,0.068,0.222,0.016,171.108948392219,0.024031817294634,91.5,30373.75
