"reserve","station","met_stn","latitude","do_pct_trend","domgl_trend","temp_trend","spcond_trend","turb_trend","chla_trend","po4f_trend","nh4f_trend","no23f_trend","temp_median","spcond_median","domgl_median","dopct_median","turb_median","chla_median","nh4f_median","no23f_median","po4f_median","dailyPAR_trend","precp_trend","precp_median","dailyPAR_median","StationName","Ecoregion","NERR_BioRegion","EPAIII_Code","EPAIII_Name","EPAIV_Code","EPAIV_Name","AquaticSystem","AquaticSubsystem","WaterColumn","SalinityRegime","Salinity Class","TempRegime","TidalRegime","ResidualCurrentType","TidalFlowType","PrimaryWaterSource","BioticSetting","BioticClass","BioticSubclass","Dev_TotalArea","Ag_TotalArea","VegUplnd_TotalArea","WetlndPalust_TotalArea","WetlndEst_TotalArea","Bare_TotalArea","Water_TotalArea","Dev_pctTotal","Ag_pctTotal","VegUplnd_pctTotal","WetlndPalust_pctTotal","WetlndEst_pctTotal","Bare_pctTotal","Water_pctTotal","Dev_pctLand","Ag_pctLand","VegUplnd_pctLand","WetlndPalust_pctLand","WetlndEst_pctLand","Bare_pctLand","DominantLandCover","Imp_total_acres","Imp_pctLand","cluster"
"ace","acefc","acebpmet",32.63593,-0.16096655892759,-0.0234870270848309,0.0586799685678791,-0.0855051762472374,-0.328707340975866,-0.00431885880835295,-0.0207860294537897,0.0466784210756856,-0.00472476360087494,21.25,11.1025,5.3,63.9,28,8.0775,0.0515,0.03945,0.0716,284.476053417268,0.0879170554420977,68.65,34039.2,"Fishing Creek","Carolinian","Carolinian",75,"Southern Coastal Plain","75j","Sea Islands/Coastal Marsh","Estuarine","Estuarine Tidal Riverine Coastal","Lower Water Column","Mesohaline Water","brackish","Warm Water","Moderately Tidal","Well-mixed Domain","Mixed Semi-diurnal Tidal Flow","River","Benthic/Attached Biota","Emergent Wetland","Emergent Tidal Marsh",127.698209967019,795.053506611047,2321.86783406081,1778.73312728904,4310.64921522397,117.960873695598,2234.23180761742,1.09272705629982,6.80335674324892,19.8684680394954,15.2208070467668,36.8866801571405,1.00940364242566,19.1185573146229,1.35102320139175,8.41151754638388,24.5649278497446,18.8186641353254,45.6058632641197,1.24800400303462,"estuarine wetlands",38.1723821611276,0.403856670860112,"A"
"ace","acemc","acebpmet",32.5558,-0.103001261807044,-0.0132560111630063,0.0634470030554601,-0.118491753165879,-0.20093316596869,-0.0213249074632986,-0.0208852009559954,-0.00750690228695388,-0.00651617833744189,21.6,28.31,5.9,73.3,24,7.53175,0.043575,0.0355,0.053975,284.476053417268,0.0879170554420977,68.65,34039.2,"Mosquito Creek","Carolinian","Carolinian",75,"Southern Coastal Plain","75j","Sea Islands/Coastal Marsh","Estuarine","Estuarine Tidal Riverine Coastal","Lower Water Column","Lower Polyhaline Water","brackish","Warm Water","Moderately Tidal","Well-mixed Domain","Mixed Semi-diurnal Tidal Flow","Estuary","Benthic/Attached Biota","Emergent Wetland","Emergent Tidal Marsh",1237.12857336015,2579.42037845931,19928.5019667241,19970.8593795224,4979.39555990571,118.169530901136,2339.81235376405,2.41847323594215,5.04253097364323,38.9583990514718,39.0412039202643,9.73426299587646,0.23101062730449,4.57411919549756,2.53439969906785,5.28423833359609,40.8258207553622,40.9125947710637,10.2008626106568,0.242083830253302,"palustrine wetlands and vegetated uplands",337.525148092213,0.69145895759996,"D"
"ace","acesp","acebpmet",32.528,-0.0200780788648774,-0.00827376933864588,0.0497676080824525,-0.0772289233084387,-0.445204555341168,0.00222478144977515,-0.0342973090987689,0.00586310209054636,-0.012578773674217,21.9,45.1475,6,81.15,17,4.034,0.052175,0.01675,0.0385,284.476053417268,0.0879170554420977,68.65,34039.2,"St. Pierre","Carolinian","Carolinian",75,"Southern Coastal Plain","75j","Sea Islands/Coastal Marsh","Estuarine","Estuarine Tidal Riverine Coastal","Lower Water Column","Upper Polyhaline Water","high salinity","Warm Water","Moderately Tidal","Well-mixed Domain","Mixed Semi-diurnal Tidal Flow","Estuary","Benthic/Attached Biota","Emergent Wetland","Emergent Tidal Marsh",1237.12857336015,2579.42037845931,19928.5019667241,19970.8593795224,4979.39555990571,118.169530901136,2339.81235376405,2.41847323594215,5.04253097364323,38.9583990514718,39.0412039202643,9.73426299587646,0.23101062730449,4.57411919549756,2.53439969906785,5.28423833359609,40.8258207553622,40.9125947710637,10.2008626106568,0.242083830253302,"palustrine wetlands and vegetated uplands",337.525148092213,0.69145895759996,"D"
"apa","apacp","apaebmet",29.7021,0.247089068109758,0.00817186475109645,0.0441043528330766,0.0305149222385295,0.0365906315570604,0.0599816529292897,-0.0192209739923501,-0.0767123753876119,-0.059777859858587,23.75,35.31,7,93.525,8,6.15,0.0235,0.0421666666666667,0.002,238.941983530061,-0.00957249479067296,96.3,36498.8,"Cat Point","Northern Gulf of Mexico","Louisianan",75,"Southern Coastal Plain","75k","Gulf Barrier Islands and Coastal Marshes","Estuarine","Estuarine Coastal","Lower Water Column","Mesohaline Water","brackish","Moderate Water","Moderately Tidal","Salt Wedge Domain","Mixed Semi-diurnal Tidal Flow","Local Estuary Exchange","Benthic/Attached Biota","Reef Biota","Mollusk Reef Biota",604.827687296005,2.01701965634462,727.93543873563,7138.37166862125,368.210415885827,1556.37409828048,16441.7705049472,2.25349776748813,0.00751511444999007,2.71217889081757,26.5965083223212,1.37189709993964,5.79881779475306,61.2595850102304,5.81691695373739,0.0193986420950179,7.00090304023276,68.6531322117863,3.54125556038034,14.9683935917681,"palustrine wetlands",242.228084540382,2.32962326498903,"B"
"apa","apadb","apaebmet",29.6747,-0.103976083383372,-0.0125431042923608,0.0342141329867879,-0.0882231630642995,-0.0118338744936447,0.0561133767341767,0.00182456056337534,-0.0686356453869891,-0.0627508280477105,23.7,33.7625,7.25,94.4,10,8,0.0136403744069447,0.038,0.0015,238.941983530061,-0.00957249479067296,96.3,36498.8,"Dry Bar","Northern Gulf of Mexico","Louisianan",75,"Southern Coastal Plain","75k","Gulf Barrier Islands and Coastal Marshes","Estuarine","Estuarine Coastal","Lower Water Column","Mesohaline Water","brackish","Moderate Water","Moderately Tidal","Salt Wedge Domain","Mixed Semi-diurnal Tidal Flow","Estuary","Benthic/Attached Biota","Reef Biota","Mollusk Reef Biota",5411.80284278656,2357.40911145727,79807.9731619561,157631.198982061,4941.62860564685,1518.46803922081,27981.3486161112,1.93520691758926,0.842986071852355,28.5385381227729,56.3673503192333,1.76707728267512,0.54298908127356,10.0058522046034,2.15036973513988,0.936712100178892,31.7115488305483,62.6344620178921,1.9635468816179,0.603360434622989,"palustrine wetlands",1762.35478162179,0.700268375450869,"B"
"apa","apaeb","apaebmet",29.7858,-0.553773424630216,-0.0517102183073051,0.0433061963081152,-0.0289566332055155,-0.070639004928109,0.0171366958232709,-0.023352248769103,-0.0174037118285827,-0.0394467295994173,24.6,14.5325,7,85.5,13,12.2544166666667,0.029,0.024,0.002,238.941983530061,-0.00957249479067296,96.3,36498.8,"East Bay Bottom","Northern Gulf of Mexico","Louisianan",75,"Southern Coastal Plain","75k","Gulf Barrier Islands and Coastal Marshes","Estuarine","Estuarine Coastal","Lower Water Column","Mesohaline Water","brackish","Warm Water","Moderately Tidal","Salt Wedge Domain","Mixed Semi-diurnal Tidal Flow","Estuary","Open Water","Open Water","Open Water",377.808647354522,1.11283843109226,11065.230729925,36789.5343505551,752.000569807836,43.6093560182934,371.131616768164,0.764788204915903,0.00225268985248463,22.3990583756509,74.4720962123744,1.52225516781091,0.0882772835939695,0.751272065801391,0.77057733719565,0.00226974178850751,22.5686100385099,75.0358193625907,1.53377801357833,0.0889455063368639,"palustrine wetlands",149.212172846903,0.304332681728302,"A"
"apa","apaes","apaebmet",29.7858,-0.173512169878665,-0.0188389054317521,0.0481409244784495,-0.0815300108389439,0.0653941538576295,0.0126800020717349,-0.0357575097590393,-0.0334079902705366,-0.030539855966631,24.55,12.425,6.7,83.75,8,11.6666666666667,0.024,0.025,0.002,238.941983530061,-0.00957249479067296,96.3,36498.8,"East Bay Surface","Northern Gulf of Mexico","Louisianan",75,"Southern Coastal Plain","75k","Gulf Barrier Islands and Coastal Marshes","Estuarine","Estuarine Coastal","Upper Water Column","Mesohaline Water","brackish","Moderate Water","Moderately Tidal","Salt Wedge Domain","Mixed Semi-diurnal Tidal Flow","Estuary","Open Water","Open Water","Open Water",377.808647354522,1.11283843109226,11065.230729925,36789.5343505551,752.000569807836,43.6093560182934,371.131616768164,0.764788204915903,0.00225268985248463,22.3990583756509,74.4720962123744,1.52225516781091,0.0882772835939695,0.751272065801391,0.77057733719565,0.00226974178850751,22.5686100385099,75.0358193625907,1.53377801357833,0.0889455063368639,"palustrine wetlands",149.212172846903,0.304332681728302,"A"
"cbm","cbmip","cbmjbmet",38.796,-0.113678130930077,-0.0143868481126241,0.0272125312306795,0.00343401044993638,0.0718623131952595,-0.0521406595094085,-0.0812829397945284,-0.00678156046901468,-0.0359730909402746,16.2,0.44,8.1,83.6,11,2.935,0.0536666666666667,0.345333333333333,0.0494,514.424788395616,0.100059351917179,79.15,27231.4,"Iron Pot Landing","Virginian","Virginian",65,"Southeastern Plains","65n","Chesapeake Rolling Coastal Plain","Estuarine","Estuarine Tidal Riverine Coastal","Lower Water Column","Fresh Water","fresh","Moderate Water","Minimally Tidal","Well-mixed Domain","Mixed Semi-diurnal Tidal Flow","River","Benthic/Attached Biota","Emergent Wetland","Emergent Tidal Marsh",34557.5282198189,25251.347287438,47027.1610497643,7520.35346009411,287.181867622598,738.576956233466,1242.76231791836,29.6313436609934,21.6517612202385,40.3234271155795,6.44832513514063,0.246244018339565,0.633292620671092,1.06560622903731,29.9504980336679,21.8849688111126,40.7577441763377,6.51777899409661,0.248896272523416,0.640113712261877,"vegetated uplands",10722.2812873775,9.29284243280632,"A"
"cbm","cbmmc","cbmjbmet",38.7433,0.826103670943147,0.0767460630039494,0.0354366520134031,-0.000244880604471497,0.5934535898869,0.0296771488997015,0.0129109554401402,0.00648920151141664,-0.0149496852329441,17.25,0.23,6.7,69.8,18,6.94,0.047,0.208833333333333,0.0155333333333333,514.424788395616,0.100059351917179,79.15,27231.4,"Mataponi Creek","Virginian","Virginian",65,"Southeastern Plains","65n","Chesapeake Rolling Coastal Plain","Estuarine","Estuarine Tidal Riverine Coastal","Lower Water Column","Fresh Water","fresh","Moderate Water","Minimally Tidal","Well-mixed Domain","Mixed Semi-diurnal Tidal Flow","River","Benthic/Attached Biota","Emergent Wetland","Emergent Tidal Marsh",34557.5282198189,25251.347287438,47027.1610497643,7520.35346009411,287.181867622598,738.576956233466,1242.76231791836,29.6313436609934,21.6517612202385,40.3234271155795,6.44832513514063,0.246244018339565,0.633292620671092,1.06560622903731,29.9504980336679,21.8849688111126,40.7577441763377,6.51777899409661,0.248896272523416,0.640113712261877,"vegetated uplands",10722.2812873775,9.29284243280632,"A"
"cbm","cbmoc","cbmjbmet",39.4507,-0.331708387091923,-0.0338364017500789,0.0254713576169464,0.0270159652897329,-0.768985433056118,-0.00781930314026091,-0.0229308589026322,-0.00525512114215984,-0.0146048594119909,20.4,0.34,9.075,97.9,26,27.405,0.038,0.565,0.00396666666666667,514.424788395616,0.100059351917179,79.15,27231.4,"Otter Point Creek","Virginian","Virginian",65,"Southeastern Plains","65n","Chesapeake Rolling Coastal Plain","Estuarine","Estuarine Tidal Riverine Coastal","Lower Water Column","Fresh Water","fresh","Warm Water","Minimally Tidal","Well-mixed Domain","Mixed Semi-diurnal Tidal Flow","Local Estuary Exchange","Benthic/Attached Biota","Emergent Wetland","Non-tidal Forested Wetland",5105.35495983017,3088.26575107827,6103.84924211643,691.211770510173,424.547861460212,28.9337992083307,2280.83191691961,28.8063889488625,17.4251908247279,34.4402802032543,3.9000843749384,2.39546337538839,0.163255695308439,12.8693365775201,33.0611380854359,19.9989190260568,39.5271639747077,4.47613299582908,2.74927709866416,0.187368819306291,"vegetated uplands",1456.81112857375,9.43398338903721,"A"
