"reserve","station","met_stn","latitude","domgl_trend","temp_trend","spcond_trend","turb_trend","chla_trend","po4f_trend","nh4f_trend","no23f_trend","temp_median","spcond_median","domgl_median","turb_median","chla_median","nh4f_median","no23f_median","po4f_median","dailyPAR_trend","precp_trend","precp_median","dailyPAR_median"
"ace","acefc","acebpmet",32.63593,-0.0234870270848309,0.0586799685678791,-0.0855051762472374,-0.328707340975866,-0.00187565657003872,-0.00902725788184837,0.0202719361220504,-0.00205193876203091,21.25,11.1025,5.3,28,8.0775,0.0515,0.03945,0.0716,284.476053417268,0.0879170554420977,68.65,34039.2
"ace","acemc","acebpmet",32.5558,-0.0132560111630063,0.0634470030554601,-0.118491753165879,-0.20093316596869,-0.00926128964262373,-0.00907032753911851,-0.00326020623555102,-0.00282994029649511,21.6,28.31,5.9,24,7.53175,0.043575,0.0355,0.053975,284.476053417268,0.0879170554420977,68.65,34039.2
"ace","acesp","acebpmet",32.528,-0.00827376933864588,0.0497676080824525,-0.0772289233084387,-0.445204555341168,0.000966210307095934,-0.014895132081182,0.00254631288596539,-0.00546289199056525,21.9,45.1475,6,17,4.034,0.052175,0.01675,0.0385,284.476053417268,0.0879170554420977,68.65,34039.2
"apa","apacp","apaebmet",29.7021,0.00817186475109645,0.0441043528330766,0.0305149222385295,0.0365906315570604,0.0260497009082736,-0.00834756255214166,-0.0333157613518589,-0.0259613720359443,23.75,35.31,7,8,6.15,0.0235,0.0421666666666667,0.002,238.941983530061,-0.00957249479067296,96.3,36498.8
"apa","apadb","apaebmet",29.6747,-0.0125431042923608,0.0342141329867879,-0.0882231630642995,-0.0118338744936447,0.02436967378541,0.000705879926893115,-0.0298078347479289,-0.0271750666241303,23.7,33.7625,7.25,10,8,0.0136403744069447,0.038,0.0015,238.941983530061,-0.00957249479067296,96.3,36498.8
"apa","apaeb","apaebmet",29.7858,-0.0517102183073051,0.0433061963081152,-0.0289566332055155,-0.070639004928109,0.00744237248448763,-0.0101417526549427,-0.00755850550594165,-0.0171341967056066,24.6,14.5325,7,13,12.2544166666667,0.029,0.024,0.002,238.941983530061,-0.00957249479067296,96.3,36498.8
"apa","apaes","apaebmet",29.7858,-0.0188389054317521,0.0481409244784495,-0.0815300108389439,0.0653941538576295,0.00550716886766651,-0.0155292890137117,-0.0145066969566759,-0.0132642975997961,24.55,12.425,6.7,8,11.6666666666667,0.024,0.025,0.002,238.941983530061,-0.00957249479067296,96.3,36498.8
"cbm","cbmip","cbmjbmet",38.796,-0.0143868481126241,0.0272125312306795,0.00343401044993638,0.0718623131952595,-0.0226444007192239,-0.0353005144380184,-0.00294526892352936,-0.015622914832977,16.2,0.44,8.1,11,2.935,0.0536666666666667,0.345333333333333,0.0494,514.424788395616,0.100059351917179,79.15,27231.4
"cbm","cbmmc","cbmjbmet",38.7433,0.0767460630039494,0.0354366520134031,-0.000244880604471497,0.5934535898869,0.0128886219911037,0.00560715665114135,0.00281822441083386,-0.0064925658059912,17.25,0.23,6.7,18,6.94,0.047,0.208833333333333,0.0155333333333333,514.424788395616,0.100059351917179,79.15,27231.4
"cbm","cbmoc","cbmjbmet",39.4507,-0.0338364017500789,0.0254713576169464,0.0270159652897329,-0.768985433056118,-0.00339329166636346,-0.00995477737083579,-0.00228227010529623,-0.00634280985153604,20.4,0.34,9.075,26,27.405,0.038,0.565,0.00396666666666667,514.424788395616,0.100059351917179,79.15,27231.4
