"Predictor","Estimate","SE","Estimate.","SE.","sw","nmodels"
"NH4 Trend","-0.368","0.162","-0.201","0.089","0.98","163"
"PO4 Trend","0.297","0.150","0.203","0.102","0.95","157"
"Turb. Trend","0.176","0.108","0.012","0.007","0.90","145"
"Med. Log(Chl-a)","0.155","0.145","0.005","0.005","0.70","109"
"SpCond Trend","0.079","0.110","0.012","0.017","0.48","77"
"TLD PC1","-0.065","0.127","-0.001","0.002","0.34","59"
"Precip. Trend","0.060","0.126","0.039","0.082","0.31","54"
"Med. SpCond","0.026","0.074","0.000","0.000","0.21","39"
"Temp. Trend","-0.016","0.059","-0.024","0.084","0.16","28"
"Med. Precip.","0.014","0.077","0.000","0.000","0.11","23"
"Med. Log(NO23)","-0.007","0.046","0.000","0.001","0.09","18"
"Med. Log(NH4)","0.006","0.041","0.000","0.001","0.09","19"
"Med. Log(Turbidity)","0.003","0.049","0.000","0.002","0.08","17"
"Med. Log(PO4)","-0.001","0.033","0.000","0.001","0.06","12"
"NO23 Trend","-0.002","0.037","-0.001","0.016","0.06","12"
