"code","SpCond","Temp","DO","pH","Turb","Chla","NH4","NO23","PO4","cluster","pca_id","Map.Number","Map.Code"
"acebb",47.78,21.9,6.2,7.8,1.27875360095283,0.668665415454492,-1.32376378323669,-1.8167301563172,-1.36527089191867,"D",1,15,"ace"
"aceei",44.74,22.05,6.1,7.7,1.23044892137827,0.833784374656479,-1.61216542760919,-1.60423691058224,-1.59133612593619,"D",2,15,"ace"
"acefc",11.1025,21.25,5.3,6.9,1.44715803134222,0.907276966689682,-1.28819277095881,-1.40395299245456,-1.14508697769214,"A",3,15,"ace"
"acemc",28.31,21.6,5.9,7.4,1.38021124171161,0.876895896126572,-1.36076260421797,-1.44977164694491,-1.26780734899373,"D",7,15,"ace"
"acesp",45.1475,21.9,6,7.7,1.23044892137827,0.605735893876747,-1.28253754226251,-1.77598518862714,-1.4145392704915,"D",9,15,"ace"
"apacp",35.31,23.75,7,8,0.903089986991944,0.788875115775417,-1.62893213772826,-1.36485148630239,-2.69897000433602,"B",11,19,"apa"
"apadb",33.7625,23.7,7.25,8,1,0.903089986991944,-1.85387196432176,-1.42021640338319,-2.69897000433602,"B",12,19,"apa"
"apaeb",14.5325,24.6,7,7.6,1.11394335230684,1.08829264284413,-1.53760200210104,-1.61978875828839,-2.69897000433602,"B",13,19,"apa"
"apaes",12.425,24.55,6.7,7.5,0.903089986991944,1.06694678963061,-1.61978875828839,-1.60205999132796,-2.69897000433602,"B",15,19,"apa"
"apapc",41.28,23.1,6.7,8.1,0.903089986991944,0.732393759822969,-2.01547268665621,-1.95860731484178,-2.69897000433602,"B",19,19,"apa"
"cbmip",0.44,16.2,8.1,7.2,1.04139268515823,0.467608105583633,-1.27029537868781,-0.461761499310449,-1.30627305107635,"A",23,11,"cbm"
"cbmmb",17.89,15.6,7.8,7,0.954242509439325,0.893761762057943,-2.18708664335714,-1.3337160773769,-1.85542579239038,"A",25,11,"cbm"
"cbmmc",0.23,17.25,6.7,6.6,1.25527250510331,0.841359470454855,-1.32790214206428,-0.680200179389494,-1.80873533802966,"A",26,11,"cbm"
"cbmoc",0.34,20.4,9.075,7.6,1.41497334797082,1.43782980640822,-1.42021640338319,-0.247951552180562,-2.40157429332713,"A",27,11,"cbm"
"cbmrr",0.35,15.7,8.1,7.1,1.30102999566398,0.924795995797912,-1.26360349772336,-0.224389551993639,-1.77945609207199,"A",29,11,"cbm"
"cbvcb",26.88,17.85,8,7.8,1.07918124604762,0.9320930828571,-1.52251698392506,-1.86966623150499,-1.90570360259463,"D",30,12,"cbv"
"cbvgi",31.645,17,9.05,8.1,0.602059991327962,0.671404281293384,-1.4907974776689,-2.70996538863748,-2.22184874961636,"C",32,12,"cbv"
"cbvsh",0.9,18.1,7.8,7.1,1.49136169383427,0.768823025449643,-1.51427857351842,-0.753747687700678,-1.72124639904717,"A",33,12,"cbv"
"cbvsp",1.175,18.05,8.1,7.1,1.46982201597816,0.811575005870593,-1.3840499483436,-0.732710910568869,-1.61350103444935,"A",34,12,"cbv"
"cbvtc",18.66,17.6,7.6,7.5,1.60205999132796,1.03181227133037,-1.33984628585155,-1.37882371822496,-1.51641270303111,"A",35,12,"cbv"
