Reserve,station,cluster
ACE,ACEBB,D
ACE,ACEEI,D
ACE,ACEFC,A
ACE,ACEMC,D
ACE,ACESP,D
APA,APACP,B
APA,APADB,B
APA,APAEB,B
APA,APAES,B
APA,APAPC,B
CBM,CBMIP,A
CBM,CBMMB,A
CBM,CBMMC,A
CBM,CBMOC,A
CBM,CBMRR,A
CBV,CBVCB,D
CBV,CBVGI,C
CBV,CBVSH,A
CBV,CBVSP,A
CBV,CBVTC,A
DEL,DELBL,A
DEL,DELDS,A
DEL,DELLL,A
DEL,DELSL,A
ELK,ELKAP,D
ELK,ELKNM,D
ELK,ELKSM,D
ELK,ELKVM,C
GND,GNDBC,B
GND,GNDBH,B
GND,GNDBL,B
GND,GNDPC,B
GRB,GRBGB,C
GRB,GRBLR,A
GRB,GRBOR,D
GRB,GRBSQ,A
GTM,GTMFM,B
GTM,GTMPC,D
GTM,GTMPI,D
GTM,GTMSS,D
HEE,HEEKK,B
HEE,HEER9,B
HEE,HEEW2,B
HUD,HUDBM,A
HUD,HUDSC,C
HUD,HUDSK,C
HUD,HUDTN,A
HUD,HUDTS,A
JAC,JACB6,C
JAC,JACB9,D
JAC,JACBA,A
JAC,JACNE,A
JOB,JOB09,B
JOB,JOB10,B
JOB,JOB19,B
JOB,JOB20,B
KAC,KACHD,C
KAC,KACHS,C
KAC,KACSD,C
KAC,KACSS,C
LKS,LKSBA,A
LKS,LKSBL,A
LKS,LKSOL,A
LKS,LKSPO,A
MAR,MARAB,B
MAR,MARCE,B
MAR,MARCW,B
MAR,MARMB,B
MAR,MARSC,B
NAR,NARNC,C
NAR,NARPC,C
NAR,NARTB,C
NAR,NARTS,C
NIW,NIWCB,D
NIW,NIWDC,D
NIW,NIWOL,D
NIW,NIWTA,A
NOC,NOCEC,D
NOC,NOCLC,B
NOC,NOCRC,B
NOC,NOCZB,D
OWC,OWCBR,A
OWC,OWCDR,A
OWC,OWCOL,A
OWC,OWCSU,A
OWC,OWCWM,A
PDB,PDBBP,C
PDB,PDBBY,C
PDB,PDBGD,C
PDB,PDBGS,C
PDB,PDBJE,A
PDB,PDBJL,A
RKB,RKBFB,B
RKB,RKBFU,B
RKB,RKBLH,B
RKB,RKBMB,D
RKB,RKBPB,B
SAP,SAPCA,D
SAP,SAPDC,D
SAP,SAPFD,D
SAP,SAPHD,D
SAP,SAPLD,D
SAP,SAPML,D
SFB,SFBCC,A
SFB,SFBFM,A
SFB,SFBGC,D
SFB,SFBSM,A
SOS,SOSCH,C
SOS,SOSVA,C
SOS,SOSWI,C
TJR,TJRBR,D
TJR,TJRMM,D
TJR,TJROS,D
TJR,TJRPE,B
TJR,TJRPR,D
TJR,TJRSB,D
TJR,TJRTL,D
WEL,WELHT,C
WEL,WELIN,C
WEL,WELLM,C
WEL,WELSM,C
WKB,WKBFR,A
WKB,WKBMB,B
WKB,WKBMR,A
WKB,WKBWB,B
WQB,WQBCR,C
WQB,WQBMH,C
WQB,WQBMP,C
WQB,WQBSL,C
