station,Reserve,lon,lat
ACEFJ,ACE,-79.898991,32.753327
ACEBB,ACE,-80.3241,32.4941
ACEEI,ACE,-80.3247,32.504
ACEFC,ACE,-80.36556,32.63593
ACEGP,ACE,-80.413,32.6637
ACEJI,ACE,-80.3965,32.6209
ACESP,ACE,-80.36144,32.528
ACEMC,ACE,-80.438,32.5558
ACERC,ACE,-80.5036,32.5485
APABP,APA,-84.967136,29.8032861
APAEB,APA,-84.8752,29.7858
APAES,APA,-84.8752,29.7858
APALM,APA,-85.003525,29.755689
APACP,APA,-84.8802,29.7021
APADB,APA,-85.0583,29.6747
APAPC,APA,-85.0277,29.601
CBMOC,CBM,-76.2746,39.4507
CBMIP,CBM,-76.7208,38.796
CBMJB,CBM,-76.7077,38.7792
CBMMC,CBM,-76.7074,38.7433
CBMPR,CBM,-76.7091,38.7732
CBMRR,CBM,-76.7137,38.7813
CBMMB,CBM,-75.804583,38.20855
CBVGI,CBV,-76.392675,37.215796
CBVSH,CBV,-76.88424,37.57138
CBVSP,CBV,-76.88399,37.571398
CBVCB,CBV,-76.611263,37.346665
CBVTC,CBV,-76.71442,37.414986
DELBL,DEL,-75.636,39.38876
DELDS,DEL,-75.5191,39.1637
DELLL,DEL,-75.4992,39.1144
DELPB,DEL,-75.6504,39.1647
DELSL,DEL,-75.46058,39.08498
ELKAP,ELK,-121.7538,36.8457
ELKNM,ELK,-121.7384,36.8346
ELKSM,ELK,-121.7394,36.8179
ELKVM,ELK,-121.7792,36.8111
GNDBC,GND,-88.4364,30.3836
GNDBH,GND,-88.4054,30.4178
GNDBL,GND,-88.4629,30.3571
GNDCR,GND,-88.419,30.3599
GNDPC,GND,-88.4185,30.3486
GRBGB,GRB,-70.8694,43.0722
GRBLR,GRB,-70.9344,43.08
GRBOR,GRB,-70.911,43.134
GRBSQ,GRB,-70.911811,43.052403
GTMFM,GTM,-81.245953,29.737041
GTMPC,GTM,-81.257403,29.667071
GTMPI,GTM,-81.367465,30.050857
GTMSS,GTM,-81.307428,29.868851
HEEKK,HEE,-157.80524,21.43582
HEEPH,HEE,-157.8232,21.4092
HEER9,HEE,-157.80183,21.44628
HEEW2,HEE,-157.81093,21.43831
HUDNP,HUD,-73.94194,41.83167
HUDBM,HUD,-73.985225,41.3143389
HUDFL,HUD,-73.7890889,42.3540111
HUDSC,HUD,-73.9108,42.0463
HUDSK,HUD,-73.9149611,42.0171722
HUDTN,HUD,-73.925324,42.0365457
HUDTS,HUD,-73.9259569,42.0270378
JACB6,JAC,-74.3385,39.5079
JACB9,JAC,-74.3811306,39.4979417
JACBA,JAC,-74.5515,39.5937
JACNE,JAC,-74.4608,39.5479
JOB06,JOB,-66.227933,17.934986
JOB09,JOB,-66.2385833,17.9430556
JOB10,JOB,-66.257736,17.938611
JOB11,JOB,-66.262028,17.944608
JOB18,JOB,-66.231881,17.944433
JOB19,JOB,-66.228825,17.942914
JOB20,JOB,-66.211472,17.930317
KACBC,KAC,-151.1094,59.70567
KACDL,KAC,-151.41,59.60232
KACH3,KAC,-151.40942,59.60205
KACHD,KAC,-151.40878,59.60201
KACHO,KAC,-151.41,59.60232
KACHS,KAC,-151.40878,59.60201
KACPG,KAC,-151.89612,59.37053
KACSD,KAC,-151.72096,59.44099
KACSE,KAC,-151.72096,59.44099
KACSS,KAC,-151.72096,59.44099
LKSOL,LKS,-92.20166,46.65685
LKSPO,LKS,-92.135614,46.67236
LKSBA,LKS,-92.06352,46.721772
LKSBL,LKS,-92.10027,46.748649
MARAB,MAR,-97.0287,27.9798
MARCE,MAR,-97.0344,28.1323
MARCW,MAR,-97.2009,28.0841
MARMB,MAR,-96.8285,28.1384
MARSC,MAR,-97.0503,27.8383
NARNC,NAR,-71.324283,41.62485
NARPC,NAR,-71.340881,41.64055
NARTB,NAR,-71.321125,41.578361
NARTS,NAR,-71.321125,41.578361
NARTW,NAR,-71.321417,41.579217
NIWTA,NIW,-79.2560564,33.2991461
NIWWB,NIW,-79.2887556,33.309425
NIWWS,NIW,-79.2887556,33.309425
NIWCB,NIW,-79.1930411,33.3338636
NIWDC,NIW,-79.1674572,33.3601486
NIWOL,NIW,-79.1888819,33.3493511
NIWCA,NIW,-79.1667,33.45
NOCEC,NOC,-77.9411,33.9399
NOCZB,NOC,-77.935,33.9547
NOCLC,NOC,-77.8328,34.1722
NOCRC,NOC,-77.8499,34.156
OWCBR,OWC,-82.512222,41.348889
OWCDR,OWC,-82.504722,41.365
OWCOL,OWC,-82.513889,41.381667
OWCRR,OWC,-82.513056,41.3725
OWCSU,OWC,-82.5072,41.3672
OWCWM,OWC,-82.514444,41.3825
PDBBP,PDB,-122.530894,48.556322
PDBBY,PDB,-122.502114,48.496139
PDBGD,PDB,-122.5725,48.5575
PDBGS,PDB,-122.5725,48.5575
PDBJE,PDB,-122.474928,48.518914
PDBJL,PDB,-122.474189,48.518264
PDBJT,PDB,-122.4741856,48.51817008
PDBNN,PDB,-122.4674,48.4695
RKBBM,RKB,-81.7375,25.979
RKBBR,RKB,-81.5908,25.9678
RKBFB,RKB,-81.477,25.8922
RKBFU,RKB,-81.5159,25.9005
RKBLH,RKB,-81.73361,26.02749
RKBMB,RKB,-81.5946,25.9343
RKBPB,RKB,-81.5404,25.9141
RKBUH,RKB,-81.7012,26.049
SAPBC,SAP,-81.2786,31.4392
SAPCA,SAP,-81.2399,31.4437
SAPDC,SAP,-81.2789,31.3896
SAPFD,SAP,-81.2675,31.4828
SAPHD,SAP,-81.2731,31.4786
SAPLD,SAP,-81.296047,31.417942
SAPML,SAP,-81.2961,31.4177
SFBCC,SFB,-122.4604,38.0012
SFBGC,SFB,-122.5085,38.0159
SFBRB,SFB,-122.487563,37.876689
SFBFM,SFB,-122.0328,38.1949
SFBSM,SFB,-122.0136,38.1841
SOSCH,SOS,-124.320533,43.3377
SOSEC,SOS,-124.310729,43.296501
SOSSE,SOS,-124.302617,43.289683
SOSVA,SOS,-124.321633,43.317217
SOSWI,SOS,-124.320317,43.282417
TJRBR,TJR,-117.1289722,32.5593611
TJRMM,TJR,-117.123,32.5478
TJROS,TJR,-117.1312778,32.5683333
TJRRC,TJR,-117.1061,32.5578
TJRTL,TJR,-117.1272,32.5744
TJRPE,TJR,-117.11624,32.60098
TJRPR,TJR,-117.1181944,32.5960833
TJRSB,TJR,-117.1158333,32.601
WELDN,WEL,-70.5603,43.3289
WELHT,WEL,-70.587094,43.298347
WELIN,WEL,-70.563442,43.320089
WELLM,WEL,-70.540603,43.340153
WELML,WEL,-70.5764,43.305
WELSM,WEL,-70.549217,43.344711
WELUP,WEL,-70.5572,43.3306
WKBFR,WKB,-87.8228,30.4162
WKBMB,WKB,-87.8335,30.3961
WKBMR,WKB,-87.8177,30.39
WKBWB,WKB,-87.832,30.3808
WQBCB,WQB,-70.5211,41.5655
WQBCR,WQB,-70.5309,41.5798
WQBCT,WQB,-70.5211,41.5655
WQBMH,WQB,-70.5485,41.5526
WQBMP,WQB,-70.5216,41.5689
WQBNB,WQB,-70.5237,41.5788
WQBNS,WQB,-70.5237,41.5788
WQBSL,WQB,-70.5084,41.5542
