FID_1,station,lon,lat,FID_2,objectid,tnmid,metasource,sourcedata,sourceorig,sourcefeat,loaddate,referenceg,areaacres,areasqkm,states,huc8,name,globalid,shape_Leng,shape_Area
149,TJRPE,-117.11624000000,32.60098000000,0,10,{8793F8E0-D35A-4E65-ABBB-FBFA84D43675},{891B5558-99D6-4FD2-BD00-1AC52CE5C691},,U.S. Geological Survey,,9/5/2023,,993854.01000000000,4021.99000000000,"CA,MX",18070304,San Diego,{CA59F985-8CF9-482F-8A4C-E52B8B9C4687},3.51049247805,0.38754804629
150,TJRPR,-117.11819440000,32.59608330000,0,10,{8793F8E0-D35A-4E65-ABBB-FBFA84D43675},{891B5558-99D6-4FD2-BD00-1AC52CE5C691},,U.S. Geological Survey,,9/5/2023,,993854.01000000000,4021.99000000000,"CA,MX",18070304,San Diego,{CA59F985-8CF9-482F-8A4C-E52B8B9C4687},3.51049247805,0.38754804629
152,TJRSB,-117.11583330000,32.60100000000,0,10,{8793F8E0-D35A-4E65-ABBB-FBFA84D43675},{891B5558-99D6-4FD2-BD00-1AC52CE5C691},,U.S. Geological Survey,,9/5/2023,,993854.01000000000,4021.99000000000,"CA,MX",18070304,San Diego,{CA59F985-8CF9-482F-8A4C-E52B8B9C4687},3.51049247805,0.38754804629
137,SFBFM,-122.03280000000,38.19490000000,1,18,{BE7EC116-0BE6-419E-8165-84B063FE8468},{A0039473-A809-4129-8E12-32F32F5B835C},,U.S. Geological Survey,,1/3/2022,,417513.60000000000,1689.62000000000,CA,18050001,Suisun Bay,{91F3756C-A0F8-4AE0-96DD-87490F11A746},2.79484431299,0.17353220899
140,SFBSM,-122.01360000000,38.18410000000,1,18,{BE7EC116-0BE6-419E-8165-84B063FE8468},{A0039473-A809-4129-8E12-32F32F5B835C},,U.S. Geological Survey,,1/3/2022,,417513.60000000000,1689.62000000000,CA,18050001,Suisun Bay,{91F3756C-A0F8-4AE0-96DD-87490F11A746},2.79484431299,0.17353220899
84,LKSOL,-92.20166000000,46.65685000000,2,67,{90B0FC64-53C4-46B9-AFD5-9CEF2EB3D4BB},{CA072AAF-C871-4C1D-9034-B0BA44E28F8D},,U.S. Geological Survey,,2/4/2022,,1878523.34000000000,7602.12000000000,"MN,WI",04010201,St. Louis,{7A8FBEA4-3B39-4066-A63A-83A1B091D5BB},9.15408576122,0.90216861790
85,LKSPO,-92.13561400000,46.67236000000,2,67,{90B0FC64-53C4-46B9-AFD5-9CEF2EB3D4BB},{CA072AAF-C871-4C1D-9034-B0BA44E28F8D},,U.S. Geological Survey,,2/4/2022,,1878523.34000000000,7602.12000000000,"MN,WI",04010201,St. Louis,{7A8FBEA4-3B39-4066-A63A-83A1B091D5BB},9.15408576122,0.90216861790
16,CBMIP,-76.72080000000,38.79600000000,3,120,{D9E92E07-709F-4314-86B0-1D7E465CFEF2},,,,,11/3/2020,,593239.81000000000,2400.76000000000,MD,02060006,Patuxent,{EB3024BF-3957-4CAC-A998-BD76AB460530},4.52498572575,0.24912528573
17,CBMJB,-76.70770000000,38.77920000000,3,120,{D9E92E07-709F-4314-86B0-1D7E465CFEF2},,,,,11/3/2020,,593239.81000000000,2400.76000000000,MD,02060006,Patuxent,{EB3024BF-3957-4CAC-A998-BD76AB460530},4.52498572575,0.24912528573
19,CBMMC,-76.70740000000,38.74330000000,3,120,{D9E92E07-709F-4314-86B0-1D7E465CFEF2},,,,,11/3/2020,,593239.81000000000,2400.76000000000,MD,02060006,Patuxent,{EB3024BF-3957-4CAC-A998-BD76AB460530},4.52498572575,0.24912528573
21,CBMPR,-76.70910000000,38.77320000000,3,120,{D9E92E07-709F-4314-86B0-1D7E465CFEF2},,,,,11/3/2020,,593239.81000000000,2400.76000000000,MD,02060006,Patuxent,{EB3024BF-3957-4CAC-A998-BD76AB460530},4.52498572575,0.24912528573
22,CBMRR,-76.71370000000,38.78130000000,3,120,{D9E92E07-709F-4314-86B0-1D7E465CFEF2},,,,,11/3/2020,,593239.81000000000,2400.76000000000,MD,02060006,Patuxent,{EB3024BF-3957-4CAC-A998-BD76AB460530},4.52498572575,0.24912528573
104,NOCLC,-77.83280000000,34.17220000000,4,169,{552AF5D8-63AD-4A7D-8B8C-8FE8A5A7512F},{0DDFFDF7-8CEF-4856-9063-4456E847EFE4},,U.S. Geological Survey,,3/23/2022,,554455.38000000000,2243.80000000000,NC,03020302,New River,{79F4A5F1-9CB1-4FD4-A0D2-53C0AE56B67C},4.11856072160,0.22029837159
105,NOCRC,-77.84990000000,34.15600000000,4,169,{552AF5D8-63AD-4A7D-8B8C-8FE8A5A7512F},{0DDFFDF7-8CEF-4856-9063-4456E847EFE4},,U.S. Geological Survey,,3/23/2022,,554455.38000000000,2243.80000000000,NC,03020302,New River,{79F4A5F1-9CB1-4FD4-A0D2-53C0AE56B67C},4.11856072160,0.22029837159
146,TJRBR,-117.12897220000,32.55936110000,5,180,{843EF822-4013-48BF-B25F-491A1CC8536A},{93C374CC-EFFC-4F80-B73B-B02CB768ABCE},,U.S. Geological Survey,,1/3/2022,,1100038.76000000000,4451.70000000000,"CA,MX",18070305,Cottonwood-Tijuana,{EDDADCDA-8E73-46DF-9D2A-3CFE21DDF5D9},4.46259849221,0.42704325111
147,TJRMM,-117.12300000000,32.54780000000,5,180,{843EF822-4013-48BF-B25F-491A1CC8536A},{93C374CC-EFFC-4F80-B73B-B02CB768ABCE},,U.S. Geological Survey,,1/3/2022,,1100038.76000000000,4451.70000000000,"CA,MX",18070305,Cottonwood-Tijuana,{EDDADCDA-8E73-46DF-9D2A-3CFE21DDF5D9},4.46259849221,0.42704325111
148,TJROS,-117.13127780000,32.56833330000,5,180,{843EF822-4013-48BF-B25F-491A1CC8536A},{93C374CC-EFFC-4F80-B73B-B02CB768ABCE},,U.S. Geological Survey,,1/3/2022,,1100038.76000000000,4451.70000000000,"CA,MX",18070305,Cottonwood-Tijuana,{EDDADCDA-8E73-46DF-9D2A-3CFE21DDF5D9},4.46259849221,0.42704325111
151,TJRRC,-117.10610000000,32.55780000000,5,180,{843EF822-4013-48BF-B25F-491A1CC8536A},{93C374CC-EFFC-4F80-B73B-B02CB768ABCE},,U.S. Geological Survey,,1/3/2022,,1100038.76000000000,4451.70000000000,"CA,MX",18070305,Cottonwood-Tijuana,{EDDADCDA-8E73-46DF-9D2A-3CFE21DDF5D9},4.46259849221,0.42704325111
