Join_Count,station,Reserve,lon,lat,Join_Count,areaacres,areasqkm,states,huc12,name
1,APABP,APA,-84.967136,29.803286,1,51088.69,206.75,FL,31300110804,East River-Apalachicola River
2,APAEB,APA,-84.8752,29.7858,1,94413.63,382.08,FL,31300140200,Apalachicola Bay
2,APAES,APA,-84.8752,29.7858,1,94413.63,382.08,FL,31300140200,Apalachicola Bay
1,APALM,APA,-85.003525,29.755689,1,51088.69,206.75,FL,31300110804,East River-Apalachicola River
4,APACP,APA,-84.8802,29.7021,1,69125.04,279.74,FL,31300140100,St. George Sound
4,APADB,APA,-85.0583,29.6747,1,69125.04,279.74,FL,31300140100,St. George Sound
4,APAPC,APA,-85.0277,29.601,1,69125.04,279.74,FL,31300140100,St. George Sound
3,MARAB,MAR,-97.0287,27.9798,1,149590.31,605.37,TX,1.21004E+11,Aransas Bay
1,MARCE,MAR,-97.0344,28.1323,1,47384.67,191.76,TX,1.21004E+11,Swan Lake-Copano Bay
1,MARCW,MAR,-97.2009,28.0841,1,47384.67,191.76,TX,1.21004E+11,Swan Lake-Copano Bay
2,RKBBM,RKB,-81.7375,25.979,1,62656.41,253.56,FL,30902040700,Henderson Creek-Barron River Frontal
2,RKBBR,RKB,-81.5908,25.9678,1,62656.41,253.56,FL,30902040700,Henderson Creek-Barron River Frontal
2,RKBFB,RKB,-81.477,25.8922,1,62656.41,253.56,FL,30902040700,Henderson Creek-Barron River Frontal
2,RKBFU,RKB,-81.5159,25.9005,1,62656.41,253.56,FL,30902040700,Henderson Creek-Barron River Frontal
2,RKBLH,RKB,-81.73361,26.02749,1,62656.41,253.56,FL,30902040700,Henderson Creek-Barron River Frontal
2,RKBMB,RKB,-81.5946,25.9343,1,62656.41,253.56,FL,30902040700,Henderson Creek-Barron River Frontal
2,RKBPB,RKB,-81.5404,25.9141,1,62656.41,253.56,FL,30902040700,Henderson Creek-Barron River Frontal
2,RKBUH,RKB,-81.7012,26.049,1,62656.41,253.56,FL,30902040700,Henderson Creek-Barron River Frontal
1,DELBL,DEL,-75.636,39.38876,1,22397.45,90.64,DE,20402050803,Blackbird Creek-Frontal Delaware River
1,DELDS,DEL,-75.5191,39.1637,1,24556.58,99.38,DE,20402070301,Upper Saint Jones River
1,DELLL,DEL,-75.4992,39.1144,1,23532.17,95.23,DE,20402070304,Lower Saint Jones River
1,DELPB,DEL,-75.6504,39.1647,1,24556.58,99.38,DE,20402070301,Upper Saint Jones River
1,DELSL,DEL,-75.46058,39.08498,1,23532.17,95.23,DE,20402070304,Lower Saint Jones River
1,WQBCB,WQB,-70.5211,41.5655,1,377250.26,1526.68,MA,10900020203,Hyannis Harbor-Frontal Nantucket Sound
1,WQBCR,WQB,-70.5309,41.5798,1,377250.26,1526.68,MA,10900020203,Hyannis Harbor-Frontal Nantucket Sound
1,WQBCT,WQB,-70.5211,41.5655,1,377250.26,1526.68,MA,10900020203,Hyannis Harbor-Frontal Nantucket Sound
1,WQBMH,WQB,-70.5485,41.5526,1,377250.26,1526.68,MA,10900020203,Hyannis Harbor-Frontal Nantucket Sound
1,WQBMP,WQB,-70.5216,41.5689,1,377250.26,1526.68,MA,10900020203,Hyannis Harbor-Frontal Nantucket Sound
1,WQBNB,WQB,-70.5237,41.5788,1,377250.26,1526.68,MA,10900020203,Hyannis Harbor-Frontal Nantucket Sound
1,WQBNS,WQB,-70.5237,41.5788,1,377250.26,1526.68,MA,10900020203,Hyannis Harbor-Frontal Nantucket Sound
1,WQBSL,WQB,-70.5084,41.5542,1,377250.26,1526.68,MA,10900020203,Hyannis Harbor-Frontal Nantucket Sound
1,NIWTA,NIW,-79.256056,33.299146,1,47966.83,194.12,SC,30402070208,Winyah Bay
