gridcode,name,FREQUENCY,SUM_Shape_Area
0,Cape Saint George Shoal-Gulf of Mexico,58,11328638.6
0,Hyannis Harbor-Frontal Nantucket Sound,36,306246264.6
0,Padilla Bay-Strait of Georgia,4,534335978.2
0,Tijuana River-Frontal Pacific Ocean,5,65195103.61
11,<Null>,5,3599.627495
11,Apalachicola Bay,128,34392833.73
11,Aransas Bay,1697,690728275.6
11,Bayou Casotte-Pt Aux Chenes Bay,317,1636433.624
11,Bayou Heron-Grand Bay Swamp,444,2267884.314
11,Blackbird Creek-Frontal Delaware River,162,7964797.549
11,Branch Brook-Merriland River,48,108930.5145
11,Bush River,92,29652715.39
11,Carter Creek-York River,143,1670583.362
11,Chappel Creek,25,36512.59461
11,Charles Branch-Western Branch Patuxent River,70,318010.5835
11,Coos Bay,174,14474576.22
11,Corpus Christi Bay,566,3418599.243
11,Dawho River-North Edisto River,932,31645830.38
11,Debidue Creek,362,1173464.758
11,Doboy Sound-Frontal Atlantic Ocean,1438,46887046.63
11,East River-Apalachicola River,322,8771459.738
11,Elkhorn Slough,220,6847563.591
11,Fallsburg Creek-Hudson River,74,309622.467
11,Furnace Brook-Hudson River,116,50079613.76
11,Great Bay,90,269704.2206
11,Great Bay-Frontal Atlantic Ocean,769,2294325.027
11,Henderson Creek-Barron River Frontal,1172,159819742.1
11,Hope Creek-Edisto River,584,1154855.347
11,Hyannis Harbor-Frontal Nantucket Sound,1034,678094542.1
11,Joe Leary Slough-Frontal Padilla Bay,29,143542.5765
11,Jones Creek-York River,119,964045.9808
11,Lakes Kill-Saw Kill,53,496153.6469
11,Lamprey River,144,425928.1586
11,Lower Ashepoo River,933,69714742.9
11,Lower Cooper River,775,54281652.1
11,Lower Fish River,147,1648067.404
11,Lower Mullica River,149,5947874.231
11,Lower Saint Jones River,145,31246406.13
11,Magnolia River,72,7838391.138
11,Masonboro Inlet-Mason Inlet,499,15882251.17
11,Mataponi Creek-Patuxent River,82,5177020.221
11,Middle Mullica River,66,2609597.379
11,Mill Creek-Hudson River,42,8126645.499
11,Mill Creek-Pamunkey River,255,16282971.85
11,Monie Bay,110,6348529.495
11,Mudder Kill-Hudson River,102,45999419.86
11,Nacote Creek,55,1057690.448
11,Novato Creek-Frontal San Pablo Bay Estuaries,1460,541943270.2
11,Old Woman Creek,48,281984.9167
11,Outlet Waccamaw River-Atlantic Intracoastal Waterway,359,13308108.73
11,Oyster River,48,556467.1738
11,Padilla Bay-Strait of Georgia,172,1004946012
11,Pellicer Creek,81,638881.9244
11,Pellicer Creek-Big Mulberry Branch Frontal,468,17797785.48
11,Pokegama River,31,100929.3777
11,Poquoson River-Frontal Chesapeake Bay,270,128314217.2
11,Pt Aux Chenes Bay-Mississippi Sound,30,241771301.5
11,Richardson Bay-San Francisco Bay,37,21348304.23
11,Rooker Bay,1263,29833761.35
11,Saint Louis River,159,25202466.77
11,San Antonio Bay-Espiritu Santo Bay,2468,439476969.1
11,San Diego Bay,77,45101148.77
11,San Pablo Bay,4,57912.94985
11,Sarah Creek-York River,79,420791.4185
11,Skimino Creek-York River,213,91736134.39
11,South Edisto River-Atlantic Intracoastal Waterway,943,5356863.721
11,Spirit Lake-Saint Louis River,50,146290.4503
11,Squamscott River,41,26374705.29
11,St. George Sound,75,1032968628
11,Stevens Brook-Frontal Atlantic Ocean,196,2150789.653
11,Stony Creek,32,88058.22144
11,Store Creek,388,1393306.458
11,Suisun Bay Estuaries,3306,46324153.35
11,Swan Lake-Copano Bay,43,184166760.1
11,Tijuana River-Frontal Pacific Ocean,46,322541.2766
11,Tolomato River-Moses Creek Frontal,215,18837753.2
11,Town of Southport-Cape Fear River,475,43821740.4
11,Tuckerton Creek-Little Egg Harbor,442,127454285.4
11,Upper East Passage,48,37297013.38
11,Upper Saint Jones River,54,1514460.663
11,Upper Tolomato River,469,10457049.46
11,Upper West Passage,42,53342092.09
11,Winchester Creek,99,20904024.7
11,Winyah Bay,467,69265001.73
21,<Null>,2,1230.921936
21,Apalachicola Bay,837,2822371.078
21,Aransas Bay,3470,10912609.73
21,Bayou Casotte-Pt Aux Chenes Bay,1239,5455542.508
21,Bayou Heron-Grand Bay Swamp,430,2141844.543
21,Blackbird Creek-Frontal Delaware River,1324,4860716.968
21,Branch Brook-Merriland River,1166,3618524.377
21,Bush River,1637,7296434.61
21,Carter Creek-York River,2044,13159845.37
21,Chappel Creek,1023,2362815.335
21,Charles Branch-Western Branch Patuxent River,3452,14822723.14
21,Coos Bay,1710,6997366.314
21,Corpus Christi Bay,732,1643997.849
21,Dawho River-North Edisto River,579,2066050.909
21,Debidue Creek,478,3212131.256
21,Doboy Sound-Frontal Atlantic Ocean,767,5363686.066
