name,gridcode,FREQUENCY,SUM_Shape_
Apalachicola,11,1771,64215898.62670000000
Apalachicola,21,16836,115753776.58100000000
Apalachicola,22,13386,26470592.74290000000
Apalachicola,23,5559,9641650.01220000000
Apalachicola,24,764,1451519.76928000000
Apalachicola,31,1050,4410153.67126000000
Apalachicola,41,1593,4689632.62025000000
Apalachicola,42,19888,688456376.77900000000
Apalachicola,43,1358,3642883.81347000000
Apalachicola,52,11682,128435450.07000000000
Apalachicola,71,8328,142246112.09100000000
Apalachicola,81,3032,17813878.52780000000
Apalachicola,82,2170,154986562.90300000000
Apalachicola,90,11561,1625546568.80000000000
Apalachicola,95,12696,151510767.98400000000
Apalachicola Bay,0,69,16012688.76340000000
Apalachicola Bay,11,282,1248241690.20000000000
Apalachicola Bay,21,2212,9048290.43275000000
Apalachicola Bay,22,2978,15475220.53530000000
Apalachicola Bay,23,2841,8947637.62208000000
Apalachicola Bay,24,1123,3377971.82922000000
Apalachicola Bay,31,2020,23942928.57060000000
Apalachicola Bay,41,5,7200.00000000000
Apalachicola Bay,42,2272,34138658.52350000000
Apalachicola Bay,43,13,17934.02709890000
Apalachicola Bay,52,1165,6907491.78773000000
Apalachicola Bay,71,942,3752396.46606000000
Apalachicola Bay,90,1687,103705104.55600000000
Apalachicola Bay,95,2108,42994771.95740000000
Aransas Bay,0,88,132483.11462500000
Aransas Bay,11,2462,604343711.17900000000
Aransas Bay,21,9629,33216594.98290000000
Aransas Bay,22,11158,38015457.49510000000
Aransas Bay,23,8235,27448130.42910000000
Aransas Bay,24,2603,8930931.81153000000
Aransas Bay,31,3410,19819779.45560000000
Aransas Bay,41,5587,53942891.94030000000
Aransas Bay,42,3687,17846878.32640000000
Aransas Bay,43,3812,14003182.53480000000
Aransas Bay,52,11187,352256165.22200000000
Aransas Bay,71,7272,100896651.42500000000
Aransas Bay,81,8502,311238827.65500000000
Aransas Bay,82,409,215797979.03100000000
Aransas Bay,90,7450,65087067.20580000000
Aransas Bay,95,8611,328474921.81100000000
Big Cypress Swamp,0,92,29201136.21830000000
Big Cypress Swamp,11,17379,1256006890.67000000000
Big Cypress Swamp,21,44632,259268228.39400000000
Big Cypress Swamp,22,57670,292961818.90000000000
Big Cypress Swamp,23,44300,234175938.38200000000
Big Cypress Swamp,24,18538,62381607.41270000000
Big Cypress Swamp,31,2568,17738995.88010000000
Big Cypress Swamp,41,101,653683.00781300000
Big Cypress Swamp,42,11311,202972847.85500000000
Big Cypress Swamp,43,6754,52939010.49500000000
Big Cypress Swamp,52,3342,15171034.87240000000
Big Cypress Swamp,71,3929,34622962.78380000000
Big Cypress Swamp,81,6071,336348696.47800000000
Big Cypress Swamp,82,1394,270337128.47000000000
Big Cypress Swamp,90,59447,3508883752.70000000000
Big Cypress Swamp,95,72126,1737659777.59000000000
Brandywine-Christina,11,1361,35188533.21530000000
Brandywine-Christina,21,51902,328404040.35600000000
Brandywine-Christina,22,51352,211291101.23300000000
Brandywine-Christina,23,29729,131828934.95200000000
Brandywine-Christina,24,8454,59917315.37480000000
Brandywine-Christina,31,641,3755133.43506000000
Brandywine-Christina,41,17649,347628298.64500000000
Brandywine-Christina,42,2695,7563492.05931000000
Brandywine-Christina,43,28934,108629747.20500000000
Brandywine-Christina,52,5713,18355702.83510000000
Brandywine-Christina,71,1664,7706953.92151000000
Brandywine-Christina,81,14720,265026613.54100000000
Brandywine-Christina,82,3893,248698493.64600000000
Brandywine-Christina,90,6540,91980643.35930000000
Brandywine-Christina,95,2929,50932826.17490000000
Broadkill-Smyrna,11,2927,422136222.66500000000
Broadkill-Smyrna,21,28371,119341495.26700000000
Broadkill-Smyrna,22,28178,86949957.81560000000
Broadkill-Smyrna,23,15780,53068028.68650000000
Broadkill-Smyrna,24,3872,17603632.20520000000
Broadkill-Smyrna,31,506,4297077.87781000000
Broadkill-Smyrna,41,6465,63936059.27120000000
Broadkill-Smyrna,42,1393,22476317.15700000000
Broadkill-Smyrna,43,4997,43111003.76590000000
Broadkill-Smyrna,52,986,3263648.20862000000
Broadkill-Smyrna,71,480,1920603.90015000000
Broadkill-Smyrna,81,1131,4212331.18286000000
Broadkill-Smyrna,82,6317,702230923.16900000000
Broadkill-Smyrna,90,7816,239182368.39300000000
Broadkill-Smyrna,95,4370,222484065.68300000000
Cape Cod,0,233,648822076.29500000000
Cape Cod,11,4858,144603296.52100000000
Cape Cod,21,76141,247358586.60700000000
Cape Cod,22,93914,363427941.24800000000
Cape Cod,23,63079,275902257.61000000000
Cape Cod,24,13851,70110934.78550000000
Cape Cod,31,9749,97747109.43150000000
Cape Cod,41,19911,241357904.77800000000
Cape Cod,42,39710,444276467.29000000000
Cape Cod,43,50002,427546024.15900000000
Cape Cod,52,9175,52705045.58260000000
Cape Cod,71,18321,102497568.14600000000
Cape Cod,81,7255,38414043.75910000000
Cape Cod,82,2070,77124029.39760000000
Cape Cod,90,15290,307718280.25800000000
Cape Cod,95,13331,159962573.47400000000
Carolina Coastal-Sampit,0,16,1452860.92530000000
Carolina Coastal-Sampit,11,1631,18271889.53860000000
Carolina Coastal-Sampit,21,9854,61330996.30730000000
Carolina Coastal-Sampit,22,7834,17760104.57150000000
