station,Station Name,Reserve Code,Reserve Name,State,Latitude,Longitude,yr_start_wq,yr_end_wq,yr_start_nut,yr_end_nut,ts_length_wq,ts_length_nut
acebb,Big Bay,ACE,Ashepoo Combahee Edisto Basin,SC,32.4941,80.3241,2002,2015,2002,2014,13,12
aceei,Edisto Island,ACE,Ashepoo Combahee Edisto Basin,SC,32.504,80.3247,2015,2022,2015,2022,7,7
acefc,Fishing Creek,ACE,Ashepoo Combahee Edisto Basin,SC,32.63593,80.36556,2002,2022,2002,2022,20,20
acemc,Mosquito Creek,ACE,Ashepoo Combahee Edisto Basin,SC,32.5558,80.438,2002,2022,2002,2022,20,20
acesp,St. Pierre,ACE,Ashepoo Combahee Edisto Basin,SC,32.528,80.36144,2002,2022,2002,2022,20,20
apacp,Cat Point,APA,Apalachicola Bay,FL,29.7021,84.8802,2002,2022,2002,2022,20,20
apadb,Dry Bar,APA,Apalachicola Bay,FL,29.6747,85.0583,2002,2022,2002,2022,20,20
apaeb,East Bay Bottom,APA,Apalachicola Bay,FL,29.7858,84.8752,2002,2022,2002,2022,20,20
apaes,East Bay Surface,APA,Apalachicola Bay,FL,29.7858,84.8752,2002,2022,2002,2022,20,20
apapc,Pilots Cove,APA,Apalachicola Bay,FL,29.601,85.0277,2017,2022,2002,2022,5,20
cbmip,Iron Pot Landing,CBM,Chesapeake Bay,MD,38.796,76.7208,2003,2022,2003,2022,19,19
cbmmb,Monie Bay,CBM,Chesapeake Bay,MD,38.20855,75.804583,2020,2022,2020,2022,2,2
cbmmc,Mataponi Creek,CBM,Chesapeake Bay,MD,38.7433,76.7074,2003,2022,2003,2022,19,19
cbmoc,Otter Point Creek,CBM,Chesapeake Bay,MD,39.4507,76.2746,2003,2022,2003,2022,19,19
cbmrr,Railroad,CBM,Chesapeake Bay,MD,38.7813,76.7137,2003,2022,2003,2022,19,19
cbvcb,Claybank,CBV,Chesapeake Bay,VA,37.346665,76.611263,2002,2022,2002,2022,20,20
cbvgi,Goodwin Islands,CBV,Chesapeake Bay,VA,37.215796,76.392675,2002,2022,2002,2022,20,20
cbvsh,Sweethall,CBV,Chesapeake Bay,VA,37.57138,76.88424,2002,2016,2002,2016,14,14
cbvsp,Sweethall Pier,CBV,Chesapeake Bay,VA,37.571398,76.88399,2016,2022,2016,2022,6,6
cbvtc,Taskinas Creek,CBV,Chesapeake Bay,VA,37.414986,76.71442,2002,2022,2002,2022,20,20
delbl,Blackbird Landing,DEL,Delaware,DE,39.38876,75.636,2002,2022,2002,2022,20,20
delds,Division Street,DEL,Delaware,DE,39.1637,75.5191,2002,2022,2002,2022,20,20
